state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,pre_20_dem_bid,pre_20_rep_tru,uss_18_rep_new,uss_18_dem_klo,uss_20_dem_smi,uss_20_rep_lew,gov_18_rep_joh,gov_18_dem_wal,atg_18_rep_war,atg_18_dem_ell,sos_18_rep_how,sos_18_dem_sim,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20
27,001,0240,40,37,0,0,1,0,0,0,2,30,29,0,0,0,0,0,0,1,22.400000000000002,5.8,2.8,21.3,14.6,6.1,2,23,16,4.7,14.8,4.7,17.1,3.8000000000000003,5.8,4.8,2.2,22.400000000000002,15.8,22.400000000000002
27,001,0255,42,41,0,0,0,0,0,0,1,35,34,0,0,0,0,0,0,1,9,8,10,18,8,8,11,16,8,8,8,7,8,8,8,7.8,10.5,9,8,16.9
27,001,0260,120,116,0,3,0,0,0,0,1,103,101,0,1,0,0,0,0,1,53,30.4,34.300000000000004,53,26.2,49.3,31.8,53,39.2,35.6,39.2,34.300000000000004,39.2,35.1,30.4,38.6,32.4,53,36,53
27,001,0285,61,61,0,0,0,0,0,0,0,44,44,0,0,0,0,0,0,0,21,12.1,16.1,26.1,14.9,17,17,23.9,14.9,17.9,14.9,14.9,17,14,12.1,15.8,16.6,21,15.399999999999999,25.2
27,001,0290,90,88,0,1,0,0,0,0,1,71,70,0,0,0,0,0,0,1,38,8.1,11,34.1,21,15,11.9,23,24.1,12.9,26,11,24.1,8.1,8.1,11.8,11.4,38,23.9,28.5
27,003,1010,3220,3023,20,55,8,61,0,4,49,2387,2292,14,30,4,27,0,0,20,1288.4,565.4,772.8,1409.2,917.1,727.8,703.3,1336.5,1052.9,584.9,1077,512,1045.8,546.1,565.4,592.7,737.6,1288.4,1023,1372.6
27,003,1020,3081,2782,39,76,19,100,0,2,63,2274,2113,26,38,12,61,0,2,22,1131.6000000000001,662.9,864.1,1168.4,803.1,803.9,775,1087.2,928.3,658.4,962.7,565.1,926.8,611.6,662.9,659.5,819.1,1131.6000000000001,904.8,1127
27,003,1030,2504,2286,29,80,2,49,0,1,57,1787,1671,18,43,1,35,0,1,18,769.6,492.3,634.6,843.4,587.4,597.5,566.5,799,658.7,522,687.7,450.9,658.1,483.1,492.3,513.2,600.3,769.6,648.4,821.4
27,003,1040,1537,1441,23,21,4,22,0,1,25,1163,1100,18,11,4,18,0,1,11,497.6,317.5,399.7,546.8,387.8,380.4,357.1,519.7,432.6,333.5,452.5,286.1,432.3,307.7,317.5,327,378.4,497.6,426.1,533.4
27,003,1050,2563,2308,83,55,12,42,0,4,59,1873,1738,46,29,9,27,0,2,22,774.6,562.1,734.8000000000001,890.1,543.8,647.3,656.2,820.7,624.6,559.7,656.2,487.3,627,521.1,562.1,553.9,695.6999999999999,774.6,613,855.3
27,003,1060,2855,2675,26,36,7,65,2,2,42,1809,1711,14,16,3,45,2,2,16,964.1,623.1,905.9,1146.8,722,819.9,816.9,1110.8,851,680.2,910.1,557.1,856.9,627.1,623.1,671.3,861.5,964.1,835.1,1128.6
