state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,pre_20_dem_bid,pre_20_rep_tru,uss_18_dem_hei,uss_18_rep_ric,uss_20_dem_luj,uss_20_rep_ron,gov_18_dem_luj,gov_18_rep_pea,atg_18_dem_bal,atg_18_rep_hen,sos_16_dem_oli,sos_16_rep_esp,sos_18_dem_tou,sos_18_rep_cla,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20
35,001,36,1471,140,24,1250,31,2,1,15,8,1110,121,18,925,26,2,1,12,5,307.8,100.10000000000001,356.90000000000003,119.6,261.2,49.1,339.5,130.2,294.9,69.5,304,45.4,337.4,103.10000000000001,288.6,54.2,322.5,287.2,348.2,101.5,54.8,124.8
35,001,37,1580,320,22,1171,29,5,1,28,4,1274,288,19,918,23,5,1,17,3,447.2,220,543.1,234.4,433.1,134.1,518.9,251,464,201.7,517.2,130,489.3,220,486,159.9,468.4,475,531.1,220,156.2,242.5
35,001,38,2425,272,61,1919,100,34,6,0,33,1701,222,44,1325,62,28,4,0,16,527.1,220.2,620.9,284,448.1,113.5,601.2,306.9,481.40000000000003,174.9,503.90000000000003,126.6,593.9,233.1,495.09999999999997,132,560.2,481.90000000000003,611,226.7,136.8,295.3
35,001,39,1831,526,50,1139,80,6,0,7,23,1358,437,36,816,46,5,0,2,16,440.9,213.7,548,282.3,433,135.4,509.3,311.8,461.8,217.2,497.9,158.8,526.9,200.1,480.9,170.20000000000002,484,468.5,528.9,206.7,170.4,297
35,001,40,1639,183,15,1374,36,4,2,15,10,1195,154,13,978,26,4,2,11,7,324,151,382.1,212.1,274.1,82,366.1,224.1,289,135.9,334.9,72.1,361.8,145.8,300,104,342.9,299.6,374,148.3,98.4,218
35,001,41,3369,364,82,2757,103,23,0,5,35,2176,281,74,1698,83,19,0,2,19,509,231.2,617,309.7,417,143.1,592.7,327,457.3,216.7,502.8,150.9,534,276,468,172.1,521.7,461.4,604.8,253.5,170.8,318.2
35,001,42,1374,178,31,1125,28,2,0,2,8,955,141,23,766,17,2,0,2,4,273.2,123.1,350.9,159.9,251.1,63.9,321,180.9,280.9,99.9,299.1,70.2,328.1,117.9,276,86.1,300.6,276.9,335.8,120.5,79.9,170.4
35,001,43,4146,372,79,3576,57,10,0,16,36,2788,317,67,2330,38,9,0,10,17,608.8,281,684.9,388.8,458.9,133.1,661,394.9,508.8,212.8,559.9,128.1,638.9,293.3,523,156,623.9,512.7,672.6,287.4,157.3,392
35,001,44,3192,356,21,2731,52,5,1,6,20,2166,304,19,1787,38,3,1,3,11,513.4,233.9,662.9,332.4,470,123,624.7,355.1,505.2,206.9,550.4,136.6,561.5,234,507.5,167.5,537.3000000000001,507.9,643.9,234,158.5,343.3
35,001,45,1407,119,4,1256,14,4,0,5,5,1035,106,2,907,8,3,0,4,5,228.2,119.1,278.1,154.6,218.1,71.10000000000001,277.2,150.9,227.1,109,255.9,69.1,252,119.1,235,87.2,240,234.4,277.7,119.1,83.9,152.8
35,001,46,2353,221,10,2078,12,3,1,6,22,1690,197,7,1454,10,3,1,5,13,411,177,444.2,238.7,350.8,111.9,416.9,236,375.7,163.8,414.3,111.9,456.2,172.6,395.1,123,433.6,384,430.5,175.1,127.4,237.6
35,001,47,668,104,3,543,13,1,0,1,3,480,87,3,373,12,1,0,1,3,150.8,70,191.1,93.3,118,47.1,181.2,97.9,129.8,63.1,136.4,48,160.9,74.8,129.8,52.9,155.1,128.6,186,72.1,52.7,95.6
35,001,48,2849,255,22,2499,28,8,0,13,24,1985,217,20,1695,23,8,0,9,13,433.7,156.2,566.1,216.1,376.2,81.3,544.2,214.3,415.8,132.9,449.09999999999997,82.2,475.8,177.2,412.9,97.6,454.4,413.1,554.6,166.4,98,215.1
35,001,49,5643,311,60,5114,107,15,1,0,35,3451,247,45,3052,70,14,1,0,22,602.9,160.2,733.8,253.3,458,91.10000000000001,728,233.6,497.7,135,496.90000000000003,113.1,602.9,205,489.1,114.9,602.9,485.7,730.8,182.1,113.4,243.5
35,001,50,3380,514,111,2627,66,24,1,3,34,2204,415,80,1623,47,22,1,3,13,686.1,288.8,904.2,430.1,594.6,179.1,833.7,468,647.4,266.9,689.2,184.6,757.4,303.7,661.4,205.2,721.7,648.3,869.2,296,209.7,449.2
35,001,51,1889,136,64,1627,42,3,1,2,14,1245,101,44,1058,33,3,0,1,5,363.8,85,392.9,110.89999999999999,286,46.9,365.9,132.1,305.9,79.9,320,56.2,360.8,102,308.2,56.9,362.3,305.4,379.5,93.6,60.1,121.3
35,001,52,5021,639,94,4139,81,22,3,11,32,3208,517,69,2519,57,20,3,8,15,732.1,334.9,1061.2,523.6,652.7,192.4,1017,556,710.9,291.5,742.5,211.9,805.1,381.8,707.8,247.20000000000002,769.1,703.4,1039.8,358.4,235.8,539.7
35,001,53,1356,140,4,1164,35,1,0,6,6,913,112,3,763,26,1,0,4,4,256,105.10000000000001,293.9,149,223,56.9,288.9,149.8,234,94,252,64.8,281.2,107.1,244,69.9,268.6,238.5,291.6,106,71.6,149.29999999999998
35,001,54,13467,2201,356,10182,321,166,12,41,188,8697,1699,256,6268,215,120,12,27,100,2009.8,1030.3,2966.2,1628.2,1737.6,648.2,2817.1,1696.2,1904.2,950.2,2027,716.5,2189.3,1143.1,1939.7,777,2098.6,1902.2,2890.6,1086.3,772.8,1662.6
35,001,55,6638,866,149,5085,366,77,4,19,72,4479,692,114,3317,240,56,4,16,40,834,395.3,1129.8,593.9,696.1999999999999,249,1061.9,639.1,787.8,342.6,827.2,256.8,921.7,425,792,286.1,878.1,775.4,1095.9,409.9,283.3,616.4
35,001,56,4566,644,111,3541,162,24,1,17,66,3045,531,76,2263,110,21,1,13,30,662.1,378,857.9,482.2,560.8,216.2,812.1,504.3,609.9,321.8,664.9,231.29999999999998,718.8,404,635.6,260.2,690.2,617.9,835.3,391.5,257.2,493.09999999999997
35,001,57,4769,1529,175,2653,173,160,1,5,73,3409,1244,127,1744,111,137,1,3,42,1332.8,958.1,2599,1626.6,1600,729.1,2411.3,1800.2,1677.9,1070,1855.2,780.6,1503.1,1019,1722.6,900.8,1418.5,1713.8,2504.3,988.4,870,1713.3
35,001,58,1213,197,14,899,88,3,0,1,11,763,168,8,512,66,3,0,1,5,92.8,51.9,131,62.1,83,28.1,121.1,69.1,81.6,40.8,93.7,29.2,104,53.800000000000004,84,33.2,98.6,85.4,125.9,52.800000000000004,32.6,65.1
35,001,59,7451,789,207,5993,280,78,8,21,75,4808,633,156,3708,192,65,3,14,37,1025.1,396.3,1335,653.7,827.2,237,1253.9,691.7,925.2,372.9,970.8,262,1138,460.8,925.9,285.8,1081.3,912.4,1294.5,427.8,289.6,672.3
35,001,60,5862,518,117,5018,117,36,0,8,48,3681,397,85,3051,83,29,0,5,31,815.3,395.2,1060.4,533.1,684.3,195.3,988,548.8,764.8,299.2,798.6,217.8,865.2,420.2,770,241.1,839.8,754.4,1024.3,407.4,238.9,540.4
35,001,61,1618,161,5,1407,29,3,0,7,6,1162,139,4,984,22,3,0,6,4,294.8,101.1,325.8,172.9,277.2,55.7,334.1,161.9,286.2,89.2,304.9,57.3,303,110.10000000000001,289.6,70.8,298.8,289.2,329.9,106,68.2,167.3
35,001,62,1159,147,5,983,15,2,0,2,5,845,127,5,692,14,2,0,2,3,231,70,283.9,127.3,207.9,49.8,268,134.6,225.9,74.2,233.1,56.9,245.2,83.3,225.9,62,237.9,223.3,276.2,76.3,60.8,131.2
35,001,63,1104,147,31,907,8,1,0,1,9,824,136,24,650,7,1,0,0,6,188.8,54.8,230.2,76.10000000000001,160.9,31.9,213.1,86,167.9,46.199999999999996,171,33.8,207,52,169.2,32.9,198.1,167.2,221.6,53.2,36.2,81.2
35,001,64,769,138,5,610,7,1,0,1,7,540,113,3,412,5,1,0,1,5,131.1,43,158.1,59.1,127,24,153,57,133,36,135.1,26,151,46,133,28,141,132.1,155.7,44.5,28.599999999999998,58
35,001,65,1589,222,11,1328,17,1,0,1,9,1159,199,11,929,13,1,0,1,5,301.2,142.2,362.1,165.1,262.1,77.1,363.9,158.1,276.1,108,299,68.9,325,133.1,284.6,81.1,313.2,280.3,363.1,137.79999999999998,83.8,161.4
35,001,66,1435,256,10,1136,19,3,0,3,8,1075,219,7,826,14,3,0,1,5,290,137.1,332,206,253.9,87,329.2,205,266.7,141.1,299.9,91.2,327.9,144.1,279.1,100,308.9,275,330.8,140.70000000000002,104.9,205.5
35,001,67,2224,218,23,1951,14,1,0,4,13,1616,196,18,1380,12,0,0,4,6,381.1,93,500.90000000000003,163.9,333,51.8,490.1,168.7,361,81.6,364,62.1,406.2,110.8,352.1,65.9,393.6,352.5,495.7,101.8,65.3,166.2
35,001,68,2647,1222,80,1142,104,45,2,11,41,1895,933,58,754,76,35,2,8,29,489.90000000000003,457.2,750.9,601,468.1,316,670.9,662.1,520.9,449,582.1,342.8,550.9,518.6,515,398.3,520.5,521.6,711.1,487.9,376.8,631.4
35,001,70,3533,959,153,2086,86,158,18,0,73,2409,750,110,1323,67,112,8,0,39,638.9,479.7,961.3,711.1,641.1999999999999,280.7,894,760.7,684.9,408,729.9,299.90000000000003,732.3,503.2,688.1,349.2,685.5,685.9,927.8,491.4,334.7,736.3
35,001,71,2456,260,18,2107,36,4,3,9,19,1790,223,16,1496,29,3,3,6,14,408.8,138.3,452.5,207.8,322.4,93.4,421.7,225.8,347,137.2,368.2,99.39999999999999,410.6,165.9,351,110.5,409.6,347,437,152.2,110.5,216.7
35,001,72,1383,92,17,1232,11,4,0,13,14,945,77,13,830,10,2,0,7,6,226,58.1,266.09999999999997,87,180.9,35.9,260.2,88.1,192,48,191,38.9,227.9,68,186,47,227.1,187.6,263.1,63.1,42.6,87.6
35,001,73,2214,448,25,1686,20,3,0,15,17,1634,378,13,1206,15,2,0,9,11,409.09999999999997,269.1,518,345.9,374,162.1,486.7,367.2,395.3,224.1,434.1,159.1,482.2,269.1,416.9,176.9,445.6,404.9,502.1,269.1,180.7,356.5
35,001,74,1608,312,8,1257,4,14,0,0,13,1144,273,7,838,3,12,0,0,11,280.1,159.2,317.8,212,232.9,98.8,290.9,218.9,241,140,265,105.1,321,130,254.9,110,300.5,248.5,304.1,144.7,113.8,215.6
35,001,75,736,92,13,616,5,3,0,3,4,544,86,13,435,5,2,0,2,1,183.1,78,199,101.1,165.1,43.1,189,105,170.9,71,187,45,195.8,87,182,53,189.6,176.4,194,82.5,53.1,103
35,001,76,1051,218,22,780,10,4,0,1,16,793,199,19,549,10,4,0,1,11,248.1,155.1,320.3,179,246.8,85.1,296,192,249.9,142,275.9,88.9,282.2,150.9,259,105.8,265,257.8,308.2,152.9,105.5,185.4
35,001,77,1816,253,10,1495,36,2,0,4,16,1322,229,7,1044,27,1,0,3,11,271.9,157.1,284.9,202.3,224,94.3,274.2,213.1,235.8,138,264.2,104,301,155,242.9,115,286.3,241.8,279.7,156.1,112.8,207.9
35,001,78,3025,1123,105,1400,219,97,0,3,78,2186,908,70,932,161,80,0,3,32,570.3,401,820.1,546.8,493,246.7,743.1,583.9,557.2,339,576.3,272.8,635,407.90000000000003,560.2,286.90000000000003,602.4,546.8,782,404.8,286.4,565.2
35,001,79,2771,1338,78,1192,45,71,2,4,41,2029,1083,57,776,33,54,1,3,22,582.1,597,848,732,590,411.8,750.9,809.9,606.2,597,708.5,443.9,679,597,649.1,506.2,630.4,638.6,799.2,597,489.3,770.8
35,001,80,3143,1295,119,1454,137,38,6,3,91,2182,1033,85,889,91,32,4,0,48,555,509.3,782.9,610,541.8,324.2,699,679.9,586.8,474.7,664.1999999999999,335,680.2,532.3,618.9,382.1,617.5,602.9,741,520.9,379,644.9
