state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,pre_20_dem_bid,pre_20_rep_tru,uss_18_dem_war,uss_18_rep_die,uss_20_dem_mar,uss_20_rep_oco,gov_18_rep_bak,gov_18_dem_gon,atg_18_dem_hea,atg_18_rep_mcm,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20
25,001,2191,3537,3106,99,81,30,37,1,55,128,2865,2572,73,48,22,30,1,45,74,1220,859.5,1482.6,961.6,1013.2,842.5,1434.2,1017.9,1405.7,474.7,1180.9,733.3,1220,889.7,1458.1,859.5,994.2,989.8
25,001,2192,3474,3305,30,33,4,31,1,20,50,2907,2792,23,26,2,25,1,13,25,1348.1,884.3,1749.6,851.9,1190.3,938.9,1614.7,997,1605.5,574.4,1410.8999999999999,795.8,1348.1,1058.6,1681.8,884.3,1113.1,923.7
25,001,2193,3490,3126,65,52,25,50,6,74,92,2879,2608,52,36,18,37,2,68,58,1301.7,737.4,1603,763.6,1126.7,742.1,1549.9,813.4,1326.7,573.3,1254.5,668.9,1301.7,984,1576.1,737.4,912,788
25,001,2194,3479,3100,50,91,25,27,0,70,116,2787,2536,38,54,21,17,0,60,61,1085.3,904.2,1356.9,914.5,899.9,867.2,1316.2,945.2,1320.5,454.7,1059,741.9,1085.3,804,1336.2,904.2,977.4,930.1
25,001,2195,3945,3629,65,69,15,45,0,22,100,3054,2863,45,39,14,34,0,16,43,1231.2,1020.7,1545.9,1046.7,1104,946.7,1530.1,1081.7,1535.6,564.6,1284.9,845,1231.2,984.2,1537.1,1020.7,1109,1064
25,001,2196,3748,3356,102,80,16,41,3,43,107,2949,2698,73,51,11,33,3,31,49,1168.4,834.3,1447,855.2,979.7,796.5,1406.5,879.2,1320.5,479.7,1138.1,697.8,1168.4,865.9,1426.4,834.3,938,866.7
25,001,2197,2878,2700,45,30,8,11,2,41,41,2537,2415,34,18,5,6,2,34,23,1163.9,817.4,1474,829.6,996.5,830.7,1408.9,906.7,1385.9,449.5,1158.7,717.7,1163.9,868.5,1438.5,817.4,976.8,868.3
25,001,2198,2938,2760,41,32,7,18,0,28,52,2463,2333,28,24,6,13,0,24,35,1145.3,843.5,1461.2,858,1052.5,844.9,1442.5,917,1477,428.6,1186.9,744.8,1145.3,888.8,1451.2,843.5,1021.5,886.4
25,001,2199,3336,3123,38,55,7,39,0,15,59,2759,2632,24,33,6,25,0,13,26,1210.9,945.9,1567.9,916.4,1075,912.7,1539.4,972.8,1530.9,460.3,1218.6,798.6,1210.9,918.5,1553.8,945.9,1080.6,944.1
25,001,2200,3091,2764,64,61,15,12,0,105,70,2512,2275,44,43,11,7,0,94,38,1040.2,687,1330,758.3,910.1,675.7,1324.1,804.4,1198.6,427.2,1047.7,588.2,1040.2,794.9,1327.3,687,820,782.2
25,001,2201,3241,2827,90,67,71,23,3,39,121,2639,2360,65,45,54,20,2,27,66,1153.7,856.3,1478.7,886.1,1021.9,833.3,1461.2,918,1481,398.2,1175.3,733.6,1153.7,865.3,1470.1,856.3,1015.7,901.9
