state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,pre_20_rep_tru,pre_20_dem_bid,uss_16_rep_sco,uss_16_dem_dix,uss_20_rep_gra,uss_20_dem_har,gov_18_dem_smi,gov_18_rep_mcm,atg_18_dem_ana,atg_18_rep_wil,sos_18_dem_whi,sos_18_rep_ham,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20
45,057,004,852,598,240,7,1,0,0,0,6,663,458,199,3,1,0,0,0,2,248.5,185.3,306.8,142.1,242.5,174.1,300.1,143.5,144.8,178.9,136.8,189.8,138.1,189.3,180.2,139.7,142.6,245.5,186.3,303.5
45,057,005,2235,486,1628,104,2,2,0,2,11,1693,422,1195,63,1,2,0,0,10,101.9,517.8,149.4,640,106.9,488,137.8,646.9,441.3,74.7,425.7,79,435.40000000000003,87.9,503.2,434.8,643.3,104.5,80,143
45,057,006,2794,1678,1008,83,4,3,0,2,16,2173,1375,743,42,3,3,0,0,7,657.6,519.3,1001.5,687.6,615.4,550.6,968,708.7,459.8,576.1,414.2,615.2,406.4,632,534.8,426.3,698.5,636,607.9,984.8
45,057,007,2602,2303,238,27,9,9,0,0,16,1943,1725,183,14,5,8,0,0,8,921.1,172.4,1024.3,206.5,813.7,241.6,990.9,224.5,187,651.1,134.6,677.8,136.5,699.1,206.7,152.6,215.2,867.7,676.2,1007.6
45,057,008,2315,1728,513,49,2,2,0,0,21,1815,1383,382,38,1,2,0,0,9,619.8,352,763.8,414.2,584.1,351,745.1,434.2,352,496.1,294.2,518.9,296.2,552.9,351.7,314.1,424,601.5,522.9,754.7
45,057,009,2763,1622,935,166,5,7,0,0,28,2046,1309,620,98,4,6,0,0,9,443.9,462.2,509.7,459.6,399.6,478.5,490.9,471.2,344,278.8,316.1,298.4,311.5,315.1,470,323.4,464.8,421.4,297.5,500.8
45,057,010,4578,2179,1796,468,19,17,0,6,93,3220,1749,1133,276,15,10,0,5,32,434.7,524.4,518.1,640.8,388.4,530.1,487.7,664.5,417.7,301.5,383.6,313.4,394.2,327.4,527.1,397.3,650.9,411,314.4,502.5
45,057,011,1856,1189,631,3,7,5,1,6,14,1458,945,499,2,4,4,0,0,4,533.4,297.2,584.3,302.6,501.7,302.3,560.9,311.6,248.5,423.1,227.4,436.5,232.8,442.2,299.7,235.8,306.7,517.6,434.9,572.6
45,057,012,2685,2008,598,45,4,11,0,7,12,2176,1659,465,29,4,10,0,3,6,608.9,329,823.9,450,548,343.7,773.3,486.1,312,452.9,282.2,470.3,282.2,488.8,336.5,291.9,467.90000000000003,578.6,470.6,798.3
45,057,013,2147,1662,440,23,6,11,0,0,5,1669,1311,330,17,4,6,0,0,1,629.9,338.6,877.6,458.3,621.1,320.8,868.1,474.7,316.2,553.8,277.4,573.2,271.9,602,329.8,288.2,466.6,625.3,576.6,872.5
45,057,014,2955,1912,935,35,19,12,0,6,36,2193,1466,680,16,14,8,0,1,8,655.7,446.3,701.5,381.8,613.7,410.7,671.1,401.1,333.3,483.7,292.2,510.4,292.6,522.6,429.5,305.2,389.7,634.6,506.5,686
45,057,015,2050,1770,237,23,2,2,0,0,16,1605,1396,187,11,2,2,0,0,7,833.6,210,884.3,194,795.1,227.6,855.1,209,198.6,634.5,160.9,657,153.8,675.9,218,172,201.3,814.5,656.5,870
45,057,016,3066,996,1965,56,0,14,0,9,26,2323,849,1405,40,0,8,0,5,16,269.6,554.9,431.4,726.2,272.2,518.7,416.9,738.8,422.3,232.3,396.7,241.4,386.2,265.1,535.5,401.2,733.2,271,245.4,424
45,057,017,1735,860,690,110,2,49,0,4,20,1278,683,472,74,1,37,0,0,11,210.3,286.7,294.6,337.2,185.3,297.9,281.3,349.6,248.3,177.7,215.8,196.1,219.1,209.6,292.7,227.8,344,198.2,194.9,287.6
45,057,018,3548,2105,900,475,6,0,1,21,40,2563,1635,648,260,6,0,1,5,8,786.2,471.9,979.1,588.9,710.4,507.9,929.2,628.4,446.4,566.8,392.9,598,386.40000000000003,620,489.3,408.3,608.7,748.5,594.9,954.1
