state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,pre_20_rep_tru,pre_20_dem_bid,uss_16_rep_you,uss_16_dem_bay,uss_18_rep_bra,uss_18_dem_don,gov_16_rep_hol,gov_16_dem_gre,gov_20_rep_hol,gov_20_dem_mye,atg_16_rep_hil,atg_16_dem_arr,atg_20_rep_rok,atg_20_dem_wei,sos_18_rep_law,sos_18_dem_har,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20,ndv,nrv
18,093,00330,1231,1203,0,9,7,0,0,0,12,945,923,0,7,7,0,0,0,8,363.7,101.2,405.9,131.2,313.4,139.5,276.6,105.6,284.5,174.6,358,86.4,353.9,105.2,394.4,135.6,293.3,83.7,130.3,94.7,117.7,328.6,285,385.6,117.8,338.3
18,093,00340,1159,1135,0,6,7,4,0,2,5,891,877,0,5,2,2,0,0,5,479.2,126.1,531,145.7,428.1,172.2,365.8,146.9,398.6,215,462.9,97.6,466.8,134.6,508.8,145.7,390.1,123.1,162.1,134.8,129.9,443,378.4,500.9,145.3,447.90000000000003
18,093,00350,1543,1502,5,13,8,0,1,0,14,1175,1145,4,8,7,0,1,0,10,504.8,153.8,593.7,150.1,435.8,191.3,393.9,156.2,422.9,228.4,478.8,117.8,481.6,158.9,593.7,143.8,429.3,121.9,183.1,138.4,137.1,461.6,411.5,555.5,157.9,481.6
18,093,00360,1928,1868,6,18,4,9,0,1,22,1415,1381,6,7,1,8,0,0,12,628.2,195,711.7,252.9,558.2,245.9,472.9,205.79999999999998,521,297.9,633.8,172.1,611.1,200.1,694,238,501.1,174.9,234.70000000000002,190.3,220.8,579.6,487.2,680,220.2,592.5
18,093,00370,1645,1583,14,24,3,8,0,0,13,1328,1281,11,19,3,5,0,0,9,459,139.9,413.5,159,377,193.9,314.9,145.7,373,203.3,387.2,108,429.3,147.6,404.8,147.6,354.3,121.39999999999999,171,133.5,137.8,409.4,334.7,401.8,151.5,390.5
18,093,00380,696,673,0,7,1,4,0,0,11,534,519,0,4,1,4,0,0,6,229.6,50.8,254.9,55.8,200.7,69.1,183.7,59.2,198.3,76.6,211.9,50.8,226.4,51.4,236.3,66.1,193.3,47.4,61.800000000000004,53.199999999999996,57.5,213.6,188.8,234.7,58.6,214.4
18,093,00390,1727,1688,10,9,10,2,0,0,8,1343,1316,3,7,10,2,0,0,5,490.5,122.8,586.7,140.1,426.4,164.70000000000002,397.1,122.8,380.3,219.6,477.5,113.2,474.4,124.3,569.8,137.3,417.2,103.9,157.5,113.2,131.1,442.2,407.8,544.7,138.2,469.4
18,095,00010,2341,2290,3,19,8,8,0,0,13,1806,1782,2,8,3,7,0,0,4,880.2,287.1,851.3,297.9,793,369.5,672.1,323.9,767.8,416.9,742.9,205.6,906,285.2,847.6999999999999,308.8,728.2,277,339.8,300.3,271,837.1,700.3000000000001,814.2,308.3,798.5
18,095,00020,1536,1489,7,17,3,2,0,0,18,1137,1110,4,11,3,2,0,0,7,537.7,143.6,476.8,168.6,464.8,193.8,375,172,454.8,218.6,409.1,113.7,533.8,145.2,472.6,179.1,387.9,150.9,175.5,161.5,154,498.1,381.6,453.2,164.9,456.7
18,095,00030,15,15,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,3,0,1,0,3,0,2,0,3,0,1,0,3,0,0,0,2,0,0,0,0,3,2,0.7,0,2
