state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,pre_20_dem_bid,pre_20_rep_tru,uss_18_dem_bro,uss_20_dem_str,uss_20_rep_wei,atg_18_dem_rac,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20,ndv,nrv
11,001,02-034,6731,5119,361,474,7,581,2,21,166,6494,4961,346,453,7,555,2,21,149,3753.2,203.9,4133.0999999999995,253,2442,3224.1,309,2997.9,3753.2,2720,3678.5,203.9,NA,280.9,3310.1,255.39999999999998
11,001,02-035,5593,3373,893,877,18,254,3,32,143,5170,3249,802,724,16,232,3,28,116,3168.3,72.9,3310,126,1901,2542.9,182,2473.9,3168.3,2187.1,2926.5,72.9,NA,154.20000000000002,2679.5,126.7
11,001,02-036,8306,2226,3517,2058,13,288,4,21,179,7006,2149,2836,1563,11,269,4,16,158,3386.9,107.8,3654.9,179.9,1997.1,2965.1,206.9,2357.9,3386.9,2177.5,3309.6,107.8,NA,193.6,2872.5,164.9
11,001,02-037,5971,943,3954,679,15,186,1,12,181,5395,902,3598,531,14,176,1,12,161,2445.8,55.9,2669.9,87.3,1518,2128,136.1,1779,2445.8,1648.3,2398.8,55.9,NA,111.6,2108.2,93.1
11,001,02-038,4627,772,2180,1491,9,115,1,10,49,3739,751,1696,1128,7,106,1,9,41,2132.1,61,2450,103.10000000000001,1392.9,1920.9,139.1,1644.2,2132.1,1518.6,2185.4,61,NA,121.2,1908.1,101
11,001,02-039,6814,3115,1610,1656,17,242,2,27,145,5795,2835,1248,1345,13,227,2,15,110,3238,70.1,3314,123.2,1857.8,2488,156.8,2446,3238,2151.8,2901.2,70.1,NA,140,2668.6,116.7
11,001,02-040,6772,3111,1449,1616,18,349,2,22,205,6014,2881,1318,1297,17,318,2,21,160,3204.1,100,3033.8,140.9,1804.1,2276.1,165,2451,3204.1,2127.5,2655.2,100,NA,152.9,2553.7,135.2
11,001,02-041,6490,1551,1947,2565,16,265,0,16,130,5462,1486,1620,2001,9,227,0,14,105,2720.9,78.9,2869.1,140.1,1659,2327,144.9,1978.2,2720.9,1818.9,2598,78.9,NA,142.3,2310.9,121.3
11,001,02-042,2888,870,911,950,4,78,5,14,56,2439,830,754,720,3,70,5,13,44,1471.1000000000001,28.1,1525.1,56.9,858,1258,62.8,1078.1000000000001,1471.1000000000001,968.2,1391.5,28.1,NA,59.7,1238.2,49.3
11,001,02-043,2386,452,1327,538,5,38,0,5,21,1986,419,1111,393,4,37,0,4,18,1356,24,1477.1,44.1,870.9,1211.8,50,1075,1356,973.1,1344.5,24,NA,47.1,1198,39.4
11,001,02-044,6079,1292,3697,847,28,94,4,7,110,5231,1268,3142,607,26,89,2,7,90,1970.1000000000001,157.9,2166.1,161.1,1277.8,1837.9,137.3,1358.1,1970.1000000000001,1318.5,2001.7,157.9,NA,149,1722,152.2
