state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,pre_20_dem_bid,pre_20_rep_tru,uss_16_dem_wyd,uss_16_rep_cal,uss_20_dem_mer,uss_20_rep_per,gov_16_dem_bro,gov_16_rep_pie,gov_18_dem_bro,gov_18_rep_bue,atg_16_dem_ros,atg_16_rep_cro,atg_20_dem_ros,atg_20_rep_cro,sos_16_dem_ava,sos_16_rep_ric,sos_20_dem_fag,sos_20_rep_tha,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20
41,051,3,181220,124949,8166,20015,1495,18487,1091,336,6681,141750,104155,5291,12381,1185,14190,722,252,3574,65689.5,15160.1,83522.8,19365.8,64164.9,11856.5,81372.6,17626.1,64033.3,17519.8,64796,17259.4,64135.8,15181.1,79383.5,18584.6,52856.8,21190.3,73595.3,19572.8,62176.9,64796,79464.8,16185.8,17259.4,18779.1
41,051,4,194609,132489,7947,32952,1499,11733,1339,318,6332,143728,105169,5482,19039,1135,8684,824,198,3197,40282.1,30650.4,55045.5,38568.4,44805.7,24215.9,53852.9,36145.7,39310.6,32553.1,36047.6,31173.2,40726.4,28924.8,51227.2,37315.3,32683.1,34128,47323.2,38387,39565,36047.6,51862.9,30093.5,31173.2,37603.4
41,053,NA,75403,60702,394,9088,1380,1403,201,79,2156,57070,47926,291,5320,980,1106,154,61,1232,16413.7,18935.1,22916.3,23727.6,19251.8,16687.6,22888.7,22927.9,15960.8,21841.9,15528.3,19338.3,17704.1,18828.5,21898,23259.6,13883.7,21190.9,19520.6,24641.4,16643,15528.3,21807.3,19489,19338.3,23638.7
41,055,NA,1765,1616,2,98,21,3,1,6,18,1416,1331,1,47,17,3,1,4,12,202.6,732.9,259.1,921.5,442,498.3,303.5,845.5,234.9,721.9,191.6,735.2,257.5,641.4,256.9,872.6,188.4,708.8,237.9,887.2,265.3,191.6,263.7,661,735.2,881.8
41,057,NA,25250,21902,62,2284,220,223,56,25,478,20245,18210,46,1265,172,190,40,15,307,5770.6,6536.5,8066.7,8356.3,7184.4,5098.7,8324.9,7771.1,6150.2,6601,5614.9,6604.5,6515.3,5957.5,7901.6,7870,5085.3,6810.7,7167.9,8261.8,6142.6,5614.9,7865.3,6197.3,6604.5,8060.7
41,059,NA,75889,52691,557,18107,2383,626,95,55,1375,55689,41489,478,10651,1714,502,59,40,756,7670.9,17061.7,10704.5,21272.2,11280.2,12900,11256.8,19875.7,8537,16269.4,7081.6,15181.1,9128.2,15361.3,10390.4,19971.1,6610.4,16793.1,9173.3,20960.9,8645.3,7081.6,10378.3,15675.6,15181.1,20518.7
41,061,NA,25748,23407,126,1002,255,204,223,49,482,19951,18438,92,608,197,162,157,28,269,3250.7,8434,4252.4,10293.4,5299.2,6367.4,4547.8,9675.1,3405.2,8563.8,2874.2,7984.1,3870.7,7680.1,4171.4,9749.8,2833.3,8350,3765.9,10046.7,3730.4,2874.2,4187.6,7879.4,7984.1,9942.7
41,063,NA,7008,6625,26,156,38,24,6,7,126,5689,5440,15,103,28,20,2,6,75,1115.2,2847.3,1622.3,3402.7,1766.8,2238.3,1701.1,3269.5,1253.9,2839.4,1084.3,2664.2,1296,2645.4,1549.2,3106.7,1001.4,2856.7,1382.3,3455.4,1287.1,1084.3,1559.8,2683.3,2664.2,3308.6
41,065,NA,25213,19556,85,3743,1018,191,142,16,462,19365,15904,57,2158,718,154,96,14,264,4781.8,5832.6,6605.5,7039.5,6511.6,4129.2,6717,6573.3,5059.7,5875.2,4602,5843.4,5180.5,5313.7,6316.6,6773.5,3966.7,6006.4,5958.3,6835,5098.5,4602,6403.3,5427.9,5843.4,6807.1
41,067,NA,529710,369453,8861,83270,2559,45354,2269,940,17004,393872,291219,6169,50070,1919,34100,1587,569,8239,153203.5,83164.6,209754.6,99019.5,158631.6,78152,201902.3,97750.2,143242.9,102236.4,137854.9,97233.1,145539.8,92369,194445.8,101939.8,118860.5,111183.7,174782.6,108336.3,143885,137854.9,195217.1,93419.2,97233.1,101763.7
41,069,NA,1441,1307,0,62,16,8,2,5,41,1182,1100,0,40,10,5,2,3,22,156.1,590.4,218,711.1,354.4,384.9,261.2,646.6,194,576.2,159.4,593.7,214,500.7,231.5,658.8,147.5,585.5,211.7,678.6,212.8,159.4,230.7,528.9,593.7,672.4
41,071,NA,99193,78448,784,14592,1272,1418,163,143,2373,74364,61275,589,8844,959,1099,136,88,1374,19305.4,23256.4,27178.4,29557.4,22811.7,20159.6,26896.8,28179.3,18888.5,25784.7,17933.2,24420.6,20400,22738.2,25534.2,28443.5,15700.1,26107.8,22412,30176.4,19429.8,17933.2,25503.6,23610.6,24420.6,29085.2
