state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,pre_20_rep_tru,pre_20_dem_bid,uss_18_rep_wic,uss_18_dem_bar,uss_r18_rep_hyd,uss_r18_dem_esp,uss_20_rep_hyd,uss_20_dem_esp,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20,ndv,nrv
28,005,404,614,484,119,6,2,2,0,0,1,482,387,87,3,2,2,0,0,1,391.9,53.8,392.8,53.8,300.5,35.6,273.7,44.2,382.2,61.199999999999996,53.8,35.6,56.9,391.9,300.5,387.1,49.6,348.2
28,005,501,765,373,388,1,0,0,0,2,1,542,263,277,1,0,0,0,0,1,170.9,148.5,194,152,138,93,122.5,108.8,187.8,156.9,148.5,93,154.3,170.9,138,191.1,131.8,162.6
28,005,502,967,660,293,7,0,1,0,0,6,739,515,215,3,0,1,0,0,5,281.7,155,293.5,147.3,207.7,117,190.9,126.5,287.8,156.8,155,117,152,281.7,207.7,290.8,139.9,252.3
28,005,503,231,101,125,5,0,0,0,0,0,190,90,98,2,0,0,0,0,0,67.9,63.3,69.6,64,48.5,49.9,43.7,51.3,67.39999999999999,67,63.3,49.9,65.7,67.9,48.5,68.2,59.2,59.300000000000004
28,005,504,900,519,364,7,0,2,0,0,8,735,432,289,7,0,2,0,0,5,359.2,176.1,403.1,169.1,280,136.3,235.7,143.3,388.3,184.5,176.1,136.3,176.6,359.2,280,395.7,162.2,332.9
28,007,101,1922,1064,776,56,5,1,3,0,17,1425,828,547,30,4,1,3,0,12,400.3,317.4,396.9,357.2,296.2,220,254.7,272.3,362.4,396,317.4,220,376.2,400.3,296.2,379.8,312.5,342.2
28,007,102,2002,1326,656,5,2,4,0,0,9,1535,1029,495,2,2,4,0,0,3,751.5,314,767.5,331.6,548.2,234.3,526.1,273.6,739.9,365.5,314,234.3,348.3,751.5,548.2,753.8000000000001,304.5,666.5
28,007,201,482,319,154,6,0,0,0,1,2,378,260,112,4,0,0,0,0,2,138.6,86.4,131,88.3,97.8,65.5,90,64.3,124.9,93.4,86.4,65.5,90.9,138.6,97.8,127.8,79.60000000000001,116.2
28,007,202,532,382,135,8,1,0,0,2,4,382,277,95,5,1,0,0,2,2,201.4,60.9,208.1,65.4,152.3,56.9,136.9,56.8,195.9,74.8,60.9,56.9,70.1,201.4,152.3,201.8,63.2,179.1
28,007,203,258,220,32,6,0,0,0,0,0,189,161,26,2,0,0,0,0,0,120.1,9.8,131.3,17.6,87.10000000000001,9.9,82.1,8.3,126.7,21.1,9.8,9.9,19.4,120.1,87.10000000000001,129.1,13.3,109.4
28,007,204,2378,571,1721,57,3,4,0,0,22,1656,427,1177,40,3,3,0,0,6,234.1,660.1,246.9,726.5,181.8,484.9,153.5,564.7,227.8,752.5,660.1,484.9,739.4,234.1,181.8,238,637.7,209.2
28,007,301,430,417,4,6,0,0,0,0,3,328,321,3,3,0,0,0,0,1,195.4,10.1,202.3,8.5,135,6.7,135.8,8.5,194.5,13.700000000000001,10.1,6.7,11.3,195.4,135,198.9,9.1,172.6
28,007,302,506,457,38,6,0,1,1,0,3,375,343,27,3,0,1,0,0,1,200,29.2,218.9,23.2,148.7,20.7,145.1,23.6,216.4,27.4,29.2,20.7,25.6,200,148.7,217.5,24.5,186.2
28,007,303,418,247,170,0,0,0,0,0,1,316,197,119,0,0,0,0,0,0,135.5,82.9,133.9,83.7,97.9,66.3,95.5,77.8,128.3,90.8,82.9,66.3,87.2,135.5,97.9,131.6,80.7,118.1
28,007,304,573,457,86,30,0,0,0,0,0,410,332,62,16,0,0,0,0,0,215.6,26.6,232.2,30,153.2,23.5,156.20000000000002,23.8,220.6,37.2,26.6,23.5,33.4,215.6,153.2,226.5,28,195.6
28,007,305,2275,1028,1169,41,7,20,0,0,10,1574,794,732,25,5,14,0,0,4,343.4,292.1,385.1,315.7,261.7,188.6,237.4,240.3,352.1,342,292.1,188.6,328.7,343.4,261.7,369,275.9,315.5
28,007,306,492,352,125,9,3,1,0,1,1,373,266,98,7,1,1,0,0,0,84.4,63.5,95,67.9,64,40.2,58.3,51.6,86.39999999999999,74.2,63.5,40.2,71.1,84.4,64,90.7,59.4,77.7
28,007,401,622,235,374,6,1,0,0,0,6,473,199,265,5,1,0,0,0,3,127.8,146.5,144.5,156.1,105.5,95,90,123.9,135.9,164,146.5,95,160,127.8,105.5,140.3,137.4,120.8
28,007,402,585,277,305,1,1,0,0,0,1,461,235,224,1,1,0,0,0,0,146.7,126.8,153.5,137.4,115.6,79.5,123.4,109.10000000000001,153.4,143.1,126.8,79.5,140.2,146.7,115.6,153.5,119.3,138.4
28,007,403,1463,441,1007,8,1,1,0,1,4,1078,354,713,6,1,1,0,1,2,232.9,529.8,260.3,530.1,214.1,360.5,189.5,464.6,243,553.4,529.8,360.5,541.6,232.9,214.1,251.4,487.5,227.7
28,007,404,685,178,505,0,0,1,0,0,1,533,155,377,0,0,1,0,0,0,66.7,138,74.6,161,59.2,87,52.800000000000004,114.9,65.3,170.7,138,87,165.6,66.7,59.2,69.6,134.4,63.8
28,007,501,315,287,27,0,0,0,0,0,1,230,214,16,0,0,0,0,0,0,114.3,11.4,137.3,11.5,96.60000000000001,7.5,95.5,9.9,132.8,14.4,11.4,7.5,12.7,114.3,96.60000000000001,135.1,11.3,115
28,007,502,561,409,147,3,0,1,0,0,1,430,319,106,3,0,1,0,0,1,167.1,69,195.2,83.2,135.4,44.1,129.2,56.5,183.7,87.9,69,44.1,85.6,167.1,135.4,188.8,68.6,162.7
28,007,503,634,540,82,6,1,3,0,0,2,510,438,63,4,1,2,0,0,2,245.6,22,248.2,31.6,173.2,13.7,170.4,18,234.4,35.7,22,13.7,34,245.6,173.2,240.4,24.2,215.1
28,007,504,1701,1190,420,61,7,16,0,1,6,1269,941,277,31,7,9,0,1,3,571.4,166.2,600.1,231.4,451.1,130.9,408.4,173.9,567.6,258,166.2,130.9,244.7,571.4,451.1,583.7,192.1,520
28,007,505,730,469,247,8,3,0,0,0,3,553,369,176,4,2,0,0,0,2,207.4,98.3,216.2,100.1,155.8,66.2,145.5,83.4,197.3,124.6,98.3,66.2,111.5,207.4,155.8,207.3,95.1,184.8
28,009,101,1662,486,1114,56,1,0,0,0,5,1207,402,777,24,1,0,0,0,3,185.8,594.2,245,595.5,149.7,386.8,115,419.8,220,616.9,594.2,386.8,606.2,185.8,149.7,232.9,522.4,183.29999999999998
28,009,102,1770,737,968,26,7,1,0,9,22,1367,612,717,12,5,1,0,7,13,292.3,464.1,378.7,413.7,225.7,280.9,189.4,328,336,457.3,464.1,280.9,434.8,292.3,225.7,357.4,388.9,284.8
28,009,103,1725,1135,537,31,4,4,1,1,12,1353,927,383,23,4,3,1,1,11,475.9,377.4,514.7,362.8,358.4,236.1,285.9,253.6,459,407.2,377.4,236.1,384.9,475.9,358.4,485.8,328.09999999999997,418.6
28,009,104,1594,1276,287,20,6,0,0,0,5,1229,983,222,14,6,0,0,0,4,581.1,179.5,615.5,194.6,426,117.1,367.3,141.6,569.5,230.4,179.5,117.1,212.6,581.1,426,592.6,172.8,511.7
28,009,105,1978,1595,338,15,7,1,0,0,22,1416,1176,215,8,5,0,0,0,12,715.1999999999999,103.3,817.6,113.5,484.7,67.9,428.7,80.5,735,154.6,103.3,67.9,132.6,715.1999999999999,484.7,776,103.4,635
28,011,101,797,197,565,25,7,0,0,0,3,560,168,364,20,5,0,0,0,3,74.2,202.6,92.4,168.9,72.5,121.8,56,149.4,78.7,184.5,202.6,121.8,175.4,74.2,72.5,85.7,166.1,74.5
28,011,102,586,149,428,3,0,0,0,0,6,458,128,327,2,0,0,0,0,1,64.3,233,55.8,234.29999999999998,60.2,168.4,43,218.1,51.300000000000004,246.9,233,168.4,240.6,64.3,60.2,53.2,220.1,55.3
28,011,103,1168,328,811,13,5,3,0,6,2,994,295,672,12,5,3,0,5,2,63.2,227.2,65.2,228,52.6,161,33.4,181.3,54.2,243,227.2,161,234.6,63.2,52.6,59.1,207.7,53.8
28,011,104,893,241,644,6,2,0,0,0,0,626,203,415,6,2,0,0,0,0,81.1,237.6,83.2,188.2,68,120.5,59.3,174.3,83.2,194.6,237.6,120.5,192.2,81.1,68,83.2,183.2,75.7
28,011,105,301,124,156,16,0,5,0,0,0,234,98,124,8,0,4,0,0,0,71.9,76.6,79.7,65.2,61,50.1,59.4,63.2,78.1,66.3,76.6,50.1,65.7,71.9,61,79.1,64.7,70.2
28,011,106,114,59,45,4,2,3,0,0,1,89,44,36,4,2,3,0,0,0,32.1,4,30,3.1,27.7,3.1,24.8,5.8,26.1,8.9,4,3.1,6.2,32.1,27.7,27.7,5.1000000000000005,27.8
28,011,107,1362,124,1233,0,1,1,0,0,3,914,100,811,0,1,1,0,0,1,39,490,42.3,479.4,44.8,298.9,27.1,383,34.4,497.09999999999997,490,298.9,488.4,39,44.8,38,429.3,37.7
28,011,108,122,23,92,6,1,0,0,0,0,100,17,77,5,1,0,0,0,0,2.4,53.2,3.5,51.5,3.5,38.3,2.2,44.3,2.7,52.800000000000004,53.2,38.3,52.4,2.4,3.5,2.9000000000000004,48.2,2.8000000000000003
28,011,109,410,49,354,4,0,3,0,0,0,281,44,234,0,0,3,0,0,0,19,153.8,26.2,144.8,25.099999999999998,96.89999999999999,16.1,129.1,25.099999999999998,146,153.8,96.89999999999999,145.6,19,25.099999999999998,25.6,134.1,22.4
28,011,110,188,108,77,2,1,0,0,0,0,154,89,62,2,1,0,0,0,0,60.4,23.5,53.7,23.4,47,16.8,38.6,23,50,26.7,23.5,16.8,25.1,60.4,47,51.1,23,50
28,011,201,782,2,779,1,0,0,0,0,0,552,2,549,1,0,0,0,0,0,2.5,257.7,8.8,259,8.1,182.5,0,214.3,2,270,257.7,182.5,264.5,2.5,8.1,5.1,236.6,4.3
28,011,202,1672,1491,89,28,4,38,1,4,17,1344,1215,70,16,2,30,1,2,8,685.1999999999999,117.7,753.1,144.9,602.3,105.9,541.8000000000001,105.9,728.4,165.7,117.7,105.9,154.3,685.1999999999999,602.3,740.1,128.9,662.4
28,011,203,1140,952,146,22,0,13,0,0,7,891,775,86,16,0,11,0,0,3,425,79.8,399.9,118.9,330.8,87.9,295.7,89.2,381.6,138,79.8,87.9,128.5,425,330.8,391,102.6,366.3
