state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,pre_20_dem_bid,pre_20_rep_tru,uss_16_dem_wie,uss_16_rep_mor,uss_20_dem_bol,uss_20_rep_mar,gov_18_dem_kel,gov_18_rep_kob,atg_18_rep_sch,atg_18_dem_swa,sos_18_rep_sch,sos_18_dem_mcc,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20
20,005,00007B,4,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,005,00007C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,005,00008A,1014,901,37,36,10,2,1,0,27,736,676,27,17,7,1,1,0,7,132.7,199.7,150.8,252.7,134.2,201.7,146.3,222.5,134.8,119.8,145.6,130.6,141.2,123,133.3,129.7,148.7,200.4,136,237.1
20,005,00008B,2,0,0,1,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,005,00008C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,005,00008D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,005,000090,1014,957,10,20,3,2,0,2,20,734,712,4,10,3,0,0,0,5,112.5,319.1,116.2,363.1,91.5,340.2,129.5,318.6,165.7,175,249.7,119.39999999999999,224.2,138.4,101.3,139.8,123,329.6,217.2,342.3
20,005,000100,625,611,4,5,1,0,0,0,4,470,459,4,4,1,0,0,0,2,67.7,241.1,72,282,60.6,260.3,83.9,248.20000000000002,102,167.3,226,61.5,213.9,69,64.8,77,76.4,250.9,203.5,264.8
20,005,000110,567,555,0,6,1,2,0,0,3,422,414,0,3,1,2,0,0,2,33.3,239,34.1,283,41.6,235.2,43.5,261.4,57.5,159.8,205.8,34.4,192.2,42.2,35.9,43.800000000000004,36.8,236.4,185.20000000000002,271.2
20,005,000120,236,226,0,8,1,0,0,0,1,180,173,0,6,1,0,0,0,0,17.6,71.6,23.5,84.5,19.6,71.6,26.5,74.5,29.8,37.6,47.8,21.7,47.8,20.3,18.7,23.900000000000002,25.1,71.6,44.7,79.5
20,005,000130,292,279,3,2,2,2,0,1,3,211,202,1,2,2,2,0,0,2,25,105.5,34.5,115,25,105.5,34.5,106.5,41.6,65.6,80.7,38.3,76.5,39.6,25,39.6,34.5,105.5,74.4,109.7
20,005,000140,582,565,1,3,7,6,0,0,0,449,440,0,2,5,2,0,0,0,62.8,209.4,71.9,281.4,60.8,230.8,86.3,242.8,116.8,105.7,176.5,80.1,167.1,81.10000000000001,61.7,92.3,79.2,220,149.6,262.8
20,005,00016A,1267,1213,4,24,5,2,0,3,16,979,949,3,11,3,1,0,2,10,154.7,400,189.6,483.2,167.1,397.8,204.2,426.5,185.1,279.3,320.4,172.3,321.8,150.3,160.8,169.5,196.3,398.8,306.8,456.2
20,005,00017A,441,395,32,1,2,0,0,0,11,341,304,25,1,2,0,0,0,9,68.5,153.4,87.1,175.20000000000002,79.3,151.1,87.1,158.2,92.3,100,121.8,88,116.7,82.8,73.4,88,87.1,152.1,113.1,166.70000000000002
20,005,00017B,15,15,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,2,2,0,0,1,2,0,0,0,0,0,0,0,0,1.5,0,0,2,0,0
20,005,100050,864,833,10,12,3,2,0,0,4,630,608,10,5,3,0,0,0,4,98.3,334.5,118,392.3,105.5,341.7,122.6,373.2,151.4,238.4,295.5,108.9,292,108.9,101.1,123.6,120.4,337.8,276.2,382.7
20,007,000010,7,7,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,1,5,0,3,0,6,0,3,2,1,4,2,3,1,0.5,1.7,0,5.5,2.7,3
20,007,000020,14,14,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,7,0,7,0,6,0,7,0,5,5,0,5,0,0,0,0,6.6,5,7
