state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,pre_20_dem_bid,pre_20_rep_tru,uss_18_dem_men,uss_18_rep_hug,uss_20_dem_boo,uss_20_rep_meh,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20,ndv,nrv
34,001,20004,1296,641,177,409,5,40,1,5,18,957,532,124,256,5,28,1,4,7,196.7,246.2,266.7,315.3,156.5,195.5,262.7,292.5,196.7,156.5,264.8,246.2,195.5,303.8,220.8,262.4
34,001,25001,1597,1164,181,188,10,36,0,0,18,1213,926,140,114,5,20,0,0,8,331.9,446.6,355.3,485.7,239.6,341.2,352.8,458.6,331.9,239.6,353.6,446.6,341.2,472.2,319.7,433.2
34,001,25002,1234,1065,18,117,1,20,0,0,13,925,825,12,68,0,13,0,0,7,185.8,345.8,271,370.4,158,306,269,349.4,185.8,158,269.8,345.8,306,359.7,220.5,342.8
34,001,25003,1748,744,621,327,7,6,1,2,40,1310,590,468,215,7,6,1,2,21,438,239.8,384.2,524.6,308.2,189.2,381.2,495.4,438,308.2,382.6,239.8,189.2,510,378,362.6
34,001,25004,1724,1372,102,196,1,10,2,5,36,1292,1073,72,117,1,8,2,1,18,284.9,397.5,378.7,517.1,195,300.3,375.9,487.9,284.9,195,377.2,397.5,300.3,502.5,308.5,425.2
34,001,25005,853,759,45,35,2,3,0,0,9,690,630,27,23,2,2,0,0,6,167.3,284.4,202.7,276,125.7,224,200.7,260.6,167.3,125.7,201.5,284.4,224,268.3,173.6,261.5
34,001,25006,414,405,2,6,0,1,0,0,0,410,401,2,6,0,1,0,0,0,82.3,153.4,120,164.2,70.1,135.7,119.2,154.9,82.3,70.1,119.8,153.4,135.7,159.5,97.7,152.2
34,001,30101,492,466,2,17,0,6,0,0,1,378,359,1,12,0,5,0,0,1,85.60000000000001,159.2,109.8,217.8,77.2,143.6,103.7,216.7,85.60000000000001,77.2,106.6,159.2,143.6,217.3,94,184.3
34,001,40001,1275,1159,33,38,2,18,0,0,25,1081,996,24,31,1,15,0,0,14,284.3,508.5,439.3,406.09999999999997,221.1,472.2,425.7,390.3,284.3,221.1,432.59999999999997,508.5,472.2,398.1,342.5,444.2
34,001,40002,2670,2240,140,188,5,40,0,2,55,1994,1699,88,137,5,35,0,0,30,518,776.1,810.1,748.9,396.8,627.1,785.7,719.6,518,396.8,797.8,776.1,627.1,734.1,628.4,718.2
34,001,40003,3414,2734,178,252,2,185,1,2,60,2412,1988,119,147,2,133,1,1,21,632.2,818.1,980.3,905.3,492.5,759.1,950.7,870.6,632.2,492.5,965.5,818.1,759.1,887.8,764.2,838.2
34,001,40004,2283,2021,79,101,4,42,0,0,36,1723,1568,51,55,2,33,0,0,14,430.2,741.9,700,647.2,353.4,653.4,679.1,621.7,430.2,353.4,689.3,741.9,653.4,634.4,540.3,665.8
34,001,40005,2389,2113,50,119,2,73,1,1,30,1814,1626,36,73,2,58,0,1,18,533,703.2,737.1,680.8,399.9,678.7,714.5,654.8,533,399.9,725.6,703.2,678.7,667.6,596.1,679.9
34,001,40006,1598,1340,53,86,1,86,0,1,31,1205,1034,38,52,0,69,0,0,12,361.8,526,489.9,452.3,286.1,446.2,474.7,435.09999999999997,361.8,286.1,482.3,526,446.2,443.4,403.09999999999997,464.90000000000003
34,001,40007,3172,2152,231,302,3,419,3,6,56,2184,1530,150,180,2,307,1,2,12,671.5,864,887.4,820.3,531.4,746.1,860.4,788.5,671.5,531.4,873.8,864,746.1,804.5,737.5,804.6
34,001,40008,2305,1252,339,479,2,176,0,0,57,1816,1085,254,312,1,137,0,0,27,564.9,286.1,738.4,682.1,462.9,240.7,715.3,655.5,564.9,462.9,726.9,286.1,240.7,668.7,620.2,466.4
34,001,40009,3563,2419,256,383,1,418,0,5,81,2653,1903,194,234,1,288,0,3,30,936.1,877.2,1078.4,996.6,721.2,772.2,1045.1,957.7,936.1,721.2,1061.5,877.2,772.2,977,945.5,901.2
34,001,40010,4990,2134,512,1009,7,1184,1,4,139,3522,1612,382,642,4,816,0,0,66,1247,702.4,1431.4,1322.8,870.1,567.3,1387.7,1271.5,1247,870.1,1409.2,702.4,567.3,1297.5,1233.3,966.6
34,001,40011,2278,1190,216,194,7,617,0,3,51,1700,904,162,131,4,469,0,2,28,600.1999999999999,409.7,691,638.3,425.8,339.7,669.6999999999999,613.5,600.1999999999999,425.8,680.3,409.7,339.7,625.8,596.5,500
34,001,40012,3740,2030,484,580,9,562,0,4,71,2636,1502,343,365,2,389,0,2,33,811.7,772,1071.4,989.3,623.2,610.2,1038.9,951.9,811.7,623.2,1055,772,610.2,970.4,886,830.8
34,001,40013,600,270,79,135,0,95,2,0,19,479,244,66,89,0,72,1,0,7,184.2,87.9,194.6,180.1,121.1,91,188.8,172.8,184.2,121.1,191.7,87.9,91,176.6,172.1,132.9
34,001,40014,831,195,318,205,8,86,0,0,19,600,160,240,127,6,57,0,0,10,297.4,59.3,243.6,221.5,213.6,54,236.2,212,297.4,213.6,239.8,59.3,54,216.7,247.5,136.9
34,001,40015,3804,1654,453,896,6,659,0,4,132,2798,1340,322,584,5,467,0,1,79,786.4,490.9,1137.3,1050.9,537.3,398.2,1102.2,1009.9,786.4,537.3,1119.7,490.9,398.2,1030.2,891.1,737.5
34,001,40016,2097,1019,322,510,3,193,0,10,40,1579,831,245,323,3,153,0,5,19,516,253,641.5,592.7,340,210.3,622.3,569.8,516,340,631.7,253,210.3,581.1,530,406.3
34,001,40017,2314,1821,95,153,7,188,0,9,41,1764,1436,69,100,4,132,0,4,19,604.5,688,717.4,662.6,480.40000000000003,637.1,694.8,636.9,604.5,480.40000000000003,706.2,688,637.1,649.5,624,656.5
34,001,42101,763,275,148,279,0,39,0,3,19,551,231,109,179,0,23,0,3,6,158.79999999999998,60,196.8,146.6,95.1,61.2,190.1,135.7,158.79999999999998,95.1,193.6,60,61.2,141.1,160.1,100.9
34,001,42102,582,345,70,140,1,13,0,0,13,435,283,45,97,1,8,0,0,1,111.7,124.9,155.1,115.9,87.8,109.89999999999999,149.9,107.2,111.7,87.8,152.4,124.9,109.89999999999999,111.4,125.8,114
34,001,42103,665,433,95,109,2,10,0,0,16,533,362,74,77,1,8,0,0,11,166.9,162.8,190,142,106.6,148.6,184.1,131,166.9,106.6,187.1,162.8,148.6,136.1,161.2,147
34,001,42201,792,487,90,181,1,11,2,1,19,617,408,67,119,1,10,2,1,9,180.7,134,220.1,164.5,140.8,116.7,213.3,152.1,180.7,140.8,216.8,134,116.7,158.4,188.8,141.8
34,001,42202,656,391,71,173,1,1,0,1,18,523,334,54,123,1,1,0,0,10,139.1,142,186.7,139.2,109.9,119.9,180.70000000000002,128.8,139.1,109.9,183.4,142,119.9,134.3,154.1,132.4
34,001,42203,785,330,194,233,0,11,2,0,15,528,261,117,133,0,11,1,0,5,186.3,121.5,188.6,141,112,118.4,182.1,129.8,186.3,112,185.1,121.5,118.4,135.4,167.4,127.5
34,001,45001,1735,1659,16,18,2,28,0,0,12,1321,1281,7,11,2,16,0,0,4,244,676,337,797.2,217.70000000000002,592.5,332.2,767.9,244,217.70000000000002,334.2,676,592.5,782.8,282.5,708.5
34,001,50001,1885,1632,79,127,3,15,3,2,24,1469,1287,67,83,3,13,2,0,14,324.8,548.3,380.1,671.7,240,417.5,365.2,649.1,324.8,240,372.2,548.3,417.5,660.9,327.5,571.7
34,001,5101,1250,1007,55,104,0,39,0,6,39,975,822,43,65,0,29,0,2,14,282.1,383,388,437.1,213,351.9,389.9,419.1,282.1,213,389.3,383,351.9,427.8,318.3,397.6
34,001,5102,1325,1122,74,70,1,46,0,2,10,1122,961,62,46,1,42,0,0,10,256.1,282.8,446.6,503.2,302,319.9,448.59999999999997,482.09999999999997,256.1,302,447.8,282.8,319.9,492.40000000000003,363.4,396.90000000000003
34,001,5103,1406,1186,49,114,4,40,0,0,13,1080,933,31,70,4,34,0,0,8,313.6,460.2,430.2,484.40000000000003,221.5,397.4,432,464.2,313.6,221.5,431.4,460.2,397.4,474.59999999999997,349.6,451.2
34,001,5201,1247,1025,87,87,0,39,0,3,6,1020,845,73,67,0,28,0,2,5,301,378,386.1,356.3,206,335,377.9,342.8,301,206,381.9,378,335,349.6,317.9,352.9
34,001,5202,1889,644,474,213,10,472,0,7,69,1454,565,342,139,9,357,0,2,40,474,236.1,550.6,508.40000000000003,365.2,193.20000000000002,538.4,488.9,474,365.2,544.7,236.1,193.20000000000002,498.4,482,356.7
34,001,5203,1294,1158,49,43,1,26,0,0,17,1008,910,35,29,1,21,0,0,12,315.6,413.1,385.7,373.3,238.3,354.5,380.1,359.4,315.6,238.3,382.7,413.1,354.5,366.6,329.9,375.5
34,001,55001,2568,2160,99,152,0,114,2,6,35,2105,1830,72,100,0,89,1,1,12,664.3,857.1,727.3,693,549.7,751.9,709.3,667.5,664.3,549.7,718.4,857.1,751.9,680,662.6,742.3
34,001,55002,2982,2567,189,134,3,49,0,3,37,2417,2117,147,85,2,41,0,2,23,604.3,1042.6,835,796.2,508.2,925.3,814.3,766.5,604.3,508.2,825.3,1042.6,925.3,780.5,689.9,882.6
34,001,55003,3223,2607,140,210,11,200,0,6,49,2487,2059,102,134,7,156,0,4,25,755.1,825,860.4,821.4,620.2,728.9,839.6,791.3,755.1,620.2,850.1,825,728.9,806,768.9,792.1
34,001,55004,1514,1154,154,154,4,23,1,1,23,1214,960,118,105,4,14,1,1,11,323.5,409.4,419,399.2,234.2,354.2,408.9,384.5,323.5,234.2,414.3,409.4,354.2,390.7,346,386
34,001,55005,7162,3699,711,959,28,1564,0,35,166,5247,2901,492,580,15,1139,0,25,95,1795,1255.4,1812.3,1727.6,1233.1,884,1768.1,1663.6,1795,1233.1,1790.2,1255.4,884,1695.5,1652.3,1382.2
34,001,55006,3852,2595,203,294,14,643,1,9,93,3012,2072,148,193,13,522,1,4,59,879.1,865.8,1040.4,991.6,599.4,731,1014.9,955.1,879.1,599.4,1027.6,865.8,731,973.3,883.1,885.8
34,001,55007,3289,2616,253,233,4,90,1,10,82,3051,2429,246,214,4,82,1,9,66,166.9,307.9,1054.2,1004.2,128.7,261.5,1027.9,967.8000000000001,166.9,128.7,1041.4,307.9,261.5,985.7,594.6999999999999,635.1
34,001,55008,2604,2163,132,147,1,110,0,7,44,2022,1732,89,93,1,79,0,5,23,636.6,722.6,698.5,665.8,525.6,603,681.4,641.1,636.6,525.6,689.9,722.6,603,653.4,635.5,658
34,001,55009,2439,2074,109,141,0,71,1,0,43,2076,1808,101,98,0,50,1,0,18,569.6,751,717.3,683.5,479.3,634.6,699.6,658.3,569.6,479.3,708.3,751,634.6,670.9,616,681.9
34,001,55010,4354,1569,1333,905,7,392,0,10,138,3122,1332,877,534,4,309,0,6,60,969.6999999999999,323.59999999999997,1078.9,1027.8,636.7,282.2,1052,990.1,969.6999999999999,636.7,1065.3,323.59999999999997,282.2,1009,934.1999999999999,655.9
34,001,55011,3362,1760,632,423,1,464,1,13,68,2629,1519,452,266,1,345,1,8,37,918.3000000000001,601.6999999999999,908.2,865.6,660.6,487.7,885.9,833.6,918.3000000000001,660.6,897.3,601.6999999999999,487.7,849.3,843.2,697
34,001,60001,2199,1595,216,187,0,135,0,2,64,1561,1161,154,116,0,95,0,1,34,525.1,527.4,608.2,509.5,373.5,439.8,597.5,487.5,525.1,373.5,602.9,527.4,439.8,498.3,526.2,490.6
34,001,60002,2773,2273,176,193,11,62,0,2,56,2130,1789,132,114,9,58,0,1,27,536,821.8,830.5,695.1,432.2,766.1,815,665,536,432.2,823.4,821.8,766.1,679.3,652.9,735.9
34,001,60003,1427,911,321,139,1,6,1,0,48,1043,683,256,77,1,5,1,0,20,323.6,311.3,406.7,341.1,240.6,257.4,399.5,324.7,323.6,240.6,403.3,311.3,257.4,330.1,342.9,310
34,001,60004,2999,905,1015,740,1,223,0,16,99,2186,762,739,455,1,167,0,15,47,779.8,195.5,852.4,713.3000000000001,545.5,146.7,836.5,682.6,779.8,545.5,844.5,195.5,146.7,697.9,753.6,434.70000000000005
34,001,60005,1924,1164,391,281,2,17,0,9,60,1324,874,236,164,2,13,0,6,29,362.8,326,516.2,432.2,288.9,253.9,506.8,413.2,362.8,288.9,511.5,326,253.9,422.6,418.3,356.4
34,001,60006,1832,1386,194,182,5,24,0,2,39,1393,1095,144,124,5,10,0,1,14,356.5,476.1,543.3,455.1,285.3,386.9,533.1,434.9,356.5,285.3,538.3,476.1,386.9,444.1,429.2,437.4
34,001,60007,5428,3688,482,645,4,470,1,1,137,4265,3052,337,450,3,351,1,1,70,1308.8,1257.1,1662.7,1391.7,1100.5,1111.5,1631.8999999999999,1331.8,1308.8,1100.5,1647.3,1257.1,1111.5,1361.1,1425.8,1272.7
34,001,60008,3374,2282,682,302,11,58,0,4,35,2925,1953,640,248,10,52,0,4,18,694.2,650,1140.3,954.4,522.8,557.9,1119.1,913.9,694.2,522.8,1130.3,650,557.9,934.3,868.5,769
34,001,60009,4547,2143,1115,721,2,422,4,8,132,3300,1700,759,450,2,317,4,7,61,1013.2,687.4,1286.5,1076.7,789.3,575.4,1262.6,1030.7,1013.2,789.3,1274.7,687.4,575.4,1053.6,1088.3,842.7
34,001,65001,2208,1850,37,293,0,17,0,0,11,1692,1444,20,204,0,15,0,0,9,356,673.4,441.3,680.2,272.9,594.6,426.8,641.3,356,272.9,433.6,673.4,594.6,660.8,374.1,647.7
34,001,65002,1755,1328,26,346,0,29,0,0,26,1349,1068,21,232,0,17,0,0,11,254.1,481.3,352,542.5,201.2,430.9,340.09999999999997,511.4,254.1,201.2,345.4,481.3,430.9,526.9,286.9,491.4
34,001,65003,980,586,25,351,1,7,0,1,9,729,451,21,245,1,4,0,1,6,154.5,252.9,190,292.9,123.8,211.8,183.70000000000002,276.3,154.5,123.8,186.6,252.9,211.8,284.9,162.9,258.2
34,001,65004,973,450,28,488,0,1,0,0,6,710,365,22,317,0,1,0,0,5,141.7,191.1,185.1,285.5,94.5,146.3,178.9,269,141.7,94.5,181.70000000000002,191.1,146.3,277.4,150,222.9
34,001,65005,2169,1791,19,298,5,37,0,0,19,1720,1454,14,208,2,28,0,0,14,434.5,655,448.9,691.9,315.9,554.8,434.09999999999997,651.7,434.5,315.9,441.3,655,554.8,671.8,408.2,638.8
34,001,65006,1184,826,12,315,0,20,0,0,11,878,632,7,215,0,14,0,0,10,175,236.8,228.9,353.2,117,180.8,221.3,332.8,175,117,224.8,236.8,180.8,343.3,185.79999999999998,276
34,001,65007,1392,1134,20,192,1,26,0,0,19,1066,896,17,124,1,22,0,0,6,225.7,370,278.1,429,181.2,309.6,268.8,404,225.7,181.2,273.5,370,309.6,416.6,238.5,378
34,001,65008,2333,1813,51,413,3,17,0,3,33,1906,1534,48,294,3,14,0,0,13,324,609.8,497.5,766.3,221.8,533.1,480.2,722.4,324,221.8,488.8,609.8,533.1,744.2,381.1,658.3
