state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,pre_20_dem_bid,pre_20_rep_tru,uss_16_dem_lea,uss_16_rep_mil,uss_18_rep_zup,gov_16_dem_min,gov_16_rep_sco,gov_18_dem_hal,gov_18_rep_sco,gov_20_dem_zuc,gov_20_rep_sco,atg_16_dem_don,atg_16_rep_buc,atg_18_dem_don,atg_18_rep_wil,atg_20_dem_don,atg_20_rep_pai,sos_18_dem_con,sos_18_rep_pai,sos_20_dem_con,sos_20_rep_pai,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20,ndv,nrv
50,001,VD19,1777,1723,2,10,1,14,0,4,23,1354,1320,1,7,1,6,0,2,17,538.3,257.6,640.3,334.3,555.7,311.7,228.7,448.8,461.4,359.4,419,290.8,701.7,626.4,248.8,566,207,666.4,283.8,540.5,232.6,616.9,299.9,542.6,489,553.3,319.40000000000003,271.5,405.6,532.2,332.2
50,001,VD2,1218,1157,3,39,2,7,0,2,8,953,911,0,30,2,3,0,2,5,292.2,278.2,391.6,320.7,308.1,320.7,230.3,204.4,442.1,139.1,430.1,135.3,576.8,363,249.7,343.59999999999997,205.9,410.4,267.9,313.5,232.9,359,294.6,291.8,265.2,324.59999999999997,322.7,275.4,365,296.3,320.7
50,001,VD20,486,474,2,5,3,2,0,0,0,391,382,2,5,1,1,0,0,0,149,82.9,216,102.1,170.1,98.10000000000001,78.9,108,165,93.1,160,85,236.20000000000002,165,99,183.1,73,214,69.9,165,82.9,206.9,88.2,147.9,147.1,180.5,111.3,98.8,123.8,159.5,111.5
50,001,VD21,833,795,7,13,2,4,1,0,11,645,622,3,8,2,2,1,0,7,415,74.1,516.7,77.7,418.5,119.8,82.4,337.8,217.1,280.1,242.3,221,380.2,422.9,103.1,434.8,64.3,481.1,78.8,414.2,78.8,470.8,79.8,398.4,376.4,422.6,128.7,117,153.6,400.9,133.1
50,001,VD22,419,399,3,8,1,1,0,0,7,324,312,3,6,1,0,0,0,2,95.1,68,124,84.2,114.2,66.9,46.2,63.2,127,39.9,129.3,43.3,144.8,129.7,49.4,114.89999999999999,44,127,68.9,103,58.2,118.7,68,100.7,85.9,103.1,77.6,69.3,91.4,97.3,79.7
50,001,VD23,2588,2365,74,67,7,23,0,1,51,2006,1842,58,49,7,21,0,1,28,712,326.1,1016,427.9,786.1,391.09999999999997,280.8,542.9,660.2,477.2,623.9,420,1034.2,870,299.4,831.8,255.1,1024,347.8,798.1,295,951.6,364.2,727.6,702.2,852.4,419.3,363.8,543.2,766.1,442.2
50,001,VD3,3894,3743,9,47,3,28,0,6,58,3026,2925,6,31,3,16,0,4,41,1074.8,558.3,1482.2,691.1,1140,665.8000000000001,445,858.4,1022.1,694.1,948.5,625.4,1541.8,1266.5,524.8,1201.2,415.7,1490,556.2,1137.2,481.9,1307.2,604.5,1084.7,1010.8,1226.2,692.6,573.4,848.1,1116.3,704.8
50,001,VD4,1185,1150,4,13,1,5,0,0,12,906,884,2,9,1,3,0,0,7,517.1,147.1,663,144.9,537.2,187.1,134.7,382.9,347.09999999999997,336.1,346.1,267.9,565.8,529.5,161.2,543.5,123.1,646,144.9,523.1,144.1,618.9,158.1,491.3,467.5,548.6,210.4,187.1,253.7,505.9,216.9
50,001,VD5,2775,2645,17,48,4,19,3,0,39,2171,2089,5,40,4,12,0,0,21,893,501.7,1203.2,561.7,973.4,594.2,441.6,613.4,962.7,496.2,888.6999999999999,448.7,1327.5,1078.7,475.8,979,402.4,1247,472.9,906.1,466.6,1145,522.6,889.4,793.7,1011.1,634.1,548.9,721.2,907.8,635.5
50,001,VD6,164,159,1,3,1,0,0,0,0,145,141,0,3,1,0,0,0,0,78.2,30.8,89.8,34,75,41,19.2,66.1,53,57.199999999999996,51,48.199999999999996,75.7,75,36,82,22,86.2,30.8,77.2,28.2,80,34,73.7,72.2,75.7,40.4,29.900000000000002,43.6,74.1,37.800000000000004
50,001,VD7,298,284,0,4,3,2,0,0,5,248,240,0,2,3,0,0,0,3,81.9,29.1,135.9,29.9,98.3,36.1,20,81.9,61.1,62,57.9,56.800000000000004,106,103.2,24.3,99.2,18,126.8,25.7,99.2,20.8,115.9,25.7,91.3,86.8,109.10000000000001,37.6,28.6,47.1,96.60000000000001,37.7
50,001,VD8,323,300,2,3,4,2,0,0,12,262,243,1,2,4,1,0,0,11,74.7,53.7,102.3,57.300000000000004,84.1,64,35.6,58,97.2,43.2,86,48.6,119.2,102.3,44.1,92.3,38.699999999999996,110.2,47.8,82.39999999999999,46.1,95.4,51.3,79.6,72.2,89.2,64.60000000000001,51.9,68.6,81.5,61.5
50,001,VD9,1100,1064,6,10,6,2,0,0,12,895,873,1,6,6,1,0,0,8,217,207.2,296.3,230.3,258.1,211.1,158.9,151.5,332.09999999999997,99.9,269.5,103.7,401.2,272.7,178.5,227,142.8,322.5,182.5,211.1,165.9,271.4,206.5,224.9,179,248.2,231.70000000000002,184.1,255.1,221,223.8
50,003,VD24,2317,2237,8,18,3,16,1,0,34,1868,1817,6,16,2,11,1,0,15,662,435.4,929.4,510.40000000000003,732.5,432.4,305.9,543.6,666.3,451,550.2,384.4,922,646.8,464.1,641.6,324.3,853.1,464.1,662.8,343.7,791.8,463.6,646.9,585,740.9,500.3,380.2,590,663.1,489.9
50,003,VD25-1,7997,7542,107,133,11,96,7,10,91,6392,6079,79,83,11,69,6,9,56,1764.6,970.5,2225.5,1193,1934.7,827.5,585,1627,1279.1,1210.8,1094.9,1138.3,1869.1000000000001,1585.1,844.5,1538.5,629.5,1992.6000000000001,1023.5,1631.4,665.8,1890.1000000000001,1004.2,1728,1460.6,1811.9,980.5,743,1273.3,1685.2,998
50,003,VD25-2,7767,7401,66,141,35,31,4,3,86,6109,5867,48,89,25,29,2,2,47,1596.9,978.8,2143,1280,1814.8,826,587.1,1490.2,1366.2,1049.2,1147.1,1018.4,1915.3999999999999,1459.1,866.5,1388.1,640.3,1958,1094.7,1504.8,714.6,1819.1,1062,1589.8,1314.4,1734.4,1010.6,771.3,1337.8,1568,1040.3
50,003,VD26,2031,1980,8,21,1,5,0,0,16,1637,1607,4,13,1,5,0,0,7,740.2,333.3,997.1,377.2,714.8,407.8,272.4,506,661.3,392,609.5,401.9,927.3,590,446.4,679.6,297.5,834,389.4,681.5,316.4,814.6,401.9,638.6,583.8,762.2,462.9,373.4,523.6,668.5,453.7
50,003,VD27,158,155,0,1,0,0,0,0,2,128,125,0,1,0,0,0,0,2,71.10000000000001,17.8,114.1,17.8,62.099999999999994,39,18.900000000000002,49,54.9,39,59.1,36.1,99,49,46.2,72,21,98,22.099999999999998,73.1,25,98,17.8,57.800000000000004,61.3,86.7,39.5,30.9,39.3,69.2,36.6
50,003,VD28,4391,4177,60,67,4,51,0,2,30,3526,3381,39,41,3,43,0,1,18,1451.4,705.3,1985.1,731.5,1405.4,826.6,603.8,1083.8,1229.8,878.3,1120.7,786.4,1808.7,1214.2,866.2,1305.8,589.4,1669.6,721.3,1305.2,635.7,1624.4,707.7,1287.9,1162.7,1516.2,906.8000000000001,735.9,992.9,1336.9,877.7
50,003,VD29,375,352,0,5,0,3,0,0,15,297,283,0,4,0,1,0,0,9,165.8,54,218.1,71.3,145.5,69.2,43.8,129.2,102.9,97.4,102.9,116.4,167.8,136.8,71.3,139.6,50.6,186.4,76.8,145.5,46,180.6,76.8,144.5,127.6,175.7,74.1,60.7,98.5,150.8,77.5
50,003,VD30,3527,3433,11,34,8,10,0,3,28,2725,2659,8,24,8,9,0,0,17,761.4,678.8,891.9,830.3,914.8000000000001,510.2,411.2,741.9,785.8,491.5,635.1,457,999.4,714.8,542.2,611.2,464.9,836.6,743.9,687.8,506.6,790.3,707.4,783.3,596.8000000000001,743.8000000000001,630.2,504.4,819.8,718,650.1
50,003,VD31,763,752,2,5,0,1,0,0,3,623,614,2,4,0,1,0,0,2,166.3,173.1,203.3,212,190.7,126.8,73.9,159.1,192.4,130,142.9,123.3,249.2,164.1,141.2,151,126.8,186.9,185.4,161.8,126.8,187.3,178.7,170,147.7,175.1,157.7,118.1,206.1,166.2,160.6
50,003,VD32-1,98,96,0,2,0,0,0,0,0,73,72,0,1,0,0,0,0,0,26.5,17.2,33.5,19.2,29.799999999999997,16.1,13.1,21.8,25.4,15.8,24.700000000000003,16.9,33.1,23.9,19.4,25.2,13.7,29.200000000000003,18.4,25.4,14.3,28.7,18.5,25.6,22.2,27.1,19.6,16.5,22.3,25.1,19.5
50,003,VD32-2,616,591,2,9,3,1,0,0,10,514,495,2,8,3,0,0,0,6,186.3,121,235.6,134.4,209.9,113.7,92.4,153.5,178.5,110.60000000000001,174.6,119.2,233.1,168.4,136.7,177.7,96.3,205.6,129.7,178.5,101,202.4,130.5,179.5,155.4,191.2,137.2,116.1,156.7,177.1,136.7
50,003,VD33,405,376,3,10,0,11,0,2,3,318,303,3,5,0,6,0,0,1,98.8,95.2,147,95.8,108.3,85,68.9,95.8,115.1,77.2,98.8,84.2,135.9,100.9,94.2,102,64.8,136.8,89.2,109.9,72.1,112.2,100.9,100.8,96.2,120.3,97.3,75.89999999999999,105.4,106.5,93.2
50,003,VD34,109,105,0,1,0,1,0,0,2,86,84,0,1,0,0,0,0,1,18.9,36,28,36,19.9,29.099999999999998,15,13.9,38,12,18.9,13.9,47,15,27,15,17.900000000000002,23.1,34.1,17.900000000000002,18.9,25.1,33,17.1,15,22.5,32.5,17.7,37.6,18.400000000000002,29.3
50,003,VD35,3590,3457,13,41,2,21,0,0,56,2847,2764,9,32,2,11,0,0,29,948.8,659.3,1342.1,816.3,1022.6,638.6,407.8,814.8,940.8,630.5,814.8,646.3,1331.8999999999999,850.9,656,867.4,509.8,1225.2,754.5,940.2,535.6,1191.7,708.5,907.8,812.9,1102.5,723.5,567.7,902.7,951.7,730.3
50,003,VD36,824,799,1,9,1,0,1,0,13,653,636,1,7,1,0,0,0,8,203.1,237.9,253.8,266.8,226.5,182.1,130.8,192.3,251.3,127.39999999999999,208.9,102,328.6,174.9,206.9,165.3,165.3,223.8,223.8,174.9,156.1,206.9,227.6,198.9,156,196.5,219.6,165.2,261.8,186.7,215.3
50,003,VD37,956,909,2,19,0,3,0,0,23,753,732,0,10,0,3,0,0,8,281,182.6,385.9,240.1,295.90000000000003,175.6,130.9,214.3,291.9,191.2,240.1,159.1,423.3,251.9,185.8,278.3,138.8,364,222,284.7,142.5,358.1,227.89999999999998,260.9,251.20000000000002,316.4,209,163,278.2,278.8,216.8
50,003,VD38,769,736,8,4,3,9,0,0,9,620,599,6,3,3,5,0,0,4,298.9,157.8,473.1,182.6,300.4,166.2,121.6,219.8,281.4,184.9,236.2,188.4,446.3,264.9,194,270.2,137.1,386,194,278.8,142.2,381.6,185.6,270.5,245.6,357.8,199.1,158.6,251.3,296.3,204
50,003,VD39,424,411,0,5,0,5,0,0,3,346,335,0,4,0,4,0,0,3,93.60000000000001,66.1,94.5,96.2,114.39999999999999,49,28.2,83.2,84.9,61.4,67.3,50.7,110,88.1,50,87.4,38.8,94.5,81,88.9,33.5,87.4,78.5,95.2,79.8,81.2,62.8,41.6,91.5,85.7,65.5
50,003,VDBEN1,8,8,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,3,2,4,2,3,2,1,2,3,2,2,2,4,3,2,2,1,3,2,2,1,3,2,2.7,2,3,2.3,1.3,2.5,2.7,2
50,005,VD40,1708,1647,13,12,11,5,0,2,18,1314,1277,3,5,10,4,0,2,13,485.3,355.4,622.5,437.1,533.1,367.8,277.8,367.8,552.4,302.8,473.2,255.29999999999998,769.6,499.6,394.2,473.2,297.4,617.2,381.4,474.9,293.40000000000003,562.4,383.4,470.8,415.9,515.4,417.3,335.4,493.4,473,415.7
50,005,VD41,1753,1690,1,29,9,5,0,2,17,1352,1312,1,20,6,4,0,0,9,382.7,336.4,536.9,367.5,425.8,356.7,240.1,258.3,547.6,239.7,431,181.9,697.8000000000001,403.8,369.9,386.1,279.3,517.2,305.8,401.3,263,486.3,318.3,368,342.2,430.9,403.4,303.5,422.3,383.2,376.2
50,005,VD42,2196,2141,6,10,1,10,0,2,26,1737,1705,3,8,1,3,0,2,15,643.8,493.9,853.6,557.8,712.3,575.2,416,410.6,895.3000000000001,349,751.4,278.2,1133.9,707.9,540.3,668.6,411.3,856.2,467.9,689.9,403.8,800.8,493.4,618.3,569.8,695.9,625.3,494.7,664.9,633.2,595.1
50,005,VD43,1022,990,0,11,0,1,0,5,15,764,738,0,10,0,1,0,2,13,158.2,233.7,246.8,272.2,199.1,256.7,176.1,123,345.9,96.4,289.4,97.4,410.8,217.5,224.5,197.1,183.6,269.7,228,181.8,201.3,234.6,242.9,173.7,157.5,212,265.1,212.9,289,182.9,255.4
50,005,VD44,3010,2884,18,11,17,10,0,1,69,2271,2190,9,11,13,6,0,1,41,651.5,501,931.8,576.6,784.2,514.4,357.3,459.8,879.5,414.9,681.2,395.6,1108.5,761.1,521.1,727.7,363.4,949.4,481.6,729.8,365,848.9,501,664.7,623.9,782.3,603.7,442.2,666.8,696.3,571.5
50,005,VD46,5981,5655,35,76,20,116,0,6,73,4869,4649,27,52,17,75,0,5,44,827.7,884.1,1206.7,1136.1,985.5,928.2,719.7,572.1,1411,440.5,1172.5,422.5,1865.4,963.5,929.2,866.8,754.6,1285,906.7,861.9,724.9,1132.3999999999999,974.4,836.8,722.5,1010.3,1038.3,842.8,1220.9,869.6,1033
50,005,VD47,581,570,0,0,2,0,0,0,9,477,469,0,0,2,0,0,0,6,129.6,116,169,159,142.2,125.2,99.8,78.9,217,88.1,150.5,54.9,259,140.1,143.1,123.9,112,172.1,129.6,120.2,111.2,145.8,143.1,122.8,110.9,134.9,150.2,118.2,172.9,123.9,147.3
50,005,VD48,732,714,3,3,4,0,0,1,7,574,559,1,3,4,0,0,1,6,290.4,113.4,356.7,140.7,290.4,168,113.4,204.2,260.4,198.7,208.6,131.4,365.4,278.6,175.6,299.5,106.4,325.7,114.6,305.2,105.2,312.7,142,265.5,267.5,282.3,179,132.7,190.9,271.9,167.9
50,005,VD49,1174,1140,4,8,2,2,1,1,16,929,904,3,4,2,1,1,1,13,251.7,238.9,328.8,297.5,275.7,241.8,166.6,169.1,375.3,109,310.7,109,491.9,292.7,241.20000000000002,246.1,169.1,324,268.4,237.1,181.5,306,268.8,247.4,197.6,267.4,274.3,207.3,331.9,241.3,270.6
50,005,VD50,7603,7187,54,114,47,89,0,8,104,5959,5681,36,82,38,60,0,3,59,1468.5,1110.1,2033.4,1217.1,1623.3,1175.3,831.1,1033.5,1869.3,883.4,1484.2,836.5,2312.4,1511.5,1322.8,1441.1,912.1,1984.8,1071,1482,865.3,1845,1080.5,1407.6,1269.3,1674.3,1369.2,1022.4,1420.1,1467.5,1270.8
50,005,VD51,703,692,0,1,2,0,0,0,8,555,544,0,1,2,0,0,0,8,110.1,131.2,196.9,163,143.8,125.3,95.7,80,210.1,65,168.6,81.8,255.8,155,122.1,133.3,102.1,190.1,136.1,122.9,105.4,155.9,153.5,122.1,107.4,156.2,147.2,117.6,177.5,130.5,147.4
50,005,VD52,216,204,5,5,0,1,0,0,1,161,154,3,2,0,1,0,0,1,58,22.1,81.6,28.1,68.1,25.1,13.9,45.1,48.800000000000004,55.9,29.9,39.1,70,65.8,25.1,70,12.9,77,25.1,63.3,16.1,74.1,23.8,59.1,63.3,68,30.2,18.1,36.8,63.7,28.5
50,005,VD53,1029,991,0,17,0,0,0,0,21,801,774,0,12,0,0,0,0,15,167.9,219.5,244.8,275,210,211.9,144.5,108,338,80.3,254,98.7,391.9,194.4,225.3,173.9,154.2,269.9,208.9,184.1,147.3,234.3,215.9,169.5,145.7,211.8,249.3,174.6,273,178.7,232.1
50,005,VD54,935,899,3,13,4,5,0,1,10,713,693,1,8,2,1,0,1,7,246.1,167.9,351.6,207.4,301.3,186.3,153.9,185.3,319.3,157.8,259.9,157.8,395,268.6,218.6,263.9,154.7,353.5,183.9,257.1,164.7,318,183.9,250.3,226.3,294.9,223.1,183.3,242.2,260.1,215.9
50,005,VD55,1280,1250,8,12,2,4,0,0,4,980,960,2,10,2,2,0,0,4,292.7,340.7,421.2,387.6,309.2,392,272.3,183.4,533.6,150.3,424.4,141.6,634.9,336,361.8,290.5,268.7,412.4,331.5,289.6,276.90000000000003,376.8,334.3,280.3,244.4,337.6,407,311,422.7,291.3,380.2
50,005,VD56,811,778,0,4,5,2,0,10,12,603,582,0,3,5,1,0,3,9,156.1,175.1,235.9,200.1,201.1,159.8,130.7,126,255.5,124.9,191,112,301.4,182.6,173.8,178.2,130.7,250.8,157,179.3,128,224,172.1,166.9,160.6,205.7,190.9,144.6,207.5,179.4,181
50,005,VT45,493,477,0,5,1,1,0,0,9,375,367,0,2,1,0,0,0,5,123.5,94.89999999999999,187.5,127.4,139.9,104.8,85.1,89.9,160.1,91.1,145.2,75.7,237.8,147.20000000000002,94.89999999999999,142.79999999999998,88.6,183.8,108.8,139,88.6,183.8,106.7,125,124.3,157.6,113.5,101.6,145.2,136.70000000000002,120.3
50,007,VD57,1182,1139,5,11,5,4,1,0,17,923,895,2,7,4,3,0,0,12,389.1,204.9,537.1,217.8,411.2,218.6,155.9,312,353,270.2,332.8,209.1,553.3,473.9,164.2,451.5,131.1,535.8,172.9,436.8,168.70000000000002,505.1,181.5,396.6,386.3,446.3,234.5,196.5,281.4,412.1,238.2
50,007,VD58-1,8780,7763,209,305,15,259,2,20,207,8353,7430,175,288,14,239,2,18,187,1893.8999999999999,140.1,2632.2,179.4,1807,185,128.9,1716.8,395.09999999999997,1893,545.5,1533.1,1176.9,1760.6,163.6,2206.1,139.6,2180,162,2191.1,160.6,2068.1,168.9,1794.3999999999999,2096.7,2103.5,220.8,243.5,421.7,1989.1,295.6
50,007,VD58-2,6106,5205,292,173,18,250,3,13,152,5471,4851,170,145,15,172,3,12,103,1756.6000000000001,149.5,2382.5,181,1713.2,188.5,136.2,1627.8,401.4,1670.7,491.6,1510.4,972.8,1675.3,175.4,1958.3,136.7,1991.7,156.1,1932,159.8,1861.3,158.7,1693.4,1853.4,1936.4,228.8,231,367.1,1825.3,275.6
50,007,VD58-3,6076,4931,384,187,27,372,4,13,158,5286,4472,251,144,24,283,4,9,99,2236.9,257.9,3131.8,304.4,2265.8,302.5,213.5,2129.3,616.9,2001.7,711.3,1978.9,1419.7,2278.5,253.70000000000002,2403.3,196.9,2729.5,254.5,2384.3,236.1,2552.4,274.2,2228,2262.8,2598,357.6,339.6,562.9,2372.1,420.2
50,007,VD58-4,5081,4632,138,92,4,126,4,5,80,4052,3769,81,63,4,85,3,3,44,1801.8,475,2382.6,520.5,1907.2,553,392.7,1504.7,1023.4,1218,1090.9,1106.5,1774.3999999999999,2057.9,368.2,1944.7,307.5,2312.9,386.8,1873.5,379.4,2166.1,426.5,1817.7,1678.5,1992,604.9,542.6,777,1843.3,641.4
50,007,VD58-5,5817,5069,255,169,28,131,3,5,157,4697,4237,142,102,23,99,3,4,87,2510.8,291.1,3086.6,284.4,2530,376.6,270.9,2223,788.9,1907.6,931.6,1602.7,1710.9,2571.8,290.5,2544.2,204.8,2805.4,242.6,2480,258.3,2626.5,268.3,2458.7,2310.4,2530.2,436.4,416.3,626.8,2444.5,493.1
50,007,VD58-6,5156,4761,81,112,9,95,2,10,86,4587,4258,65,98,9,84,2,10,61,2140.4,231.8,2695.6,235.9,2128.5,305.9,223.2,1895.4,638.1,1724.9,764.9,1457.8,1407.3,2140.1,246.8,2241.2,178,2393.3,204.3,2186.4,218.8,2240.6,222.4,2076.2,2050.9,2196.9,355.3,346.2,517.7,2112.9,406.3
50,007,VD58-7,5401,4666,216,106,10,265,2,7,129,4242,3813,99,61,8,194,2,4,61,1954.9,473.5,2638.5,518.9,2055.3,556.6,395.6,1667.9,1030.5,1388.8,1115.4,1282.4,1860.9,2200.5,376.8,2117.7,313.2,2523.5,395.5,2053.2,383.5,2372.4,439.2,1969.8,1853.4,2204.1,609,552.1,803.4,2023.5,654.9
50,007,VD59,3754,3600,16,71,3,29,3,5,27,2787,2695,13,44,2,18,1,2,12,1794,512.3,2285.1,511.6,1826.1,679.1,494,1346.1,1207.3,1055.6,1237.1,837.4,1978.9,1890.2,515,1814.6,409.8,2136.1,464.6,1752.8,466.6,2019,520.3,1714.1,1541,1819.3,728.5,652,868.8,1705,749.9
50,007,VD60-1,9204,8483,144,158,25,266,4,3,121,7701,7126,117,129,21,234,4,2,68,1984,1018.9,2885.9,1200.5,2194.1,1059.7,791.6,1392.6,1957.4,1020.9,1744,952.7,3111.8,2414.8,788.7,2081.9,663.1,2908.7,935.6,2004.2,736,2683,1009.6,1996.3,1701.8,2356.5,1206.3,983.5,1563.2,2047.7,1251.4
50,007,VD60-2,7863,7477,56,112,17,92,1,2,106,6115,5849,39,72,15,70,1,2,67,2716.9,1467.3,3848,1718.1,2975.1,1566.4,1268.9,1970.1,2650.9,1405.2,2581.8,1272.2,4294.1,3364.7,1054.9,2939.7,987.3,3929.7000000000003,1316,2745.4,1177.1,3634.9,1398.3,2756.3,2363.3,3171.5,1685.1,1503.3,2181.7,2800.3,1790
50,007,VD61-1,7998,7405,109,127,8,217,1,13,118,6045,5672,73,77,4,159,1,4,55,2766.8,1237.6,3867.4,1475.5,3011,1448.4,1130.2,1965.9,2570.4,1383.2,2496.8,1223.4,4131.9,3273.6,1089.8,2889.4,931.1,3840.1,1216.2,2716.3,1096.3,3538.5,1330.1,2754,2329.8,3117.2,1586.5,1413.6,2038.7,2770.4,1680
50,007,VD61-2,2318,2171,24,21,6,52,0,0,44,1688,1606,13,14,4,34,0,0,17,848.9,424.90000000000003,1127,451.9,890.2,466,395.1,582.2,816.4,458,764.1,341.8,1230,985.3000000000001,351.90000000000003,904.9,316.1,1125.1,398.1,842.2,364.8,1043,424.90000000000003,826.8000000000001,735,909.3,514.9,460.2,626,831.4,533.6
50,007,VD61-3,9271,8371,144,187,33,357,1,15,163,7102,6556,81,121,20,252,1,7,64,3141,1368.6,4583.7,1489,3385,1615.8,1159.7,2319.5,2786.8,1890.2,2570.7,1521.3,4518.1,3644.2,1247.4,3408.8,992.4,4463.1,1283.3,3283.9,1099.6,4124.9,1361.9,3122.7,2860.9,3673.3,1754.8,1455.4,2162.8,3251.1,1790.8
50,007,VD62-1,4210,4013,15,57,10,29,1,6,79,3215,3099,7,34,8,16,1,4,46,1650.4,597.1,2156,719.1,1745.1,706.1,536,1297,1197.5,1001.7,1194.2,944.2,1934.6000000000001,1893.3,490.1,1707.1,444.7,2151.6,545.5,1649.6,511.3,1964.3,605.7,1646.3,1452.8,1803.9,747.5,671.1,951.1,1650.6,790.5
50,007,VD62-2,186,178,0,1,0,3,0,0,4,143,138,0,1,0,3,0,0,1,76.6,26.3,99.5,29.900000000000002,79.1,30.4,23,62.400000000000006,49.7,50.4,50.6,45.199999999999996,82.2,85.7,22.3,78.6,20.6,99.4,22.4,77.6,22.1,91.3,25.6,76,68.8,83.8,32.3,29.1,40,76.9,33.8
50,007,VD63,1938,1867,11,12,2,16,0,0,30,1460,1416,5,9,2,9,0,0,19,783.9,228.9,1027.7,306.2,884.6999999999999,266.5,201.3,691.6,495.59999999999997,550.5,503.4,440.7,904.9,950.8,195,849.7,181.9,1041,232.8,829.9,210,954.7,263.5,827.5,743.1,866,296.4,274.4,426.9,818.9,332.59999999999997
