state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,pre_20_dem_bid,pre_20_rep_tru,uss_16_rep_ayo,uss_16_dem_has,uss_20_dem_sha,uss_20_rep_mes,gov_16_rep_sun,gov_16_dem_van,gov_18_rep_sun,gov_18_dem_kel,gov_20_dem_fel,gov_20_rep_sun,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20,ndv,nrv
33,015,WNDM01,13592,12763,57,218,26,390,8,6,124,9798,9277,38,128,15,282,4,4,50,4825.5,3505.8,4567.3,5196.5,5225.7,3382.1,4738.4,4877.3,5446.4,2997.2,4218.1,2384.4,2403.4,7240.7,3294.8,2384.4,3903.4,5166.7,4218.1,5771.6,3424.9,5289.2
33,015,ZZZZZZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,017,BARR01,8576,8231,36,112,15,82,0,9,91,6531,6309,29,64,9,67,0,6,47,2469.5,2374.4,3141.9,2733,2539.3,2498.4,3407.7,2428.9,2518,2368.9,2330.9,1903.8,1901.2,3963.2,2413.7,1903.8,2816.9,2509.4,2330.9,3042.4,2515.2,2712.3
33,017,DOVE01,4559,4060,76,100,8,209,2,3,101,3884,3503,63,75,8,167,2,3,63,691.8,1737.2,2165.4,748,764.1,1752.6,2230.8,636.3,786.4,1684.5,628.5,1418.3,1572.6,1318.8,1724.5,1418.3,1989.4,747.8,628.5,901,1794.5,796.4
33,017,DOVE02,4535,4077,111,116,19,117,4,6,85,3765,3443,77,76,14,101,4,6,44,793.3,1713.5,2084.5,836.6999999999999,857.2,1728.7,2155.7,695.9,889.3,1627.9,727.6,1403.5,1500.9,1384.2,1690.1,1403.5,1913.9,846.6,727.6,972.3,1745.1,883.5
33,017,DOVE03,4763,4433,39,44,5,159,3,0,80,3874,3645,30,33,3,122,2,0,39,1227.6,1853.3,2312.4,1328.4,1370,1804.1,2385.4,1202.9,1361.5,1746.1,1338.1,1466.3,1475.2,2120.2,1801.7,1466.3,2057.5,1320.2,1338.1,1550.1,1863.2,1421.4
33,017,DOVE04,5134,4783,60,94,4,118,0,4,71,4060,3848,40,55,4,77,0,4,32,1152.4,1762.8999999999999,2166.9,1201.9,1246.8,1770,2263.7,1050.9,1218.8,1720.2,1135.3,1391.7,1428.3,1888.5,1751,1391.7,1952.8,1205.7,1135.3,1379.9,1786.2,1270.6
33,017,DOVE05,5221,4508,104,167,7,252,1,13,169,3787,3384,53,103,5,170,1,10,61,1019.2,1531.6,1859.1,1106.7,1104.7,1543.4,1939.1,963,1103.5,1495.4,965.3,1190.2,1222.5,1724.2,1524.3,1190.2,1673.5,1075.9,965.3,1264.8,1540,1141.2
33,017,DOVE06,5775,4908,85,139,9,510,2,1,121,4541,3917,81,104,9,367,2,1,60,1131.5,1520.2,1918.8,1110.4,1200.9,1501.3,2034.2,955.6,1205.2,1436.8,1084.8,1184.2,1212.1,1778.5,1486,1184.2,1721.7,1179.7,1084.8,1281.4,1544.1,1209.3
33,017,DURH01,14638,13522,115,300,7,473,2,9,210,13384,12401,107,271,6,412,2,9,176,2450,6501,5970,1712.4,2966.5,6285.8,5835.9,1524.8,2912.7,5895.9,1617.7,4805.9,4331.3,3020.8,6227.7,4805.9,5377.5,2775.9,1617.7,2086.1,5660.3,2314.4
33,017,FARM01,6786,6540,32,52,14,36,7,2,103,5165,5019,20,28,13,25,7,2,51,1784.9,1126.7,1364.2,1999.8,1629.3,1296.9,1571.8,1727.1,1655.4,1205.5,1410,784.6,789.5,2540.8,1208.5,784.6,1242.2,1689.2,1410,2089,1161.8,1820.5
33,017,LEE01,4330,4014,34,70,3,127,1,8,73,3266,3066,21,42,3,90,1,6,37,823.9,1631.2,1957.9,971.6,971.6,1589.9,2003.2,882.6,965.7,1532,896.2,1347.8,1324.9,1579.5,1585.3,1347.8,1762.9,920.7,896.2,1145.1,1627.8999999999999,1012.3
33,017,MADB01,1771,1655,8,18,2,52,1,1,34,1312,1240,6,10,2,38,1,1,14,421.9,631.9,824,454.09999999999997,472,635.9,850.6,415.8,473.5,621.9,451,532.8,556.8,697.3,630,532.8,744.1,456.2,451,522.7,664.9,483.09999999999997
33,017,MIDD01,1783,1727,8,15,7,13,0,0,13,1361,1321,6,12,5,9,0,0,8,602.5,288.9,378,642.7,528.7,343.09999999999997,440.7,562.2,506.8,325,480,217.2,210,815.4,319.4,217.2,343.2,545.5,480,673.8000000000001,315,591.4
33,017,MILT01,4598,4452,21,42,7,11,1,1,63,3543,3457,12,27,5,9,1,1,31,1339.1,847,1015,1474.9,1237.2,946.6,1164.3,1269.1,1274.2,882.1,1142.3,555.4,551.7,1903.7,891.7,555.4,908.9,1283,1142.3,1549.4,851.6,1377.3
33,017,NDUR01,2638,2572,4,22,2,8,0,2,28,2030,1987,3,13,2,7,0,2,16,981.1999999999999,577.9,726.7,1109.1,945.8,649.7,814.5,991.2,939.2,612.5,854.6999999999999,454.6,392.40000000000003,1411.3,613,454.6,644.9,955.2,854.6999999999999,1170.3,604.2,1033.5
33,017,ROCH01,5445,5147,30,75,16,78,2,4,93,4221,4045,24,43,10,60,2,3,34,1503.1,1157,1528.4,1573.4,1406.7,1273.3,1696.3,1377.6,1420.2,1208,1339.2,898.5,870.1,2238.9,1212.4,898.5,1364.7,1443.5,1339.2,1729.8,1233.1,1551.2
33,017,ROCH02,4678,4429,27,90,7,68,0,8,49,3683,3527,21,48,4,52,0,4,27,1321.8,1066.8,1287.1,1382.5,1294.7,1127,1427.8,1178.6,1311.8,1058.3,1194.3,734.7,720.6,1912.5,1084,734.7,1145.4,1309.7,1194.3,1491.4,1060.1,1370.9
