state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,pre_20_dem_bid,pre_20_rep_tru,uss_18_dem_car,uss_18_rep_arl,uss_20_dem_coo,uss_20_rep_wit,gov_16_dem_car,gov_16_rep_bon,gov_20_dem_car,gov_20_rep_mur,atg_18_dem_jen,atg_18_rep_pep,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20,ndv,nrv
10,003,3-7,1675,1476,80,35,7,62,0,1,14,1325,1174,69,22,3,48,0,1,8,653.3,402.4,783.4,391.6,649.6,304.4,782.6,366.6,669.9,372.3,785.4,371.2,643.6,312.9,661.6999999999999,646,783.5,387.8,308.3,376.3,709.7,360.1
10,003,3-8,3451,2345,673,260,3,95,0,11,64,2386,1695,449,156,2,67,0,3,14,948,570.3,1195.5,555.8000000000001,853.8,348.9,1187.3,518.3,982.1,519.4,1169.7,531.7,815.4,394.8,965.1,834.6,1184.1,544.9,371.90000000000003,535.4,1021.9,491.2
10,003,3-9,5558,3904,1205,198,12,112,0,9,118,3762,2737,787,112,8,75,0,2,41,1925,1555.6,2699.1,1761.6,1921.3,1101.9,2701.3,1611,2077.4,1420.3,2700.7,1646.6,1882.9,1166.2,2001.2,1902.3,2700.5,1488,1133.9,1673,2272.3,1466.1
10,003,4-1,2656,195,2264,127,11,11,0,4,44,1950,180,1640,81,6,7,0,4,32,1013.2,45.1,1081.9,62.6,767.9,31.1,975.1,52,914.2,41.8,996.9,53.9,702.9,100.2,963.3,735.1999999999999,1017.8,43.5,65.9,56.1,921.9,55.2
10,003,4-10,1912,1005,621,68,3,168,1,2,44,1551,883,465,48,3,126,1,0,25,594.2,270.9,664.6,236.7,532.6,189.4,645.4,215,596.5,241.3,657.4,210.79999999999998,541,198,595.4,536.8,655.8,256.1,193.9,221,604.4,223.2
10,003,4-11,1581,1339,65,53,6,93,0,1,24,1288,1096,54,44,3,78,0,1,12,512.3,327.5,668.9,329.5,518.1,234.6,674.9,299.7,554,306.5,660.2,329.5,524.1,233.9,533.6,521,668.2,316.9,234.2,319.5,587.5,294.5
10,003,4-12,940,829,18,18,0,63,0,2,10,734,651,12,13,0,56,0,0,2,338.1,310.4,455.59999999999997,300.7,363.90000000000003,255.5,466.5,279.4,336.8,327.5,464.29999999999995,289.2,375.6,241.70000000000002,337.59999999999997,369.8,461.9,318.9,248.5,289.8,400.1,286.5
10,003,4-13,1237,1041,65,106,0,9,0,4,12,970,847,50,59,0,6,0,3,5,326.9,258.3,416.2,253.3,309.3,146.29999999999998,408,231,373.5,201.7,405.1,241.1,308.6,144.7,350.3,308.8,409.8,230.1,145.4,241.7,363.9,211
10,003,4-15,1502,1035,299,67,2,68,0,3,28,1129,798,215,47,2,51,0,3,13,507.7,306.2,629.9,293.3,464.5,185.20000000000002,622.7,267.1,552.6,267.1,620.8,278.3,450.6,208.2,530.3,457.5,624.5,286.8,196.8,279.4,549.9,258
10,003,4-16,1660,885,435,292,3,13,3,2,27,1239,738,305,169,3,9,3,2,10,305.7,123.89999999999999,353.5,128.4,251.3,65,331.6,108.2,307.9,87.1,330.7,111.1,247.2,66.3,306.6,249,338.6,105.5,65.9,115.5,304,98.4
10,003,4-17,1822,1554,168,44,5,23,0,1,27,1565,1363,136,34,5,18,0,1,8,634.4,380.9,803.7,380.2,620.8,274,806.8,339.4,692.4,309.3,816.7,329.3,605.7,281.4,663.3,613.5,809.2,344.9,277.7,349.5,711.4,328.1
10,003,4-18,2277,1084,889,183,4,44,3,4,66,1695,877,635,105,4,39,1,2,32,748.9,266.2,836.5,252.8,646.1,173.5,802.1,235.1,763.4,228,811.1,237.6,615.8,203.9,756.4,631,816.8,247,188.6,241.79999999999998,746.1,228.1
