state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,pre_20_rep_tru,pre_20_dem_bid,uss_16_rep_gra,uss_16_dem_jud,uss_20_rep_ern,uss_20_dem_gre,gov_18_rep_rey,gov_18_dem_hub,atg_18_dem_mil,sos_18_rep_pat,sos_18_dem_dej,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20
19,007,007007,187,185,0,0,0,2,0,0,0,139,139,0,0,0,0,0,0,0,61.5,23.1,70.2,23.1,63.4,20.3,67.3,23.1,49.1,23.3,44.6,50.9,18.599999999999998,21.5,28.5,23.1,62.300000000000004,49.4,69.2
19,007,007008,458,445,3,7,0,1,0,0,2,371,361,3,4,0,1,0,0,2,159.6,61.5,175,64.1,158.5,52.4,157.1,72.1,114.4,72.1,122.6,116.8,66.6,56.8,86.6,67.7,159.3,116.2,165.8
19,007,007009,287,279,0,7,0,0,0,0,1,232,230,0,2,0,0,0,0,0,106.7,46.4,125.3,51.2,106.1,42.5,116,54.5,92.8,51.2,84.4,95.2,46.3,44.800000000000004,61.1,52.2,106.7,93.4,120.4
19,007,007010,158,150,0,6,2,0,0,0,0,130,125,0,4,1,0,0,0,0,59,20.9,64.8,22,59.9,18.2,60.3,25.5,41.4,23.6,40,43.4,20,19.6,27.3,23.2,59.9,42,62.199999999999996
19,007,007011,476,471,0,3,0,1,0,0,1,375,371,0,2,0,1,0,0,1,169.4,60.5,185.70000000000002,64.8,173.1,52.4,174.4,72.2,120.9,66.5,115.8,124,58.1,56.4,79.9,68.3,171.5,122.4,180.3
19,007,007012,92,92,0,0,0,0,0,0,0,78,78,0,0,0,0,0,0,0,35.4,12.700000000000001,38.6,13.4,36.1,10.7,36.1,15,24.900000000000002,14,24.1,25.7,12,11.8,16.4,14,36,25,37.4
19,007,007013,436,426,1,8,0,0,0,0,1,331,325,1,4,0,0,0,0,1,142.6,54.7,155.6,57,141.5,47.2,140,64.1,102.2,64.1,109.7,104.4,59.6,50.9,77.5,60.300000000000004,142.2,103.6,147.8
19,007,007014,6336,6052,50,116,21,24,0,2,71,4913,4748,35,61,15,19,0,1,34,1703.4,937.3,1888.4,956.2,1756.5,882.7,1740.7,959,1283.2,920.3,1461.6,1345.8,822.9,909.4,1068.9,955.9,1728,1314.4,1814.8
19,007,007015,199,198,0,1,0,0,0,0,0,159,158,0,1,0,0,0,0,0,69.8,26.4,80.8,26.5,73.2,22.9,77.3,26.6,56.2,26.9,51.3,58.4,21.1,24.7,33,26.5,71.3,57,79
19,007,007016,198,197,0,0,0,0,0,0,1,158,158,0,0,0,0,0,0,0,70.10000000000001,21.3,80.8,21.6,72.7,18.5,73.5,25.3,57.7,16.400000000000002,41.9,56.1,16.7,19.2,25.3,23.7,71.6,56.7,76.5
