state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,pre_20_rep_tru,pre_20_dem_bid,uss_16_rep_lan,uss_16_dem_wor,uss_20_rep_inh,uss_20_dem_bro,gov_18_rep_sti,gov_18_dem_edm,atg_18_rep_hun,atg_18_dem_myl,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20
40,143,18,2933,1118,269,1167,221,13,0,2,143,2019,892,180,700,151,10,0,2,84,220.1,231,205.5,271.8,233.7,201.6,203.1,248.7,139.4,206.2,162,190.2,216.5,198.3,260.8,226.8,150.4,203.9
40,143,19,2135,1166,199,449,171,8,0,1,141,1521,918,137,247,136,6,0,0,77,268.9,260.5,254.8,295.8,268,227,246,285.5,149.6,213.2,184.9,200,243.5,206.3,290.5,268.6,167.5,250.3
40,143,20,1903,1090,164,381,167,9,0,0,92,1436,910,113,232,116,7,0,0,58,252.2,249.7,237.5,290.1,249.6,217.8,230.3,280.8,140.7,207.20000000000002,173.9,194.8,233.9,201.2,285,251.1,157.1,233.8
40,143,21,1261,162,1002,27,12,4,0,0,54,984,143,784,15,8,4,0,0,30,28,452.3,54.8,475.2,56.8,409.9,50.3,454.8,32.2,354.3,39.7,352.9,431.2,353.6,465.3,42.3,35.4,52.1
40,143,22,21,12,0,0,3,0,1,0,5,17,12,0,0,3,0,1,0,1,1.1,5.5,1.3,6.2,1.3,5.300000000000001,1.3,6.2,0.4,4.9,0.6,4.9,5.300000000000001,4.9,6.2,1.1,0.4,1.3
40,143,23,1975,581,252,920,131,0,1,1,89,1283,480,147,521,74,0,1,1,59,193.5,94.6,210,163.8,193.9,81.6,209.20000000000002,153.1,118.89999999999999,85.4,135.3,75.4,88.3,80.2,158.1,193.5,127.1,209.5
40,143,24,2423,1254,251,550,231,4,1,3,129,1758,1038,163,318,158,4,1,0,76,315.3,231.9,327.8,259.1,321,191.4,303.9,260.8,197.1,183.8,229,169.5,211.8,176.4,259.6,317.8,212.9,315.4
40,143,25,1936,966,149,500,190,4,0,0,127,1354,781,108,276,121,3,0,0,65,211.9,178.1,191.9,217.8,209.1,160.2,184.9,205.1,129,153.1,147.9,152,168.9,152.4,211.2,210.3,138.1,188.3
40,143,26,2897,1240,404,833,246,9,4,3,158,1937,997,248,441,161,8,3,1,78,238.8,282.8,226.3,379.3,251.9,232.3,215.8,364.9,128,224.1,159.9,218.20000000000002,257.8,221.2,371.9,245,143.9,221
40,143,27,2402,981,312,777,153,13,5,0,161,1575,809,162,412,102,9,2,0,79,244.8,210.9,240.9,257,256.4,174.8,233.7,240.9,131,167.1,160.8,154.2,193,160.9,248.8,250.4,145.4,237.3
40,143,28,2537,1223,367,604,205,4,5,1,128,1683,980,194,307,128,3,3,1,67,294.1,282.8,306.2,354.9,299.1,237,293.1,333.7,198,265.09999999999997,241.1,235,259.9,250.1,344.2,296.6,219.5,299.8
40,143,29,2203,1012,229,707,109,11,1,1,133,1586,861,156,417,82,10,1,0,59,269.5,202.7,309.7,354.1,277.1,172.4,294.3,360.7,164.8,177.1,181.7,162.9,187.6,169.8,357.4,273.1,173.1,301.9
40,143,30,3980,2203,1043,374,209,37,1,2,111,3843,2151,1004,350,201,34,1,2,100,241,454,347.2,659.8,287.8,357,321.3,637.9,195.1,554.9,237,513.7,405.5,534.1999999999999,649.3,264.6,216.2,334.09999999999997
40,143,31,425,278,36,61,30,0,0,0,20,354,251,30,32,23,0,0,0,18,23.1,43.199999999999996,23.1,65.5,26.400000000000002,36.4,21.4,63.300000000000004,12.9,47.699999999999996,16.8,44.800000000000004,39.8,46.3,64.4,24.9,14.700000000000001,22.3
40,143,32,2760,1167,271,931,149,89,0,9,144,2153,1038,215,574,122,88,0,7,109,140,262.8,139,397.6,160.8,221.7,129.7,384.9,79.5,290.4,102.8,272.4,242.4,281.3,391,150.3,90.9,134.2
40,143,33,2671,1899,171,149,97,180,1,3,171,2527,1827,147,127,88,180,1,2,155,149.8,281.3,147.5,366.3,174.20000000000002,234.2,142,362.40000000000003,99.60000000000001,271.1,124.10000000000001,258.2,257.6,264.8,364.59999999999997,161.7,112,144.9
40,143,34,1763,1128,113,237,135,48,1,9,92,1380,971,74,137,96,39,1,2,60,286.6,343.9,288.3,446,323,286.9,268.4,448.9,192.9,391.3,223.3,372.9,315.1,382.4,447.3,304.8,208.3,278.4
40,143,35,1899,1345,97,182,133,23,1,4,114,1538,1158,73,102,107,21,1,4,72,349.3,425.8,338.3,582.1,394.8,357,320.2,582.8,238.3,482.6,273.1,466.4,391.2,474.4,582.7,372.2,255.7,329.3
40,143,36,1063,825,32,74,66,10,0,3,53,883,727,19,41,48,6,0,1,41,201,238.9,199.1,282.6,224.29999999999998,197.4,194.2,278.8,136,246.4,162.5,230.6,219,238.9,280.9,212.4,148.9,196.8
40,143,37,1541,1004,97,203,118,13,0,6,100,1179,833,77,120,79,9,0,3,58,268.3,318.5,266.3,377.1,299.7,263.7,258.9,371.8,181.9,329.4,216.6,308.5,292.1,318.7,374.8,283.8,199,262.2
40,143,38,1879,1021,104,490,115,8,0,0,141,1325,830,63,262,85,8,0,0,77,314.3,177.9,288.3,278.1,321.6,164.9,276.2,282,188.9,189.9,224.9,176.1,171.8,182.8,280.5,317.9,207.1,282
40,143,39,2036,1273,144,346,165,14,1,1,92,1532,1053,93,201,119,14,1,1,50,364.2,266.3,363.90000000000003,339.6,384.2,221.6,349.1,331,256.4,248.9,290.3,238,244.1,243.6,334.9,374.59999999999997,273.4,356.5
40,143,40,1478,861,163,246,107,12,6,4,79,1125,718,111,157,75,11,4,2,47,173.8,175.9,114.60000000000001,114.5,189.3,143.7,110.9,116.9,127.7,164.6,142.5,166.9,159.6,165.6,116.1,181.4,135,112.8
40,143,41,2874,1199,380,923,180,27,0,0,165,1975,988,234,537,120,17,0,0,79,365,289.3,361.8,392.8,377.9,249.6,350.9,396.9,244.29999999999998,255.6,274.3,242.9,269.5,249.2,394.7,371.5,259.2,356.2
40,143,42,1825,1073,182,360,84,15,0,1,110,1397,933,117,212,66,11,0,0,58,338.1,262,308.3,316.9,360.9,214,300.1,311.2,228.7,237.7,254,223.4,238.20000000000002,230.7,313.9,349.7,241.4,304
40,143,43,1724,1133,83,180,143,71,7,2,105,1271,919,49,107,93,48,3,1,51,389.8,166,411.1,197.2,400,138.1,389.8,202.1,225.1,178.8,263.8,164.1,151.9,171.3,199.5,395,245,400.3
40,143,44,2801,1379,430,530,150,130,1,2,179,1918,1081,244,292,101,103,1,0,96,494,325.8,501,359.8,492.5,297,494,356.2,347.5,268.1,378.8,252.1,311.4,259.9,357.8,493.2,362.7,497.7
40,143,45,129,91,0,2,7,24,0,0,5,111,82,0,1,7,17,0,0,4,26.4,15.7,30.400000000000002,21.8,26.3,14.3,30,21.599999999999998,22.9,13.8,24.6,13,15,13.5,21.599999999999998,26.3,23.8,30.3
