state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_16_rep_pau,uss_16_dem_gra,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20
21,101,NA,46250,40773,3568,858,79,193,9,59,711,35380,31793,2633,499,67,144,6,7,231,12197.8,6721.2,10690.3,8903.5,7811.8,NA,NA,11443.9,NA,NA
21,103,NA,15416,14272,410,447,35,29,8,6,209,11593,10863,340,233,27,20,4,3,103,4943.1,1827.4,4299.7,2791.7,2310.2,NA,NA,4621.3,NA,NA
21,105,NA,4902,4298,451,57,12,11,1,6,66,3848,3441,342,26,12,6,1,0,20,1656.6,449.5,1408.9,719.5,582.7,NA,NA,1529.4,NA,NA
21,107,NA,46920,41940,3069,734,56,257,15,23,826,36029,32844,2226,413,51,194,11,6,284,15282.3,4311.4,13626.9,6458.1,5383.6,NA,NA,14457.7,NA,NA
21,109,NA,13494,13298,13,84,17,11,0,2,69,10312,10186,5,52,14,7,0,2,46,4893.5,481.2,4268,971.5,726,NA,NA,4579.2,NA,NA
21,111,NA,741096,522561,152451,32542,1492,16171,403,1255,14221,569289,420487,107156,21435,1197,11763,276,546,6429,143725.9,190781.3,144599.1,207549.2,199159.9,NA,NA,144147.9,NA,NA
21,113,NA,48586,44336,1487,1353,114,475,15,37,769,36037,33462,1032,807,95,303,5,13,320,15474.2,6144,13821.8,9460.9,7800.5,NA,NA,14646.7,NA,NA
21,115,NA,23356,22900,56,109,28,91,4,1,167,18107,17796,48,65,19,70,2,1,106,8043.6,1249.7,6187.8,2968.8,2107.6,NA,NA,7115.3,NA,NA
21,117,NA,159720,143430,7267,4225,235,1398,139,259,2767,119774,109848,4937,2570,183,1023,94,91,1028,42996.3,24234.6,47418.8,24386,24309.2,NA,NA,45204.1,NA,NA
21,119,NA,16346,16015,116,99,9,14,2,6,85,12810,12582,87,55,7,13,1,2,63,4358,1244.6,3084.3,2370,1807,NA,NA,3720.8,NA,NA
21,121,NA,31883,30805,344,270,68,67,3,14,312,24020,23328,264,136,55,47,3,7,180,9892.7,1759.3,8171.3,3323.9,2541.4,NA,NA,9031.9,NA,NA
21,123,NA,14193,13096,441,401,35,25,2,2,191,10818,10126,338,216,26,17,2,0,93,4795.4,1275.8,4107.8,2183.7,1730.9,NA,NA,4451.5,NA,NA
21,125,NA,58849,56732,405,717,145,286,2,25,537,44538,43168,282,428,121,191,2,10,336,20573.7,3439.2,18200.2,6058,4749.9,NA,NA,19386.3,NA,NA
21,127,NA,15860,15582,32,77,17,26,1,2,123,12179,12006,18,41,13,18,1,2,80,4819.4,1046.2,3653.1,2218,1630.5,NA,NA,4235.1,NA,NA
21,129,NA,7887,7564,185,58,20,11,0,1,48,6349,6063,180,47,18,11,0,0,30,2156,446.1,1692.2,901.8,674.9,NA,NA,1922,NA,NA
21,131,NA,11310,11152,22,40,11,15,1,4,65,8892,8783,15,28,8,13,1,2,42,4018.2,401.3,3577.5,680.9,539,NA,NA,3795.6,NA,NA
21,133,NA,24519,24120,85,124,34,39,0,7,110,19089,18819,56,85,24,33,0,2,70,7293.9,1542.5,5363,3175.4,2355.9,NA,NA,6324.7,NA,NA
21,135,NA,13870,13650,35,78,27,8,0,2,70,10562,10428,24,43,22,5,0,0,40,4354.3,785.9,3564.1,1431.3,1108.2,NA,NA,3954.3,NA,NA
21,137,NA,24742,23404,560,372,39,39,1,14,313,18642,17799,417,209,29,25,0,3,160,7347.8,1866.8,6151.1,3270.5,2567.8,NA,NA,6747.5,NA,NA
21,139,NA,9519,9243,16,123,24,18,6,4,85,7566,7393,14,69,23,8,2,2,55,3569.6,887.9,3062.2,1514,1198.2,NA,NA,3315.7,NA,NA
21,141,NA,26835,23934,1734,651,44,64,11,35,362,20247,18359,1253,394,34,46,4,6,151,7777.8,2754.3,7556.6,3212.6,2980.4,NA,NA,7667.6,NA,NA
21,143,NA,8314,7672,437,77,12,24,1,9,82,7031,6506,399,46,11,19,1,7,42,2790.9,1044.2,2431.4,1508,1275.5,NA,NA,2611.1,NA,NA
21,145,NA,65565,55025,7179,1383,126,521,10,64,1257,50859,44006,5018,846,110,370,10,15,484,20774.6,9133.4,19698.8,11551,10339.4,NA,NA,20229.5,NA,NA
21,147,NA,18306,16557,977,392,122,25,4,2,227,14189,12593,958,337,112,22,4,1,162,5013.6,665.4,4304.7,1239.1,952.1,NA,NA,4658.4,NA,NA
21,149,NA,9531,9278,53,106,22,10,0,1,61,7306,7154,39,51,18,8,0,0,36,3380.4,987.2,2817.6,1680.6,1331.9,NA,NA,3098.2,NA,NA
21,151,NA,82916,74967,3565,1813,225,753,30,116,1447,65066,59476,2844,1169,174,577,23,48,755,23429.1,11791,20814.7,16439.1,14112,NA,NA,22119,NA,NA
21,153,NA,13333,13106,18,95,30,8,0,3,73,10139,9990,9,60,27,5,0,1,47,3824.9,1172,2755.8,2171.8,1671.6,NA,NA,3290.4,NA,NA
21,155,NA,19820,17285,1593,482,26,115,2,21,296,14932,13133,1284,288,22,81,2,10,112,5126.7,2680,3889.9,4089,3382.7,NA,NA,4507.6,NA,NA
21,157,NA,31448,30669,48,350,55,83,2,13,228,24908,24378,43,230,39,62,1,4,151,12322.2,3673.5,10634.7,6029.4,4849.4,NA,NA,11477.4,NA,NA
21,159,NA,12929,11533,882,388,44,22,0,0,60,10171,8821,875,370,42,21,0,0,42,3503,362.5,2815.1,909.3,634.7,NA,NA,3158,NA,NA
21,161,NA,17490,15686,1117,248,33,99,1,22,284,13225,12079,832,115,22,68,1,1,107,4944.5,1969.7,4453.5,2640.5,2303.6,NA,NA,4700.2,NA,NA
21,163,NA,28602,25905,899,859,133,154,34,20,598,20797,19198,613,462,101,121,25,3,274,8659.5,3026.3,7042.8,5068.1,4046.9,NA,NA,7850.7,NA,NA
21,165,NA,6306,6056,112,51,6,7,0,5,69,4842,4679,86,26,6,4,0,1,40,2010,700.5,1514.4,1201.8,951.9,NA,NA,1761.6,NA,NA
21,167,NA,21331,19614,751,490,29,76,10,17,344,16293,15221,580,272,24,47,6,4,139,7706.8,2389.5,6340.2,4101.2,3245.3,NA,NA,7024.4,NA,NA
21,169,NA,10099,9730,153,115,11,12,0,1,77,7680,7431,118,63,11,11,0,1,45,3490,976.8,2844.2,1659.8,1317.4,NA,NA,3168.2,NA,NA
21,171,NA,10963,10314,231,289,12,8,0,2,107,8417,8001,178,157,10,8,0,1,62,4278.9,601.3,3845.1,881.9,741.6,NA,NA,4062.2,NA,NA
21,173,NA,26499,24715,712,660,40,83,6,44,239,19999,18790,583,407,34,65,5,15,100,7864.8,3161.1,6226.3,5117.8,4140.7,NA,NA,7044.6,NA,NA
21,175,NA,13923,13048,598,108,30,42,1,3,93,11083,10280,586,87,24,33,0,2,71,3629,1005.1,2602,2010.3,1508.5,NA,NA,3112.8,NA,NA
21,177,NA,31499,29301,1417,367,46,43,4,21,300,24678,23035,1198,218,42,34,3,5,143,9381.8,3268.9,7343.4,5480.7,4372.4,NA,NA,8361.9,NA,NA
21,179,NA,43437,39498,2168,888,49,216,8,24,586,32152,29707,1551,462,41,148,5,10,228,13456.9,6436.4,11770.5,8836.9,7636.4,NA,NA,12613.2,NA,NA
