state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,pre_20_dem_bid,pre_20_rep_tru,uss_16_dem_blu,uss_16_rep_car,uss_18_dem_mur,uss_18_rep_cor,gov_18_dem_lam,gov_18_rep_ste,atg_18_dem_ton,atg_18_rep_hat,sos_18_dem_mer,sos_18_rep_cha,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20
09,009,09-080,3563,2728,226,408,3,98,0,23,77,2686,2188,141,235,2,66,0,17,37,597.3,835,771.7,891.4,758.3000000000001,648.2,547.3,641.4,429.1,764.5,449,709.2,514.8,928.7,677.6,485.1,771.7,741.9,761,891.4
09,009,09-081,5447,4291,224,641,6,134,1,43,107,4078,3348,148,399,5,87,1,37,53,835.9,1211.5,1158.9,1345,1138.8,874.6999999999999,772.4,929.9,587.7,1101.8,641.6,1039.1000000000001,718.1,945.2,986.9,680.2,1158.9,1042.9,1004,1345
09,009,09-082,856,746,18,54,0,24,1,1,12,702,621,15,38,0,17,1,0,10,115.9,281.8,187.1,265,199.9,196.8,132.2,198.8,90,247.1,100.8,225.5,128.9,195,157.9,113,187.1,239.3,216.6,265
09,009,09-083,4111,3383,237,296,5,106,0,16,68,3122,2651,172,186,5,76,0,9,23,786.1,1083.5,1031.9,1155.3,1083.4,796.6,763,835,591.2,1003.1,626.7,956.4,700.5,872.2,934.9,670.2,1031.9,940.1,916.6,1155.3
09,009,09-084,4796,4042,169,432,5,64,0,35,49,3770,3284,114,279,3,43,0,25,22,809.8,1047.5,1076.5,1075.4,1063.1,775.7,763.3,791.8,605.5,932.1,615.2,901.4,724.5,781.7,935.4,677.3,1076.5,911.8,851.1,1075.4
09,009,09-085,6933,5525,335,605,12,299,0,42,115,5303,4383,233,368,8,211,0,31,69,1103,1495.3,1457.6,1584.5,1496.1,1045.7,1068.8,1112.1,806.2,1348.9,846.2,1293.7,980.3,1142.1,1299.5,925.2,1457.6,1270.8,1223.9,1584.5
09,009,09-086,746,585,43,66,4,29,0,6,13,581,483,30,36,3,20,0,4,5,112.7,139,149.4,139,146.1,96.9,100.5,87.7,82.2,108.7,87.4,102.8,93.2,91.3,129.4,90.8,149.4,117.9,97.6,139
09,009,09-087,614,552,17,29,3,6,0,0,7,489,446,11,19,2,5,0,0,6,114.89999999999999,156.20000000000002,146,168,143.5,122.89999999999999,104.7,120,83,142.5,86,131.7,97.9,202.9,129.20000000000002,92.8,146,139.5,149.3,168
09,009,09-088,3763,2108,292,358,12,786,0,7,200,3751,2103,290,356,12,783,0,7,200,1250,81.8,862.8,71.3,454.6,142.8,1026.5,79.7,985.3,109.1,969.5,98,979.7,91.5,852.3,990.1999999999999,862.8,112.3,94.6,71.3
09,009,09-089,3981,1111,1993,548,21,218,0,13,77,3331,1101,1507,421,18,208,0,13,63,1375.5,72.6,1274.2,111.7,1317.1,77.6,902.5,45.5,884.8,59.6,837,55.2,850,44.2,1346.3,868.3,1274.2,75,51,111.7
