state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,pre_20_rep_tru,pre_20_dem_bid,uss_18_rep_fis,uss_18_dem_ray,uss_20_rep_sas,uss_20_dem_jan,gov_18_rep_ric,gov_18_dem_kri,atg_18_rep_pet,sos_18_rep_evn,sos_18_dem_dan,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20,ndv,nrv
31,055,479P,1495,1391,13,26,1,43,0,0,21,926,871,6,13,1,28,0,0,7,707.3,334.6,730.6,449.7,598.9,291.5,855.1,199.8,614.8,284.9,719.3,601.1,272.8,334.6,283.2,324.7,707.3,633.6,793,305.3,689.6
31,055,480P,1099,1012,2,14,9,45,0,10,7,631,587,1,9,2,22,0,4,6,297.5,211.9,324.2,280.6,259.7,182.9,392.5,145.6,268.4,184.9,345.7,262.2,175.4,211.9,180.9,213,297.5,283.9,358.4,196.9,307.2
31,055,481P,1253,1129,10,28,2,58,0,2,24,778,720,3,14,2,35,0,0,4,424,286.2,486.5,398.6,390.6,253,566.3,211.4,395.4,263.9,494.2,387.2,244.79999999999998,286.2,254,304.8,424,416.9,526.6,276.4,449.3
31,055,482P,1026,958,14,23,1,23,0,0,7,734,701,8,10,1,13,0,0,1,298,170.9,337.8,256.4,288.8,167.3,377.09999999999997,133.1,290.6,180,366.8,280.2,174.9,170.9,174,194.7,298,306.7,357.4,180.5,319.9
31,055,484P,1177,1046,3,33,2,84,0,0,9,810,724,2,23,2,55,0,0,4,404.6,267.8,424.4,360.4,347.5,232.6,514.3,155,350.4,244.1,448.7,351.2,219,267.8,232,257.7,404.6,374.6,469.7,246.3,405.8
31,055,485P,798,748,8,7,0,24,4,0,7,547,515,6,4,0,18,4,0,0,261.3,147.8,253.5,197,220.20000000000002,130,284.5,97.7,221.6,137.9,264.7,210.1,129.3,147.8,132.2,147.4,261.3,229,268.8,139.8,245.1
31,055,486P,1633,1516,16,32,3,56,1,0,9,1137,1069,11,19,3,33,1,0,1,478.2,340.1,479.3,453.1,416.6,311.5,559.8,232.5,420.5,329.3,553.7,421.7,301.9,340.1,314.5,342.9,478.2,453.1,519.2,328.1,475.7
31,055,487P,1094,1049,13,16,0,12,0,0,4,788,754,13,10,0,8,0,0,3,459.6,277,442.3,385.4,413,258.4,512.6,183.1,414.8,274.6,521.1,410.8,260.1,277,264.3,284.4,459.6,439.8,477.3,273.2,453.4
31,055,488P,1036,958,17,15,1,27,0,0,18,710,664,12,6,1,19,0,0,8,311.5,209.8,320.1,278.2,278.8,193.5,362.2,138.5,284,202.9,364.2,281.5,191.6,209.8,196.1,208.20000000000002,311.5,301.9,341.4,202.4,314.7
31,055,489P,2290,1844,151,73,8,164,0,3,47,1732,1428,99,46,7,125,0,3,24,528.2,431.09999999999997,559,634.9,421.8,408.2,627.6999999999999,389,432.9,431.1,635.5,438.7,404.2,431.09999999999997,414.3,512.1,528.2,482.2,593.4,449.79999999999995,520.4
31,055,490P,1415,1196,50,57,5,84,0,1,22,988,850,30,32,4,62,0,1,9,465.2,432.1,429.4,478.2,422.3,416.6,514,269.8,431.2,430.5,604,413.7,423.7,432.1,423.8,374.1,465.2,467.8,471.9,408.5,468.6
31,055,491P,1209,1018,68,65,1,38,0,0,19,891,780,40,39,1,27,0,0,4,306.1,241.4,306.1,300.7,253.29999999999998,228.3,332.2,165.29999999999998,258.2,243.4,350.6,254.4,227.70000000000002,241.4,233.1,232.9,306.1,279.2,319.1,234.5,294.3
31,055,492P,956,839,26,50,0,35,0,1,5,756,672,20,35,0,26,0,1,2,252.39999999999998,192.9,261.3,243.1,205.1,184.6,298.5,136.8,218.1,187.4,288.9,210.6,180.4,192.9,184.20000000000002,190.3,252.39999999999998,230.7,280.1,187.4,247.8
31,055,493P,1290,1190,9,36,3,47,0,0,5,1079,1005,9,22,3,38,0,0,2,504.59999999999997,398.40000000000003,492.90000000000003,517.3,498.20000000000005,347.6,612.5,209.2,490.59999999999997,374.3,608.6,488.9,342,398.40000000000003,354.6,363.09999999999997,504.59999999999997,521.7,552.5,364.7,528
31,055,494P,892,628,60,39,1,149,0,0,15,839,603,56,34,1,134,0,0,11,153.1,216.1,170.1,283.3,130.5,195.9,200.6,167.8,129.1,205.6,219.6,134.3,192.2,216.1,197.9,225.6,153.1,153.20000000000002,185.3,210.2,162.5
31,055,495P,763,639,45,29,1,27,0,0,22,582,508,28,20,1,18,0,0,7,183.4,166.9,187,211.2,153.7,151,204.5,125.3,156.5,161.6,221.7,153.8,152.4,166.9,155,168.1,183.4,171.4,195.8,161.4,180.1
31,055,496P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
