state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,pre_20_rep_tru,pre_20_dem_bid,uss_18_rep_bar,uss_18_dem_tra,uss_20_rep_lum,uss_20_dem_dav,gov_18_rep_gor,gov_18_dem_thr,sos_18_rep_buc,sos_18_dem_byr,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20,ndv,nrv
56,003,1101,2362,2096,8,215,17,5,1,0,20,1790,1619,7,127,16,5,0,0,16,778.7,182.4,861,255.7,663.6,214.8,871.3,249.3,656.5,199.3,660.7,197.5,182.4,201.7,254.3,778.7,660.7,863.1999999999999,214.1,747.8
56,003,1601,472,424,1,30,6,2,0,0,9,387,351,1,19,5,2,0,0,9,207.4,38.6,219.1,55.7,189.7,41.6,228.6,50.2,181.9,35.7,185.5,39.3,38.6,38.7,53,207.4,185.5,223.1,42.8,201.1
56,003,2001,3427,3070,7,298,21,13,0,0,18,2472,2254,6,177,14,9,0,0,12,1117.5,156.6,1345.5,188.7,960.6,144.9,1376.2,171.5,923.3,135.9,960.9,128.8,156.6,135.9,179.9,1117.5,950.2,1360.4,154,1114.2
56,003,2201,900,851,0,37,3,8,0,0,1,639,609,0,22,2,5,0,0,1,379.4,25.3,493.1,36.6,334.2,29,508.3,34,319.7,29,329.1,21.4,25.3,27.3,35,379.4,328.4,502,29,393.6
56,003,2301,747,660,0,77,2,1,0,0,7,522,467,0,47,2,1,0,0,5,260.1,29.2,276.1,33,220.2,31.2,282.8,34.9,198.8,35.7,208.8,28.1,29.2,31.2,33.4,260.1,208.8,279.8,32,241.3
56,003,2501,271,255,0,14,1,0,0,0,1,196,186,0,9,1,0,0,0,0,82.1,13.7,87,19.6,56.300000000000004,15.9,85.9,23.5,55,15.9,58.8,12.1,13.7,15.4,20.5,82.1,56.5,86.60000000000001,16.5,69.7
56,003,2601,231,208,1,15,5,0,0,0,2,180,164,1,10,3,0,0,0,2,79.4,9.9,103,14.2,73.7,13,106.3,13,70.3,14.2,72,14.2,9.9,14.2,14,79.4,72,104.2,13.7,83.8
56,005,0101,930,791,3,106,14,5,0,0,11,694,596,3,76,7,5,0,0,7,221.7,31,251.4,41.5,163.6,36,254.6,44.5,154.9,38.1,165.2,25.1,31,33.2,42.7,221.7,161.1,253.2,36.1,201.8
56,005,0102,693,619,7,47,9,1,0,0,10,624,561,7,39,6,1,0,0,10,254.6,39.2,264.5,48.2,185.7,41.1,272.2,43.800000000000004,169.8,49.4,182.8,36.2,39.2,42.3,46.1,254.6,179.6,268.1,43.1,221.5
56,005,0103,662,571,4,63,4,3,1,1,15,537,474,3,43,4,3,1,1,8,189.6,43.2,203.9,57.3,137.6,47.5,212.3,50.6,127.39999999999999,52,136.2,44.1,43.2,47.7,54,189.6,133.8,208.5,49.7,167.9
56,005,0104,851,790,0,41,4,2,0,0,14,658,622,0,25,3,1,0,0,7,261.5,38,269.1,55.1,193.2,45.4,275,49.2,179.1,51.3,191.9,40.6,38,45.7,51.8,261.5,188.1,272,46.9,228.1
56,005,0105,1784,1592,6,132,13,12,0,0,29,1293,1172,4,82,8,11,0,0,16,418.1,47.800000000000004,464.1,63.199999999999996,262.6,54.9,460.7,61.8,256.4,56.2,260.6,49.9,47.800000000000004,53.6,62.4,418.1,260,462.5,55.5,353.8
56,005,0107,855,776,3,48,10,11,0,0,7,677,622,2,31,10,10,0,0,2,290,24.5,290.9,40.7,216.6,32.7,293.4,37.6,201.4,38.7,216.1,26.9,24.5,32.6,38.3,290,211,293.09999999999997,33.2,251.7
56,005,0108,1449,1138,14,234,22,15,2,2,22,1110,901,13,151,20,13,1,1,10,399.09999999999997,38.7,414.7,57.5,274.1,48.300000000000004,414.6,54.7,260.8,52.8,272.9,41.3,38.7,47.3,55.4,399.09999999999997,269.3,414.8,48.6,339.6
56,005,0109,1567,1123,7,388,15,21,0,0,13,1192,887,5,263,12,19,0,0,6,351.4,34.6,342,47.5,225.9,44.6,339.7,47,216.9,43.8,226.3,33.6,34.6,41,47.3,351.4,223.3,340.6,42.1,283.7
56,005,0110,1239,1099,6,91,18,11,1,0,13,926,845,4,48,13,5,0,0,11,316.1,28,319.4,42.5,204.6,37.8,317.8,41.2,195.8,38.4,204.5,28.9,28,35.1,41.8,316.1,201.6,318.7,36.1,259.8
56,005,0111,700,624,2,50,4,7,0,0,13,530,479,2,32,3,6,0,0,8,217.4,25.1,223.4,33,159.8,28.7,216.5,40,145.3,37.300000000000004,151.4,25.8,25.1,30.700000000000003,36.5,217.4,151.9,220.2,31.9,185.6
56,005,0112,1420,1148,3,228,10,9,2,0,20,1025,863,3,132,8,9,2,0,8,348.09999999999997,37.5,337.7,58.1,203.7,49.1,334.3,57.7,194,52.699999999999996,200.8,43.7,37.5,48.7,58,348.09999999999997,199.5,336.1,49.7,270
56,005,0113,876,793,2,56,6,4,0,0,15,610,557,2,34,4,4,0,0,9,207.1,22.400000000000002,201,34.6,121.3,29.1,199,34.4,115.4,31.400000000000002,119.6,26,22.400000000000002,28.9,34.5,207.1,118.9,199.9,29.6,160.6
56,005,0114,2233,1931,5,199,15,27,2,3,51,1543,1371,3,110,12,20,2,3,22,863.7,113.39999999999999,968.8000000000001,153.1,656.3,129.1,987.1,141.3,641.5,137.5,657.3,107,113.39999999999999,124.4,147.2,863.7,651.7,978,130.3,796
56,005,0115,756,693,1,43,5,8,0,0,6,554,515,0,25,4,8,0,0,2,229.8,34.3,238.1,41.2,167.9,35,246.7,36.3,153.1,42.5,165.7,30.5,34.3,36.1,38.8,229.8,162.3,242.2,36.4,200.1
56,005,0116,2853,2512,7,264,27,19,1,0,23,1992,1779,6,158,17,16,1,0,15,1125.4,123.7,1225.7,195,775.9,150.6,1255.4,182.6,740.6,161.6,754.7,123.5,123.7,145.6,188.9,1125.4,757.5,1240.9,155.9,979.6
56,005,0117,3019,2654,12,250,35,16,1,0,51,2070,1886,5,130,19,12,1,0,17,860.6,68.7,949.3,95.6,549.7,86.7,937.9,112.39999999999999,510.9,107.2,548.3,70.9,68.7,88,104,860.6,536.3,944,90.1,726
56,005,0118,1283,1146,10,100,10,0,0,0,17,931,836,10,69,8,0,0,0,8,581.4,62.199999999999996,629.9,107.1,381.9,67.4,638.8,100.9,360.8,79.9,377.2,60.8,62.199999999999996,69.5,103.89999999999999,581.4,373.2,634.5,79.2,495.3
56,005,0119,1796,1682,5,69,6,8,0,1,25,1219,1154,4,38,6,8,0,1,8,731.6,77.6,794,103.3,561.3,86.9,803.2,97.2,525.4,102.4,548.2,70.7,77.6,86.7,100.39999999999999,731.6,545.1,798.4,90.1,660.6999999999999
56,005,0120,745,697,2,30,5,1,0,1,9,481,454,2,15,5,1,0,0,4,309.9,26.3,352.6,44.1,239.5,36.7,360.2,40.4,228.4,44,235.4,32.2,26.3,37.6,42.4,309.9,234.8,356.3,37.4,287.7
56,005,0121,1808,1550,2,213,20,3,0,1,19,1229,1085,2,117,13,3,0,0,9,686.8,43.2,758.3,88.7,455.3,67.2,755.7,82.7,433,76.7,449.3,55.2,43.2,66.6,85.5,686.8,445.8,757,68.9,590
56,005,0201,1805,1615,7,129,21,9,0,1,23,1285,1173,6,66,14,9,0,1,16,527.7,22.400000000000002,573.5,33.6,352.8,25.1,554.6,42.6,335.8,32.4,342.1,21.900000000000002,22.400000000000002,26.4,37.8,527.7,343.5,564,29.6,447.8
56,005,0301,1903,1795,2,62,12,8,6,1,17,1347,1290,0,29,9,6,1,1,11,758.6,41.9,811.6,46.1,527.4,45,796.8,51.5,497.6,57,522.8,44.5,41.9,48.6,49,758.6,516.7,804.2,47.6,652.8
56,005,0401,1775,1691,1,47,4,6,0,1,25,1246,1192,1,31,3,5,0,1,13,738.4,42.5,853.7,50.2,532.7,58.1,831.4,64,502.5,66.7,526.9,46.3,42.5,57.1,56.2,738.4,520.3,843.2,53.9,663.7
