state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,pre_20_rep_tru,pre_20_dem_bid,uss_16_rep_bur,uss_16_dem_ros,uss_20_rep_til,uss_20_dem_cun,gov_16_rep_mcc,gov_16_dem_coo,gov_20_rep_for,gov_20_dem_coo,atg_16_rep_new,atg_16_dem_ste,atg_20_rep_one,atg_20_dem_ste,sos_16_rep_lap,sos_16_dem_mar,sos_20_rep_syk,sos_20_dem_mar,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20
37,081,FR1,5006,2582,1587,339,19,371,1,12,95,4151,2287,1272,235,15,280,0,10,52,945.1,1799.9,1116.5,2409,1017.7,1733.5,1060.1,2341.4,903.4,1874.2,996.9,2489.6,952,1814.8,1097.9,2429.1,918,1821.1,1061.7,2449,1808.9,NA,2423.8,946.9,NA,1066.8
37,081,FR2,3258,2356,386,104,13,353,0,5,41,2466,1823,297,67,8,255,0,2,14,851.6,794,971.2,1124.2,931.3,731.3,964.1999999999999,1073,850.9,833.1,867,1195,872.4,815.9,978.3000000000001,1103.8,873,794.6,944,1122.1,794,NA,1123.8,875.9,NA,944.8
37,081,FR3,2137,1612,294,91,4,93,0,7,36,1515,1150,214,58,2,70,0,3,18,569,627.9,593.1,712.9,613,591.9,566.1,699.9,528,688.9,554,742,570.9,639.8000000000001,606.9,691,574,622,591.9,688.9,634.1,NA,706.9,570.9,NA,582.4
37,081,FR4,1785,1483,134,99,5,36,0,5,23,1387,1187,98,58,3,29,0,1,11,637.9,495,720.8,628,677.1,460,718.1,582.8,591.1,563,681,668.9,635.1,508.90000000000003,751.1,588.8,620.9,513.8,714.9,609.1999999999999,508.2,NA,615.4,632.4,NA,717.3
37,081,FR5,4797,3713,500,283,12,181,5,6,97,3455,2746,352,178,9,124,2,3,41,1375.6,1105.9,1358.4,1469.9,1478.9,1041.9,1364.5,1387.6,1295.4,1248.6,1291,1524,1407.9,1150.1,1391.3,1436.4,1372.7,1142.9,1355.6,1451.7,1138.3,NA,1453.6,1385.8,NA,1352
37,081,G01,1403,523,745,44,4,58,0,1,28,1248,451,678,37,4,52,0,1,25,68.2,818,58.7,763.7,88.8,797.9,55.9,737.1,77.6,814.1,49,750.8,83.1,806.9,58,744.1,86.3,801,49.8,753,807.1,NA,749.5,81,NA,54.300000000000004
37,081,G02,2236,662,799,300,9,391,0,3,72,1599,575,547,189,5,250,0,1,32,235.1,589.3,288.6,662.6,224.8,581.9,255,633.8,227.8,600.4,231.1,700,214.9,593.9,260,684,208.3,592.9,259.2,683.1,591.5,NA,672.6,222.4,NA,259.2
37,081,G03,3102,203,2470,230,15,107,3,8,66,2294,182,1839,147,9,71,1,2,43,80.1,1269.2,113.3,1251.8,91.8,1238.1,99.9,1225.2,88.5,1253,76.8,1271,83.8,1243.9,120.8,1238.8,84.9,1249.2,99.9,1260.3,1250.5,NA,1249.7,85.1,NA,102
37,081,G04,3157,311,2457,316,14,4,0,5,50,2355,278,1831,198,12,4,0,3,29,92.2,1157.2,103.1,1219.1,100.9,1135,88,1174.6,99.89999999999999,1144,74.9,1223.8,103.1,1135.9,104.2,1216.8,85.2,1142.9,94,1228.7,1143,NA,1212.8,96.7,NA,93
37,081,G05,2215,65,2026,60,10,17,0,6,31,1465,46,1366,27,7,4,0,1,14,54.1,1035.9,43.1,1003.9,79.9,1009.9,43.1,965.9,80.9,1015.9,26,1002.9,67,1024.4,46.1,996.8,60.7,1033.9,36,1005.4,1024.4,NA,994.8,68.4,NA,38.7
