state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,pre_20_rep_tru,pre_20_dem_bid,uss_16_rep_boo,uss_16_dem_eld,uss_20_rep_cot,uss_20_dem_har,gov_18_rep_hut,gov_18_dem_hen,atg_18_rep_rut,atg_18_dem_lee,sos_18_rep_thu,sos_18_dem_inm,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20,ndv,nrv
05,003,024,1590,440,1062,58,3,5,0,1,21,1172,357,765,36,3,2,0,1,8,217,351.6,182.7,297.5,222.9,332.59999999999997,221.3,266.7,177.6,249.3,160.5,266,159.3,266,341.2,260.7,281.7,220.9,165.3,202.29999999999998,290.1,191.5
05,003,025,1862,761,1021,49,3,14,0,0,14,1363,612,699,29,3,12,0,0,8,307.5,321.9,297.6,323.1,296,294,343.9,289.1,286.9,259.8,262.1,282.1,264.9,285.9,308,275.3,305.7,302.5,272.2,320.6,294,294.4
05,003,026,2055,1785,235,15,2,7,0,0,11,1630,1439,169,11,1,5,0,0,5,678.6,197.6,712.8000000000001,178,667.3,194.9,728.5,177.8,593.1,138.6,571.8,164.8,573,169.6,196.2,158.3,177.9,673,579.6,720.7,174.4,646.4
05,003,027,1294,1083,172,20,6,0,0,1,12,970,828,119,13,5,0,0,0,5,333,76.1,379.1,76.8,305.8,76.8,377.2,78,250.2,51.1,244.2,55,234,64.1,76.3,56.7,77.6,319.4,243.1,378.2,68.1,303.3
05,003,028,1036,879,105,43,1,2,1,0,5,795,679,75,34,1,1,1,0,4,211.1,48.3,212.1,50.2,201.5,51,212.1,50.2,142.5,38.7,138.9,41.2,142.5,42.5,49.9,41.2,50.2,206.1,141.5,212.1,45.9,180
05,003,029,904,718,150,11,6,6,0,0,13,672,541,110,8,3,4,0,0,6,223.1,62.1,212.1,62.1,197.9,71,212.1,67.9,160.9,53.9,167.8,55.1,162,62.1,66.6,56.8,65.1,210.5,163.5,212.1,62.1,190.9
05,003,03,759,596,72,83,6,0,0,0,2,550,441,51,53,3,0,0,0,2,165.7,49,211.2,39,159,43.3,216.1,31.1,140,28.5,139.1,30,143.7,28.5,46,28.8,34.9,162.2,140.7,213.4,35.5,167.6
05,003,030,1095,979,86,23,2,0,0,0,5,867,785,66,14,2,0,0,0,0,341.3,49.4,388.5,41.4,322.5,54.800000000000004,386.1,39,283.2,35.3,275.9,40.9,282.7,37.3,51.9,37.5,40.2,333.2,281.7,387,41.7,327
05,003,04,213,162,2,45,1,0,0,0,3,160,129,2,27,1,0,0,0,1,27.6,9.700000000000001,41.5,5.4,22.6,9.700000000000001,40.5,8.3,24.099999999999998,1.1,22.2,4.5,21.1,4.5,9.700000000000001,3.5,6.9,25.3,22.3,40.9,6,28.7
05,003,05,60,36,9,12,0,0,0,0,3,49,30,9,7,0,0,0,0,3,8.299999999999999,2.9,6.5,4,7,2.9,7.5,2.8000000000000003,0.8,2.8000000000000003,2,4,2.8000000000000003,4,2.9,3.8000000000000003,3.5,7.5,2,7.1,3.1,4.9
