state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,pre_20_dem_bid,pre_20_rep_tru,uss_16_dem_cor,uss_16_rep_hec,uss_18_dem_ros,uss_18_rep_hel,gov_18_dem_sis,gov_18_rep_lax,atg_18_dem_for,atg_18_rep_dun,sos_18_dem_ara,sos_18_rep_ceg,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20
32,001,14,904,774,6,86,11,8,0,4,15,711,639,4,44,6,8,0,4,6,85,399.9,96.7,483.4,87.7,386.4,74.4,378.90000000000003,66.7,368.7,62.1,372.6,80,375.2,86.7,70.9,96.7,393,373.6,483.4
32,001,15,1056,876,6,107,20,11,9,0,27,851,735,3,72,14,10,4,0,13,85.6,450.8,104.9,498.7,92.7,453.4,68,414.3,60.7,416.8,61.1,400,79,409.4,89,67.7,104.9,451.8,410.2,498.7
32,001,15-01,3,2,0,0,0,1,0,0,0,2,1,0,0,0,1,0,0,0,0.2,1.1,0.2,1.2,0.2,1.1,0.2,1,0.1,1,0.1,0.9,0.2,1,0.2,0.2,0.2,1.1,1,1.2
32,001,15-02,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.1,0.5,0.1,0.6,0.1,0.5,0.1,0.5,0.1,0.5,0.1,0.5,0.1,0.5,0.1,0.1,0.1,0.5,0.5,0.6
32,001,15-03,30,27,0,3,0,0,0,0,0,26,23,0,3,0,0,0,0,0,2.6,13.8,3.2,15.100000000000001,2.8,13.8,2.1,12.6,1.8,12.7,1.8,12.2,2.4,12.5,2.6,2,3.2,13.8,12.5,15.100000000000001
32,001,15-04,4,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0.4,2.1,0.5,2.3,0.4,2.1,0.3,1.9,0.3,2,0.3,1.9,0.4,1.9,0.4,0.3,0.5,2.1,1.9,2.3
32,001,15-05,8,2,0,6,0,0,0,0,0,4,2,0,2,0,0,0,0,0,0.4,2.1,0.5,2.3,0.4,2.1,0.3,1.9,0.3,2,0.3,1.9,0.4,1.9,0.4,0.3,0.5,2.1,1.9,2.3
32,001,15-06,10,6,0,0,0,3,0,0,1,7,4,0,0,0,3,0,0,0,0.7,3.7,0.7999999999999999,4.1,0.7999999999999999,3.7,0.6,3.4,0.5,3.4,0.5,3.3,0.6,3.4,0.7,0.5,0.7999999999999999,3.7,3.4,4.1
32,001,15-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,001,15-08,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0.2,1.1,0.2,1.2,0.2,1.1,0.2,1,0.1,1,0.1,0.9,0.2,1,0.2,0.2,0.2,1.1,1,1.2
32,001,15-09,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0.2,1.1,0.2,1.2,0.2,1.1,0.2,1,0.1,1,0.1,0.9,0.2,1,0.2,0.2,0.2,1.1,1,1.2
32,001,15-10,4,2,0,0,2,0,0,0,0,4,2,0,0,2,0,0,0,0,0.4,2.1,0.5,2.3,0.4,2.1,0.3,1.9,0.3,2,0.3,1.9,0.4,1.9,0.4,0.3,0.5,2.1,1.9,2.3
