state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,pre_20_rep_tru,pre_20_dem_bid,uss_16_rep_cra,uss_16_dem_stu,uss_20_rep_ris,uss_20_dem_jor,gov_18_rep_lit,gov_18_dem_jor,atg_18_rep_was,atg_18_dem_bis,sos_18_rep_den,sos_18_dem_hum,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20
16,001,131,5797,5175,23,372,13,90,11,1,112,3485,3162,12,195,11,63,5,0,37,1843.6,772.4,2831.6,1571.7,2050.5,713.5,2845.3,1504.5,1900.8,1024.2,1998.8,857,1904.7,975.1,742.9,952.1,1537.8,1947.1,1934.4,2838.1
16,001,132,5811,5028,71,394,18,136,0,5,159,3415,3008,41,198,11,95,0,2,60,2012.3,939.2,2721.7,1622,2228.4,849.8,2752.7,1528.4,1858.3,1173.2,2000.4,964.8000000000001,1881.8,1110.8,894.9,1083,1574.7,2119.9,1913.3999999999999,2736.7
16,001,133,4458,3899,48,285,13,90,12,7,104,2857,2564,27,147,9,63,10,3,34,1077,640.9,1617.4,1104.1,1277.1,563.4,1647,1071,1253.9,830.7,1344.9,700.4,1265.9,797.3,602.5,775.9,1088.4,1177.1,1288.1,1631.9
16,001,134,2082,1791,10,127,4,70,7,1,72,1428,1274,6,67,4,47,4,1,25,823.4,341.5,1081.2,638.2,891.5,340.6,1075.2,633.1,783.5,449.9,839.6,361.2,805.1,410.5,341.1,407.4,635.4,857.7,809.4,1078.6
16,001,135,3090,2744,19,219,7,36,7,5,53,1970,1774,9,124,4,26,6,3,24,947.1,388.5,1505.5,741.6,1015.5,388.1,1478.4,742.7,894.5,554.6,948.2,463.2,917.3000000000001,507.4,388.2,508.4,742.3,981,919.6,1491.3
16,001,136,2990,2750,7,144,11,31,3,0,44,2099,1963,5,77,8,22,2,0,22,860,349.2,1038.7,541.2,911.1,374.1,1033.1,535.3,802.1,461.6,862.6999999999999,382.9,833.9,424,361.3,423.1,538.7,885.3,833.2,1036.3
16,001,137,2352,2095,12,168,15,18,0,2,42,1524,1389,4,93,9,13,0,1,15,764,298.5,1241.9,576.5,818.1,273.6,1228.5,578.6,718.4,425.1,781.5,346,748.8,386.7,286.1,386.1,577.5,790.5,749.2,1235.3
16,001,138,2191,1957,5,135,9,45,10,1,29,1657,1505,3,85,4,38,7,1,14,559.9,312.2,724.6,507.2,617.1,346.9,703.6,508.6,488.6,444.4,547.6,375.5,529.8,393.8,329.8,404.6,507.7,588.5,521.4,714.1
16,001,139,3070,2453,20,132,14,354,12,4,81,2040,1654,14,73,9,244,8,0,38,613.9,678.3,890.6,1154.4,770.9,616.7,928.5,1100.6,661.6,840,740.8,718.1,675.9,805.2,647.5,787.6,1127.4,692.1,692.9,910
16,001,14,1061,1015,0,26,1,10,0,0,9,820,787,0,16,1,8,0,0,8,245.6,357.5,295.3,504.2,283.1,336.09999999999997,318.8,479.5,283.1,390.4,315,344.2,282.1,383.1,346.9,372.6,492,264.3,293.3,307.2
16,001,140,3978,3494,19,332,17,31,4,3,78,2383,2126,12,170,11,24,3,3,34,1173.5,398.7,2120,749.7,1188.3,376.8,2065.4,777.2,1039.9,533.8,1125.2,425.9,1070.9,495.9,387.6,485,762.9,1180.7,1078.7,2092.8
16,001,141,4170,3531,30,444,36,19,7,6,97,2657,2314,15,238,22,16,3,4,45,947.9,322.8,1175.1,468.6,973.9,316.8,1089,520.2,714.1,451,760.8,375.3,748.9,402.9,319.9,409.7,493.7,960.8,741.5,1132
16,001,15,1475,1378,8,50,5,17,1,1,15,1200,1137,5,30,5,14,1,0,8,342.3,549.4,416.6,771.1999999999999,400.2,514.6,451,734.9,399.09999999999997,604.5,449.7,531.2,397.7,592.5,532,576.1,753.1,370.9,415.4,434
16,001,16,2669,2491,11,61,2,62,1,6,35,1947,1832,6,42,2,47,1,1,16,532.1,985.3,661.4,1433.1,710.3,914.7,778.4,1325.9,736,1003,784.9,912,667.8,1037.7,950,984.3,1379.6,621,729.3000000000001,719.7
16,001,17,3922,3383,42,164,9,223,2,7,92,2584,2272,20,91,6,151,0,5,39,887.8,641.2,1140.1,951.1,1095,620.2,1205.8,880,963.1,731,1046.1,607.9,970.3,719.2,631,686,915.6,991.4,993.2,1172.8
16,001,18,2856,2597,22,104,19,50,3,7,54,2085,1936,10,58,11,37,3,4,26,789.2,559.1,954,809.2,919.1,546,1023,749.8,846.9,647.1,934,545.2,854.9,641.1,552.5,611,779.5,854.1,878.7,988.2
16,001,19,1464,1368,11,40,2,21,1,0,21,1150,1090,10,27,2,13,1,0,7,441.9,334,507.9,464.9,492.4,306.4,512.7,453.8,439.8,392.9,484.5,336.09999999999997,445.4,377.4,320.3,368.8,459.40000000000003,467.2,456.4,510.4
16,001,2,1911,1811,10,49,7,10,1,0,23,1259,1214,2,25,4,5,0,0,9,796.3,292.3,947.6,383.8,881.8,264.9,964.6,369.9,703.1,303.7,749.8000000000001,248,712,293.5,278.1,281.9,377,839.6999999999999,721.5,956
16,001,20,1766,1567,20,119,9,19,0,0,32,1307,1192,12,64,4,19,0,0,16,440.9,348.2,522.3,510.9,506.1,341.6,523.3,508,443.8,429.9,499.3,369.2,460.4,412.7,345,404,509.9,473.4,467.9,523
16,001,21,1121,1052,5,44,1,11,0,2,6,825,781,2,28,1,8,0,0,5,269.7,199,293,296.2,303.6,207,302,292.4,250.9,262.2,271.1,228.8,254.9,246.5,203.4,246.1,294.3,286.8,258.8,297.8
16,001,22,3236,2812,16,307,9,34,2,2,54,2652,2359,11,204,8,28,2,1,39,744,648.1,824.7,949.3,798.7,626.3,778.5,986.1,676.8,823,763.8,708.3,697,789.7,637,773.9,968,771.4,712.8,801.3
16,001,23,4093,2787,59,1036,51,72,2,5,81,3085,2312,31,587,40,54,2,3,56,486.6,451.9,644.3,937.3,483.7,470,591.3,970.4,369.8,747.6,419.2,666.2,401.2,698,460.5,703.9,954,484.9,397,618
16,001,24,944,849,4,27,7,27,2,1,27,849,782,4,20,5,24,2,1,11,172.5,233.7,218.4,344,197,220,218.4,342.8,184.3,277.6,205.4,246.20000000000002,182.6,272.4,227,265.3,343.40000000000003,184.9,190.79999999999998,218.4
16,001,25,4040,3457,92,257,20,99,6,2,107,3078,2714,50,156,17,74,5,2,60,612.3,1003.6999999999999,747.2,1564.1,718.8,989.9,742.9,1537.5,602,1217.9,712.9,1071.1,625.1,1165.3,996.7,1151.6,1550.7,665.1,646.7,744.9
16,001,26,2192,2046,8,61,19,16,0,2,40,1771,1672,5,41,12,14,0,2,25,423,700,479.8,933.8,475.8,682.9,488,916.2,402.1,808.1,473.1,722,422.3,785,691.2,771.9,925.1,449.3,432.7,484.09999999999997
16,001,27,3965,3379,58,202,16,226,2,2,80,2635,2270,34,125,13,153,2,1,37,883.3,644,1159,1035,1045.9,604.1,1171.4,1023.2,912.5,770.5,972,659.8,933.3,713.7,623.6,714.4,1029.4,965,939.3,1165.3
16,001,28,2302,2031,11,139,11,41,8,2,59,1716,1555,6,79,10,35,5,1,25,581,393,735.9,577.1,620.1,387.2,755.1,557.9,552.9,480.7,598.9,426.8,573.1,461.1,390.2,456.3,567.5,600.5,574.8,745.7
16,001,29,1433,1322,4,52,8,31,0,4,12,1115,1042,1,35,5,24,0,2,6,345.1,280.9,417.6,427,404.40000000000003,287.7,415.90000000000003,429.3,350,358.3,399.2,308.1,369,343.6,284.1,336.7,428.3,374.8,372.9,416.59999999999997
16,001,3,2466,2301,8,90,6,15,1,8,37,1513,1420,3,55,6,8,0,6,15,756.4,743.9,1635.3999999999999,1324.1,866.8,719.4,1645.8999999999999,1281.1,967,882.9,1036.1,771.5,969.6999999999999,865.6,731.6999999999999,840.4,1302.9,811.2,991.1,1640.8
16,001,30,2155,1936,13,122,9,22,1,2,50,1596,1474,7,62,8,15,1,2,27,494.2,405.1,569.2,589,558.6,410.6,571.3,587.8,464.8,519.3,516,438.6,478.2,483.3,408.1,480.9,587.9,526.5,486.5,570.4
16,001,31,3363,2785,53,293,12,120,2,24,74,2612,2265,30,167,10,84,2,17,37,665.4,655.1,759,961.9,770.8,647.9,753.8,940.7,632.9,821.1999999999999,732.1,699.2,659.1999999999999,789.9,651.6,770,951,718,674.8,756.4
16,001,32,1128,1035,20,39,9,10,0,1,14,893,837,7,24,5,9,0,1,10,276.4,285.6,303.9,400.7,325.8,265.9,312.1,391.40000000000003,293.8,317.6,327.6,274.7,291.8,317.3,275.4,303,396,301.1,304.7,308
16,001,33,3865,3161,97,327,33,77,15,1,154,3090,2619,58,219,28,60,12,1,93,564.5,906.3,702.5,1392.5,648.6,887.4,703.3000000000001,1391.7,571.3,1136.6,659.6999999999999,1010.1,578.8,1107.8,897,1084.7,1391.8999999999999,606.7,603.5,702.8
16,001,34,1711,1455,52,100,6,36,3,0,59,1280,1137,22,56,4,24,2,0,35,230.70000000000002,440.2,282.7,690.8,275.1,452.1,280.8,687.8,214.20000000000002,598.5,256.5,541.9,217.29999999999998,592.2,446.2,577.5,688.9,253.2,229.5,281.9
16,001,35,1102,962,5,74,10,12,1,5,33,888,801,2,45,8,8,1,4,19,108.9,259.5,126.7,436.40000000000003,121.2,266.4,129.1,441.5,94.5,339.8,124.4,295.4,106.6,318.7,262.4,318.2,440,116,108.3,128
16,001,36,1835,1699,12,64,8,25,3,2,22,1452,1351,6,49,7,18,3,2,16,194.5,878.5,273.2,1148.5,279.3,848.1,296.5,1124.3,268.9,980.7,340.8,868.4,265.3,958.7,862.9,936.3,1136.4,236.5,291.8,284.8
16,001,37,1841,1689,12,69,3,23,4,4,37,1445,1351,5,46,2,17,4,1,19,156.9,825.5,179.8,1017,235.5,794.9,195.5,997.2,206.7,882.5,267.4,792.3,205.2,871.8,810.8,848.7,1007.3,196.3,226.3,187.2
16,001,38,1959,1836,9,54,1,30,0,1,28,1520,1440,6,33,1,22,0,1,17,257.8,839.6,299.3,1065.3,361,803.6,326.8,1026.6,346,828,382.9,760,325.6,828.8,821.5,805.7,1045.8,309.3,351.5,313
16,001,39,2215,2037,7,89,10,26,1,7,38,1809,1684,3,66,8,21,1,1,25,194.9,964.3000000000001,186.8,1184.7,286.1,941.9,215.7,1165.9,245,1032,295.1,938.4,233.9,1027.6,953.2,999.4,1175.3,240.3,257.8,201
16,001,4,1766,1656,2,59,2,20,3,0,24,1132,1071,0,32,2,12,3,0,12,512.7,277.2,735.1,423.8,590,250,755.4,396.2,571.4,325,615.9,266.6,573.2,314.9,263.2,302,409.9,551.3000000000001,586.9,745.1
16,001,40,1217,1097,7,50,11,17,0,7,28,1012,922,6,37,6,16,0,6,19,125.3,528.7,115.8,666.2,195.2,500.5,134.4,654.8000000000001,136.2,566.2,165.4,513.5,128.9,564.4,515.2,548.3,660.3000000000001,160.5,143.3,125.1
16,001,41,2590,2427,14,60,9,38,1,3,38,2068,1961,9,45,6,28,1,1,17,294.7,1074.2,437.1,1514.4,456.4,995.7,511.6,1431.6,473.7,1100.1,521.5,1002.9,432.4,1115.4,1035,1072.9,1473.1,375.8,475.9,474.3
16,001,42,1700,1559,9,92,6,7,7,1,19,1104,1030,7,48,4,3,4,1,7,556.8,188,933.4,404.4,601.6,192.9,913.6,410.9,560.6,303.3,587.2,255.1,570.3,280.5,190.4,279.6,407.6,578.9,572.5,923.5
16,001,43,3515,3260,9,146,8,38,1,3,50,2687,2536,6,84,6,28,0,3,24,1226.9,468.6,1472,701.7,1243.8,467.9,1469.5,666.9,1145.9,562.2,1209.2,497.8,1163.2,547.9,468.3,536.6,684.9,1235.1,1172.6,1470.4
16,001,44,2823,2535,26,146,12,33,8,0,63,1951,1785,18,84,7,29,6,0,22,741.1,345.4,1008.7,562,776.2,330.9,971.2,572.1,676.5,422.1,745.4,349.6,713.7,386.8,338.1,386,567.1,758.8,712,989.8
16,001,45,4035,3413,22,440,32,53,7,2,66,2958,2599,11,249,22,40,5,1,31,1080,493.7,1375.2,810.7,1130.4,514.7,1304.2,842.4,891.6,663.4,960.2,563.9,929.5,611.3,504.1,612.5,826.8,1104.5,927.1,1339.6
16,001,46,5311,4671,38,381,13,84,12,18,94,3711,3341,23,213,10,65,8,9,42,1182.5,643.3,1550,1020.3,1266.5,645.5,1480.9,1028.1,1065.2,861.8,1198.9,703.9,1116.7,798.8,644.6,788.4,1024.2,1224.2,1126.9,1515.2
16,001,47,3382,3013,13,200,16,58,3,8,71,2301,2090,8,114,9,44,3,4,29,1038,526.6,1441.9,966.5,1135.4,520.2,1420.9,955.5,978.7,675.5,1064.9,558.8,1011,633.5,523,622.4,960.9,1086.8,1017.6999999999999,1431.7
16,001,48,3039,2462,30,222,6,226,1,5,87,2027,1696,15,126,6,151,1,4,28,837.1,461.1,1159.1,921,962.1,423.9,1134.3,912,798.2,676.2,887.1,532.2,841.8,593.2,442.7,600.3,917.1,899.8,842.4,1147
16,001,49,3195,2680,66,225,13,145,3,3,60,2312,2003,40,129,7,93,3,1,36,687,439.1,820.2,697.7,768.9,462.3,813.9,699.2,628.9,622,701,527.1,659.1,574.2,451,574.3,698.6,727.8,662.8000000000001,817
16,001,5,2027,1872,1,105,10,8,1,0,30,1530,1446,0,57,6,6,1,0,14,655.9,305.3,866.1,509.1,653.3,275.8,863.1,499.2,614.1,362.8,648.8000000000001,299.2,605.2,342.8,290.5,335,504.3,654.6,622.4,864.6
16,001,50,5045,4242,80,357,25,201,14,13,113,3724,3222,46,214,20,150,8,7,57,1089.9,809.3,1435.5,1404.6,1184.4,805.5,1385.2,1440.5,991.8,1147,1098.9,1003.4,1055.6,1073.8,806.8,1074.6,1422,1137,1049.1,1410.6
16,001,51,2728,2387,21,175,21,66,1,12,45,2056,1839,9,105,15,55,1,5,27,640.1,481.09999999999997,731.6,720.6,659.8,483.6,722.1,711,587.1,607,641.1,530,604.2,580.2,482.2,572.5,715.8,650.1,610.9,726.5
16,001,52,3033,2459,39,367,16,59,6,3,84,2231,1895,24,204,12,48,4,2,42,490.2,389.1,612.5,642,507.7,398.2,572.3,678.2,419.5,563,468.1,504.7,451.3,529.1,393.8,532.3,660.5,499.2,446.4,592.6
16,001,53,3203,2700,29,318,18,69,4,5,60,2471,2145,23,199,16,53,4,5,26,656.6,532.2,779,836.5,695.8,527.9,762.4,851.1,574.3,694.9,641,596.4,609.3,643,529.9,644.6999999999999,843.7,675.9,608.5,770.5
16,001,54,1754,1517,22,141,7,31,7,1,28,1348,1213,8,76,5,26,2,0,18,332.6,314.2,406,464.1,377.8,318.3,391.4,462.7,299.6,414.4,353.7,342.5,321.3,383.1,316.6,380.5,463.5,355.2,324.8,398.7
16,001,55,2356,2126,19,128,15,24,9,2,33,1839,1693,9,80,15,20,2,2,18,483.09999999999997,565.8,550.8,867.9,541.9,577,569,872.8,496,724.6,569.9,644.5,515.1,708.9,571.6,692.7,869.8,512.7,527.2,559.9
16,001,56,2417,2082,35,177,15,42,1,1,64,2036,1798,26,118,14,35,1,1,43,469,510.90000000000003,563.9,726.1,540.3,514.8,554.9,717.9,460.2,590,497,542.1,476.7,571.9,513.1,567.9,722.1,504.8,477.8,559.4
16,001,57,3974,3024,155,440,33,193,5,9,115,3153,2525,92,286,25,142,4,9,70,547.3,766.1,725,1307.5,638.9,775.8,679.1,1318.2,497.9,1047.6,606.2,908.3,542,986.1,771.4,980.5,1313.2,593.7,548.5,701.1
16,001,58,2098,1593,130,159,12,105,6,6,87,1681,1365,61,103,11,78,6,3,54,178.7,533.4,244.8,823.3000000000001,215.70000000000002,548.1,251.2,817.8000000000001,164.8,685.6,227.3,601.8,188.7,648.7,540.7,645.5,821.4,197.4,193.6,248.6
16,001,59,2666,2433,19,124,10,36,5,0,39,2178,2006,14,92,9,28,4,0,25,219.6,982.4,316.5,1299.2,311.1,960.2,329.8,1271.3,250,1124.3,349.9,998.4,268.1,1093.3,971.2,1071.1,1285.5,265.2,289.4,323.6
16,001,6,3690,3351,7,170,22,36,8,1,95,2749,2544,5,105,16,28,6,1,44,1106.8,769.2,1437.2,1161.2,1223.8,742.9,1448.8,1095.6,1030.9,915.6999999999999,1111.5,794.6,1034.6,889.5,756.4,866.6999999999999,1127.8,1165.6,1059.2,1443
16,001,60,3111,2556,53,223,35,84,3,5,152,2851,2394,44,191,29,68,3,3,119,327.7,1024.7,464.8,1506.5,427.2,1016.1,485,1479.1,353.2,1229.6,439.6,1105.9,367.8,1197.1,1021,1177.3,1493.4,377.8,386.4,474.9
16,001,61,2814,2465,16,219,10,31,5,5,63,1900,1717,10,111,6,22,5,3,26,773.5,286.5,932.8000000000001,518.9,789.4,288.4,889.4,511,671.1,417,739.9,345.6,709.8,375.6,287.3,379.9,514.7,781.4,707,910.9
16,001,62,2173,1879,16,166,10,27,3,3,69,1565,1400,13,85,8,23,2,2,32,468.90000000000003,185.1,562.8,343.6,492.4,197.8,519,356.1,369,300.8,412.3,261.1,386.8,284.9,191.5,282.3,349.5,480.7,389.2,541.2
16,001,63,4667,3936,49,474,26,63,0,1,118,3296,2879,26,273,21,42,0,1,54,978.9,513.6,1247.3,994.8,1052.7,486.9,1212.5,1002.6,804.2,759.9,910.8,627.9,865.2,677.6,500,689.2,998.5,1016.2,860.2,1229.7
16,001,64,5713,4762,48,568,19,180,3,6,127,4188,3587,34,343,16,139,3,3,63,1172.6,807,1507.9,1303.4,1310.8,774.6,1447,1302.5,1043.6,1114.5,1172.4,965.1,1108.6,1046.1,791.1,1041.6,1303.3,1241.9,1108.6,1477.8
16,001,65,3213,2640,27,250,16,187,2,6,85,2467,2085,18,158,13,136,2,1,54,714.4,494.6,836.2,743.9,779.1,458.6,804.3000000000001,754.8,631.8,596.3000000000001,684.8,525.1,633.7,587.4,476.59999999999997,569.5,749.4,747.1,650,820.1
