state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,pre_20_dem_bid,pre_20_rep_tru,uss_16_dem_van,uss_16_rep_sze,uss_18_dem_car,uss_18_rep_cam,gov_18_dem_jea,gov_18_rep_hog,atg_18_dem_fro,atg_18_rep_wol,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20
24,003,01-002,1877,1685,50,30,0,80,5,0,27,1490,1350,42,20,0,60,5,0,13,436.3,743.8,612.1,669.4,470.8,775.5,483,577.9,242.9,896.9,491.3,642.7,453.7,405.6,612.1,759.5,706.1,669.4
24,003,01-003,3181,2469,290,213,14,103,1,6,85,2540,2035,221,149,11,76,1,3,44,448.5,864.4,589.7,821.5,544.3,786.1,429.7,506.1,203.8,804.5,423.4,576.5,496.4,352.4,589.7,825.3,629.1,821.5
24,003,01-004,2741,1736,809,59,2,82,1,4,48,2202,1450,629,38,2,60,1,2,20,795,539.8,911,595.2,841.9,500.09999999999997,661.4,315.90000000000003,442.4,582.2,664.7,365,818.6,589.1,911,519.5,421.2,595.2
24,003,01-005,2402,1353,485,145,9,304,1,4,101,1877,1116,365,95,7,239,1,0,54,675.2,420,864,401.2,668.1,434.1,681,293,411,581,660,345,671.8000000000001,583.9,864,427,406.5,401.2
24,003,01-006,2686,1264,865,204,5,218,2,7,121,2031,1005,634,147,5,172,2,3,63,1014.6,426.1,1372.8999999999999,475.4,1017.8000000000001,453.2,992.9,322.7,733.9,623.5,999.5,381.3,1016.1,908.7,1372.8999999999999,439.7,442.7,475.4
24,003,01-007,2265,1981,84,80,15,59,1,4,41,1787,1593,61,59,11,40,1,2,20,368.7,808,406,628.9,451,791.9,443,532,194.7,856,438,609.1,409.7,358.2,406,800.1,665.6999999999999,628.9
24,003,01-008,3031,2615,173,113,6,73,4,1,46,2426,2132,129,70,6,62,3,1,23,483.3,1037.9,609,935.8,609,927.9,478,713.9,225.2,1067.6,485.6,799.4,546.4,396.1,609,982.8,860.3,935.8
24,003,01-009,2800,2376,171,93,7,85,1,3,64,2177,1913,117,51,5,63,0,0,28,412.2,886,520.9,879.8000000000001,474,834.2,421,589.4,209.1,884.9,406.8,669.2,443.1,345.7,520.9,860.3,714.4,879.8000000000001
24,003,01-010,1778,1632,27,34,3,55,0,3,24,1406,1312,19,22,2,34,0,3,14,436,678,506.5,590.3000000000001,460.9,678.8,495.3,489.7,219.2,852.8000000000001,488.6,584.5,448.5,401,506.5,678.4,642.5,590.3000000000001
24,003,01-011,1551,1423,28,44,5,37,2,0,12,1231,1154,20,20,5,25,1,0,6,347.7,690.4,401.3,535,376.1,687.9,375.5,514.1,166.8,806.2,415.1,538,361.8,319,401.3,689.1999999999999,619.4,535
