GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ndv,nrv,adv_16,arv_16,adv_18,arv_18,adv_20,arv_20
32003001367,NV,Clark County,001367,4090,1026,1546,355,6,724,134,18,281,3092,708,1280,257,6,586,83,12,160,763.6,487.1,727,434,597.9,357.4,966,670
32003001368,NV,Clark County,001368,4240,1235,1608,415,23,439,102,25,393,3151,839,1335,308,18,357,68,20,206,708.4,453.5,679.1,436.8,543.8,333.1,902.2,590.6
32003001371,NV,Clark County,001371,6,0,4,0,0,0,0,0,2,4,0,4,0,0,0,0,0,0,6.3,7.3,2.7,3.5,6.3,6.3,9.8,12.1
32003001374,NV,Clark County,001374,4,4,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32003001375,NV,Clark County,001375,6,2,0,0,0,4,0,0,0,4,0,0,0,0,4,0,0,0,0.3,0,0,0,0,0,1,0
32003001376,NV,Clark County,001376,5,0,3,2,0,0,0,0,0,3,0,3,0,0,0,0,0,0,5.3,5.5,1,0.9,4.1,4,10.9,11.5
32003001377,NV,Clark County,001377,6,0,6,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,9,10.3,2.5,3.3,6.8,8.8,17.8,18.8
32003001378,NV,Clark County,001378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.5,111.8,21,19.4,82.8,82.3,218.8,233.8
32003001379,NV,Clark County,001379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32003001380,NV,Clark County,001380,5,2,2,0,0,1,0,0,0,5,2,2,0,0,1,0,0,0,0.2,0.7,0,1.3,0,0,0.7,0.7
32003001381,NV,Clark County,001381,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,6.1,7.3,2.1,1,4.4,6.3,11.8,14.5
32003001382,NV,Clark County,001382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1
32003001384,NV,Clark County,001384,6052,1028,3198,306,11,1013,22,28,446,4441,668,2474,233,10,798,16,20,222,492,509.6,80.3,75.7,324.4,318.5,1071.4,1134.6
32003001385,NV,Clark County,001385,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,1.7,2.1,0.3,0.3,1.3,1.3,3.5,4.7
32003001386,NV,Clark County,001386,8,1,6,1,0,0,0,0,0,7,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32003001387,NV,Clark County,001387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32003001389,NV,Clark County,001389,2109,371,834,126,9,536,38,4,191,1564,253,648,99,4,416,27,3,114,436.7,390.5,404.4,359.2,348.1,297.3,557.6,515
32003001390,NV,Clark County,001390,5750,941,2883,547,25,818,65,37,434,4668,681,2506,446,20,655,56,31,273,1043.4,822.6,804.6,648.5,741.2,553.9,1584.4,1265.4
32003001391,NV,Clark County,001391,3652,651,1662,337,9,662,46,34,251,2793,444,1350,257,6,519,31,29,157,686.3,536.1,626.9,501.9,597.4,383.5,834.5,723
32003001394,NV,Clark County,001394,2060,243,1284,86,3,263,8,9,164,1617,173,1039,80,3,218,3,9,92,468.4,610,430,591,428.1,523,547,716
32003001395,NV,Clark County,001395,2081,269,1253,81,2,310,10,9,147,1625,175,1010,71,0,260,10,6,93,415.6,621.2,363.2,617.9,348.8,516.1,534.7,729.7
32003001396,NV,Clark County,001396,2009,300,1043,171,3,317,15,10,150,1494,185,818,142,2,239,12,4,92,459.6,358.7,445.5,355.5,385.4,278.7,548,442
32003001410,NV,Clark County,001410,3244,578,1835,198,1,343,30,24,235,2403,393,1430,145,1,260,22,15,137,649.7,667.2,542.5,641.5,571.7,549.1,835,811
32003001411,NV,Clark County,001411,2241,418,1222,163,13,278,5,7,135,1710,265,1007,132,6,212,3,4,81,493.2,517.1,442.5,517.5,421.1,456.9,616,577
32003001509,NV,Clark County,001509,2011,236,1256,102,12,268,15,6,116,1640,156,1085,82,8,229,15,5,60,517.4,670.3,450.6,668.3,458.6,580.2,643.1,762.5
32003001510,NV,Clark County,001510,1398,94,1007,29,2,194,3,4,65,1122,63,825,20,1,164,1,2,46,270.4,563.1,250.4,552.3,224.2,513.7,336.5,623.3
