GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_16_rep_cra,uss_16_dem_stu,gov_18_rep_lit,gov_18_dem_jor,atg_18_rep_was,atg_18_dem_bis,sos_18_rep_den,sos_18_dem_hum,pre_20_rep_tru,pre_20_dem_bid,uss_20_rep_ris,uss_20_dem_jor,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
16075759001,ID,Payette County,759001,2944,693,2020,10,31,15,2,11,162,2170,413,1596,8,24,14,2,2,111,537.7,165.8,540.7,161.9,427.7,206.8,465.7,176.8,456.7,197.8,720.5,231.8,686.5,262.8,539.2,163.9,450.1,193.8,703.5,247.3,547.9,200.5
16075759002,ID,Payette County,759002,3904,468,3140,6,17,29,4,24,216,3087,329,2533,6,15,28,4,13,159,1150,286.5,1146,302.5,1032.2,358.4,1083.1,310.5,1056.2,345.4,1574.3,416.3,1512.4,432.3,1148,294.5,1057.2,338.1,1543.3,424.3,1222,350.3
16075759003,ID,Payette County,759003,2175,490,1512,4,28,12,6,6,117,1625,306,1210,4,15,12,3,1,74,451.6,128.6,443.1,149.5,374.4,184.7,411.5,149.5,398.2,163.8,616.4,164.8,567,192.4,447.4,139.1,394.7,166,591.7,178.6,466,161.9
16075759004,ID,Payette County,759004,1435,294,1040,2,8,9,7,10,65,1077,178,822,2,8,9,3,7,48,291.8,64,293.6,66.7,241.5,79.3,245.2,73.9,250.5,72.2,399,101.8,370.2,111.7,292.7,65.4,245.7,75.1,384.6,106.7,298.8,81.4
16075759005,ID,Payette County,759005,4268,919,3064,13,26,44,5,18,179,3049,568,2302,9,11,34,1,11,113,1069.4,294.1,1107.4,266.7,869.1,334.2,915.9,290.1,895.3,313.1,1429.4,405,1398.3,406.6,1088.4,280.4,893.4,312.4,1413.9,405.8,1097.8,329.9
16075759006,ID,Payette County,759006,3357,709,2380,9,13,49,5,20,172,2351,395,1777,4,11,41,2,7,114,804.5,192.5,812.7,180.6,662.5,242.6,687.6,212.6,690.3,217,1179.8,347.3,1149.7,341.1,808.6,186.5,680.1,224.1,1164.8,344.2,855.3,247.7
16075759007,ID,Payette County,759007,609,39,505,0,9,11,0,5,40,440,24,368,0,9,9,0,3,27,213.5,24.4,221.6,26.4,208.4,30.7,205.6,31.6,202.7,36.5,275.9,46.1,266.2,55.4,217.5,25.4,205.6,32.9,271.1,50.8,227.7,35.9
16075759008,ID,Payette County,759008,3521,348,2937,2,20,19,0,24,171,2590,215,2208,2,20,15,0,23,107,1050.4,210.5,1013.5,239.4,949.6,257.4,976.6,233.4,977.5,241.4,1402.5,279.3,1344.6,295.3,1031.9,224.9,967.9,244.1,1373.6,287.3,1102.1,250.9
16075759009,ID,Payette County,759009,2667,255,2229,6,6,13,2,11,145,1902,154,1615,6,6,7,2,11,101,776.4,117.7,748.8,128.6,655.8,167.1,682.6,144.3,684.6,152.2,1056.4,144.3,1008.8,177,762.6,123.1,674.3,154.6,1032.6,160.7,801.9,147.3
16075759010,ID,Payette County,759010,506,53,413,0,5,6,0,4,25,361,33,300,0,5,4,0,4,15,134.2,20.3,142.7,24.3,123.7,25.8,135.9,17.7,132.9,20.7,194.9,20.6,171.7,29.9,138.4,22.3,130.8,21.4,183.3,25.3,148,22.8
