GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_16_rep_you,uss_16_dem_bay,gov_16_rep_hol,gov_16_dem_gre,atg_16_rep_hil,atg_16_dem_arr,uss_18_rep_bra,uss_18_dem_don,sos_18_rep_law,sos_18_dem_har,avg_16_rep,avg_16_dem,avg_18_rep,avg_18_dem,avg_20_rep,avg_20_dem
18041000190,IN,Fayette County,000190,1090,18,1033,7,3,2,0,0,27,884,13,838,7,2,1,0,0,23,280,111,217,170,212,166,288,105,185,110,203,96,249.2,138,194,103,NA,NA
18041000200,IN,Fayette County,000200,1118,10,1058,20,1,0,0,6,23,886,8,839,20,0,0,0,6,13,212.5,94.2,182.1,125.3,181.6,130.6,215.3,98,124.8,89.2,143.6,71.7,197.9,112,134.2,80.4,NA,NA
18041000210,IN,Fayette County,000210,620,7,602,1,0,2,0,0,8,503,7,491,1,0,0,0,0,4,179.7,75.7,142.8,100.7,141.8,105.7,159.8,91.6,87.2,85.7,101.1,82.6,156,93.4,94.2,84.2,NA,NA
18041000220,IN,Fayette County,000220,559,7,529,4,2,3,0,1,13,436,4,426,0,0,2,0,0,4,196.8,63.1,169.1,85,158.6,90.8,196.8,54.5,151,62.1,165.3,50.6,180.3,73.3,158.2,56.4,NA,NA
18041000230,IN,Fayette County,000230,737,1,715,12,1,1,0,1,6,574,0,559,12,0,1,0,1,1,295,60,266,84,244,106,295,64,212,73,223,58,275,78.5,217.5,65.5,NA,NA
18041000240,IN,Fayette County,000240,1464,12,1386,4,1,2,0,2,57,1159,5,1101,4,1,1,0,2,45,543.1,134,442.8,203.5,433.9,214.5,505.4,151.9,384.2,160.8,412,144,481.3,176,398.1,152.4,NA,NA
18041000250,IN,Fayette County,000250,808,8,764,0,0,4,0,5,27,670,6,632,0,0,4,0,5,23,294,64,229,114,227,125,260,80,219,77,234,63,252.5,95.8,226.5,70,NA,NA
18041000260,IN,Fayette County,000260,700,4,677,4,2,0,0,0,13,543,4,526,4,2,0,0,0,7,224,52,188,71,177,88,215,53,156,67,175,48,201,66,165.5,57.5,NA,NA
18041000270,IN,Fayette County,000270,431,4,420,0,0,1,0,0,6,335,2,332,0,0,1,0,0,0,176,48,144,73,128,79,173,46,130,64,146,45,155.2,61.5,138,54.5,NA,NA
18041000280,IN,Fayette County,000280,531,5,511,0,0,0,0,2,13,408,3,394,0,0,0,0,2,9,184,77,139,109,142,106,174,75,100,68,115,59,159.8,91.8,107.5,63.5,NA,NA
