GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_16_dem_ben,uss_16_rep_gle,gov_18_dem_pol,gov_18_rep_sta,atg_18_dem_wei,atg_18_rep_bra,sos_18_dem_gri,sos_18_rep_wil,pre_20_dem_bid,pre_20_rep_tru,uss_20_dem_hic,uss_20_rep_gar,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
08005005378,CO,Arapahoe County,005378,2399,271,1541,158,2,249,0,17,161,1550,137,1013,118,2,174,0,10,96,784.6,757.1,776.1,816.7,578.6,479.2,538.6,505.2,553,496.7,886.9,640.2,814.9,708.4,786.9,780.4,493.7,556.7,674.3,850.9,629.1,704.7
08005005379,CO,Arapahoe County,005379,1303,89,952,58,2,144,2,3,53,945,53,707,48,2,105,1,2,27,147.2,168.2,144.4,174.7,299,339.3,281.1,351.8,275.7,360.8,390.3,377.8,360.8,412.7,171.5,145.8,350.6,285.3,395.3,375.6,312.2,271.2
08005005380,CO,Arapahoe County,005380,1628,168,1084,84,9,149,1,11,122,1065,104,722,59,9,102,1,5,63,202.1,193.4,202.7,203.6,296,252.1,280.8,265.5,282.7,265.5,445,376.2,415.4,422.1,198.5,202.4,261,286.5,399.2,430.2,282.6,303.5
08005005381,CO,Arapahoe County,005381,2884,671,1431,451,11,149,8,20,143,2077,425,1120,314,11,109,4,7,87,441,433.5,460.8,454,573.1,461.1,542.1,484.1,591.1,456.1,881.1,637.1,829.1,672.1,443.7,450.9,467.1,568.7,654.6,855.1,514,616.9
08005005401,CO,Arapahoe County,005401,2606,403,1274,650,20,133,3,13,110,2138,299,1146,466,14,107,3,12,91,682.9,208,676.3,183.6,574.9,154.9,560.2,163.8,579.5,163,829.4,243.7,813.4,242,195.8,679.6,160.6,571.5,242.8,821.4,194.1,673.8
08005005402,CO,Arapahoe County,005402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.8,51.2,178.2,54,175.2,47.6,172,50,172,51.2,213.5,54.6,211.1,59.7,52.6,177,49.6,173,57.1,212.3,52.6,185.4
08005005403,CO,Arapahoe County,005403,1784,291,970,253,7,158,0,9,96,1549,241,878,201,7,133,0,6,83,295.1,86.2,288.1,91.8,286.7,58.8,269.1,68,277.5,67.3,398.1,90.3,384.7,98.8,89,291.6,64.7,277.8,94.6,391.4,80.2,314.2
08005005404,CO,Arapahoe County,005404,2488,772,959,462,29,114,4,15,133,1773,489,760,329,18,95,4,13,65,262.5,78.3,260,87.3,398.6,113.7,402.4,111.7,395.6,123.7,567.1,126.8,538.5,139.3,82.8,261.3,116.4,398.8,133,552.8,111.5,403.5
08005005405,CO,Arapahoe County,005405,2342,588,999,520,15,90,5,8,117,1813,416,865,367,11,80,3,4,67,502,146,491,157,394,99,388,97,387,100,586,164,559,172,151.5,496.5,98.7,389.7,168,572.5,133.6,472.4
08005005406,CO,Arapahoe County,005406,1133,210,502,269,0,95,0,1,56,856,145,444,162,0,64,0,1,40,76.3,19.6,74.1,22.4,65.9,14.9,62,16.3,62.9,17.1,87.3,26.9,86.1,27.8,21,75.2,16.1,63.6,27.4,86.7,20.7,73.5
