GEOID20,state,county,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_18_dem_rin,uss_18_rep_bra,gov_18_dem_mil,gov_18_rep_moo,pre_20_dem_bid,pre_20_rep_tru,uss_20_dem_gid,uss_20_rep_col,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
230010103001020,ME,Androscoggin County,67,1,57,1,0,0,0,0,8,46,1,40,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230010103002000,ME,Androscoggin County,59,4,41,3,1,0,0,0,10,48,1,33,3,1,0,0,0,10,28,26,5,18,23,20,46,33,38,39,26,28,19,14,36,42,27.2,28
230010103002001,ME,Androscoggin County,75,2,64,2,0,0,0,0,7,60,2,50,1,0,0,0,0,7,13,10,2,7,12,8,12,8,9,10,10,13,7.5,7,9,10.5,8.6,9.6
230010103002002,ME,Androscoggin County,43,0,23,7,0,2,0,2,9,29,0,16,5,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230010103002003,ME,Androscoggin County,92,5,61,15,0,1,0,2,8,68,3,46,12,0,1,0,0,6,4,3,1,2,4,3,4,3,3,3,3,4,2.5,2.5,3,3.5,2.8,3.2
230010103002004,ME,Androscoggin County,67,0,60,0,0,0,0,0,7,51,0,47,0,0,0,0,0,4,245,193,40,137,219,147,212,152,174,178,193,245,142,129.5,165,193,161.4,178
230010103002005,ME,Androscoggin County,57,0,41,3,5,0,0,0,8,50,0,41,3,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230010103002006,ME,Androscoggin County,47,0,33,1,1,8,0,0,4,38,0,25,1,1,8,0,0,3,16,19,2,13,14,16,9,8,7,10,19,16,14.5,8,9,8,13.2,9.6
230010103002007,ME,Androscoggin County,57,0,47,4,2,0,0,0,4,41,0,33,4,2,0,0,0,2,11,13,2,9,9,11,6,6,5,7,13,11,10,5.5,6.5,5.5,9.2,6.6
230010103002008,ME,Androscoggin County,23,0,11,3,2,0,0,2,5,7,0,5,2,0,0,0,0,0,3,4,0,3,3,3,2,2,1,2,4,3,3,1.5,2,1.5,2.8,1.8
230010103002009,ME,Androscoggin County,170,0,170,0,0,0,0,0,0,170,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230010103003000,ME,Androscoggin County,114,8,99,4,0,0,0,0,3,81,8,67,3,0,0,0,0,3,6,4,1,3,5,3,5,3,4,4,4,6,3,3,3.5,4.5,3.4,4.2
230010103003001,ME,Androscoggin County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,15,3,10,17,11,16,12,13,14,15,19,10.5,10,13,14.5,12.4,13.6
230010103003002,ME,Androscoggin County,98,12,66,7,2,9,0,0,2,71,6,47,7,2,9,0,0,0,3,4,0,3,3,3,2,2,1,2,4,3,3,1.5,2,1.5,2.8,1.8
230010103003003,ME,Androscoggin County,103,3,80,12,0,0,0,2,6,70,0,63,5,0,0,0,2,0,6,8,1,5,6,6,4,3,3,4,8,6,5.5,3.5,3.5,3.5,5.2,4
230010103003004,ME,Androscoggin County,96,3,65,26,0,0,0,0,2,59,3,41,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
