GEOID20,state,county,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_16_dem_sch,uss_16_rep_car,uss_18_dem_hir,uss_18_rep_cur,gov_18_dem_ige,gov_18_rep_tup,pre_20_dem_bid,pre_20_rep_tru,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
150039817001042,HI,Honolulu County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3.6,6.8,3,5.4,3.1,5,3.2,8.1,3.8,3.3,6.4,3.2,5.2,3.8,8.1,3.3,6.3
150039817001043,HI,Honolulu County,44,15,23,1,2,0,0,0,3,31,6,20,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150039817001044,HI,Honolulu County,66,23,26,3,3,3,0,0,8,52,17,18,3,3,3,0,0,8,12.8,7.7,14.6,6.4,11.6,6.7,10.8,6.8,17.3,8.1,7.1,13.7,6.8,11.2,8.1,17.3,7.1,13.4
150039817001045,HI,Honolulu County,61,10,41,3,0,4,0,0,3,38,3,28,3,0,4,0,0,0,9.6,5.8,10.9,4.8,8.7,5,8.1,5.1,13,6.1,5.3,10.2,5,8.4,6.1,13,5.4,10.1
150039817001046,HI,Honolulu County,25,14,4,1,0,5,0,0,1,13,8,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150039817001047,HI,Honolulu County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.2,0.4,0.2,0.3,0.2,0.3,0.2,0.5,0.2,0.2,0.4,0.2,0.3,0.2,0.5,0.2,0.4
150039817001048,HI,Honolulu County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.4,0.7,0.3,0.5,0.3,0.5,0.3,0.8,0.4,0.3,0.6,0.3,0.5,0.4,0.8,0.3,0.6
150039817001049,HI,Honolulu County,65,12,44,7,0,0,1,0,1,35,5,24,5,0,0,0,0,1,1.4,0.8,1.6,0.7,1.3,0.7,1.2,0.8,1.9,0.9,0.8,1.5,0.8,1.2,0.9,1.9,0.8,1.5
150039817001050,HI,Honolulu County,22,3,16,1,0,0,0,0,2,16,0,13,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150039817001051,HI,Honolulu County,351,94,196,32,0,13,5,8,3,348,92,196,32,0,13,5,8,2,12.5,7.5,14.3,6.2,11.3,6.5,10.5,6.7,16.9,8,6.8,13.4,6.6,10.9,8,16.9,7,13.1
