GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_16_rep_pau,uss_16_dem_gra,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
2111100H103,KY,Jefferson County,00H103,1237,40,1086,47,0,10,2,2,50,1075,32,953,39,0,10,2,0,39,221.7,646.5,269.5,644.3,245.6,645.4,NA,NA,NA,NA,245.6,645.4
2111100H105,KY,Jefferson County,00H105,1139,56,963,58,0,9,0,6,47,998,42,859,49,0,8,0,6,34,163,461,163,505,163,483,NA,NA,NA,NA,163,483
2111100H106,KY,Jefferson County,00H106,979,25,883,19,2,10,1,5,34,845,17,779,15,0,7,1,4,22,157.3,411.2,172.3,447.2,164.8,429.2,NA,NA,NA,NA,164.8,429.2
2111100H109,KY,Jefferson County,00H109,623,16,546,26,3,7,0,2,23,533,13,471,23,3,7,0,0,16,111.3,209.7,101.3,238.8,106.3,224.2,NA,NA,NA,NA,106.3,224.2
2111100H110,KY,Jefferson County,00H110,1121,19,1022,37,1,2,0,0,40,962,14,890,32,1,2,0,0,23,200.7,413.9,183.4,461,192.1,437.4,NA,NA,NA,NA,192.1,437.4
2111100H111,KY,Jefferson County,00H111,750,16,670,30,2,12,0,0,20,662,13,594,29,2,12,0,0,12,114.8,183.2,127.7,196.5,121.3,189.8,NA,NA,NA,NA,121.3,189.8
2111100H112,KY,Jefferson County,00H112,1327,35,1152,52,1,9,0,11,67,1093,32,973,29,1,9,0,6,43,264.8,407,268.1,444.8,266.4,425.9,NA,NA,NA,NA,266.4,425.9
2111100H113,KY,Jefferson County,00H113,578,18,519,10,0,10,0,1,20,468,13,423,8,0,10,0,0,14,161.4,169.9,187.5,173.1,174.4,171.5,NA,NA,NA,NA,174.4,171.5
2111100H114,KY,Jefferson County,00H114,73,9,29,13,0,2,0,4,16,51,8,15,13,0,0,0,2,13,1.7,5.1,1.7,5.1,1.7,5.1,NA,NA,NA,NA,1.7,5.1
2111100H115,KY,Jefferson County,00H115,619,9,560,19,1,4,1,0,25,505,5,464,15,1,4,1,0,15,160.4,225.1,155.4,255,157.9,240.1,NA,NA,NA,NA,157.9,240.1
2111100H116,KY,Jefferson County,00H116,1019,14,912,36,3,9,0,2,43,841,11,765,22,3,9,0,0,31,352.2,412,342.1,484.3,347.2,448.1,NA,NA,NA,NA,347.2,448.1
2111100H117,KY,Jefferson County,00H117,1433,23,1334,11,1,11,3,1,49,1155,12,1086,11,1,9,3,1,32,349.4,346.3,365.6,375.7,357.5,361,NA,NA,NA,NA,357.5,361
2111100H118,KY,Jefferson County,00H118,1323,52,1080,93,5,13,6,7,67,1083,30,905,78,5,12,6,4,43,265.2,371.3,257.2,429.3,261.2,400.3,NA,NA,NA,NA,261.2,400.3
2111100H120,KY,Jefferson County,00H120,1788,83,1499,77,6,20,1,6,96,1480,59,1273,54,6,15,1,6,66,438.6,484.8,396.6,584.9,417.6,534.9,NA,NA,NA,NA,417.6,534.9
2111100H121,KY,Jefferson County,00H121,771,22,689,26,1,9,0,0,24,651,19,586,21,1,8,0,0,16,131.4,181.8,129.4,207.5,130.4,194.6,NA,NA,NA,NA,130.4,194.6
2111100H123,KY,Jefferson County,00H123,649,40,521,52,4,1,1,4,26,516,26,428,38,4,0,1,3,16,71.2,67,62.7,83.4,66.9,75.2,NA,NA,NA,NA,66.9,75.2
2111100H124,KY,Jefferson County,00H124,452,66,202,157,6,6,2,6,7,403,54,195,130,6,5,2,6,5,25.9,78.4,23.5,87.9,24.7,83.1,NA,NA,NA,NA,24.7,83.1
2111100H125,KY,Jefferson County,00H125,947,174,651,58,0,9,1,7,47,762,107,566,43,0,5,1,5,35,200.2,187.8,171.1,235.6,185.7,211.7,NA,NA,NA,NA,185.7,211.7
2111100H126,KY,Jefferson County,00H126,945,114,717,45,5,7,2,3,52,753,75,602,28,5,5,2,0,36,226,201,190,264,208,232.5,NA,NA,NA,NA,208,232.5
2111100H127,KY,Jefferson County,00H127,1240,353,360,457,0,6,3,13,48,885,246,282,315,0,3,1,3,35,86,204,77,220,81.5,212,NA,NA,NA,NA,81.5,212
2111100H130,KY,Jefferson County,00H130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.3,41.2,38.1,51.1,40.7,46.2,NA,NA,NA,NA,40.7,46.2
2111100H131,KY,Jefferson County,00H131,628,35,533,18,6,3,1,7,25,562,32,485,18,1,3,1,5,17,79.3,271.3,83.5,300.1,81.4,285.7,NA,NA,NA,NA,81.4,285.7
2111100H132,KY,Jefferson County,00H132,319,12,273,9,0,11,0,0,14,278,10,247,9,0,8,0,0,4,29,182,40,183,34.5,182.5,NA,NA,NA,NA,34.5,182.5
2111100H133,KY,Jefferson County,00H133,165,4,147,4,0,3,0,0,7,146,4,131,1,0,3,0,0,7,15,62,15,69,15,65.5,NA,NA,NA,NA,15,65.5
2111100H138,KY,Jefferson County,00H138,3426,755,1470,923,8,54,3,15,198,2439,516,1184,569,6,48,0,5,111,411.6,593.8,374.1,683.5,392.8,638.6,NA,NA,NA,NA,392.8,638.6
2111100H141,KY,Jefferson County,00H141,1276,34,1085,55,3,27,0,2,70,1060,25,927,38,2,22,0,1,45,203.8,453.1,215.8,491.6,209.8,472.3,NA,NA,NA,NA,209.8,472.3
2111100H144,KY,Jefferson County,00H144,2178,379,1432,242,1,27,0,6,91,1705,275,1170,172,1,18,0,2,67,405,284,354,374,379.5,329,NA,NA,NA,NA,379.5,329
2111100H145,KY,Jefferson County,00H145,1217,137,964,64,1,6,1,2,42,962,96,801,32,1,5,0,2,25,346,199,295,269,320.5,234,NA,NA,NA,NA,320.5,234
2111100H146,KY,Jefferson County,00H146,2089,501,1233,178,3,36,4,18,116,1654,349,1052,135,3,36,4,10,65,379.9,280.4,329.3,351.7,354.6,316.1,NA,NA,NA,NA,354.6,316.1
2111100H147,KY,Jefferson County,00H147,1318,201,850,152,6,36,3,8,62,1033,156,709,106,6,20,3,4,29,306,212,282,279,294,245.5,NA,NA,NA,NA,294,245.5
2111100H148,KY,Jefferson County,00H148,2089,374,1359,175,8,34,1,20,118,1584,259,1100,109,8,21,1,8,78,369.8,235,322.2,317.9,346,276.5,NA,NA,NA,NA,346,276.5
2111100H150,KY,Jefferson County,00H150,13,10,0,1,0,0,0,0,2,7,4,0,1,0,0,0,0,2,1.2,0.4,1.2,0.4,1.2,0.4,NA,NA,NA,NA,1.2,0.4
