GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_16_dem_lea,uss_16_rep_mil,gov_16_dem_min,gov_16_rep_sco,atg_16_dem_don,atg_16_rep_buc,uss_18_rep_zup,gov_18_dem_hal,gov_18_rep_sco,atg_18_dem_don,atg_18_rep_wil,sos_18_dem_con,sos_18_rep_pai,pre_20_dem_bid,pre_20_rep_tru,gov_20_dem_zuc,gov_20_rep_sco,atg_20_dem_don,atg_20_rep_pai,sos_20_dem_con,sos_20_rep_pai,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
50005500503,VT,Caledonia County,500503,2335,29,2164,9,8,13,2,8,102,1901,21,1786,4,8,9,2,8,63,640.8,489.7,708.1,570.3,408.5,889.7,704,536.8,412.5,349.1,745.8,664.6,408.5,685.5,400.6,849.2,554.2,277.2,1126.2,850.8,465,796.3,489,621.6,615.4,491.9,566.4,658.6,693.4,590.7,630.4
50005500504,VT,Caledonia County,500504,984,13,900,4,3,0,0,2,62,772,8,708,4,3,0,0,2,47,159,234,199,257,123,345,217,224,176,96,289,197,184,182,201,248,272,97,411,269,227,235,243,265,174.5,212.5,158.3,288.2,212.2,255.2,183.8
50005500505,VT,Caledonia County,500505,2920,58,2657,19,5,23,2,11,145,2375,42,2173,14,5,21,2,7,111,645.3,496.6,777.2,509.5,457,871.4,754.4,516.5,354.9,411.4,674.1,721.7,359.9,723.7,361.8,923.9,571,393.6,1098.4,940.8,477.8,842.6,496.6,598.5,658.5,437.7,618.9,661,775.2,565.7,690.1
50005500506,VT,Caledonia County,500506,575,5,538,1,0,5,0,4,22,428,5,397,0,0,5,0,4,17,122.1,93.8,138.7,103.6,88.9,158.3,145.6,93.8,84,89.9,143.6,141.7,87.9,137.8,87.9,185.6,126,75.2,235.4,181.7,107.5,181.7,105.5,112.4,123.8,100.9,123.1,143.6,156.1,118.9,135.3
50005500508,VT,Caledonia County,500508,584,1,551,0,5,0,0,8,19,482,1,457,0,4,0,0,6,14,130.8,116.9,142.6,126,79.5,217.9,140.7,143.8,100.5,88.3,151.8,124.9,112.3,120.9,111.3,169.9,159.6,55.5,260,173.3,130.2,147.1,143.3,151.1,123.4,119,111.4,173.3,136.4,147.8,124.9
50005500509,VT,Caledonia County,500509,715,6,679,2,0,4,0,1,23,590,4,564,2,0,4,0,1,15,288,111.8,288,166.3,201.9,257.3,275.1,174.2,111.8,196.9,206.8,296.9,104.9,301.9,103.9,353.3,139.6,129.7,361.2,322.6,112.8,309.8,141.5,177.4,263.3,131.9,265.2,188.8,278.9,166,269.5
50005500510,VT,Caledonia County,500510,1165,9,1081,6,5,3,0,1,60,932,8,860,6,4,3,0,1,50,252,238.9,275,241.9,169,375.9,293,240.9,166,109,310.9,246,169,237,181,329,297.9,109,491.9,325,267.9,306,268.9,274.4,247.2,206.7,197.3,331.7,267.2,270.9,240.9
50005500511,VT,Caledonia County,500511,682,6,647,1,0,0,0,1,27,549,4,518,1,0,0,0,0,26,113.6,135.8,148.5,129.6,82.3,217.3,159.2,126.9,99.1,66.8,174.5,136.8,105.3,127,108.2,202.3,168.9,84.1,264.5,195.8,140.5,161.1,157.7,152.4,125.9,121.8,110.2,182.9,160.8,152.3,134.3
50005500512,VT,Caledonia County,500512,7364,269,6381,91,27,231,3,31,331,5711,199,5047,59,27,141,2,22,214,1481,1125.8,1635.6,1192.4,1041.2,1893.3,1525.3,1339.3,843.7,890.8,1505.3,1454,923.3,1495.8,878.9,2051.6,1236,842.5,2340.7,2002.3,1085.3,1861.6,1095.5,1387.7,1420.8,1037.8,1280.2,1439.4,1689.5,1288.3,1480.2
50005500513,VT,Caledonia County,500513,208,1,171,1,0,0,0,3,32,171,1,150,1,0,0,0,3,16,58.5,22.4,68.7,25.4,45.4,49.7,66.6,25.5,14.3,56.3,30.6,70.6,13.3,63.5,16.4,82.8,28.4,39.3,70.8,77.8,25.4,74.7,24.4,30.7,59.8,18.6,63.5,37.3,68.6,28.9,64
50005500514,VT,Caledonia County,500514,913,10,855,1,1,0,0,1,45,710,5,670,1,1,0,0,0,33,165.7,216.3,206.8,208.6,106.4,332.8,191.2,221.5,141.9,80.2,249.9,171.5,151.8,181.2,144.9,241.4,270.5,97.4,386,265.8,205.7,230.3,212.7,244.8,167.5,172.1,144.3,268.8,208.7,228.6,176.2
50005500515,VT,Caledonia County,500515,956,10,882,9,1,3,0,2,49,770,3,723,4,1,3,0,1,35,241.3,164.9,296.3,182.5,181.5,314,263,214.8,151.1,155,255.1,259,152,252.2,160.8,344.4,203.1,155,387.6,346.3,180.5,312,180.5,219,245.5,179.8,222.1,237.9,289.4,212.2,255.1
50005500516,VT,Caledonia County,500516,1268,23,1185,12,3,4,1,1,39,1012,15,957,9,3,3,1,1,23,278.7,324.2,296,372.4,175.1,507.7,320.4,344.3,258.6,143.5,403.3,276.8,255.8,275.8,263.4,401.4,368.1,135.7,604.4,393.8,314.9,358.5,317.8,387.1,267.5,295.3,232,401.3,322.3,361.2,277.8
50005500517,VT,Caledonia County,500517,759,9,691,2,6,3,0,14,34,603,8,550,1,6,3,0,10,25,156,175,201,160,126,256,183,174,131,125,191,178,131,179,128,236,200,112,301,251,157,224,172,191.2,166.5,145.2,160.7,207.5,205.7,181.3,179.2
50007500701,VT,Chittenden County,500701,1301,22,1187,1,0,11,0,2,78,1003,12,938,1,0,6,0,2,44,418.6,218.4,442,238.1,332.8,384.6,510.1,177.6,167.1,287,360.7,483.8,140.8,468.4,181.3,581.2,234.6,224.3,598.1,578,185.8,544.7,195.9,254.7,425.9,212.5,413.1,303.6,482.1,256.9,442.8
50007500702,VT,Chittenden County,500702,29,0,23,0,0,0,0,1,5,21,0,18,0,0,0,0,1,2,12,3.2,13.6,4.4,10.6,7.6,13.9,3,4,10.8,9.6,16.4,3.9,16.3,4.1,21.3,6.6,9.3,18.6,21.4,5.2,19.9,5.3,4.5,12.5,5.4,14.5,8.9,17.9,6.3,15
50007500703,VT,Chittenden County,500703,6247,232,5110,290,7,316,0,22,270,5661,197,4753,189,7,280,0,21,214,1697.6,133.1,1616.2,179.2,1526.6,374.6,1573.7,159.5,127.6,1685.5,508,1985,133.5,1965.7,152.4,2365.1,168.3,1374.8,1064.7,1958.8,152.6,1853.6,159.2,211.6,1603.5,230.4,1878.7,386.2,1888,276.1,1782
50007500704,VT,Chittenden County,500704,5321,235,4000,389,4,381,0,32,280,4666,204,3708,228,4,279,0,24,219,1569.9,139.1,1558.1,160.9,1491.4,350.9,1537.6,145.5,110.8,1474.6,417.5,1704.3,113.5,1691.2,136.4,2124.4,168.4,1373.2,862.4,1796.9,139.8,1680.5,142.5,199.1,1539.2,194.6,1623.4,328.3,1743.8,240.7,1636.6
50007500705,VT,Chittenden County,500705,5377,252,4054,252,25,458,0,22,314,4740,200,3708,193,21,349,0,20,249,1581.6,185.7,1602.4,218.2,1503.2,442.3,1613.6,181.6,154.1,1411.4,511,1700.4,141.5,1687.1,169,2217.2,217.8,1393.9,1015.9,1935.5,182.5,1811.2,197.6,257,1575.2,243.9,1599.7,403.4,1839.4,301.4,1678
50007500706,VT,Chittenden County,500706,5635,146,4689,300,12,202,1,34,251,4605,110,3985,162,9,159,1,26,153,1293.4,316.3,1360.8,371.1,1100.5,687.4,1457.7,250.8,264.1,913.8,742.8,1400.3,208.6,1356.8,255.8,1741.2,346.7,842.5,1235.7,1668.5,263.2,1567.7,292.1,406.4,1303.1,367.8,1223.6,534.4,1455,436.2,1336.6
50007500707,VT,Chittenden County,500707,5428,192,4359,350,1,240,0,27,259,4420,116,3737,210,0,173,0,22,162,3598.6,420.2,3628.8,538.9,3209.1,1122.9,3686.9,418.3,386.9,2782.1,1324.1,3671.6,299.1,3586.8,374.4,4494.2,419.9,2387.6,2449.1,4068.3,357.7,3810.3,395,625.1,3530.9,596.1,3346.9,905.4,3690.1,708.9,3538.6
50007500708,VT,Chittenden County,500708,7055,270,6143,148,19,160,0,37,278,6492,239,5706,125,15,147,0,33,227,1356.4,144.4,1346.5,190.4,1205.2,397.4,1350.7,155.3,139,1108.6,476.8,1427.8,112.7,1394,137.8,1720.2,148.8,945,880.5,1519.5,129.1,1421.6,139.7,221.9,1314.7,216.5,1310.1,324.5,1401.6,254.3,1345
50007500709,VT,Chittenden County,500709,5051,137,3981,259,9,385,1,18,261,4032,92,3347,142,8,291,1,15,136,2569.9,679.7,2719.4,790.2,2147.1,1460.4,2933.2,526.6,563.3,1741,1556.4,2774.3,440.9,2673.2,543.7,3406.6,745.5,1584.1,2537.8,3304.3,555.6,3095.6,612.3,864.2,2592.4,776.1,2396.2,1112.8,2847.7,917.7,2631.7
50007500710,VT,Chittenden County,500710,4629,195,3899,109,4,264,0,17,141,4530,186,3830,102,4,257,0,16,135,707.2,56.3,670.8,79.1,629.6,164,648.8,74,59,688.7,212.2,820.2,59,805.6,67,947.1,66.5,570.6,402.2,778.8,60.8,733.9,61.9,93.3,664.1,99.3,771.5,147.8,757.6,113.5,727.4
50007500711,VT,Chittenden County,500711,3912,94,3541,25,4,26,0,36,186,3069,57,2832,15,0,24,0,28,113,1794,512,1826,679,1346,1207,1890,515,494,1056,1237,1814,410,1753,467,2285,511,838,1979,2136,465,2019,520,728.2,1714,652,1541,868.8,1819.5,749.7,1705.2
50007500712,VT,Chittenden County,500712,17524,446,15227,420,26,573,12,46,774,14318,342,12663,306,25,426,12,29,515,4577.6,2448.4,5034.5,2585.7,3267.8,4528.2,5633.2,1820.6,2031.7,2357.2,4241,4891.9,1629.3,4628.2,1886.4,6580.3,2878.8,2167.4,7273.2,6683,2223.8,6171.6,2378.6,2845.7,4628.3,2447.1,3959.1,3688.6,5400.6,2993.8,4726.6
50007500713,VT,Chittenden County,500713,9402,262,8045,202,31,408,4,31,419,7369,160,6475,133,24,313,4,21,239,2629.7,1170.2,2855.4,1369.5,1873.8,2426.6,3109.8,1029.4,1065.1,1322.7,2358,2748,877.3,2586,1032.8,3677.5,1391.9,1175.8,3903.2,3650.9,1146.4,3362.9,1253.6,1498.9,2617.2,1333.3,2218.9,1923.8,2966.8,1585.3,2635.7
50007500714,VT,Chittenden County,500714,2362,46,2118,20,0,51,0,12,115,1860,31,1703,11,0,39,0,11,65,849,425,890,466,582,816,985,352,395,458,764,905,316,842,365,1127,452,342,1230,1125,398,1043,425,514.8,826.5,460,735,626.2,909.2,533.7,831.6
50007500715,VT,Chittenden County,500715,10330,269,8576,240,7,732,3,32,471,8290,198,7018,185,4,570,3,23,289,3240.7,1412.5,3492.4,1667.4,2387.8,2879.8,3761.3,1285.9,1200.9,1936.2,2663.1,3511.7,1025.7,3379.6,1140.4,4722,1543,1563.6,4668.4,4600.4,1327.6,4253.2,1409,1811.4,3220.5,1507.5,2942.5,2237,3784.8,1852,3349.9
50007500717,VT,Chittenden County,500717,4698,103,4262,19,10,28,3,43,230,3634,84,3336,14,9,17,3,32,139,1726.8,623.3,1823.8,736.4,1359.6,1246.6,1978.9,512.3,559.3,1051.5,1244.6,1784.8,465.2,1726.8,533.3,2255,749.4,989.4,2017,2251,568.3,2054.9,631.3,779.6,1722.3,700.6,1521.1,991.5,1887.6,823.9,1727.5
50007500718,VT,Chittenden County,500718,1934,38,1777,8,5,10,0,19,77,1574,32,1453,4,5,10,0,12,58,777.7,227,877.4,264.5,685.9,491.5,942.5,193.4,199.4,545.8,499.4,842.9,180.6,823.1,208.2,1017.5,303,436.2,895.2,1030.4,230,944.5,260.6,294.1,820.9,271.9,737.3,422.2,857.2,329.4,811.3
50007500719,VT,Chittenden County,500719,5104,119,4623,45,6,35,0,25,251,3991,75,3672,28,6,29,0,21,160,2017.6,889.9,2115.6,1061.7,1548.2,1702.2,2247.5,856.9,781,1180.3,1632.5,2065.6,683.3,1992.7,770.2,2657.9,905.1,903.8,2663.4,2578.6,799.2,2442.7,851.1,1127.7,1982.2,966.7,1746.2,1304.7,2145.8,1133.1,1977.3
50007500720,VT,Chittenden County,500720,10723,179,9759,112,36,95,4,37,501,8543,126,7867,70,31,71,4,23,351,2241.9,2067.4,2642,2150.7,1472.4,3462.7,3211.9,1536.5,1780.4,1077.7,3238.8,2770.2,1485.1,2433.4,1771.9,3318.3,2589.6,1003.5,4835.2,3649.4,1959.7,3093.9,2135.1,2304.3,2392.1,2069,2093.8,2879.9,2766.3,2417.7,2446.8
50007500721,VT,Chittenden County,500721,4167,83,3833,19,0,22,0,21,189,3269,57,3050,19,0,16,0,14,113,1692.2,514.4,1761.1,659.3,1300.6,1171.7,1853,500.5,494.5,1101.8,1175.7,1797.1,423.5,1766.1,479.5,2284.5,571.4,894,1976.9,2200.6,469.5,2096.7,536.4,711.5,1651.7,643.3,1555,888.5,1869,747.8,1704.3
50007500722,VT,Chittenden County,500722,794,18,707,4,4,12,1,7,41,621,14,554,4,4,9,1,6,29,200,110,219,113,134,207,250,79,102,107,196,217,83,206,93,310,131,112,322,300,105,278,120,127.2,200.8,118.5,176.7,169.5,250,138.4,212.1
