GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_18_rep_jam,uss_18_dem_sta,gov_18_rep_sch,gov_18_dem_whi,atg_18_rep_leo,atg_18_dem_nes,sos_18_rep_lan,sos_18_dem_ben,pre_20_rep_tru,pre_20_dem_bid,uss_20_rep_jam,uss_20_dem_pet,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
26005005021,MI,Allegan County,005021,2457,439,1711,163,5,41,4,13,81,1833,242,1425,77,5,36,4,5,39,335,430.2,391.2,313,366.2,326,374.2,280,359.2,317,499.3,482.1,510.3,457.1,430.2,335,372.7,309,504.8,469.6,418.7,358.6
26005005022,MI,Allegan County,005022,2760,94,2491,13,29,2,0,13,118,2061,59,1894,10,22,0,0,9,67,306,905,792,345.4,779.7,344.5,807.1,275.4,763.9,338,1165.3,398.5,1178.3,406.3,905,306,785.7,325.8,1171.8,402.4,913,344.9
26005005023,MI,Allegan County,005023,2113,129,1892,12,2,15,0,7,56,1738,89,1581,1,0,14,0,7,46,493.6,716.4,700.3,493.6,676.7,513.4,692.8,464.4,690.9,487,790.9,691.8,842.8,631.4,716.4,493.6,690.2,489.6,816.9,661.6,730.1,539.3
26005005024,MI,Allegan County,005024,2838,207,2485,27,6,35,0,4,74,2316,162,2057,18,2,27,0,1,49,498.8,1197.8,1179.9,570.8,1169.1,568,1208.3,482.7,1189.8,537.7,1414.6,742,1495.2,634.6,1197.8,498.8,1186.8,539.8,1454.9,688.3,1265,576.4
26005005025,MI,Allegan County,005025,1002,60,906,4,1,0,0,2,29,806,36,743,1,1,0,0,2,23,224.9,302.8,285.1,247.9,270.9,256.8,283.3,228.4,272.7,251.5,348,309.9,374.5,281.6,302.8,224.9,278,246.1,361.2,295.7,305.3,257.3
26005005026,MI,Allegan County,005026,3805,1127,2273,152,25,5,1,9,213,2786,651,1843,117,20,4,1,9,141,381,521,430.7,370.7,404.7,393.7,423.7,346.7,400.7,391.7,650.5,497.6,645.5,477.6,521,381,414.9,375.7,648,487.6,496.7,408.5
26005005027,MI,Allegan County,005027,4489,182,3988,39,25,23,0,33,199,3155,91,2901,21,8,12,0,17,105,455.9,1542.2,1387.6,485.1,1317.7,527.1,1354.1,417.8,1338.7,487.3,1974.3,699.7,2007.2,661,1542.2,455.9,1349.5,479.3,1990.8,680.4,1560.3,533.4
26005005028,MI,Allegan County,005028,2512,106,2227,25,19,39,1,14,81,1697,57,1537,14,11,30,1,6,41,156.1,690.9,699.9,218.9,682.1,221.4,682.1,189.2,670.2,213.8,911.1,340.2,946.7,305.4,690.9,156.1,683.5,210.8,928.9,322.8,754.7,235
26005005029,MI,Allegan County,005029,3312,339,2773,20,9,20,0,19,132,2448,210,2143,3,0,8,0,10,74,428.3,1145.9,1020.1,446.1,992.5,456.4,1009.9,399.5,1001.7,440,1355.3,572.3,1406.4,526,1145.9,428.3,1006,435.5,1380.8,549.2,1133.1,467
26005005030,MI,Allegan County,005030,2723,130,2465,14,2,14,0,3,95,2052,85,1885,10,2,12,0,2,56,303.4,857.1,747.5,316.4,731.9,311.9,751.6,261.6,736.3,297.9,1075.5,444.1,1095.9,406.1,857.1,303.4,741.8,296.9,1085.7,425.1,856.5,334.5
26005005031,MI,Allegan County,005031,2436,159,2139,9,18,3,0,13,95,1816,81,1646,8,12,1,0,7,61,256,748,490.3,224.9,467.4,235.8,491.9,178.6,480.3,207.7,740.9,242.3,737.5,249.2,748,256,482.5,211.7,739.2,245.8,593.8,227.8
26005005032,MI,Allegan County,005032,4120,134,3683,32,17,59,0,25,170,3146,89,2858,24,8,41,0,17,109,653,835.2,613.6,700.2,560.1,732.2,601.2,637.4,575.5,711.8,977.7,902,973.8,860.1,835.2,653,587.6,695.4,975.8,881,733.9,742.4
26005005033,MI,Allegan County,005033,2745,81,2548,16,6,14,0,3,77,2143,43,2015,12,6,11,0,3,53,515.4,776,690.6,577.6,673.4,578.4,720.1,492.6,659.9,572.9,974.8,697.8,971.7,677.9,776,515.4,686,555.4,973.3,687.9,780.9,587.5
26005005034,MI,Allegan County,005034,3158,136,2767,33,18,14,0,14,176,2338,67,2117,25,14,10,0,5,100,503.9,734.1,565.5,544,549.3,545.2,587.5,461.8,529.4,540.1,840.1,680,845.1,656.8,734.1,503.9,557.9,522.8,842.6,668.4,664.4,561.7
26005005035,MI,Allegan County,005035,3133,121,2904,16,3,22,0,0,67,2243,88,2087,5,3,13,0,0,47,194,1437,1294.2,218.2,1271.4,219.2,1274.4,173.6,1261.5,206.3,1610.6,308.4,1657.2,283.6,1437,194,1275.4,204.3,1633.9,296,1400.9,229
26005005036,MI,Allegan County,005036,3788,149,3356,44,21,17,0,13,188,2961,86,2672,40,21,15,0,7,120,738.6,778.2,661.8,700.4,599.7,755.3,629,662.9,614.7,716.5,906.9,921.8,947.2,856.8,778.2,738.6,626.3,708.8,927.1,889.3,733.9,764.6
26005005037,MI,Allegan County,005037,2618,79,2379,10,6,18,0,11,115,1869,50,1716,3,6,12,0,5,77,166,1023,881.8,188.8,875.6,189.8,875.6,159.4,851.5,204.7,1271.4,286.6,1285.8,278.4,1023,166,871.1,185.7,1278.6,282.5,1009.3,210.5
26005005038,MI,Allegan County,005038,2538,81,2310,7,20,10,0,10,100,1886,49,1746,5,15,6,0,5,60,248,925,758.3,274,725.2,290.1,746.3,222.8,735.2,278,1234.4,358.1,1258.4,348.1,925,248,741.2,266.2,1246.4,353.1,911.8,288.4
26005005039,MI,Allegan County,005039,873,55,789,8,0,5,0,1,15,760,28,708,7,0,5,0,1,11,366.3,183.2,184.3,381.8,176.2,386.8,185.4,372.3,181.3,379.7,214.2,420.9,222.7,405.4,183.2,366.3,181.8,380.1,218.4,413.2,192.4,387.6
26005005040,MI,Allegan County,005040,3443,209,3065,14,8,32,0,15,100,2824,127,2574,12,6,26,0,12,67,991.8,900.5,833.2,1102.2,787.3,1130.1,821.4,1037,802.4,1103,1023,1426.9,1115.8,1330.1,900.5,991.8,811.1,1093.1,1069.4,1378.5,897.7,1160.1
26005005041,MI,Allegan County,005041,4,0,4,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,3.6,1.6,2.2,6.4,2.2,6.4,2.2,6.3,1.5,7.1,1.6,5.4,2.4,5.3,1.6,3.6,2,6.6,2,5.3,1.9,5.8
26005005042,MI,Allegan County,005042,2530,60,2302,20,7,10,0,13,118,1993,31,1853,12,5,8,0,6,78,361,723,639.4,401.8,617.1,401.3,638.3,343.7,609.6,406.3,922.9,472.4,918.9,466.1,723,361,626.1,388.3,920.9,469.2,724.2,407.5
26005005043,MI,Allegan County,005043,2221,105,1956,11,8,12,0,10,119,1724,62,1552,6,8,9,0,6,81,307,579,499,310,461,334,498,278,465,325,795,388,798,365,579,307,480.8,311.8,796.5,376.5,585,329.6
26005005044,MI,Allegan County,005044,2176,36,2015,7,15,9,0,3,91,1647,27,1531,4,15,8,0,2,60,257.6,629.9,541.9,299.2,520.8,313.3,514.2,267.6,504.1,313.8,861.5,359.8,839.2,359,629.9,257.6,520.2,298.5,850.4,359.4,630.2,310.1
26005005045,MI,Allegan County,005045,4435,213,3849,57,50,22,0,18,226,3256,123,2930,35,34,22,0,5,107,650,1045,849,654,815,687,834,585,832,643,1265,837,1288,790,1045,650,832.5,642.2,1276.5,813.5,989.7,692.3
26005005046,MI,Allegan County,005046,3573,115,3207,19,47,18,0,10,157,2733,79,2499,8,39,15,0,8,85,455,1039,910.8,500.4,891,504.3,916.7,423.2,906.8,470.7,1388.4,592.4,1395.3,567.6,1039,455,906.3,474.7,1391.9,580,1064,502
26005ZZZZZZ,MI,Allegan County,ZZZZZZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.6,77.9,74.5,72.5,72.2,74.1,74.8,67.2,73.2,71.8,86.8,94.4,92.3,87.7,77.9,70.6,73.7,71.4,89.5,91,78.8,76.9
26007007001,MI,Alpena County,007001,3485,77,3172,21,21,13,6,9,166,2756,55,2540,12,20,8,4,8,109,398.5,554.6,453.9,495.6,411.5,521.5,443.3,441.6,444.9,482.3,742.2,522.1,699.3,540.4,554.6,398.5,438.4,485.3,720.7,531.3,535.7,486
26007007002,MI,Alpena County,007002,1798,31,1668,13,11,13,3,2,57,1566,20,1464,10,10,11,3,2,46,351.2,401.6,365,339.3,354.2,349.2,358.1,307.7,358.1,328.4,478.8,401.6,472.9,398.7,401.6,351.2,358.9,331.2,475.8,400.2,398.4,353.7
26007007003,MI,Alpena County,007003,1631,20,1508,13,8,8,1,8,65,1339,15,1257,9,5,8,0,3,42,332.7,506.2,414.8,388.6,387.7,402.7,418.8,338.2,399.8,369.4,561,404.2,525,430.2,506.2,332.7,405.3,374.7,543,417.2,459,380.9
26007007004,MI,Alpena County,007004,1432,34,1338,2,6,8,0,1,43,1177,25,1112,0,5,8,0,1,26,275.1,328.7,236.2,242.1,216.6,258.1,225.5,226.1,225.5,237.3,288.2,280,294.2,274.6,328.7,275.1,226,240.9,291.2,277.3,259.3,256.2
26007007005,MI,Alpena County,007005,1851,49,1687,8,7,4,0,9,87,1493,27,1388,2,7,4,0,9,56,375,549,445,399,424,407,432,361,430,382,572,469,573,459,549,375,432.8,387.2,572.5,464,489.3,407.4
26007007006,MI,Alpena County,007006,1704,12,1610,3,0,1,0,1,77,1428,8,1374,0,0,1,0,0,45,280,582,437,312,427,313,445,269,438,287,695,338,672,356,582,280,436.8,295.2,683.5,347,528,307.9
26007007007,MI,Alpena County,007007,1740,32,1615,7,7,12,0,1,66,1448,17,1368,5,4,9,0,0,45,353,592.7,468.3,377.3,452,384.2,457.2,329.8,455.6,364.6,697.6,444.1,670.4,453.5,592.7,353,458.3,363.9,684,448.8,542,386.6
26007007008,MI,Alpena County,007008,2335,28,2200,9,1,30,0,6,61,1912,15,1824,7,1,27,0,4,34,407,680,561,483,515,512,550,421,528,478,734,577,736,576,680,407,538.5,473.5,735,576.5,614.9,493.4
