GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_18_rep_fis,uss_18_dem_ray,gov_18_rep_ric,gov_18_dem_kri,atg_18_rep_pet,sos_18_rep_evn,sos_18_dem_dan,pre_20_rep_tru,pre_20_dem_bid,uss_20_rep_sas,uss_20_dem_jan,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
3114900003P,NE,Rock County,00003P,1262,20,1219,3,1,0,0,2,17,1016,14,985,3,1,0,0,2,11,682.5,69.5,565.3,78.5,569.3,93.4,549.4,534.5,67.6,739.1,83.4,694.4,42.7,682.5,69.5,554.6,79.8,716.8,63.1,619.2,72.5
3115100001P,NE,Saline County,00001P,627,20,581,8,0,1,0,1,16,476,12,452,4,0,1,0,1,6,252,80,170,79,190,84,232,195,62,276,85,282,54,252,80,196.8,75,279,69.5,228.1,74
3115100002P,NE,Saline County,00002P,622,18,572,6,0,5,0,4,17,477,10,444,3,0,5,0,4,11,261,75,205,104,223,93,258,211,73,295,87,284,62,261,75,224.2,90,289.5,74.5,248.1,82.3
3115100003P,NE,Saline County,00003P,1143,167,948,3,1,5,0,0,19,892,102,768,3,1,5,0,0,13,338,155,238,167,261,166,340,234,159,409,156,390,114,338,155,268.2,164,399.5,135,315.7,152.8
3115100005P,NE,Saline County,00005P,922,93,788,1,3,13,0,0,24,722,42,654,1,2,5,0,0,18,255.9,115.3,200.9,138.2,212.9,145.2,261,194,138.2,307.9,156.3,298,103.3,255.9,115.3,217.2,140.5,303,129.8,247.2,132.7
3115100006P,NE,Saline County,00006P,332,24,296,0,0,1,1,0,10,261,15,242,0,0,0,0,0,4,108,59,89,50,87,55,113,78,49,129,55,137,48,108,59,91.8,51.3,133,51.5,105.9,52.7
3115100007P,NE,Saline County,00007P,432,10,412,0,3,1,0,0,6,348,9,332,0,3,0,0,0,4,166,54,115,79,127,85,147,116,72,174,69,174,48,166,54,126.2,78.7,174,58.5,145.6,67.8
3115100010P,NE,Saline County,00010P,1352,98,1188,13,5,11,0,0,37,1014,61,913,9,4,9,0,0,18,329,158,234,162,251,167,331,221,161,450,201,447,133,329,158,259.2,163.3,448.5,167,323.3,163.7
3115100011P,NE,Saline County,00011P,1017,101,867,10,7,7,0,0,25,759,53,675,7,4,7,0,0,13,292,104,199,120,220,119,273,199,121,353,88,334,73,292,104,222.8,120,343.5,80.5,267.1,104.2
3115100012P,NE,Saline County,00012P,820,61,717,0,3,0,0,0,39,625,39,559,0,3,0,0,0,24,247,105,204,123,221,130,289,212,116,305,139,329,94,247,105,231.5,123,317,116.5,258.1,117.8
3115100013P,NE,Saline County,00013P,1370,742,539,8,3,43,1,6,28,941,441,440,7,3,29,0,3,18,143.1,164.7,118.2,132.9,116.1,145.7,199.8,121,137.2,183.7,194.6,185.8,155.5,143.1,164.7,138.8,138.6,184.7,175,152.5,155.1
3115100014P,NE,Saline County,00014P,3772,2112,1389,37,12,113,36,8,65,2556,1252,1128,29,5,90,14,8,30,308,351.9,246.9,280.9,249,306.1,383.2,254,284.7,393.4,407,424.2,302.2,308,351.9,283.3,290.6,408.8,354.6,322.7,322.2
3115100015P,NE,Saline County,00015P,1883,621,1066,44,4,77,8,6,57,1413,403,856,34,2,68,4,6,40,304,311,235,296,248,319,384,248,280,355,348,390,223,304,311,278.8,298.3,372.5,285.5,309.1,296.2
31153000001,NE,Sarpy County,000001,3372,1108,1675,333,23,51,14,8,160,2384,658,1379,185,18,46,12,2,84,430.3,464.3,366.2,395.3,378.8,406,540.1,364.3,409.9,540,632,586,447,430.3,464.3,412.3,403.8,563,539.5,458,459.1
31153000002,NE,Sarpy County,000002,1924,186,1469,90,11,25,4,6,133,1547,117,1259,63,11,14,3,2,78,551,337,489,293,496,311,618,500,294,555,449,590,262,551,337,525.8,299.3,572.5,355.5,542.7,324.3
31153000003,NE,Sarpy County,000003,3997,784,2419,333,28,140,7,11,275,2932,513,1890,241,17,111,7,6,147,764.3,569.2,609.3,525.4,628.1,578.9,849.9,630.2,551.2,830,873,931,529,764.3,569.2,679.4,551.8,880.5,701,749,604.4
31153000004,NE,Sarpy County,000004,2776,524,1939,98,15,31,4,5,160,2092,296,1564,77,14,29,3,4,105,712.7,470,589.2,443.9,595.4,478.2,774,603.8,452,700,645,756,364,712.7,470,640.6,458,728,504.5,675.9,475.5
31153000005,NE,Sarpy County,000005,2447,344,1764,145,1,69,2,1,121,1909,206,1446,118,1,62,2,0,74,566.5,394.4,470.8,348,470.8,376,644.7,462,371.2,592.1,582.1,690.1,345,566.5,394.4,512.1,365.1,641.1,463.5,556.7,402.8
31153000006,NE,Sarpy County,000006,3729,572,2263,352,19,233,17,22,251,2896,418,1815,258,16,224,13,16,136,559,449.3,465.5,380.5,468.1,415.3,649.8,468,393.2,664,712,739,445,559,449.3,512.9,396.3,701.5,578.5,573.3,465.9
31153000007,NE,Sarpy County,000007,2686,260,2056,117,13,41,1,19,179,2046,152,1652,88,8,34,0,12,100,656.1,440.4,506.3,352.5,512.3,390.4,672,498.3,390.4,672,552,712,340,656.1,440.4,547.2,377.8,692,446,604.1,411
31153000008,NE,Sarpy County,000008,2538,256,1809,141,13,98,5,7,209,1993,156,1470,116,8,87,4,3,149,702.4,423.4,627.6,339.5,610,385.4,759.2,615.8,356.3,702.9,547.9,776.9,334,702.4,423.4,653.1,360.4,739.9,441,685,397.7
31153000009,NE,Sarpy County,000009,3645,663,2350,241,15,79,1,28,268,2658,377,1827,190,14,74,1,24,151,665.1,439.6,472.9,366.4,494.7,396.2,673.2,485.1,393.4,569.6,518.6,618.8,350.2,665.1,439.6,531.5,385.3,594.2,434.4,568.5,410.7
31153000010,NE,Sarpy County,000010,2258,252,1702,55,14,51,2,17,165,1727,127,1388,41,14,51,2,12,92,435.5,296.7,352,254.5,379.8,264.1,500.3,361.6,268.9,512.8,386.6,560.6,237.2,435.5,296.7,398.4,262.5,536.7,311.9,443.2,284.7
31153000011,NE,Sarpy County,000011,4387,422,3303,209,8,105,16,34,290,3106,246,2428,162,8,85,16,27,134,1040.9,622.2,912.9,546.5,902.2,629.8,1157.3,901.9,591.8,1113.1,894.8,1257.6,503.2,1040.9,622.2,968.6,589.4,1185.4,699,1040.8,631.4
31153000012,NE,Sarpy County,000012,3986,281,3115,227,20,107,4,13,219,2937,187,2375,159,8,84,2,10,112,957.5,469.1,838.8,452.9,816.9,517.7,1048.5,833.7,472.5,1136.9,814.8,1255.2,529.7,957.5,469.1,884.5,481,1196,672.2,983.9,542.8
31153000013,NE,Sarpy County,000013,3103,279,2476,109,4,61,6,18,150,2425,188,2003,83,4,48,0,5,94,994.7,656.7,914.4,576.5,901.8,649.1,1152.8,923.7,598.2,889,791,994,413,994.7,656.7,973.2,607.9,941.5,602,967.2,614.1
31153000016,NE,Sarpy County,000016,3515,1002,2213,94,12,48,0,13,133,2623,624,1814,75,8,36,0,8,58,804,641.1,606.7,540.8,630.4,564.9,839.2,615.3,552.5,782,759,838,496,804,641.1,672.9,552.8,810,627.5,730.8,592.4
31153000017,NE,Sarpy County,000017,3397,993,2130,86,8,27,2,15,136,2603,612,1821,49,8,22,0,11,80,768,546,590,506,609,519,834,588,519,831,709,879,483,768,546,655.2,514.7,855,596,728.4,547
