GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_18_rep_fis,uss_18_dem_ray,gov_18_rep_ric,gov_18_dem_kri,atg_18_rep_pet,sos_18_rep_evn,sos_18_dem_dan,pre_20_rep_tru,pre_20_dem_bid,uss_20_rep_sas,uss_20_dem_jan,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
3105300025P,NE,Dodge County,00025P,1347,278,1008,11,5,8,0,1,36,960,164,759,9,3,5,0,0,20,265,154,165,162,171,174,269,183,153,287,213,298,154,265,154,197,163,292.5,183.5,234,168.3
3105300026P,NE,Dodge County,00026P,1135,185,858,30,10,4,0,7,41,908,138,691,28,10,1,0,6,34,190,102,127,89,118,112,182,138,85,188,104,190,74,190,102,141.2,95.3,189,89,161.9,94.3
3105300027P,NE,Dodge County,00027P,1180,258,842,9,8,9,2,9,43,864,146,667,5,4,6,2,5,29,228,127,167,120,157,139,234,171,119,271,172,281,118,228,127,182.2,126,276,145,215.6,132.5
3105300028P,NE,Dodge County,00028P,1314,194,1054,12,4,12,1,5,32,1032,126,856,8,4,11,1,5,21,350,173,279,155,251,204,362,274,158,382,233,392,164,350,173,291.5,172.3,387,198.5,327.1,181.2
3105300029P,NE,Dodge County,00029P,1795,264,1469,17,0,10,0,4,31,1348,158,1147,11,0,9,0,4,19,476.2,269.2,362.5,219.9,315.3,290.6,470.1,350.6,222.8,559.4,295.1,557.4,200.1,476.2,269.2,374.6,244.4,558.4,247.6,441.6,249.6
3105300030P,NE,Dodge County,00030P,857,19,820,3,0,5,0,0,10,658,10,636,3,0,3,0,0,6,277,121,222,108,222,127,269,233,90,345,131,345,83,277,121,236.5,108.3,345,107,273.3,110
3105300031P,NE,Dodge County,00031P,1201,82,1091,0,2,3,0,2,21,868,52,796,0,2,3,0,2,13,381,147,320,141,320,162,375,288,150,450,164,445,103,381,147,325.8,151,447.5,133.5,368.4,144.5
3105300033P,NE,Dodge County,00033P,843,26,771,8,3,3,1,2,29,653,15,613,7,3,1,0,2,12,348,79,276,59,272,76,305,267,67,354,77,350,46,348,79,280,67.3,352,61.5,310.3,67.3
31055001-02,NE,Douglas County,001-02,2388,148,1800,232,26,25,3,4,150,1934,93,1560,165,15,16,3,2,80,635.7,642.8,616.7,552.9,622.7,591.1,817.6,608.5,574.7,777.2,701.8,821.5,404.3,635.7,642.8,666.4,572.9,799.3,553.1,700,577.9
31055001-03,NE,Douglas County,001-03,1932,102,1100,386,14,223,4,19,84,1520,76,951,298,11,139,1,4,40,225.6,326.4,333,415,342,422,500,325,426,380,571,460,333,225.6,326.4,375,421,420,452,366.5,415.6
31055001-04,NE,Douglas County,001-04,3090,131,1171,1035,11,571,5,9,157,2310,83,1029,763,7,349,5,9,65,295.9,755.5,282.1,588.7,279.3,616.9,511.1,261.1,631.9,310.1,794.2,355.6,559.9,295.9,755.5,333.4,612.5,332.9,677.1,327.9,657.8
31055001-05,NE,Douglas County,001-05,2474,182,1227,556,5,317,1,11,175,1824,110,1037,371,5,208,1,10,82,397.6,620.6,319.5,540.3,328.6,569.8,529.4,312.7,570.5,421.2,727.1,450.3,457.6,397.6,620.6,372.6,560.2,435.7,592.4,394.2,581
31055001-07,NE,Douglas County,001-07,3259,274,1700,577,17,459,2,25,205,2375,174,1395,382,13,276,1,16,118,318,808,258,761,267,800,535,270,777,341,1001,403,566,318,808,332.5,779.3,372,783.5,341.7,785.5
31055001-08,NE,Douglas County,001-08,2519,173,1743,305,13,105,3,34,143,2013,136,1471,241,10,66,2,22,65,362,811,296,730,304,775,587,307,749,373,938,447,483,362,811,373.5,751.3,410,710.5,382.3,747.7
31055001-09,NE,Douglas County,001-09,2373,224,1452,374,13,116,3,30,161,1785,143,1223,223,12,82,0,15,87,296,443,225,455,230,480,412,228,461,323,628,355,416,296,443,273.8,465.3,339,522,295.6,480.5
31055001-10,NE,Douglas County,001-10,1085,76,807,130,8,22,1,0,41,885,48,691,100,8,17,1,0,20,275,288,216,261,224,268,334,215,265,265,316,291,189,275,288,247.2,264.7,278,252.5,260,264.5
31055001-11,NE,Douglas County,001-11,2183,175,1584,214,19,34,0,9,148,1772,127,1371,150,10,31,0,9,74,353,500,301,496,316,530,518,319,504,372,681,411,386,353,500,363.5,510,391.5,533.5,370,516.2
31055001-12,NE,Douglas County,001-12,332,36,204,30,16,8,0,0,38,237,22,166,12,15,5,0,0,17,50,44,47,43,47,46,69,41,46,60,57,67,36,50,44,51,45,63.5,46.5,54.4,45.3
31055001-13,NE,Douglas County,001-13,3128,236,2123,351,4,217,3,15,179,2469,166,1770,264,1,143,1,14,110,609,653,537,637,532,696,819,521,660,598,885,714,507,609,653,602.2,664.3,656,696,618.6,673
31055001-14,NE,Douglas County,001-14,2770,170,2216,143,2,64,4,15,156,2118,118,1758,92,2,54,4,13,77,408,1003,386,1011,396,1038,740,396,1004,407,1275,554,567,408,1003,479.5,1017.7,480.5,921,469.6,983
31055001-15,NE,Douglas County,001-15,3274,342,2374,285,29,54,1,7,182,2524,196,1970,188,23,41,1,4,101,495,767,398,752,408,800,732,410,773,512,1030,570,665,495,767,487,775,541,847.5,503.6,797.8
31055001-16,NE,Douglas County,001-16,2149,212,1439,316,16,68,0,5,93,1635,138,1164,223,14,56,0,3,37,322,457,287,416,292,437,476,295,414,362,566,401,345,322,457,337.5,422.3,381.5,455.5,347.9,439.2
31055001-17,NE,Douglas County,001-17,3165,280,1765,520,17,418,0,11,154,2446,203,1501,391,13,247,0,9,82,256,781,217,741,223,761,454,213,741,251,999,334,507,256,781,276.8,747.7,292.5,753,278.3,755
31055001-18,NE,Douglas County,001-18,2607,133,2212,79,11,57,0,9,106,1910,81,1650,46,8,46,0,4,75,476,982,514,948,506,989,873,533,919,508,1190,717,470,476,982,606.5,952,612.5,830,589.6,916.3
31055001-19,NE,Douglas County,001-19,2128,142,1703,123,3,46,0,15,96,1697,90,1387,117,0,38,0,9,56,486,658,477,623,480,643,711,487,597,471,821,590,347,486,658,538.8,621,530.5,584,528.9,614.8
31055001-20,NE,Douglas County,001-20,2532,186,1852,255,5,99,0,13,122,1931,102,1530,154,5,59,0,11,70,441.9,521.8,361.4,491.2,373.4,511.5,596.1,372.3,494.3,440.9,687.9,502.3,402.5,441.9,521.8,425.8,499,471.6,545.2,441.2,518.2
31055001-21,NE,Douglas County,001-21,2438,127,1831,193,3,170,0,6,108,2240,98,1748,168,3,143,0,6,74,445,625.2,394.2,582.4,390.2,605.2,660,387.2,588.3,458.9,816.3,565.4,484.8,445,625.2,457.9,592,512.2,650.5,471.6,617
31055001-22,NE,Douglas County,001-22,1913,75,1270,429,6,50,0,5,78,1408,42,1037,232,6,37,0,5,49,457.4,471.2,429.6,423.6,432.6,446.4,611.1,421.7,426.6,456.4,621,556.6,275.8,457.4,471.2,473.8,432.2,506.5,448.4,480.8,444.1
31055001-23,NE,Douglas County,001-23,2051,181,1215,343,6,190,0,11,105,1545,110,981,268,6,126,0,10,44,376.3,582.1,341,501.5,344.5,528.8,540.7,333.1,526.6,414.9,674.1,465.4,435.2,376.3,582.1,389.8,519,440.1,554.7,402.3,541.4
31055001-24,NE,Douglas County,001-24,2227,222,1444,282,17,123,4,7,128,1765,150,1241,189,14,94,2,3,72,355,492,293,455,298,477,494,291,462,381,659,455,395,355,492,344,464.7,418,527,366.7,490
31055001-25,NE,Douglas County,001-25,2514,256,1401,621,10,68,0,16,142,1980,176,1196,463,8,56,0,9,72,282,482,222,412,228,439,416,222,436,284,602,357,379,282,482,272,429,320.5,490.5,287.3,458.3
31055001-26,NE,Douglas County,001-26,1600,85,1301,70,10,34,0,4,96,1269,57,1061,46,9,29,0,2,65,137.1,456,201,650,201,665,395,194,651,189,778,262,330,137.1,456,247.8,655.3,225.5,554,225.6,588.3
31055001-27,NE,Douglas County,001-27,1877,84,1499,137,8,45,1,5,98,1464,57,1228,86,8,26,1,1,57,518.5,458.5,477.6,394.6,464.7,430.8,649,454.6,421.7,509.1,579.2,607.4,288.8,518.5,458.5,511.5,415.7,558.2,434,525.9,428.9
31055001-28,NE,Douglas County,001-28,2108,143,1527,236,8,69,0,3,122,1621,92,1255,160,7,53,0,0,54,495,443,380,453,396,475,597,374,464,485,605,529,372,495,443,436.8,464,507,488.5,465.1,468.7
31055001-29,NE,Douglas County,001-29,2138,139,1376,368,16,120,5,4,110,1698,95,1173,259,14,79,1,2,75,443,459,368,421,370,449,576,357,440,441,576,483,378,443,459,417.8,436.7,462,477,434,453.8
31055001-30,NE,Douglas County,001-30,2778,174,1710,537,19,161,2,9,166,2060,115,1370,360,11,100,2,9,93,471,535.4,404.9,458.6,422.1,478.9,618.1,412.9,463.8,502.9,699.2,570.5,445.8,471,535.4,464.5,467.1,536.7,572.5,486.1,513.6
31055001-31,NE,Douglas County,001-31,2524,210,1613,467,13,88,0,4,129,1866,128,1272,331,11,55,0,3,66,534.5,691.4,387.2,483.9,391.6,499.6,562.5,382.7,488.3,559.5,846.2,664.2,473.5,534.5,691.4,431,490.6,611.9,659.8,497.4,580.5
31055002-01,NE,Douglas County,002-01,3742,563,1916,998,53,46,10,15,141,2964,399,1682,707,50,30,5,9,82,263.8,528,178.6,424.8,193.8,438.1,351.6,182.5,442.4,266.1,595.8,287.6,415.4,263.8,528,226.6,435.1,276.9,505.6,246.3,474.1
31055002-02,NE,Douglas County,002-02,2445,255,930,956,29,33,0,44,198,1696,133,760,621,21,22,0,30,109,212,560,165,458,168,485,339,163,485,221,689,247,504,212,560,208.8,476,234,596.5,216.4,530.2
31055002-03,NE,Douglas County,002-03,3113,218,997,1502,32,203,1,18,142,2237,131,837,1053,19,114,0,18,65,270.6,739.5,223.1,616.6,229,637.4,432.2,207.2,638.4,302.4,902.1,340,649.3,270.6,739.5,272.9,630.8,321.2,775.7,286.4,697.2
31055002-04,NE,Douglas County,002-04,2429,420,534,1141,37,133,3,15,146,1717,232,462,824,26,84,1,7,81,111.8,578.6,86.7,453.8,92.7,472.6,254.2,85.7,477.6,118.7,623.3,133.6,477.4,111.8,578.6,129.8,468,126.1,550.4,126.2,513.9
31055002-05,NE,Douglas County,002-05,2395,511,566,1064,32,23,0,9,190,1664,325,444,748,21,21,0,4,101,84.7,518.5,67.5,356,78.9,362.8,206.8,63.5,376.3,97.2,491.4,116.6,366.1,84.7,518.5,104.2,365,106.9,428.8,102.2,411.9
31055002-06,NE,Douglas County,002-06,2482,317,616,1215,19,143,3,13,156,1669,167,493,814,12,99,0,4,80,114.5,567.6,91.6,423.2,102.6,427.2,250.9,93.6,428.2,133.4,584.6,148.4,409.3,114.5,567.6,134.7,426.2,140.9,496.9,133.6,473.4
31055002-07,NE,Douglas County,002-07,1622,84,313,965,7,144,1,6,102,1198,46,241,768,4,80,1,5,53,90,580,97,496,88,514,225,82,521,101,623,115,466,90,580,123,510.3,108,544.5,114,533.3
31055002-08,NE,Douglas County,002-08,2751,456,505,1482,18,120,3,13,154,1807,252,393,986,14,63,3,8,88,77.5,569.6,52.7,431.4,54.7,446.4,214.7,50.7,449.4,92.4,634.3,99.4,496.1,77.5,569.6,93.2,442.4,95.9,565.2,91.7,504.5
31055002-09,NE,Douglas County,002-09,2890,451,283,1724,20,252,5,32,123,1815,256,219,1122,17,115,2,17,67,30.2,670.1,26.2,499.2,33.2,504.3,210.9,25.2,514.3,52.4,717,77.4,561.2,30.2,670.1,73.9,505.9,64.9,639.1,65.1,577.7
31055002-10,NE,Douglas County,002-10,2382,416,452,1259,21,61,0,18,155,1693,233,365,940,17,30,0,14,94,60,627,58,495,70,488,227,52,505,86,633,104,488,60,627,101.8,496,95,560.5,93.9,539.3
31055002-11,NE,Douglas County,002-11,3109,185,543,1492,20,692,1,20,156,2136,104,440,1095,15,392,1,13,76,136,808,110,662,122,668,343,101,682,140,839,177,581,136,808,169,670.7,158.5,710,161.3,706.7
31055002-12,NE,Douglas County,002-12,3673,327,1113,1376,25,544,1,23,264,2484,192,893,911,16,326,0,16,130,205,793,157,635,168,652,406,155,656,224,851,282,630,205,793,221.5,647.7,253,740.5,228.1,702.8
31055002-13,NE,Douglas County,002-13,2373,488,392,1221,28,97,1,20,126,1625,285,306,880,20,60,1,12,61,36,504,41,375,43,382,178,32,389,54,541,67,430,36,504,73.5,382,60.5,485.5,64.4,436.8
31055002-14,NE,Douglas County,002-14,3174,438,1301,887,19,294,6,30,199,2226,242,1070,581,16,190,6,12,109,207,671,161,605,179,636,406,170,634,237,835,287,533,207,671,229,625,262,684,235.3,652.3
31055002-15,NE,Douglas County,002-15,4752,435,1638,2228,43,169,5,55,179,3842,332,1586,1571,38,145,5,48,117,65.2,795.4,59.3,627.4,61.3,644.5,251.5,53.3,647.4,112.4,977.9,144.5,736.4,65.2,795.4,106.3,639.8,128.5,857.1,106.8,738.2
31055002-16,NE,Douglas County,002-16,3646,652,1472,1125,21,158,5,17,196,2904,399,1381,795,21,142,4,11,151,90.7,673.3,75.6,514.2,76.6,534.1,270.5,69.6,537.1,109.4,694.2,151.2,498.3,90.7,673.3,123.1,528.5,130.3,596.3,120.5,575.2
31055002-17,NE,Douglas County,002-17,3274,586,1009,1114,47,294,8,16,200,2287,365,824,753,33,185,3,11,113,169,602,119,485,122,500,316,120,501,194,729,225,533,169,602,169.2,495.3,209.5,631,180.7,558.3
31055002-18,NE,Douglas County,002-18,1406,123,998,64,6,140,5,10,60,1360,109,988,54,6,139,5,6,53,79.8,128.7,90.8,147.7,94.7,148.7,151.6,100.7,136.7,137.6,284.3,179.5,144.7,79.8,128.7,109.5,144.3,158.6,214.5,119.2,165.1
31055002-19,NE,Douglas County,002-19,2880,468,638,1415,36,112,1,27,183,1961,280,490,980,19,78,1,16,97,98.7,573.6,88,406.6,88.4,416.9,230.6,77,432.2,113.1,635.6,145.5,470.7,98.7,573.6,121,418.6,129.3,553.2,120.2,489.3
31055002-20,NE,Douglas County,002-20,2319,235,383,1308,13,248,1,7,124,1535,138,298,883,11,150,1,3,51,55,553,63,440,65,452,219,57,458,89,608,95,491,55,553,101,450,92,549.5,91.9,500.3
31055002-21,NE,Douglas County,002-21,2819,528,322,1532,18,221,0,24,174,1888,283,261,1070,16,143,0,15,100,35.8,668.9,43.8,482.8,48.8,489.7,195.1,34.8,503.7,74.7,648,86.6,468.8,35.8,668.9,80.6,492.1,80.6,558.4,74.2,543.6
31055002-22,NE,Douglas County,002-22,2501,425,280,1284,11,357,2,18,124,1653,230,216,914,7,210,2,10,64,28,474,42,406,43,422,166,32,434,58,590,83,446,28,474,70.8,420.7,70.5,518,64.6,462
31055002-23,NE,Douglas County,002-23,1743,125,692,656,17,113,0,8,132,1224,63,568,423,10,78,0,5,77,230.4,466.5,181.9,379.4,186,391.6,307.8,170.8,385.6,231.6,522.9,248,353.7,230.4,466.5,211.6,385.5,239.8,438.3,222.4,416.6
31055002-24,NE,Douglas County,002-24,2677,553,1332,600,34,21,0,14,123,1913,333,1105,374,18,15,0,8,60,351.7,452.9,248,422,254,436,431,238,446,339,582,358,420,351.7,452.9,292.8,434.7,348.5,501,317.1,459.8
31055002-25,NE,Douglas County,002-25,4068,298,1259,1011,35,1307,0,7,151,2805,187,1046,727,28,742,0,1,74,301.1,738.5,241.9,595.3,253.7,608.1,468.9,238.9,607.1,317.9,865.8,357.4,611.1,301.1,738.5,300.9,603.5,337.6,738.4,311.4,671
31055003-02,NE,Douglas County,003-02,4182,508,2464,712,29,261,2,28,178,3417,349,2206,493,27,195,2,23,122,218,613,195,655,200,683,426,194,658,261,957,345,560,218,613,253.8,665.3,303,758.5,262.7,687.7
31055003-03,NE,Douglas County,003-03,3121,318,1942,365,36,268,6,12,174,2568,219,1717,272,27,198,2,8,125,236,777,228,750,232,783,501,228,760,292,1022,357,595,236,777,297.2,764.3,324.5,808.5,296.3,781.2
31055003-04,NE,Douglas County,003-04,1012,87,829,33,4,10,2,5,42,826,68,686,29,4,9,1,5,24,163.9,545,123,330,131,343,249,130,327,154,452,187,219,163.9,545,158.2,333.3,170.5,335.5,162.6,369.3
31055003-05,NE,Douglas County,003-05,2586,602,1687,103,14,55,1,15,109,2144,389,1516,82,13,54,0,7,83,244.1,561.9,231,557.6,232,583.7,445,224.1,564.6,302.1,806.5,344.6,460,244.1,561.9,283,568.6,323.3,633.2,289,589
31055003-06,NE,Douglas County,003-06,3636,528,1943,655,51,203,12,20,224,3296,399,1891,561,46,198,7,16,178,204.3,639.6,158.4,564.7,156.4,597.8,388.4,158.3,577.8,223.6,840.6,280.8,529.6,204.3,639.6,215.4,580.1,252.2,685.1,224.3,625
31055003-07,NE,Douglas County,003-07,3852,573,2378,263,32,428,1,18,159,3456,384,2303,222,27,374,0,18,128,289,775,264,816,249,874,587,254,837,350,1163,464,655,289,775,338.5,842.3,407,909,351,853.3
31055003-08,NE,Douglas County,003-08,2330,278,1800,137,11,24,0,6,74,1866,160,1546,75,9,19,0,5,52,370,613,334,616,334,654,597,345,611,347,819,430,399,370,613,402.5,627,388.5,609,393.9,618.7
31055003-09,NE,Douglas County,003-09,2331,162,1923,68,7,49,0,5,117,1961,91,1696,46,5,42,0,4,77,437,743,373,759,390,783,657,381,747,430,988,532,519,437,743,450.2,763,481,753.5,457.1,756.5
31055003-10,NE,Douglas County,003-10,2198,138,1554,113,5,280,1,7,100,1980,119,1424,98,3,245,1,5,85,209,382,194,360,208,367,330,195,363,215,496,272,254,209,382,231.8,363.3,243.5,375,231.9,370.3
31055003-11,NE,Douglas County,003-11,2657,1497,820,172,27,30,3,7,101,1860,896,698,147,24,23,2,6,64,139.8,312,119,257,126,274,240,118,271,149,417,179,295,139.8,312,150.8,267.3,164,356,153,304.3
31055003-12,NE,Douglas County,003-12,1891,338,1359,88,6,18,2,8,72,1452,205,1101,73,2,15,2,1,53,341,540,318,515,332,536,508,308,532,361,645,427,332,341,540,366.5,527.7,394,488.5,370.7,516.7
31055003-13,NE,Douglas County,003-13,2717,882,1443,242,12,12,0,15,111,1975,492,1187,194,11,12,0,5,74,299,591,269,575,256,616,513,265,596,310,767,381,456,299,591,325.8,595.7,345.5,611.5,327.6,600.2
31055003-14,NE,Douglas County,003-14,2573,448,1850,122,19,25,1,7,101,2034,285,1562,92,12,23,0,6,54,474,678,419,613,410,656,681,406,612,445,843,531,427,474,678,479,627,488,635,480.9,638.2
31055003-15,NE,Douglas County,003-15,2236,188,1861,53,5,35,3,0,91,1831,110,1594,33,5,33,1,0,55,345,591.4,344,716,351,756,624,350,718,408,940,503,477,345,591.4,417.2,730,455.5,708.5,417.9,699.7
31055003-16,NE,Douglas County,003-16,3223,318,2446,135,14,180,4,36,90,3026,285,2334,133,11,175,4,36,48,315.9,589.4,248,628,251,671,529,249,650,304,770,403,386,315.9,589.4,319.2,649.7,353.5,578,328.6,615.7
31055003-17,NE,Douglas County,003-17,2781,329,1730,290,7,251,1,9,164,2382,227,1584,201,5,220,1,9,135,404.9,610.5,254,494,270,524,488,262,505,360,815,436,528,404.9,610.5,318.5,507.7,398,671.5,353.6,579.4
31055003-18,NE,Douglas County,003-18,2790,362,1816,303,18,161,6,10,114,2445,281,1651,258,16,145,6,9,79,173,592,145,667,152,683,409,154,669,236,873,275,520,173,592,215,673,255.5,696.5,220.6,667.3
31055003-19,NE,Douglas County,003-19,3727,1063,2044,262,27,166,2,11,152,2973,655,1816,197,21,153,2,6,123,274,729,239,705,250,726,515,234,727,291,1005,350,627,274,729,309.5,719.3,320.5,816,307.6,753.2
31055003-20,NE,Douglas County,003-20,2164,110,1899,17,16,48,1,2,71,1644,69,1473,9,3,40,1,1,48,397,904,408,870,422,899,700,425,850,413,1053,556,433,397,904,488.8,873,484.5,743,474.4,834.8
31055003-21,NE,Douglas County,003-21,3722,351,2389,721,40,91,2,12,116,3586,315,2332,698,38,87,1,5,110,304.9,782.1,286,711.4,283,743.3,555,288,712.4,301.9,959.5,424.4,538,304.9,782.1,353,722.4,363.2,748.8,349,741.1
31055003-22,NE,Douglas County,003-22,3764,2428,830,297,43,21,3,24,118,2394,1390,701,174,30,11,0,12,76,157.4,378.4,128,310,145,315,256,136,314,185,492,209,366,157.4,378.4,166.2,313,197,429,173.8,362.6
31055003-23,NE,Douglas County,003-23,2118,135,1641,106,10,154,1,6,65,1735,108,1371,77,6,125,1,6,41,469,572,474,526,477,538,657,461,516,467,746,600,374,469,572,517.2,526.7,533.5,560,515,545.3
31055003-24,NE,Douglas County,003-24,2320,130,1629,201,4,253,5,15,83,1851,94,1361,142,3,197,2,9,43,317.9,540.8,333.8,518,329.8,543.7,536.8,309,526.9,350.6,672.5,452.6,353.6,317.9,540.8,377.3,529.5,401.6,513,375.8,525.9
31055003-25,NE,Douglas County,003-25,1905,149,1497,107,1,35,3,15,98,1526,86,1272,69,1,30,3,5,60,423.3,418.6,367.8,429.9,370.6,456.2,565.4,360.3,433.7,447.8,596.4,494.8,349,423.3,418.6,416,439.9,471.3,472.7,432.9,447.3
31055003-26,NE,Douglas County,003-26,2381,373,1720,118,6,43,0,3,118,1998,238,1551,85,6,41,0,3,74,406.2,628.7,384,541,381,586,612,368,555,468,733,509,480,406.2,628.7,436.2,560.7,488.5,606.5,446.9,587.3
31055004-01,NE,Douglas County,004-01,2805,2112,514,78,18,9,2,6,66,1792,1254,417,56,11,8,1,4,41,171.8,368.7,114,225,122,234,219,115,240,166,327,168,266,171.8,368.7,142.5,233,167,296.5,153.7,276.8
31055004-02,NE,Douglas County,004-02,3595,2127,1269,65,21,17,0,14,82,2473,1278,1051,39,14,15,0,11,65,312,420,256,336,257,359,418,253,360,366,546,374,389,312,420,296,351.7,370,467.5,319.4,401.7
31055004-03,NE,Douglas County,004-03,4370,3104,925,208,24,15,0,10,84,2929,1864,811,161,15,9,0,7,62,183.2,548.4,143.7,440.4,142.9,476.5,365.4,128.7,478.5,205.3,620.9,247.4,457.6,183.2,548.4,195.2,465.1,226.4,539.2,202.4,503.7
31055004-04,NE,Douglas County,004-04,3421,1574,1465,176,24,40,0,9,133,2408,926,1239,111,16,33,0,6,77,381,513.6,304.2,473.7,312.1,492.6,538.5,307.1,482.7,373,687.1,426.8,479.7,381,513.6,365.5,483,399.9,583.4,377.5,521.6
31055004-05,NE,Douglas County,004-05,2796,643,1879,82,16,55,3,9,109,2159,376,1593,53,16,52,0,9,60,653,600,546,575,551,615,801,533,585,641,757,712,484,653,600,607.8,591.7,676.5,620.5,633.9,602.7
31055004-06,NE,Douglas County,004-06,4115,2391,1364,187,25,29,1,2,116,2771,1402,1153,113,17,18,1,1,66,367.9,616.7,267.9,501.8,287.9,513.8,503.8,246.9,540.8,350.9,713.7,373.8,567.8,367.9,616.7,326.6,518.8,362.3,640.7,342.7,575.8
31055004-07,NE,Douglas County,004-07,2632,1268,1205,41,2,23,3,18,72,1934,764,1048,37,2,19,2,7,55,334.9,378,234.5,322,247.6,332.1,410.6,241.5,329,378.2,489.7,424.4,349.1,334.9,378,283.6,327.7,401.3,419.4,324.5,366.7
31055004-08,NE,Douglas County,004-08,3207,933,1902,198,23,36,5,6,104,2479,581,1625,149,22,28,5,6,63,467,507,393,427,394,457,584,395,432,507,613,551,420,467,507,441.5,438.7,529,516.5,470.1,476
31055004-09,NE,Douglas County,004-09,2962,2193,597,86,14,13,0,8,51,1930,1326,496,51,11,13,0,5,28,178,321,134,272,147,280,280,130,290,202,393,201,299,178,321,172.8,280.7,201.5,346,181.7,309.2
31055004-10,NE,Douglas County,004-10,5197,3029,842,1059,50,29,0,44,144,3160,1800,671,515,31,27,0,28,88,205,621,165,413,167,430,359,148,441,238,658,263,529,205,621,209.8,428,250.5,593.5,220.7,515.3
31055004-11,NE,Douglas County,004-11,3298,1705,1376,69,12,30,1,7,98,2370,1051,1182,50,6,25,1,4,51,443,509,374,414,389,421,577,350,443,476,599,523,412,443,509,422.5,426,499.5,505.5,447.4,466.3
31055004-12,NE,Douglas County,004-12,2781,1065,1525,50,26,15,4,8,88,2065,645,1279,34,23,15,4,8,57,558,429,386,381,398,394,564,380,391,542,550,573,406,558,429,432,388.7,557.5,478,485.9,425.2
31055004-13,NE,Douglas County,004-13,3046,1092,1647,103,8,33,0,8,155,2296,687,1383,85,3,29,0,8,101,357,483,288,401,298,431,473,287,431,384,591,446,365,357,483,336.5,421,415,478,361.9,450.3
31055004-14,NE,Douglas County,004-14,2878,2194,482,99,14,9,1,11,68,1918,1367,408,83,11,3,1,6,39,140,372.3,111.6,258.9,125.7,267.9,233,109.7,274,164.2,372.5,158.3,283.6,140,372.3,145,266.9,161.2,328.1,148.9,304.9
31055004-15,NE,Douglas County,004-15,4681,3268,1072,174,28,9,0,15,115,3106,2007,882,117,21,7,0,7,65,279,632,199,481,214,505,421,200,504,308,663,322,516,279,632,258.5,496.7,315,589.5,277.6,550.2
31055004-16,NE,Douglas County,004-16,2449,733,1485,81,12,28,1,13,96,1843,436,1233,67,11,24,1,4,67,409,511,310,493,321,526,524,313,504,397,667,427,402,409,511,367,507.7,412,534.5,385.9,517.2
31055004-17,NE,Douglas County,004-17,1740,599,1023,40,17,6,6,8,41,1392,395,908,29,11,3,5,4,37,269.3,284.2,225.6,276.2,228.6,299.1,377.6,226.6,285.2,327.9,384.6,347.8,297.1,269.3,284.2,264.6,286.9,337.9,340.8,286.2,304.4
31055004-18,NE,Douglas County,004-18,3557,2700,566,143,35,3,3,16,91,2381,1750,456,92,21,2,3,6,51,150.9,446.7,108.5,349.1,121.3,360.9,276.1,111.4,366.8,178.5,532.5,179.5,420.1,150.9,446.7,154.3,358.9,179,476.3,160.9,412.7
31055004-19,NE,Douglas County,004-19,3174,807,1770,318,4,156,6,8,105,2493,528,1507,245,0,131,6,5,71,385.7,422.3,320.2,378,342.6,390.1,527.6,329.5,389.1,414,547.7,454.2,366.9,385.7,422.3,380,385.7,434.1,457.3,396.3,415.7
31055004-20,NE,Douglas County,004-20,1610,180,1258,40,6,35,5,12,74,1238,96,1032,26,5,20,3,9,47,524.3,388.2,461.6,377,451.7,398.5,605.3,439.5,373.5,529.4,468.8,589,263.4,524.3,388.2,489.5,383,559.2,366.1,514.4,378.2
31055004-21,NE,Douglas County,004-21,3711,652,2368,353,10,170,0,10,148,3082,446,2133,252,6,144,0,9,92,442,520.8,306.5,499.4,313.6,539.8,559.9,313.4,517.1,474.9,826,533,575.2,442,520.8,373.3,518.8,503.9,700.6,420.5,579.7
31055005-01,NE,Douglas County,005-01,2485,186,2061,74,16,34,6,6,102,1865,111,1601,52,13,33,6,0,49,569.7,547.3,461.7,538.1,480.6,563.4,723.4,459.7,550,573.4,756.6,653.5,403.5,569.7,547.3,531.4,550.5,613.5,580.1,560.3,559.8
31055005-02,NE,Douglas County,005-02,2212,116,1860,77,9,48,1,2,99,1644,64,1434,51,9,31,0,2,53,571.1,624.7,553,606.8,550,641.5,818.1,553,591,528.6,838,691.2,385.4,571.1,624.7,618.5,613.1,609.9,611.7,609.3,614.6
31055005-03,NE,Douglas County,005-03,2738,283,2159,161,5,29,3,7,91,1994,174,1621,111,4,27,2,0,55,701,559,602,526,598,557,831,597,514,679,774,792,423,701,559,657,532.3,735.5,598.5,685.7,558.8
31055005-05,NE,Douglas County,005-05,2725,588,1712,193,14,82,4,10,122,2234,421,1493,144,12,75,4,8,77,395.4,440,333,364.7,346.8,372.6,495.5,331,367.6,447.9,571.8,479.6,376.6,395.4,440,376.6,368.3,463.8,474.2,404.2,415.6
31055005-06,NE,Douglas County,005-06,2501,340,1575,114,10,367,2,4,89,1943,219,1334,85,6,245,2,1,51,408,394,297,328,326,335,469,308,331,432,526,470,346,408,394,350,331.3,451,436,387.1,376.7
