GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_16_rep_blu,uss_16_dem_kan,gov_16_rep_gre,gov_16_dem_kos,atg_16_rep_haw,atg_16_dem_hen,sos_16_rep_ash,sos_16_dem_smi,uss_18_rep_haw,uss_18_dem_mcc,pre_20_rep_tru,pre_20_dem_bid,gov_20_rep_par,gov_20_dem_gal,atg_20_rep_sch,atg_20_dem_fin,sos_20_rep_ash,sos_20_dem_fal,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
29047000055,MO,Clay County,000055,2022,61,1853,11,8,2,2,7,78,1580,39,1459,11,6,2,0,2,61,878.7,278.6,695.6,490.6,783.2,435.9,860.8,348.3,838.9,316.5,621,363.2,1088.7,438.9,1069.8,458.8,1075.8,394.1,1116.6,389.1,811.4,374,621,363.2,1087.7,420.2,902.9,391.4
29047000056,MO,Clay County,000056,5372,230,4768,42,23,45,2,17,245,3973,137,3583,30,22,33,2,11,155,1401.7,658,1159.5,929.5,1304.9,815.3,1400.3,731.2,1406.1,645.5,1053.7,737,1746.4,767.7,1693.2,818.4,1739.5,672.7,1812.4,637.3,1334.5,755.9,1053.7,737,1747.9,724,1471.8,741.3
29047000057,MO,Clay County,000057,3314,99,3029,16,12,14,1,16,127,2664,66,2462,15,10,10,1,12,88,1401.6,479.3,1227.7,660.5,1280.8,663.6,1435.2,505.9,1450.8,434.5,1115.3,563.6,1397.7,516.3,1414.7,512.6,1438.5,428.1,1482.3,401,1359.2,548.7,1115.3,563.6,1433.3,464.5,1364.4,516.5
29047000058,MO,Clay County,000058,4903,123,4473,20,16,32,0,13,226,3493,81,3190,18,16,27,0,11,150,1512.6,573.1,1258.2,854.1,1381.8,794.5,1544.3,631.1,1532.6,566.6,1113.3,653.2,1849.8,868.6,1800.8,915.7,1875.5,738.4,1944.4,691.3,1445.9,683.9,1113.3,653.2,1867.6,803.5,1581.3,728.7
29047000059,MO,Clay County,000059,2741,127,2287,133,13,24,7,1,149,2113,68,1831,91,6,22,0,0,95,622,483,517,597,564,582,641,543,651,473,427,505,714,648,688,661,700,599,769,521,599,535.6,427,505,717.8,607.2,629.3,561.2
29047000060,MO,Clay County,000060,3741,202,2944,263,11,45,5,22,249,3051,142,2487,214,10,31,5,14,148,527.7,544.6,480.2,621.3,530.4,588,602.4,545.7,596.5,500.8,432.4,557.9,593,659.9,593.5,645.7,610.6,592.7,633.9,580.8,547.4,560.1,432.4,557.9,607.7,619.8,560,583.7
29047000061,MO,Clay County,000061,2659,148,2257,96,6,19,1,5,127,1977,84,1734,61,6,15,0,5,72,884.3,626.6,827,745.9,846.2,747.8,971.4,625.6,977.4,565.5,758,683.7,874.7,739.2,897.8,720.1,913.9,633.9,950,612.9,901.3,662.3,758,683.7,909.1,676.5,890.1,670.1
29047000062,MO,Clay County,000062,4620,299,3638,251,15,57,17,11,332,3201,180,2617,163,14,47,9,7,164,988.6,810.6,855.1,989.4,956.9,926.8,1084.6,809.3,1060.3,756.5,774.1,856.8,1044,1032.9,1061.7,1006.7,1076,887.6,1142.4,832.4,989.1,858.5,774.1,856.8,1081,939.9,1004.4,890.9
29047000063,MO,Clay County,000063,539,16,476,6,2,6,0,4,29,427,11,385,4,2,2,0,3,20,178.6,100.8,134.4,148.8,147.9,145.9,181.5,115.2,176.7,103.7,138.3,103.7,241,169.9,253.5,170.9,236.2,157.5,256.4,138.3,163.8,122.9,138.3,103.7,246.8,159.2,194.4,135.5
29047000064,MO,Clay County,000064,3105,227,2595,73,10,40,0,9,151,2257,126,1946,54,7,27,0,4,93,971.5,698.4,893.4,847.2,946,810.3,1086.5,673.6,1071.8,627.9,853.8,756.2,973.6,740.2,1008.7,712,1010.9,678,1063.3,630,993.8,731.5,853.8,756.2,1014.1,690.1,987.9,717.4
29047000065,MO,Clay County,000065,1793,96,1481,84,9,13,6,7,97,1272,47,1084,62,3,10,3,2,61,468.5,369.2,424.4,470.3,481.5,427.2,551.5,373.2,541.5,342.2,447.4,386.2,580.6,504.2,588.6,500.2,596.6,444.2,639.7,398.2,493.5,396.4,447.4,386.2,601.4,461.7,532,421.5
29047000066,MO,Clay County,000066,2848,120,2389,123,7,31,1,14,163,2268,86,1950,97,6,28,1,7,93,621.3,483.2,614.2,538.2,627.3,535.2,713.3,470.2,719.3,418.2,562.2,530.2,760.3,619.2,786.3,592.2,813.3,525.2,842.3,524.2,659.1,489,562.2,530.2,800.5,565.2,706,523.6
29047000067,MO,Clay County,000067,1934,123,1621,66,3,19,0,2,100,1426,67,1239,52,1,16,0,0,51,624.8,493.7,578.6,603.3,608.9,580.1,699,483,724.3,419.4,522.8,539,791.1,733.2,808.6,701.2,824.3,630.9,868.5,602.5,647.1,515.9,522.8,539,823.2,667,705.1,578.6
29047000068,MO,Clay County,000068,2743,186,2150,159,21,20,21,13,173,2201,114,1796,122,21,15,11,2,120,613.5,469.5,455.9,622.1,530.9,589.7,623.8,530,593.1,481.4,438,503.6,731.1,645.9,717.5,636.5,732.8,617.8,764.4,565,563.4,538.5,438,503.6,736.5,616.3,620.1,566.2
29047000069,MO,Clay County,000069,3608,193,3058,126,9,37,2,7,176,2809,120,2437,96,8,28,1,2,117,878.5,731.6,778.8,886.5,834.4,854,948.3,741.1,962.1,668.5,700.2,780.5,884.1,820.7,894.7,789.3,931.7,702.8,970.4,670.2,880.4,776.4,700.2,780.5,920.3,745.8,878.3,764.5
29047000070,MO,Clay County,000070,3118,153,2588,134,20,18,7,12,186,2412,95,2056,96,18,17,7,11,112,620.4,607.4,548.9,722.6,585.1,714.2,699.4,629.7,695.7,554.5,496.9,675.2,743,794.1,739.3,805.3,770,699.4,800.6,670.6,629.9,645.7,496.9,675.2,763.2,742.3,669.9,687.3
29047000071,MO,Clay County,000071,431,24,374,3,3,6,0,3,18,356,16,316,1,3,2,0,3,15,163.1,78.3,145.6,98.6,159.4,83.8,183.3,68.2,173.2,69.1,147.4,82.9,214.6,82,221.1,80.1,222,68.2,225.7,69.1,164.9,79.6,147.4,82.9,220.9,74.8,185.5,78
29047000072,MO,Clay County,000072,3634,174,3184,75,11,30,1,18,141,2704,81,2451,55,4,21,1,8,83,1385,637.6,1254.3,795.7,1283.3,790.8,1461.3,637.9,1463.2,569.4,1188.3,670.1,1540.3,805.1,1554,792.3,1580,683.2,1630.7,655.7,1369.4,686.3,1188.3,670.1,1576.3,734.1,1434.1,703.8
29047000073,MO,Clay County,000073,6163,214,5563,42,28,30,6,30,250,4513,150,4076,34,22,23,6,19,183,1559,757.5,1226.5,1049,1387.8,948.8,1556.5,805.6,1573,696.2,1142.5,767.8,1734.2,858.5,1675.7,891.5,1708.3,748.9,1796.1,702.9,1460.6,851.4,1142.5,767.8,1728.6,800.5,1536,822.7
29047000074,MO,Clay County,000074,3682,130,3326,19,16,27,6,3,155,2845,72,2619,12,12,26,6,3,95,1459.4,704.5,1222.3,932.4,1316.6,879.4,1458.5,751.6,1469.8,651.3,1302.7,816.4,1988.7,870.2,1953.9,892.3,2000.2,748,2041.6,725.1,1385.3,783.8,1302.7,816.4,1996.1,808.9,1621.4,797.1
29047000075,MO,Clay County,000075,3010,100,2692,19,12,27,0,6,154,2170,69,1974,10,10,21,0,3,83,908.3,438.6,738.1,633.8,823.5,560.8,930.9,475.5,914.3,420.8,692.7,432.9,1118.1,588.1,1105.8,587.9,1135.7,480,1171.8,465.7,863,505.9,692.7,432.9,1132.8,530.4,953.9,508.4
29047000076,MO,Clay County,000076,1315,23,1221,8,10,8,2,1,42,1048,21,973,6,9,6,2,1,30,496.3,263.4,421,343.9,430.5,344,519.6,272.5,487.6,267.9,373.9,242.5,657.6,294,652.6,294.3,641.9,267.2,655.9,266.9,471,298.4,373.9,242.5,652,280.6,533.7,285.7
29047000077,MO,Clay County,000077,2157,57,1936,23,4,19,0,3,115,1686,39,1542,20,4,16,0,3,62,628.8,334.6,461.3,495.3,550.8,434.3,615.1,382.9,618.9,334.6,474.8,356.2,795.8,444.9,751.5,457.7,758.3,386.8,796.7,363.2,575,396.4,474.8,356.2,775.6,413.1,645.2,399.1
29047000078,MO,Clay County,000078,1322,52,1180,6,2,7,1,10,64,1018,28,934,1,2,6,1,9,37,559,188.3,485.6,277.5,505.4,262.6,560.9,213.1,545.1,209.1,466.8,267.6,724.5,273.5,741.3,259.7,740.3,235.9,752.2,227.9,531.2,230.1,466.8,267.6,739.6,249.2,608.1,241.5
