GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_16_rep_she,uss_16_dem_cru,gov_18_rep_ive,gov_18_dem_mad,atg_18_rep_mar,atg_18_dem_sie,sos_18_rep_mer,sos_18_dem_mil,pre_20_rep_tru,pre_20_dem_bid,uss_20_rep_tub,uss_20_dem_jon,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
01003000008,AL,Baldwin County,000008,2305,114,1479,557,6,23,1,13,112,1939,94,1227,518,3,15,1,8,73,323.4,176.4,338.9,162,327,157,327,155.1,330,150.1,574.1,268.4,545.9,298.7,331.1,169.2,328,154.1,560,283.6,395.2,195.4
01003000009,AL,Baldwin County,000009,2668,133,2060,300,4,11,0,6,154,1986,73,1610,203,3,10,0,4,83,823.8,139,835,150.9,550,126.7,546.5,126.7,567.8,108,874.9,215.6,835.1,262.6,829.4,145,554.8,120.4,855,239.1,719,161.3
01003000010,AL,Baldwin County,000010,3036,89,2534,319,7,10,2,2,73,2467,55,2080,272,4,9,1,2,44,934.7,375,987,347.3,913.2,461.2,943.4,421.6,965.3,385.5,1519.4,557.6,1465.9,616.9,960.9,361.1,940.6,422.8,1492.6,587.2,1104.1,452.2
01003000011,AL,Baldwin County,000011,533,3,471,12,33,2,0,0,12,386,3,343,4,24,0,0,0,12,153.1,11.3,154.9,12.2,148.9,17.6,140.8,22.6,145.7,16.7,268.6,24.4,254.6,45.4,154,11.7,145.1,19,261.6,34.9,180.9,21.4
01003000012,AL,Baldwin County,000012,753,11,655,45,9,0,2,0,31,623,8,546,34,8,0,2,0,25,444.6,28.2,425.7,38.2,302.3,29.8,301.4,29.8,308.6,22.6,455,36.1,446.9,44.2,435.2,33.2,304.1,27.4,450.9,40.1,383.5,32.7
01003000013,AL,Baldwin County,000013,1293,4,1217,2,31,0,1,2,36,999,3,951,1,20,0,1,1,22,527,40,511,47,376,35,358,52,375,32,673,48,642,86,519,43.5,369.7,39.7,657.5,67,494.6,48.6
01003000014,AL,Baldwin County,000014,1605,30,1392,59,43,0,0,1,80,1249,17,1094,49,38,0,0,0,51,579.3,74.8,555.3,91.1,421,68.1,400.9,81.5,420.1,62.3,634,76.7,625.3,92.1,567.3,83,414,70.7,629.7,84.4,519.4,78.1
01003000015,AL,Baldwin County,000015,9357,191,6492,2028,115,57,0,35,439,7311,137,5301,1469,84,51,0,13,256,2911.6,752.4,2916.4,798.5,2156.7,676.3,2048.1,768.4,2124.4,668,2693.9,820.7,2576,936,2914,775.5,2109.7,704.2,2634.9,878.3,2489.6,774.3
01003000016,AL,Baldwin County,000016,2400,52,1838,372,26,3,0,2,107,1812,36,1436,254,21,3,0,2,60,787.3,197.1,792.2,200.1,572.5,139.9,545.4,167,552.4,155.9,819.1,221.5,781.8,262.9,789.7,198.6,556.8,154.3,800.5,242.2,693,192
01003000017,AL,Baldwin County,000017,1921,40,1527,209,14,3,0,2,126,1503,20,1228,150,12,3,0,1,89,765.7,128.9,758.8,135.9,537,112.1,524.1,122.8,528.3,111.6,853.1,177.2,814.6,224.8,762.3,132.4,529.8,115.5,833.8,201,683.1,144.8
01003000018,AL,Baldwin County,000018,2835,86,2467,58,29,16,0,13,166,2174,56,1933,51,19,10,0,6,99,1180.5,120.5,1178.8,145,899,122.3,902.6,119.3,914.2,102.9,1443.9,161,1384,246.8,1179.6,132.8,905.3,114.8,1414,203.9,1129,145.4
01003000019,AL,Baldwin County,000019,609,9,543,2,10,3,0,1,41,491,5,440,1,10,3,0,1,31,242,14,231,20,196.5,21.1,187.5,28.1,190.5,26.1,295.6,24.2,279.5,40.3,236.5,17,191.5,25.1,287.6,32.2,231.8,24.8
01003000020,AL,Baldwin County,000020,13326,624,10557,1277,45,194,11,26,592,10041,425,8164,930,39,130,2,12,339,3648.1,1390.4,3827.5,1422.8,2857.4,1461.1,2881.4,1422.1,2943.5,1329,4127.9,1798.3,3987.8,1997.4,3737.8,1406.6,2894.1,1404.1,4057.9,1897.9,3467.7,1545.9
01003000021,AL,Baldwin County,000021,316,7,295,1,2,0,0,0,11,251,2,236,0,2,0,0,0,11,123,8.2,118.1,10.2,103.9,5,102.1,6.1,102.2,6,152.8,10.2,147,17.7,120.6,9.2,102.7,5.7,149.9,14,121.3,9.1
01003000022,AL,Baldwin County,000022,3687,159,3192,32,55,8,0,13,228,2843,107,2476,28,50,8,0,7,167,1320,121,1322,140,1040,168,1022,178,1042,158,1679,201,1586,309,1321,130.5,1034.7,168,1632.5,255,1287.3,182.1
01003000023,AL,Baldwin County,000023,6119,236,5149,325,26,58,2,22,301,4335,152,3717,228,16,37,0,15,170,1643.9,328.6,1686.4,340.7,1524.7,421.3,1520.4,408.6,1558.9,358,2888,660.1,2778.6,809.2,1665.2,334.6,1534.7,395.9,2833.3,734.6,1943,475.2
01003000024,AL,Baldwin County,000024,6489,776,5039,283,36,56,1,18,280,4801,449,3882,194,27,52,1,13,183,1945.9,307.4,1948.9,351.5,1512,352.7,1495,362.7,1533,309.6,2308.9,453.8,2200.7,596.9,1947.4,329.4,1513.3,341.7,2254.8,525.3,1849.2,390.6
01003000025,AL,Baldwin County,000025,7696,630,6060,493,46,66,3,19,379,5754,397,4664,329,46,45,3,14,256,2343.6,408.2,2331.6,460.4,1618.5,399.3,1596.5,416.2,1622.5,374.1,2499.6,564.5,2369.3,749.8,2337.6,434.3,1612.5,396.5,2434.4,657.1,2054.5,481.8
01003000026,AL,Baldwin County,000026,2533,148,2193,12,19,15,5,14,127,1975,96,1745,9,14,15,4,5,87,902.2,65.6,884.9,84.8,618.5,78.6,605.5,86.6,622.2,68,1029.2,123,966.9,191.7,893.6,75.2,615.4,77.8,998,157.3,804.2,99.8
01003000027,AL,Baldwin County,000027,1559,46,1382,20,15,6,0,0,90,1249,35,1117,14,9,6,0,0,68,574.8,56.2,564.4,69.7,441.3,47.3,431.9,56.4,434.3,51.9,684.8,85,646.4,131.3,569.6,62.9,435.9,51.9,665.6,108.1,539.7,71.1
01003000028,AL,Baldwin County,000028,6775,197,6073,133,34,46,2,17,273,5831,138,5308,109,28,36,2,15,195,2586.7,569.5,2592.5,603.1,2211.3,566,2143.9,622.1,2192.4,568.7,2837.7,644.9,2715.8,801.6,2589.6,586.3,2182.5,585.6,2776.8,723.3,2468.6,625.1
01003000029,AL,Baldwin County,000029,1178,34,1043,4,7,7,2,5,76,1010,25,900,0,6,7,2,5,65,410.2,71.8,411.8,70.2,335.2,72.1,329.9,75.7,343,63.5,527.1,104.3,493,144.5,411,71,336,70.4,510.1,124.4,407.2,86
01003000030,AL,Baldwin County,000030,4915,459,3905,318,21,18,2,11,181,3867,289,3165,264,21,9,2,8,109,1489.9,318.8,1503.7,342.9,1162.1,385.7,1146.8,389.9,1174.1,357.1,1643,436.9,1571.6,514,1496.8,330.9,1161,377.6,1607.3,475.5,1384.5,392.2
01003000031,AL,Baldwin County,000031,5891,471,4815,246,24,15,4,9,307,4494,282,3821,166,19,15,4,5,182,1631.9,233.6,1621,267.2,1328.1,265.6,1326.1,257.7,1338,235.8,1976.7,311.4,1912,383,1626.4,250.4,1330.7,253,1944.3,347.2,1590.5,279.2
01003000032,AL,Baldwin County,000032,4914,405,4075,117,32,9,3,24,249,3884,262,3323,82,30,8,3,16,160,1517.8,235.9,1523.1,282,1201.8,249.4,1170.5,271.9,1195.9,239.6,1668.2,280.6,1596.8,377.5,1520.4,258.9,1189.4,253.6,1632.5,329.1,1410.6,276.7
01003000033,AL,Baldwin County,000033,4244,154,3778,80,12,49,3,11,157,3719,115,3363,49,11,47,3,9,122,1456.6,296.5,1458.2,318.4,1320.3,371.2,1304.8,382.5,1335.3,338.9,1823.4,404.2,1757.5,500,1457.4,307.5,1320.1,364.2,1790.4,452.1,1493.7,373.1
01003000034,AL,Baldwin County,000034,1153,63,1010,9,9,2,0,8,52,963,44,856,8,8,2,0,8,37,421.7,56,425.8,69.1,381.3,67.3,372.2,75.4,384.5,64.1,544.7,98.8,529,119.7,423.7,62.6,379.3,68.9,536.8,109.3,437,78.6
01003000035,AL,Baldwin County,000035,13338,606,9815,2052,52,125,8,61,619,10626,411,7981,1621,48,100,5,45,415,4442.5,1977.2,4669.8,1957,2824.4,2147.2,2832.4,2099.6,2932.4,1966.9,3889.6,2505.6,3733.1,2723.6,4556.1,1967.1,2863.1,2071.2,3811.3,2614.6,3617.7,2196.7
01003000036,AL,Baldwin County,000036,7841,530,6134,737,54,42,4,28,312,6207,349,5008,538,41,27,3,25,216,1719.7,480.6,1725,520.7,1824.3,648.8,1826.2,636.8,1853.3,594.6,2623.4,823,2518.1,943.3,1722.4,500.7,1834.6,626.7,2570.8,883.2,2012.9,664
01003000037,AL,Baldwin County,000037,4208,450,3345,141,23,14,2,26,207,3362,285,2820,76,17,10,2,17,135,966.4,178.1,964.5,193.8,863.2,225,840.1,243.5,862.3,220.4,1344.8,300.9,1282.8,373,965.5,185.9,855.2,229.6,1313.8,336.9,1017.7,247.8
01003000038,AL,Baldwin County,000038,7512,893,5124,968,41,104,2,35,345,5981,522,4391,722,34,88,2,28,194,1684.2,519.1,1696.3,538.1,1358.9,635,1325.7,657.2,1366.6,605.3,2028.4,841.6,1951,921.6,1690.2,528.6,1350.4,632.5,1989.7,881.6,1630.2,674
01003000039,AL,Baldwin County,000039,7343,211,6566,109,37,56,3,48,313,6339,149,5751,90,24,40,2,38,245,2383.4,517.5,2405,558.5,2000.1,745,1977.3,760.8,2040.7,679.6,2843.1,828.2,2728.2,961.9,2394.2,538,2006,728.4,2785.7,895,2339.7,721.6
01003000040,AL,Baldwin County,000040,865,10,816,2,2,1,0,0,34,808,5,776,2,1,1,0,0,23,326.8,84.5,327.9,90.6,304.7,118.1,315.7,106.2,320.9,101,438.1,133.4,416.8,157.8,327.4,87.5,313.8,108.4,427.5,145.6,350.1,113.1
01003000041,AL,Baldwin County,000041,8438,195,7803,39,35,45,1,22,298,7183,137,6707,34,31,38,1,17,218,3855,564,3870,607,3061,743,3073,720,3169,603,4769,778,4612,973,3862.5,585.5,3101,688.7,4690.5,875.5,3772.7,712.6
01003000042,AL,Baldwin County,000042,10231,242,8576,915,18,82,11,23,364,8231,158,7061,671,16,63,8,16,238,4132.4,1680.2,4351.1,1620,3032.4,1858.2,3052.5,1809.7,3167.3,1649.5,3812.7,1945.9,3666.9,2146.4,4241.7,1650.1,3084.1,1772.5,3739.8,2046.1,3602.2,1815.7
01003000043,AL,Baldwin County,000043,5976,255,5249,156,29,31,0,10,246,4660,180,4138,122,23,25,0,7,165,1843.9,363.5,1891,380,1768.5,554.5,1721.8,586.2,1784.5,511.6,2307,560.9,2212.7,686.9,1867.4,371.7,1758.3,550.8,2259.9,623.9,1932.8,520.5
01003000044,AL,Baldwin County,000044,5504,262,4826,101,14,13,12,9,267,4453,173,3986,75,10,13,8,8,180,2415.1,409,2441.4,435.4,1663.6,431.2,1629,448,1679.3,369,2549.9,513.3,2437.1,681.2,2428.2,422.2,1657.3,416.1,2493.5,597.2,2116.5,469.6
01003000045,AL,Baldwin County,000045,6789,226,5977,206,30,53,0,25,272,5155,150,4562,161,23,48,0,22,189,2703.2,553.5,2749.4,582.8,2103.3,704.8,2125.6,663.8,2192.1,578.5,2831,776.4,2743.7,940.6,2726.3,568.1,2140.3,649,2787.3,858.5,2492.6,685.8
01003000046,AL,Baldwin County,000046,3655,152,3085,131,19,98,2,8,160,2906,96,2505,101,16,69,2,5,112,1463.9,294.8,1514.4,264.7,1155.7,341.4,1171.5,321.7,1192.8,289.8,1536.2,369.7,1493.3,444,1489.1,279.7,1173.3,317.6,1514.8,406.8,1361.1,332.3
01003000047,AL,Baldwin County,000047,12645,1729,8814,1249,60,108,4,54,627,10003,1095,7450,865,50,87,4,40,412,3273.7,1017.8,3296.3,1061.1,2278.8,819.1,2247.9,840,2283.8,775.4,2994,998.1,2868.7,1151.2,3285,1039.4,2270.2,811.5,2931.3,1074.7,2749,951.8
01003000048,AL,Baldwin County,000048,8943,447,7640,215,33,108,3,61,436,7271,306,6348,169,25,89,0,46,288,2643.1,570.5,2664.6,615.5,2058.2,650.8,2061,636.5,2092.4,590.7,3372,818.5,3264.5,974.1,2653.8,593,2070.5,626,3318.2,896.3,2593.7,693.8
01003000049,AL,Baldwin County,000049,10989,650,9300,478,22,117,8,22,392,8351,422,7243,332,20,82,5,15,232,3112.7,854.1,3223.8,854.8,2805.2,1082,2822.9,1033.7,2890,941,3412.1,1018.6,3234.3,1271.3,3168.3,854.4,2839.4,1018.9,3323.2,1144.9,3071.6,1007.9
01005000001,AL,Barbour County,000001,862,20,508,302,4,5,0,1,22,693,10,414,250,4,2,0,1,12,237.8,153.3,224.8,150.5,191.3,131,177.4,139.3,184.8,128.2,281.4,149.6,267.5,163.5,231.3,151.9,184.5,132.8,274.5,156.5,223.6,145
01005000002,AL,Barbour County,000002,653,30,444,158,2,4,0,2,13,530,14,367,134,2,4,0,2,7,203,70,190,69,164,68,164,66,167,61,238,81,234,86,196.5,69.5,165,65,236,83.5,194.3,71.6
01005000003,AL,Barbour County,000003,2765,514,882,1319,4,10,0,5,31,2434,341,839,1218,4,7,0,3,22,260,252,245,239,180,209,158,231,167,224,254,285,245,301,252.5,245.5,168.3,221.3,249.5,293,215.6,248.7
01005000004,AL,Barbour County,000004,1290,40,846,355,5,1,0,1,42,1048,22,707,285,3,0,0,0,31,486.7,124.2,486.7,134.1,381.8,125.3,364.9,139.9,376.5,123.6,482.6,135.8,462.2,157.4,486.7,129.1,374.4,129.6,472.4,146.6,434.5,134.3
01005000005,AL,Barbour County,000005,12935,762,5683,6043,26,64,0,41,316,9723,470,4712,4237,19,58,0,26,201,2931.2,2733.1,2969.8,2699.7,2290.6,2285.3,2149.8,2403,2211.7,2288.2,2981.9,2643.6,2897.6,2752.6,2950.5,2716.4,2217.4,2325.5,2939.8,2698.1,2633.2,2543.6
01005000006,AL,Barbour County,000006,2836,48,943,1802,1,2,0,3,37,2491,29,886,1550,1,2,0,0,23,326,588,333,560,294,457,238,507,258,471,308,574,295,585,329.5,574,263.3,478.3,301.5,579.5,293.1,534.6
01005000007,AL,Barbour County,000007,575,6,150,398,4,2,0,0,15,469,2,125,327,4,1,0,0,10,79.5,58.5,80,57.7,60.2,51,57.8,53.5,59.8,50.6,79.3,53,76.9,56.6,79.8,58.1,59.3,51.7,78.1,54.8,70.5,54.4
01005000008,AL,Barbour County,000008,351,7,71,269,0,0,0,0,4,290,1,63,224,0,0,0,0,2,26.6,148,28.9,148.4,33.5,108.8,26.4,115.9,27.4,115.9,30.6,149,31.6,150,27.7,148.2,29.1,113.5,31.1,149.5,29.3,133.7
01005000009,AL,Barbour County,000009,1055,31,431,569,3,1,0,0,20,871,12,381,462,3,1,0,0,12,248,345,241,336,211,285,183,302,189,280,245,351,241,351,244.5,340.5,194.3,289,243,351,222.6,321.4
01005000010,AL,Barbour County,000010,501,12,334,120,2,4,0,3,26,420,9,291,98,2,0,0,1,19,218,76,205,73,178,59,172,62,171,59,226,74,217,87,211.5,74.5,173.7,60,221.5,80.5,198.1,70
01005000011,AL,Barbour County,000011,601,13,223,349,1,2,0,5,8,510,9,188,303,1,2,0,3,4,137.8,234,147.7,223.1,107.1,195.3,107.1,196.3,109.1,186.4,147.7,234,145.8,237,142.8,228.6,107.8,192.7,146.8,235.5,128.9,215.2
0100500008A,AL,Barbour County,00008A,272,6,145,107,5,1,0,2,6,215,5,118,83,5,1,0,0,3,77,58,72,58,65,48,51,63,55,57,86,61,84,60,74.5,58,57,56,85,60.5,70,57.9
0100500010A,AL,Barbour County,00010A,527,21,426,59,1,7,0,0,13,440,10,365,47,1,7,0,0,10,223,41,213,38,180,28,172,36,171,32,262,34,252,43,218,39.5,174.3,32,257,38.5,210.4,36
01007000001,AL,Bibb County,000001,4049,168,3626,102,7,4,3,15,124,3004,93,2765,74,6,2,3,2,59,1575.8,119.4,1543.7,186.5,1119.3,192.5,1130.3,181.5,1158.3,152.4,1748.1,154.4,1711,212.5,1559.7,153,1136,175.4,1729.5,183.5,1426.6,171.3
01007000003,AL,Bibb County,000003,2952,47,1883,958,4,1,0,5,54,2627,32,1632,918,4,0,0,2,39,537.7,73.3,523.8,96.2,446.7,85.1,436.8,89,449.8,77,630.2,84.1,613.3,105,530.8,84.7,444.4,83.7,621.7,94.6,519.8,87.1
01007000004,AL,Bibb County,000004,2354,79,827,1401,0,0,0,0,47,1839,38,663,1107,0,0,0,0,31,322,596.9,330.6,592.4,275.1,433,256.3,448.7,269.8,433.2,368.5,619.3,353.4,637.6,326.3,594.6,267,438.3,360.9,628.4,310.8,537.3
01007000005,AL,Bibb County,000005,2288,63,1810,337,8,1,2,3,64,1762,41,1430,241,8,0,2,3,37,851.2,235.9,838.6,252.4,649,204.1,653.8,196.4,675.2,173,920.4,214.7,912.5,231.3,844.9,244.2,659.3,191.2,916.5,223,785.8,215.4
01007000007,AL,Bibb County,000007,892,13,783,74,0,0,0,1,21,696,12,606,60,0,0,0,1,17,387,56,376,65,279,69,281,69,292,57,421,65,407,73,381.5,60.5,284,65,414,69,349,64.9
01007000009,AL,Bibb County,000009,3294,112,2245,839,3,7,0,4,84,2571,81,1828,604,3,7,0,4,44,914.2,284.3,915.1,287.3,769.9,253.3,770.9,250.3,792.9,220.2,1053.3,318.3,1023.3,353.3,914.7,285.8,777.9,241.3,1038.3,335.8,891.4,281
01007000020,AL,Bibb County,000020,4228,172,3461,427,6,12,3,11,136,3257,102,2691,347,6,8,3,3,97,1484.8,350.3,1446.7,413.4,1068.4,384.4,1069.4,377.4,1095.4,336.3,1604.1,363.3,1551,432.4,1465.8,381.8,1077.8,366,1577.6,397.9,1331.4,379.6
01007000060,AL,Bibb County,000060,2236,86,1807,252,11,1,1,8,70,1777,64,1440,198,10,1,1,7,56,662.6,157.4,634.7,188.3,472.3,177.4,481.3,171.4,498.2,151.5,776.2,166.4,745.3,198.3,648.7,172.9,483.9,166.7,760.8,182.3,610.1,173
01009000001,AL,Blount County,000001,4166,55,3867,38,17,6,0,6,177,3187,27,2975,31,16,3,0,6,129,1622.9,107.3,1600.7,163.9,1320.9,165,1335.2,156.1,1345.1,139,1805.4,156.6,1794.5,190.7,1611.8,135.6,1333.7,153.4,1800,173.7,1546.4,154.1
01009000002,AL,Blount County,000002,2364,51,2197,9,3,4,1,6,93,1866,35,1753,8,3,2,1,3,61,1156.1,101.9,1136.8,142.9,929.8,128.9,938.1,121.8,945.2,108.5,1304.1,138.7,1283.9,160.2,1146.4,122.4,937.7,119.7,1294,149.5,1099.1,129
01009000003,AL,Blount County,000003,610,8,538,19,2,0,0,0,43,496,7,443,16,2,0,0,0,28,271.1,27.2,267.3,40.5,207.8,40.3,210.7,37.5,210.7,35.5,297.1,37.7,294.2,39.9,269.2,33.8,209.7,37.8,295.6,38.8,251.3,36.9
01009000004,AL,Blount County,000004,5809,67,5370,100,20,5,1,7,239,4358,38,4031,80,18,0,1,7,183,2531.5,205.6,2465.2,280.7,1921.1,252.7,1910.2,257.6,1920.5,235.1,2534,215.8,2484.9,285,2498.4,243.1,1917.3,248.5,2509.4,250.4,2252.5,247.5
01009000005,AL,Blount County,000005,973,20,876,11,7,0,0,5,54,768,15,689,11,7,0,0,5,41,503.9,27.8,491.5,46.5,368.2,38.2,367.1,38.3,367.4,29,504.2,32.3,495.9,47.6,497.7,37.1,367.5,35.2,500.1,39.9,442.6,37.1
01009000006,AL,Blount County,000006,2424,113,2142,12,8,4,0,8,137,1829,80,1630,9,7,1,0,8,94,1027,65,988,110,723,87,705,103,726,76,1198,72,1169,107,1007.5,87.5,718,88.7,1183.5,89.5,933.7,88.6
01009000007,AL,Blount County,000007,4222,645,3364,25,19,24,0,6,139,3151,367,2631,19,16,20,0,5,93,1355.4,165.7,1293.1,219.5,946.2,159.2,937.3,167.1,943.5,151.9,1461.8,180.8,1430.7,214.1,1324.3,192.6,942.3,159.4,1446.3,197.4,1195.4,179.8
01009000008,AL,Blount County,000008,1323,116,1118,4,8,2,0,0,75,998,52,884,4,6,2,0,0,50,393,50.4,372.3,70.1,277.5,44.4,277.5,40.5,281.4,36.5,442.4,71.1,427.6,83,382.7,60.2,278.8,40.5,435,77,353.1,56.6
