GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_16_rep_lee,uss_16_dem_sno,gov_16_rep_her,gov_16_dem_wei,atg_16_rep_rey,atg_16_dem_har,uss_18_rep_rom,uss_18_dem_wil,pre_20_rep_tru,pre_20_dem_bid,gov_20_rep_cox,gov_20_dem_pet,atg_20_rep_rey,atg_20_dem_sko,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
49001MIL2I-,UT,Beaver County,MIL2I-,1140,304,788,0,16,5,6,0,21,780,192,560,0,2,5,1,0,20,47.7,22,55,23.7,51.9,24.9,50.4,22.6,40.4,22.6,73.4,26.4,71.4,19.3,72.3,24,51.3,23.3,40.4,22.6,72.4,23.2,57.8,23.2
49001MIL2UN,UT,Beaver County,MIL2UN,6,0,6,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,23.4,10.8,27,11.7,25.5,12.2,24.7,11.1,19.8,11.1,36,12.9,35,9.5,35.5,11.8,25.1,11.4,19.8,11.1,35.5,11.4,28.4,11.4
49001MIL2UW,UT,Beaver County,MIL2UW,20,4,16,0,0,0,0,0,0,12,4,8,0,0,0,0,0,0,99.1,45.6,114.3,49.3,107.8,51.6,104.6,47,83.9,47,152.5,54.8,148.4,40.1,150.2,49.8,106.5,48.4,83.9,47,150.4,48.2,120.1,48.2
49001MIL2WW,UT,Beaver County,MIL2WW,5,2,2,0,0,0,0,0,1,2,0,1,0,0,0,0,0,1,34.6,15.9,39.9,17.2,37.7,18,36.5,16.4,29.3,16.4,53.3,19.1,51.8,14,52.5,17.4,37.2,16.9,29.3,16.4,52.5,16.8,42,16.8
49001MIL3UE,UT,Beaver County,MIL3UE,17,1,16,0,0,0,0,0,0,11,1,10,0,0,0,0,0,0,53,10.1,61.4,11.9,58.9,14.3,58.1,11.2,49,13.4,79.4,18.1,73.7,16.4,72.1,17.1,57.9,11.9,49,13.4,75.1,17.2,63.2,14.1
49001MIL3UN,UT,Beaver County,MIL3UN,26,0,25,0,0,0,0,0,1,16,0,15,0,0,0,0,0,1,18.9,6.3,21.9,6.9,20.8,7.5,20.3,6.5,16.6,6.9,28.7,8.5,27.3,6.8,27.3,7.9,20.5,6.8,16.6,6.9,27.8,7.7,22.7,7.2
49001MIL3US,UT,Beaver County,MIL3US,166,7,158,0,0,0,0,0,1,107,6,101,0,0,0,0,0,0,7.4,1.7,8.3,2,7.9,2.3,7.8,1.9,6.8,2.2,11,2.7,10.1,2.4,9.9,2.5,7.8,2,6.8,2.2,10.3,2.6,8.6,2.2
49001MNV1I-,UT,Beaver County,MNV1I-,807,113,673,0,1,0,7,0,13,536,68,459,0,0,0,0,0,9,161.7,4.8,181.1,3,171.4,8.5,170.8,7.9,147.2,11.5,242.9,8.5,218,11.5,223.5,18.2,171.2,6.1,147.2,11.5,228.1,12.7,189.6,9.2
49001MNV1UE,UT,Beaver County,MNV1UE,20,0,19,0,0,0,0,0,1,18,0,17,0,0,0,0,0,1,43.6,1.3,48.9,0.8,46.2,2.3,46.1,2.1,39.7,3.1,65.5,2.3,58.8,3.1,60.3,4.9,46.2,1.6,39.7,3.1,61.5,3.4,51.1,2.5
49001MNV1UW,UT,Beaver County,MNV1UW,38,2,36,0,0,0,0,0,0,25,2,23,0,0,0,0,0,0,61.7,1.9,69.1,1.1,65.4,3.2,65.1,3,56.1,4.4,92.6,3.2,83.2,4.4,85.2,6.9,65.3,2.3,56.1,4.4,87,4.8,72.3,3.5
49003BC0001,UT,Box Elder County,BC0001,1937,309,1521,4,21,5,1,2,74,1370,169,1129,3,17,5,1,1,45,363,115,525,107,515,131,508,100,432,113,525,198,534,148,544,151,477.8,113.2,432,113,534.3,165.7,493.2,132.9
49003BC0002,UT,Box Elder County,BC0002,1508,260,1179,2,10,6,4,3,44,1007,137,828,1,8,6,4,2,21,89.2,22.8,139.4,19.4,139.4,21.6,136.1,16.1,160.6,25.8,192.2,68.4,196.9,53.2,195.6,54.9,126,20,160.6,25.8,194.9,58.9,156.2,35.3
49003BC0003,UT,Box Elder County,BC0003,1401,218,1082,8,26,4,3,4,56,1005,144,806,4,13,4,3,3,28,237,91,334,98,322,109,321,81,306,104,422,173,400,134,408,148,303.5,94.8,306,104,410,151.7,343.8,117.2
49003BC0004,UT,Box Elder County,BC0004,1392,198,1096,13,31,16,4,0,34,1003,111,811,13,26,16,4,0,22,335.9,99.2,503.7,100.6,498.7,105.5,466.1,99,515.5,120.2,620.9,215.6,617.3,172.8,613.5,187.1,451.1,101.1,515.5,120.2,617.2,191.8,521.5,137.5
49003BC0005,UT,Box Elder County,BC0005,998,129,819,0,9,6,1,4,30,728,76,614,0,9,5,1,4,19,190,75,266,69,259,79,248,72,215,92,325,117,311,99,314,108,240.8,73.8,215,92,316.7,108,266,88.9
49003BC0006,UT,Box Elder County,BC0006,1563,130,1361,8,18,11,0,2,33,1006,84,873,3,14,10,0,2,20,349.3,52.7,498.4,58.6,491.2,65.2,478.2,48.4,445.5,65,630.1,99.5,614.1,88.5,620.4,96.2,454.3,56.2,445.5,65,621.5,94.7,515.9,71.7
49003BC0007,UT,Box Elder County,BC0007,1583,214,1295,7,13,1,5,4,44,1103,138,928,5,9,0,0,4,19,252.1,76.4,365.9,88.4,381,83.5,343.9,67.3,346.8,83.7,454.4,173.8,460.4,129.6,459.1,132.9,335.7,78.9,346.8,83.7,458,145.4,382.9,104.5
49003BC0008,UT,Box Elder County,BC0008,807,95,659,2,9,4,6,1,31,600,55,506,2,8,4,0,1,24,133,55,203,46,204,46,175,54,175,58,262,82,260,68,259,77,178.8,50.2,175,58,260.3,75.7,208.9,60.8
49003BC0009,UT,Box Elder County,BC0009,777,114,634,0,8,2,2,0,17,520,69,432,0,7,1,0,0,11,166,35,216,39,227,39,208,35,228,38,257,68,268,57,265,58,204.2,37,228,38,263.3,61,229.4,46.1
49003BC0010,UT,Box Elder County,BC0010,973,97,843,0,3,9,2,2,17,698,69,603,0,3,7,2,2,12,268.6,59.3,384.2,49.7,397.6,45.9,363.2,50.6,345,64,390,126.2,416.7,80.3,396.6,97.5,353.4,51.4,345,64,401.1,101.3,370.2,71.7
49003BC0011,UT,Box Elder County,BC0011,876,70,764,6,4,7,0,0,25,593,46,525,0,4,7,0,0,11,206,54,281,57,281,55,264,47,278,59,343,104,331,80,326,94,258,53.2,278,59,333.3,92.7,288.8,68.8
49003BC0012,UT,Box Elder County,BC0012,1451,97,1256,10,11,11,3,0,63,1068,59,945,3,8,10,3,0,40,322,80,489,95,485,94,447,86,444,105,529,176,552,127,537,147,435.8,88.8,444,105,539.3,150,475.6,113.8
49003BC0013,UT,Box Elder County,BC0013,1178,172,932,5,8,2,3,2,54,831,97,702,4,2,2,3,1,20,218,52,307,54,282,70,278,58,255,76,362,129,362,103,363,104,271.2,58.5,255,76,362.3,112,303.4,80.8
49003BC0014,UT,Box Elder County,BC0014,1864,217,1461,7,45,16,8,2,108,1336,121,1094,5,30,14,5,1,66,266.2,90.4,357.6,86.4,360.6,84.4,339.8,84.4,350.7,94.4,510.6,197.7,516.6,157,513.6,167.9,331.1,86.4,350.7,94.4,513.6,174.2,402,120.3
49003BC0015,UT,Box Elder County,BC0015,1342,86,1180,2,8,13,4,0,49,1013,54,917,1,7,8,4,0,22,309,89,419,84,429,85,391,81,379,91,511,146,509,115,513,130,387,84.8,379,91,511,130.3,432.5,102.6
49003BC00UN,UT,Box Elder County,BC00UN,426,18,397,0,0,1,0,1,9,314,12,296,0,0,0,0,0,6,121.1,23.9,167.1,24.4,173.1,26,167.8,20.7,160.5,36.8,193.3,47.1,196.3,35.9,180,50.3,157.3,23.7,160.5,36.8,189.9,44.5,169.9,33.1
49003BDC000,UT,Box Elder County,BDC000,552,23,501,0,4,3,0,2,19,352,6,325,0,4,3,0,2,12,142.6,15.7,212,12.9,200.7,23.8,192.1,16.5,181.8,13,305.7,25,279.9,15.3,289.5,25.3,186.8,17.2,181.8,13,291.7,21.9,225.5,18.4
49003BEAR0E,UT,Box Elder County,BEAR0E,488,36,442,0,0,3,0,0,7,362,26,327,0,0,3,0,0,6,131.9,22.7,177.3,20,164.6,28.2,169.1,20.9,144.6,28.2,255.5,29.1,232.8,23.7,243.7,35.5,160.7,23,144.6,28.2,244,29.4,189.9,26
49003BEAR0I,UT,Box Elder County,BEAR0I,877,44,813,2,12,3,0,0,3,609,21,578,0,5,3,0,0,2,94.8,10.8,124.9,11.4,121.1,13.9,118.6,11.4,96.7,12.7,153.7,18.7,147.1,15.8,146.4,20.3,114.8,11.9,96.7,12.7,149.1,18.3,125.4,14.4
49003BEARUN,UT,Box Elder County,BEARUN,130,3,118,1,0,0,0,4,4,90,1,81,1,0,0,0,4,3,175.5,19.7,229.5,21.2,223.2,25.7,217.9,21.4,180.5,23.6,286.5,35,273.5,29.6,273.1,38,211.5,22,180.5,23.6,277.7,34.2,232.5,26.8
49003BEARUS,UT,Box Elder County,BEARUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,11.9,1.1,11.5,1.3,11.3,1.1,9.2,1.2,14.6,1.8,14,1.5,13.9,1.9,10.9,1.1,9.2,1.2,14.2,1.7,11.9,1.4
49003CC0000,UT,Box Elder County,CC0000,26,1,25,0,0,0,0,0,0,19,0,19,0,0,0,0,0,0,13,1,16,1,16,1,14,2,6,0,10,0,11,0,11,0,14.8,1.2,6,0,10.7,0,12.1,0.6
49003COR002,UT,Box Elder County,COR002,298,59,223,0,2,7,0,1,6,200,38,152,0,0,4,0,1,5,77,8,93,8,85,14,79,12,85,14,127,18,120,15,125,18,83.5,10.5,85,14,124,17,98.9,13.4
49003COR01I,UT,Box Elder County,COR01I,809,106,660,1,6,10,7,2,17,582,67,484,0,4,10,7,2,8,113.6,24.7,137,26,136.6,28.9,133.2,23,128.1,33.2,186.4,39.6,175.3,29.4,180.8,36.2,130.1,25.6,128.1,33.2,180.8,35,148.9,30.1
49003COR1UN,UT,Box Elder County,COR1UN,87,14,70,0,0,1,0,1,1,46,3,40,0,0,1,0,1,1,29.9,6.5,36,6.8,35.9,7.6,35,6,33.7,8.7,49,10.4,46.1,7.7,47.5,9.5,34.2,6.7,33.7,8.7,47.5,9.2,39.1,7.9
49003COR1US,UT,Box Elder County,COR1US,345,32,297,0,4,5,0,0,7,238,17,207,0,4,5,0,0,5,123.5,26.8,149,28.2,148.5,31.5,144.8,25,139.2,36.1,202.6,43,190.6,31.9,196.6,39.3,141.4,27.9,139.2,36.1,196.6,38.1,161.9,32.7
49003DEWY0I,UT,Box Elder County,DEWY0I,417,16,380,0,0,1,0,3,17,299,13,271,0,0,1,0,3,11,65,12.1,90,11.3,87.3,12.8,78.6,13.2,74.8,6.8,106,21,109.3,13.7,104.1,19.9,80.2,12.4,74.8,6.8,106.4,18.2,89.4,13.9
49003DEWY0U,UT,Box Elder County,DEWY0U,238,14,217,0,0,1,0,1,5,178,10,166,0,0,1,0,1,0,79.1,14.7,109.5,13.8,106.3,15.6,95.7,16.1,91.1,8.3,129,25.6,133,16.6,126.7,24.3,97.6,15.1,91.1,8.3,129.6,22.2,108.8,16.9
49003ELWD0I,UT,Box Elder County,ELWD0I,1173,38,1093,1,1,14,0,8,18,811,18,764,0,0,14,0,7,8,386.2,29.3,455,40.7,490.1,37.4,457.8,41.7,410.5,47.2,631.7,71.6,606.6,52.1,620.9,76.3,447.3,37.3,410.5,47.2,619.7,66.7,507.4,49.5
49003ELWD0U,UT,Box Elder County,ELWD0U,58,0,57,0,0,0,0,0,1,38,0,38,0,0,0,0,0,0,32.2,2.7,37.6,3.7,40.6,3.3,37.9,3.7,34.2,4.2,54.3,6.3,51.8,4.6,53.4,6.5,37.1,3.3,34.2,4.2,53.2,5.8,42.7,4.4
49003FLD01I,UT,Box Elder County,FLD01I,546,27,509,0,3,0,0,0,7,362,20,332,0,3,0,0,0,7,138,14,169,15,167,18,155,18,138,14,233.1,28,213.1,22,229.1,26,157.3,16.2,138,14,225.1,25.3,180.3,19.4
49003FLD2UE,UT,Box Elder County,FLD2UE,253,11,231,2,1,1,0,1,6,161,6,148,0,1,1,0,1,4,97.6,12.6,116.5,12.6,119,10.1,111.4,8.2,97.6,15.1,176.9,23.9,155.5,15.1,164.9,24.6,111.1,10.9,97.6,15.1,165.8,21.2,129.9,15.3
49003FLD2UW,UT,Box Elder County,FLD2UW,355,21,319,0,2,4,0,0,9,249,17,224,0,2,0,0,0,6,57.4,7.4,68.5,7.4,70,5.9,65.5,4.8,57.4,8.9,104,14.1,91.5,8.9,97,14.4,65.4,6.4,57.4,8.9,97.5,12.5,76.4,9
49003GAR01I,UT,Box Elder County,GAR01I,1426,170,1190,1,7,20,0,1,37,930,80,810,1,5,15,0,1,18,142.7,14,162.5,14.4,155.3,16.2,148.1,18.5,159.8,17.1,263,32,235,29.7,249,37.4,152.2,15.8,159.8,17.1,249,33,189.4,22.4
49003GAR02I,UT,Box Elder County,GAR02I,1186,135,981,7,12,11,0,1,39,798,103,653,7,2,11,0,1,21,182.3,22.6,238.8,25.3,232.8,26,209.6,22,226.2,29.3,323.3,42.6,282.1,34.6,301.4,49.2,215.9,24,226.2,29.3,302.3,42.1,249.6,31.4
49003GAR02U,UT,Box Elder County,GAR02U,131,1,129,0,0,0,0,0,1,108,1,107,0,0,0,0,0,0,90.8,11.3,119,12.6,116,12.9,104.4,10.9,112.7,14.6,161.1,21.2,140.5,17.2,150.1,24.5,107.5,11.9,112.7,14.6,150.6,21,124.3,15.7
49003GAR0UE,UT,Box Elder County,GAR0UE,683,26,649,0,0,0,0,6,2,457,21,429,0,0,0,0,6,1,139.6,13.8,196.5,9.5,200.8,14.7,192.2,12.9,180.1,9.5,273.2,32.8,261.1,17.2,259.4,28.4,182.3,12.7,180.1,9.5,264.6,26.1,212.9,17.3
49003GAR1UE,UT,Box Elder County,GAR1UE,52,6,41,0,2,0,0,0,3,37,6,29,0,2,0,0,0,0,105.8,10.3,120.4,10.7,115.1,12,109.8,13.7,118.4,12.7,194.8,23.7,174.2,22,184.5,27.7,112.8,11.7,118.4,12.7,184.5,24.5,140.4,16.6
49003GAR1UN,UT,Box Elder County,GAR1UN,195,9,181,0,0,0,0,0,5,132,6,125,0,0,0,0,0,1,67.1,6.6,76.4,6.8,73,7.6,69.6,8.7,75.1,8,123.6,15,110.5,14,117,17.6,71.5,7.4,75.1,8,117,15.5,89.1,10.5
49003GC0000,UT,Box Elder County,GC0000,93,3,85,0,1,1,0,0,3,68,0,65,0,0,0,0,0,3,21.6,0,28.6,0,26,0,23.4,1.7,21.6,1.7,27.7,0,25.1,0,26.9,0.9,24.9,0.4,21.6,1.7,26.6,0.3,25.1,0.5
49003HONEYI,UT,Box Elder County,HONEYI,1606,100,1428,10,3,12,9,3,41,1131,67,1019,4,2,11,1,3,24,420.6,50.1,516.6,59.9,497.8,72.7,473.2,67.9,487.5,65.2,760.1,102.8,699,90.9,717.1,117,477,62.7,487.5,65.2,725.4,103.5,571.5,78.3
49003HONEYU,UT,Box Elder County,HONEYU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.1,3.9,40.4,4.8,38.9,5.8,36.9,5.5,38.9,5.2,60.4,8.2,55.4,7.3,56.9,9.4,37.3,5,38.9,5.2,57.5,8.3,45.1,6.3
49003HOWL0I,UT,Box Elder County,HOWL0I,240,8,227,1,0,0,0,0,4,159,4,152,0,0,0,0,0,3,18.1,1,20.9,0.8,19.1,2.4,17.9,2.8,14.8,1.2,27.4,1.8,22.4,2,24.6,2,19,1.8,14.8,1.2,24.8,2,20.7,1.8
49003HOWLUE,UT,Box Elder County,HOWLUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0.2,4.3,0.2,3.9,0.5,3.6,0.6,3,0.2,5.6,0.4,4.6,0.4,5,0.4,3.9,0.4,3,0.2,5,0.4,4.2,0.4
49003HOWLUN,UT,Box Elder County,HOWLUN,15,2,13,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,38.5,2.2,44.5,1.7,40.7,5.2,38.1,6.1,31.6,2.6,58.4,3.9,47.6,4.3,52.3,4.3,40.4,3.8,31.6,2.6,52.8,4.2,44,3.8
49003HOWLUW,UT,Box Elder County,HOWLUW,5,0,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,26.9,1.5,31.1,1.2,28.4,3.6,26.6,4.2,22.1,1.8,40.8,2.7,33.3,3,36.6,3,28.3,2.6,22.1,1.8,36.9,2.9,30.7,2.6
49003LAKE00,UT,Box Elder County,LAKE00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2,0.3,11.3,0.4,11.2,0.3,9.9,0.9,8.8,0.7,13,0.4,11.2,0.1,12.4,0.7,10.4,0.5,8.8,0.7,12.2,0.4,10.9,0.5
49003MANT0I,UT,Box Elder County,MANT0I,1090,35,1009,5,5,7,0,0,29,737,17,694,4,4,4,0,0,14,118.2,18.2,162,19.6,160.2,22.8,152.9,23.3,153.8,23.7,241.4,47,237.3,38.3,238.2,45.6,148.3,21,153.8,23.7,238.9,43.7,183,29.8
49003MANTUN,UT,Box Elder County,MANTUN,2,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,44.3,6.8,60.8,7.4,60.1,8.6,57.3,8.7,57.7,8.9,90.5,17.6,89,14.4,89.3,17.1,55.6,7.9,57.7,8.9,89.6,16.4,68.6,11.2
49003MANTUS,UT,Box Elder County,MANTUS,36,7,28,0,0,0,0,0,1,22,4,18,0,0,0,0,0,0,102.9,17.8,140.6,19.2,139.1,21.8,132.4,21.9,133,22.9,206.6,43.2,203.6,35.2,204.3,41.6,128.8,20.2,133,22.9,204.8,40,157.8,27.9
49003PARK00,UT,Box Elder County,PARK00,209,8,191,0,1,0,0,2,7,132,4,121,0,1,0,0,0,6,68.1,2,79.1,1,76.1,1,74.1,2,70.1,1,99.1,1,83.1,8,92.1,4,74.3,1.5,70.1,1,91.5,4.3,80.2,2.5
49003PER002,UT,Box Elder County,PER002,803,34,756,0,0,1,0,0,12,574,24,542,0,0,0,0,0,8,279,29.4,363.7,34.2,357.1,40.2,328.2,38.2,330.8,35.3,395.1,85.4,396.7,65.4,401.5,74.1,332,35.5,330.8,35.3,397.8,74.9,356.5,50.2
49003PER003,UT,Box Elder County,PER003,1529,97,1369,5,2,13,1,0,42,986,59,892,4,2,8,0,0,21,308.8,61.4,429.1,55.6,440.8,55.6,415.9,55.6,379.3,58.1,490.6,112,505.5,87.2,502.2,104.6,398.6,57.1,379.3,58.1,499.4,101.3,434,73.8
49003PER01I,UT,Box Elder County,PER01I,1534,78,1408,2,3,10,1,1,31,1017,44,944,1,1,10,0,0,17,374,60.8,498.8,51.5,508.1,60.7,485.5,50.6,509.8,55.6,658.9,117,663.2,84.3,661.7,101,466.6,55.9,509.8,55.6,661.2,100.8,545,72.7
49003PER01U,UT,Box Elder County,PER01U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,5,39.8,4.3,40.4,5.1,38.7,4.2,41.4,4.6,53.9,9.9,54.1,7.1,54,8.4,37.2,4.6,41.4,4.6,54,8.5,44,6.1
49003PER04I,UT,Box Elder County,PER04I,1689,118,1487,1,1,17,2,0,63,1102,87,967,1,1,10,1,0,35,358.2,73.7,516.9,64.8,503.8,82.2,479.7,75.3,482.7,79.8,652.4,130.3,659.9,98.9,641.2,115.1,464.7,74,482.7,79.8,651.2,114.8,536.9,90
49003PER04U,UT,Box Elder County,PER04U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3.5,24.8,3,24.1,3.9,23,3.6,23,3.8,31,6.2,31.4,4.7,30.6,5.4,22.2,3.5,23,3.8,31,5.4,25.6,4.3
49003PLYM0I,UT,Box Elder County,PLYM0I,427,15,408,0,1,0,0,1,2,295,11,281,0,1,0,0,0,2,15.4,1.4,18.1,1.5,17,2.5,15.6,2.8,14.1,2.2,25.9,2.4,23.6,2.2,24.8,2.8,16.5,2.1,14.1,2.2,24.7,2.5,19.3,2.2
49003PLYMUC,UT,Box Elder County,PLYMUC,106,1,105,0,0,0,0,0,0,76,1,75,0,0,0,0,0,0,12.5,1.2,14.7,1.2,13.8,2.1,12.7,2.2,11.4,1.8,21,2,19.1,1.8,20.1,2.2,13.4,1.7,11.4,1.8,20.1,2,15.7,1.8
49003PLYMUE,UT,Box Elder County,PLYMUE,66,6,58,0,0,0,0,1,1,39,4,33,0,0,0,0,1,1,84.4,8,99.9,8.7,94,13.9,86.7,15,78.2,12.2,142.1,13.8,129.9,12.3,136.2,15.5,91.2,11.4,78.2,12.2,136.1,13.9,106.4,12.4
49003PLYMUW,UT,Box Elder County,PLYMUW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.8,2.9,36.1,3.1,33.9,5.1,31.3,5.5,28.2,4.4,51.7,4.8,47.1,4.4,49.5,5.5,33,4.1,28.2,4.4,49.5,4.9,38.6,4.5
49003PORT0I,UT,Box Elder County,PORT0I,273,14,249,0,0,0,0,6,4,187,4,177,0,0,0,0,4,2,24.9,4.5,31.6,5.4,28.1,5.4,26.5,6.1,28.4,4.8,44.3,5.4,37.9,4.8,38.3,7.7,27.7,5.3,28.4,4.8,40.2,6,32.5,5.5
49003PORTUE,UT,Box Elder County,PORTUE,63,5,54,1,2,0,0,0,1,47,3,43,0,1,0,0,0,0,30.1,5.4,38.2,6.6,34,6.6,32,7.3,34.3,5.8,53.6,6.6,45.9,5.8,46.3,9.3,33.6,6.5,34.3,5.8,48.6,7.2,39.3,6.7
49003PORTUW,UT,Box Elder County,PORTUW,19,1,18,0,0,0,0,0,0,11,1,10,0,0,0,0,0,0,23,4.1,29.2,5,26,5,24.5,5.6,26.3,4.4,41,5,35.1,4.4,35.4,7.1,25.7,4.9,26.3,4.4,37.2,5.5,30.1,5.1
49003PROM00,UT,Box Elder County,PROM00,51,3,40,1,2,4,0,1,0,38,3,28,0,2,4,0,1,0,10.3,1,16.4,3,13.4,1,17.3,1,11.3,1,20.4,0,12.4,1,17.4,1,14.4,1.5,11.3,1,16.7,0.7,14.9,1.1
49003RIVER0,UT,Box Elder County,RIVER0,765,34,703,4,3,3,0,0,18,480,15,449,2,0,3,0,0,11,173,16,224,17,222,25,204,22,197,23,321,31,268,28,307,27,205.8,20,197,23,298.7,28.7,239.5,23.6
49003SNOW0I,UT,Box Elder County,SNOW0I,163,18,138,1,2,2,0,0,2,123,14,105,0,2,1,0,0,1,5.6,0.3,6.6,0.3,6.8,0.3,6,0.6,5.3,0.4,8.2,0.3,7,0.1,7.8,0.5,6.3,0.4,5.3,0.4,7.7,0.3,6.7,0.4
49003SNOWUN,UT,Box Elder County,SNOWUN,51,5,46,0,0,0,0,0,0,37,5,32,0,0,0,0,0,0,16.5,0.8,19.5,1,19.8,0.9,17.6,1.8,15.3,1.2,24.4,1.1,20.5,0.4,23,1.5,18.4,1.1,15.3,1.2,22.6,1,19.6,1.1
