GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_18_rep_wic,uss_18_dem_bar,uss_r18_rep_hyd,uss_r18_dem_esp,pre_20_rep_tru,pre_20_dem_bid,uss_20_rep_hyd,uss_20_dem_esp,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
28003000504,MS,Alcorn County,000504,2946,197,2045,592,4,16,1,1,90,2214,108,1617,434,4,10,1,0,40,873.9,313.4,663.4,244.2,566.5,278.8,905.6,366.8,830.4,434,873.9,313.4,663.4,244.2,868,400.4,767.9,327.4
28005000024,MS,Amite County,000024,363,5,301,47,0,0,0,5,5,300,2,254,36,0,0,0,5,3,172,30,131,17,116,20,194,21,194,25,172,30,131,17,194,23,161.4,22.6
28005000101,MS,Amite County,000101,530,10,283,229,1,1,0,1,5,406,4,245,154,1,0,0,0,2,183.9,76.6,130.4,51.4,109.4,52.4,166,85.1,156.9,90,183.9,76.6,130.4,51.4,161.5,87.6,149.3,71.1
28005000102,MS,Amite County,000102,942,18,677,215,1,3,0,1,27,794,11,572,190,1,3,0,1,16,406,143,332,111,288,124,419,134,403,150,406,143,332,111,411,142,369.6,132.4
28005000103,MS,Amite County,000103,672,4,533,113,2,10,0,0,10,544,4,429,91,2,10,0,0,8,281,45,199,31,190,32,289,37,275,46,281,45,199,31,282,41.5,246.8,38.2
28005000104,MS,Amite County,000104,687,6,553,116,0,2,0,0,10,560,4,455,94,0,2,0,0,5,303,61,236,47,211,51,345,60,335,65,303,61,236,47,340,62.5,286,56.8
28005000201,MS,Amite County,000201,537,4,116,413,0,0,0,0,4,428,1,96,327,0,0,0,0,4,68.6,210.4,45.7,164.7,36.2,174.2,70.4,207.6,65.7,213.3,68.6,210.4,45.7,164.7,68.1,210.4,57.3,194
28005000202,MS,Amite County,000202,585,2,196,371,2,0,0,0,14,455,1,161,279,2,0,0,0,12,109,244,71,159,53,175,113,208,105,224,109,244,71,159,109,216,90.2,202
28005000203,MS,Amite County,000203,645,5,388,226,1,0,0,3,22,511,5,310,171,1,0,0,3,21,223,128,173,101,144,98,236,146,225,154,223,128,173,101,230.5,150,200.2,125.4
28005000205,MS,Amite County,000205,538,8,251,275,0,0,0,0,4,431,7,201,219,0,0,0,0,4,131,185.1,99,136.1,90,145.1,141,192.1,141,195.1,131,185.1,99,136.1,141,193.6,120.4,170.7
