GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_18_dem_rin,uss_18_rep_bra,gov_18_dem_mil,gov_18_rep_moo,pre_20_dem_bid,pre_20_rep_tru,uss_20_dem_gid,uss_20_rep_col,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
23001387402,ME,Androscoggin County,387402,5357,94,4779,156,22,74,0,27,205,4484,59,4082,114,19,54,0,16,140,1332,1521,204,1050,1103,1299,1496,1489,1160,1743,1521,1332,1174.5,653.5,1616,1328,1420.4,1059
23001387403,ME,Androscoggin County,387403,6083,175,4218,1154,25,78,18,54,361,4978,134,3723,743,19,71,18,45,225,1490,555,454,266,1193,295,1777,818.6,1555.4,944.7,555,1490,280.5,823.5,881.7,1666.2,575.9,1293.9
23001387404,ME,Androscoggin County,387404,4944,83,4164,419,12,68,0,17,181,3921,62,3495,190,1,52,0,14,107,1014,1132,162,740,872,882,1384,1148,1105,1347,1132,1014,811,517,1247.5,1244.5,1049.8,907.4
23001387405,ME,Androscoggin County,387405,5453,176,2772,2213,17,41,5,15,214,3571,93,2222,1074,14,29,4,14,121,816,547,298,255,757,298,755.4,471.5,649.9,540.1,547,816,276.5,527.5,505.8,702.6,422.3,655.3
23001387406,ME,Androscoggin County,387406,5213,117,4727,80,14,54,2,16,203,4238,74,3926,52,11,38,0,12,125,1068.2,1575.3,187.5,1111.4,946.6,1299.5,1191.9,1575.4,934.1,1822.8,1575.3,1068.2,1205.4,567,1699.1,1063,1476.9,865.7
23001387407,ME,Androscoggin County,387407,4933,140,4071,341,32,56,0,19,274,3920,77,3399,184,31,42,0,17,170,1049.4,1220.7,194.4,736.9,850.9,870,1924.4,1202.2,1655.4,1377,1220.7,1049.4,803.5,522.7,1289.6,1789.9,1081.3,1134.9
23003000000,ME,Aroostook County,NA,67105,912,62163,423,1206,392,18,131,1860,54341,550,51103,331,790,290,11,94,1172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23005002655,ME,Cumberland County,002655,1520,15,1412,3,1,6,1,3,79,1237,6,1157,0,1,6,1,3,63,273,561,65,403,249,492,354,625,255,691,561,273,447.5,157,658,304.5,554.4,239.2
23005007170,ME,Cumberland County,007170,5418,116,4971,34,10,31,1,25,230,4472,66,4188,22,8,20,1,15,152,1208.8,1446.9,245.9,1028.6,1140.3,1200,1639.9,1500.8,1334.2,1699.6,1446.9,1208.8,1114.3,693.1,1600.2,1487,1375.2,1113.8
23005010180,ME,Cumberland County,010180,9535,247,8701,55,0,191,3,28,310,7439,148,6921,40,0,145,3,21,161,4487.7,1585.3,554.2,1117.4,3940.4,1505.8,5369.7,1455.2,4484.7,2146.5,1585.3,4487.7,1311.6,2247.3,1800.8,4927.2,1562,3767.3
23005011125,ME,Cumberland County,011125,3646,61,3333,25,7,14,1,20,185,3003,38,2789,17,3,8,1,20,127,817.2,1107.2,169.2,730.3,694.6,884.7,1035.9,1174.6,817.3,1302.2,1107.2,817.2,807.5,431.9,1238.4,926.6,1039.8,706.8
23005012300,ME,Cumberland County,012300,396,4,378,1,3,2,0,1,7,328,2,316,1,2,2,0,1,4,243.8,68,34.9,45.1,211.5,67.5,258,66,219,102,68,243.8,56.3,123.2,84,238.5,69.7,193.4
