GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_18_dem_bro,atg_18_dem_rac,pre_20_dem_bid,pre_20_rep_tru,uss_20_dem_str,uss_20_rep_wei,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
1100102-093,DC,District of Columbia,02-093,3457,194,104,3019,22,9,4,6,99,2888,143,85,2563,19,9,4,5,60,1029.8,23,679.5,729.5,1204.9,52,1005.7,51,23,1029.8,NA,704.5,51.5,1105.3,42,929.9
1100102-094,DC,District of Columbia,02-094,3105,179,66,2688,8,14,0,17,133,2351,130,55,2043,8,14,0,7,94,1254,25,783,825,1435,44,1205,48,25,1254,NA,804,46,1320,39,1100.4
1100102-095,DC,District of Columbia,02-095,2507,157,41,2220,7,14,0,14,54,1874,131,35,1640,6,11,0,11,40,1121,16,676,706,1171,43,1012,27,16,1121,NA,691,35,1091.5,28.7,937.2
1100102-096,DC,District of Columbia,02-096,3399,140,59,3080,9,14,1,19,77,2581,91,49,2367,6,11,1,9,47,1520,17,976,1000,1700,42,1426,48,17,1520,NA,988,45,1563,35.7,1324.4
1100102-097,DC,District of Columbia,02-097,2341,79,43,2131,9,10,0,7,62,1757,52,39,1605,7,10,0,3,41,888,16,505,520,968,26,838,36,16,888,NA,512.5,31,903,26,743.8
1100102-098,DC,District of Columbia,02-098,2908,142,70,2542,13,10,1,28,102,2271,100,62,1997,9,10,1,20,72,1266,23,830,867,1527,41,1273,45,23,1266,NA,848.5,43,1400,36.3,1152.6
1100102-099,DC,District of Columbia,02-099,2890,169,77,2524,2,7,0,22,89,2226,121,73,1942,1,6,0,15,68,971,17,621,643,1195,43,1005,34,17,971,NA,632,38.5,1100,31.3,887
1100102-100,DC,District of Columbia,02-100,4481,145,60,4088,3,33,3,21,128,3090,85,55,2823,1,28,2,19,77,1461.8,12.6,934.2,958.6,1800.1,51.2,1517.8,41.6,12.6,1461.8,NA,946.4,46.4,1658.9,35.1,1334.5
1100102-101,DC,District of Columbia,02-101,1996,143,131,1628,4,4,2,25,59,1640,101,119,1355,4,0,0,12,49,1145,16,814,863,1253,50,1065,52,16,1145,NA,838.5,51,1159,39.3,1028
1100102-102,DC,District of Columbia,02-102,3971,323,87,3417,11,15,0,20,98,3034,213,72,2629,11,9,0,17,83,1560,22,1004,1032,1904,42,1577,59,22,1560,NA,1018,50.5,1740.5,41,1415.4
1100102-103,DC,District of Columbia,02-103,4969,271,80,4448,14,9,2,18,127,3798,180,72,3410,11,5,2,17,101,2288.2,41.1,1483.1,1518.2,2500.4,72.2,2106.4,61.2,41.1,2288.2,NA,1500.6,66.7,2303.4,58.2,1979.3
1100102-104,DC,District of Columbia,02-104,5489,384,142,4741,8,13,1,38,162,4103,260,119,3568,8,6,1,20,121,1982,40,1272,1317,2394,71,2002,92,40,1982,NA,1294.5,81.5,2198,67.7,1793.4
1100102-105,DC,District of Columbia,02-105,3637,118,60,3335,4,5,2,21,92,2690,74,50,2467,4,3,2,19,71,1600,18,982,1022,1872,52,1566,62,18,1600,NA,1002,57,1719,44,1408.4
1100102-106,DC,District of Columbia,02-106,4167,160,66,3785,15,10,1,15,115,3206,114,60,2913,11,10,0,11,87,1856,35,1207,1274,2090,59,1718,65,35,1856,NA,1240.5,62,1904,53,1629
1100102-107,DC,District of Columbia,02-107,3038,83,28,2793,11,4,2,20,97,2131,58,22,1964,8,1,2,11,65,1032.8,9.1,518.2,520.9,1058.2,31.8,889.1,37.3,9.1,1032.8,NA,519.6,34.5,973.7,26.1,803.8
1100102-108,DC,District of Columbia,02-108,1380,52,89,1177,2,4,0,8,48,1162,40,77,1002,0,3,0,5,35,912,18.9,652.7,696.9,1002.4,28,834.5,25.5,18.9,912,NA,674.8,26.7,918.5,24.1,819.7
