GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_18_dem_whi,uss_18_rep_fla,gov_18_dem_rai,gov_18_rep_fun,atg_18_dem_ner,sos_18_dem_gor,sos_18_rep_cor,pre_20_dem_bid,pre_20_rep_tru,uss_20_dem_ree,uss_20_rep_wat,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
44001440208,RI,Bristol County,440208,2581,80,2331,46,6,26,0,5,87,2253,64,2069,37,3,20,0,4,56,643,411,576,342,483,297,654,610,280,727,480,799,384,411,643,306.3,580.8,432,763,365.7,641.7
44001440209,RI,Bristol County,440209,700,25,628,8,2,5,1,1,30,601,18,552,2,0,5,0,0,24,134,103,131,61,108,72,148,132,49,170,95,180,76,103,134,60.7,129.8,85.5,175,76,143.3
44001443401,RI,Bristol County,443401,3595,141,3151,85,15,40,0,21,142,2999,98,2691,71,9,32,0,12,86,664.2,449.2,601.2,318.1,539.1,280.1,660.2,623.2,272.1,964.2,535.2,1025.2,424.1,449.2,664.2,290.1,605.9,479.7,994.7,379.8,725.3
44001443402,RI,Bristol County,443402,3469,84,3163,35,1,37,0,5,144,2856,63,2641,23,1,23,0,4,101,848.6,795.5,777.5,647.5,675.5,589.4,987.7,880.6,507.4,1103.7,903.6,1219.8,743.5,795.5,848.6,581.4,830.3,823.6,1161.7,697.8,927.6
44001443403,RI,Bristol County,443403,4083,136,3654,56,9,47,0,19,162,3466,92,3172,43,6,37,0,12,104,1198.7,762.6,1104.3,583.7,963.1,530.8,1251.5,1188.1,465.1,1496.8,846.3,1614.7,678.6,762.6,1198.7,526.5,1126.8,762.4,1555.7,644.5,1259.6
44003440601,RI,Kent County,440601,2223,125,1881,41,9,33,0,13,121,1735,72,1516,27,7,26,0,10,77,380.3,546.6,384.7,413.5,296.4,384.8,516.6,441.2,343.9,516.8,611.7,604.8,511.5,546.6,380.3,380.7,409.7,561.6,560.8,468.7,448.7
44003440602,RI,Kent County,440602,880,44,758,7,3,6,0,5,57,689,28,611,6,1,6,0,4,33,102.2,113.4,105.7,99.7,74.7,97.9,129.7,118.6,83.3,131.4,149.5,152.1,128.8,113.4,102.2,93.6,107.2,139.2,141.7,112.1,116.3
44003440603,RI,Kent County,440603,3399,126,3065,49,6,36,0,14,103,2718,74,2511,30,4,25,0,12,62,768.3,1040.6,742.2,811,572.7,812.6,1000,837.3,687.1,1017.9,1163.9,1166.9,971.6,1040.6,768.3,770.2,788,1067.8,1092.4,914.5,872.2
44003440604,RI,Kent County,440604,2210,74,2006,7,7,37,1,3,75,1786,43,1666,0,7,29,1,2,38,398.3,531.8,404.2,396.2,313.5,387.2,523,464.1,327.3,545,592.7,652.8,457,531.8,398.3,370.2,426.2,524.8,598.9,448.7,471.6
44003440605,RI,Kent County,440605,1950,65,1771,13,1,12,0,13,75,1584,45,1459,5,1,12,0,6,56,393.3,594.4,405.2,458,294.8,477.7,536.7,458.1,393.8,489.6,652.4,560.8,569.3,594.4,393.3,443.2,423.7,610.8,525.2,524.3,448.4
