GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_18_rep_new,uss_18_dem_klo,gov_18_rep_joh,gov_18_dem_wal,atg_18_rep_war,atg_18_dem_ell,sos_18_rep_how,sos_18_dem_sim,pre_20_dem_bid,pre_20_rep_tru,uss_20_dem_smi,uss_20_rep_lew,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
27003000510,MN,Anoka County,000510,2760,141,2195,157,6,136,1,4,120,2179,87,1819,92,6,100,1,2,72,704,577,498,700,582,606,602,546,580,588,764,767,677,710,704,577,565.5,610,738.5,720.5,634.7,636.9
27003000515,MN,Anoka County,000515,3156,128,2029,415,6,432,1,7,138,2230,76,1581,237,2,278,1,7,48,632,636,398,664,444,611,456,575,452,598,820,692,740,610,632,636,437.5,612,651,780,526.3,663.4
27003000520,MN,Anoka County,000520,3034,122,2274,195,14,228,0,19,182,2244,69,1778,126,12,162,0,16,81,843.3,658.9,553.2,781.5,644.9,672.8,670.8,606,638.9,664.8,875.1,858.2,762.5,791.4,843.3,658.9,627,681.3,824.8,818.8,714.4,717.4
27003000525,MN,Anoka County,000525,3075,103,2241,382,21,178,1,16,133,2192,48,1726,205,10,130,0,15,58,672.5,581.3,477.4,680.3,527.4,615.6,569.6,538.2,546,576.4,774.5,763.7,687.2,718.6,672.5,581.3,530.1,602.6,741.1,730.8,610.7,636.2
27003000530,MN,Anoka County,000530,6021,156,4636,439,10,525,2,14,239,3950,84,3130,252,7,361,0,7,109,1247.5,1116.7,950.6,1398.7,1116.6,1217.4,1199.4,1063.8,1146,1125.6,1809.6,1624.3,1641.8,1606.4,1247.5,1116.7,1103.1,1201.3,1615.4,1725.7,1270.1,1339.1
27003000535,MN,Anoka County,000535,4867,127,3630,401,10,412,0,29,258,3670,78,2923,235,10,290,0,24,110,1154.8,1116.7,810.6,1223.2,938.2,1086.3,976.8,976.5,964.2,1024.1,1561.4,1273.6,1409.9,1229.5,1154.8,1116.7,922.4,1077.5,1251.5,1485.6,1049.7,1199.7
27003000540,MN,Anoka County,000540,2658,67,1964,197,6,271,0,14,139,1608,32,1258,96,6,162,0,7,47,388,307.9,396.5,543.3,483.3,449.9,519.5,389.9,478.5,419.4,693.9,667.2,647.2,664.4,388,307.9,469.4,450.6,665.8,670.6,513.9,493.1
27003000605,MN,Anoka County,000605,3896,124,3426,19,20,116,0,17,174,2929,75,2646,8,13,80,0,17,90,1281.9,863.4,907.9,1149,1087.8,941,1139.7,773.2,1060.5,855,1120.8,1399,1024.1,1329.8,1281.9,863.4,1049,929.6,1364.4,1072.4,1172.4,960.9
27003000705,MN,Anoka County,000705,1957,67,1684,53,7,58,0,5,83,1508,32,1354,31,7,39,0,1,44,584.2,463.2,370.2,550.1,433.7,466.2,448.9,415.7,432.9,436.2,618.9,624.2,540.1,560.9,584.2,463.2,421.4,467,592.5,579.5,493.6,498.6
27003000710,MN,Anoka County,000710,3068,103,2510,162,11,147,0,10,125,2409,60,2062,90,8,110,0,8,71,733.2,992.5,553.9,1083,658.9,966.8,708.1,838.6,650,914.6,1146.1,812.3,1044.5,787.3,733.2,992.5,642.7,950.8,799.8,1095.3,700.5,998
27003000805,MN,Anoka County,000805,3750,513,1682,1133,43,172,3,22,182,2879,340,1495,728,37,141,3,15,120,354,1028,246,1169,293,1106,316,1025,307,1067,1490,371,1279,346,354,1028,290.5,1091.8,358.5,1384.5,319,1166.3
27003000810,MN,Anoka County,000810,2850,432,1462,658,34,110,2,12,140,2139,279,1265,406,24,86,2,8,69,312,835,219,857,262,807,278,760,257,811,1048,328,913,309,312,835,254,808.8,318.5,980.5,280.7,861.6
27003000815,MN,Anoka County,000815,2604,327,1401,598,29,126,3,11,109,2033,234,1254,336,20,103,3,11,72,309,801,211,849,256,816,277,762,250,787,986,316,903,304,309,801,248.5,803.5,310,944.5,274.7,843.4
27003000820,MN,Anoka County,000820,3519,503,1376,1198,29,226,2,12,173,2520,326,1201,687,25,185,0,7,89,325.6,809.4,217.7,799.2,274.1,741.5,270.3,722.1,252.4,748.6,1182.2,357.6,977,340.9,325.6,809.4,253.6,752.9,349.3,1079.6,291.2,854.3
27003000825,MN,Anoka County,000825,2518,305,1654,266,42,120,2,14,115,2098,214,1503,185,28,96,1,12,59,346,757,246,828,289,772,319,702,286,739,1021,356,958,343,346,757,285,760.3,349.5,989.5,312.1,825.3
27003000830,MN,Anoka County,000830,1751,181,1204,133,15,111,0,5,102,1343,90,1004,76,15,87,0,4,67,338.2,615.9,254.8,733.9,302,687.7,335,623.6,298.9,648.7,787.3,354.3,704.5,357.2,338.2,615.9,297.7,673.5,355.8,745.9,320.1,686
27003000835,MN,Anoka County,000835,2553,531,1294,342,34,209,0,19,124,1967,348,1129,219,29,167,0,10,65,336.1,691.4,230.5,713.5,274.6,663.6,293.9,619.4,274.6,646.3,835.5,361.1,708.7,329.4,336.1,691.4,268.4,660.7,345.2,772.1,300,696.9
27003000840,MN,Anoka County,000840,2428,454,1324,379,33,101,3,14,120,1903,299,1180,243,26,77,3,14,61,349.5,668.4,222.8,713.9,254.5,674.3,288.1,600.1,253.5,649.6,846.6,360.4,720.9,315.9,349.5,668.4,254.7,659.5,338.1,783.7,292.1,696.2
27003000905,MN,Anoka County,000905,4159,49,3688,18,23,220,0,12,149,3344,28,3050,8,18,139,0,9,92,1537,805,1131,1055,1310,848,1337,725,1281,784,977,1718,915,1634,1537,805,1264.8,853,1676,946,1421.1,872.7
27003001005,MN,Anoka County,001005,3912,172,3061,280,20,211,2,10,156,3172,125,2590,181,11,152,2,6,105,1030.2,874.6,731,1042.1,827.6,921.5,891.1,804.6,854.3,864.4,1173.8,1114.8,1069.7,1052.2,1030.2,874.6,826,908.2,1083.5,1121.7,928.8,964.4
27003001010,MN,Anoka County,001010,3369,148,2510,260,17,269,0,23,142,2635,82,2118,149,14,174,0,11,87,1002,818,709,980,831,843,869,763,844,789,1080,1001,965,940,1002,818,813.2,843.8,970.5,1022.5,885.1,891.1
