GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_18_dem_kai,uss_18_rep_ste,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
51019000506,VA,Bedford County,000506,4839,128,4201,208,10,68,4,47,173,3584,85,3154,156,5,57,3,30,94,573.3,1880.4,615.8,1586.6,1880.4,573.3,1586.6,615.8,NA,NA,1733.5,594.6
51019000601,VA,Bedford County,000601,2412,32,2193,57,11,10,3,9,97,1997,23,1840,44,11,7,3,5,64,273.3,967,261.3,738.1,967,273.3,738.1,261.3,NA,NA,852.6,267.3
51019000602,VA,Bedford County,000602,3048,19,2864,32,8,16,0,18,91,2443,10,2317,16,4,14,0,18,64,274,1073,271,790,1073,274,790,271,NA,NA,931.5,272.5
51019000603,VA,Bedford County,000603,812,24,701,36,9,0,0,5,37,675,21,598,25,9,0,0,1,21,75.1,284.8,71,238.2,284.8,75.1,238.2,71,NA,NA,261.5,73
51019000604,VA,Bedford County,000604,4316,94,3363,583,6,23,1,28,218,3449,46,2746,468,6,17,1,20,145,566.6,1288.7,505,963.3,1288.7,566.6,963.3,505,NA,NA,1126,535.8
51019000701,VA,Bedford County,000701,3345,113,2889,151,6,53,1,13,119,2591,58,2280,114,6,40,1,10,82,317,1494.3,366.1,1334.1,1494.3,317,1334.1,366.1,NA,NA,1414.2,341.6
51019000702,VA,Bedford County,000702,1638,18,1453,115,2,3,1,6,40,1387,14,1243,95,1,3,1,3,27,250.2,693.3,234.5,600.5,693.3,250.2,600.5,234.5,NA,NA,646.9,242.3
51019000703,VA,Bedford County,000703,1516,24,1350,54,2,18,0,9,59,1249,17,1126,47,2,12,0,6,39,163.2,581.7,157.3,484.8,581.7,163.2,484.8,157.3,NA,NA,533.3,160.3
51019000704,VA,Bedford County,000704,4749,141,3496,809,12,28,2,27,234,3744,96,2864,613,8,23,0,9,131,728.7,1200.9,685.6,970.7,1200.9,728.7,970.7,685.6,NA,NA,1085.8,707.2
51021000101,VA,Bland County,000101,701,4,662,0,0,0,0,0,35,575,4,549,0,0,0,0,0,22,52.2,329.8,65,256,329.8,52.2,256,65,NA,NA,292.9,58.6
51021000102,VA,Bland County,000102,805,5,775,0,0,0,0,1,24,661,1,641,0,0,0,0,1,18,57,334,67,253,334,57,253,67,NA,NA,293.5,62
51021000201,VA,Bland County,000201,284,0,279,0,0,0,0,0,5,253,0,250,0,0,0,0,0,3,23,107,25,70,107,23,70,25,NA,NA,88.5,24
51021000202,VA,Bland County,000202,1359,17,1290,7,0,4,0,0,41,1131,11,1080,7,0,4,0,0,29,112.8,592.2,128,461,592.2,112.8,461,128,NA,NA,526.6,120.4
51021000301,VA,Bland County,000301,680,4,658,2,0,0,0,0,16,543,2,530,2,0,0,0,0,9,52,340,52,241,340,52,241,52,NA,NA,290.5,52
51021000302,VA,Bland County,000302,976,8,839,114,0,0,0,0,15,914,4,785,114,0,0,0,0,11,27,175,26,136,175,27,136,26,NA,NA,155.5,26.5
51021000401,VA,Bland County,000401,1465,22,1354,44,0,0,0,4,41,1251,18,1155,43,0,0,0,3,32,130.1,699.5,142,502.2,699.5,130.1,502.2,142,NA,NA,600.9,136
51023000101,VA,Botetourt County,000101,3744,116,3260,164,7,45,0,15,137,3008,72,2659,144,7,35,0,6,85,484.2,1107.7,496.3,917.4,1107.7,484.2,917.4,496.3,NA,NA,1012.6,490.3
51023000102,VA,Botetourt County,000102,3293,49,3125,27,0,24,0,4,64,2703,32,2576,23,0,18,0,1,53,451.2,1557,492.5,1342.2,1557,451.2,1342.2,492.5,NA,NA,1449.6,471.9
51023000201,VA,Botetourt County,000201,3410,63,3131,92,2,17,0,8,97,2679,45,2489,74,2,12,0,2,55,475,1464,444,1153,1464,475,1153,444,NA,NA,1308.5,459.5
51023000202,VA,Botetourt County,000202,3323,55,3044,72,4,24,0,3,121,2641,27,2462,55,4,18,0,2,73,451,1476,471,1194,1476,451,1194,471,NA,NA,1335,461
51023000301,VA,Botetourt County,000301,3359,36,3122,75,7,6,0,20,93,2641,16,2489,53,4,6,0,17,56,419,1279.3,395.4,983.3,1279.3,419,983.3,395.4,NA,NA,1131.3,407.2
51023000302,VA,Botetourt County,000302,2989,44,2788,52,2,16,0,9,78,2495,21,2352,47,2,13,0,7,53,374.7,1202,387.7,924.9,1202,374.7,924.9,387.7,NA,NA,1063.4,381.2
51023000403,VA,Botetourt County,000403,2245,16,2075,66,2,0,0,3,83,1810,11,1674,57,1,0,0,3,64,236.1,852.2,239,667.5,852.2,236.1,667.5,239,NA,NA,759.9,237.5
51023000406,VA,Botetourt County,000406,4232,67,3813,170,12,33,0,16,121,3441,45,3122,152,10,22,0,10,80,552.9,1590.3,579.3,1293.7,1590.3,552.9,1293.7,579.3,NA,NA,1442,566.1
51023000501,VA,Botetourt County,000501,2440,35,2231,56,4,12,0,8,94,1936,24,1794,47,3,8,0,8,52,362.8,1063.3,335.7,806.6,1063.3,362.8,806.6,335.7,NA,NA,934.9,349.2
51023000502,VA,Botetourt County,000502,4561,295,3917,131,3,57,3,16,139,3570,167,3161,107,2,40,3,11,79,686,1780,701,1435,1780,686,1435,701,NA,NA,1607.5,693.5
51025000101,VA,Brunswick County,000101,754,34,358,329,3,4,0,1,25,606,22,295,271,2,4,0,0,12,208,180,180,133,180,208,133,180,NA,NA,156.5,194
51025000102,VA,Brunswick County,000102,1144,26,696,395,2,2,0,2,21,954,17,608,315,2,1,0,0,11,266,351,208,277,351,266,277,208,NA,NA,314,237
51025000103,VA,Brunswick County,000103,1146,27,787,289,1,6,0,0,36,1010,19,721,242,1,4,0,0,23,251,469,222,346,469,251,346,222,NA,NA,407.5,236.5
51025000201,VA,Brunswick County,000201,334,1,193,132,0,0,0,1,7,292,0,177,110,0,0,0,1,4,130,106,94,99,106,130,99,94,NA,NA,102.5,112
51025000202,VA,Brunswick County,000202,1213,24,341,819,0,3,0,4,22,1018,13,298,690,0,0,0,2,15,591.4,217.6,475.9,158.3,217.6,591.4,158.3,475.9,NA,NA,187.9,533.6
51025000203,VA,Brunswick County,000203,1016,14,362,621,0,0,0,1,18,821,6,319,483,0,0,0,1,12,386,194,334,152,194,386,152,334,NA,NA,173,360
51025000301,VA,Brunswick County,000301,302,4,154,125,0,4,0,2,13,242,3,127,97,0,3,0,2,10,84.3,84.8,85.9,71.7,84.8,84.3,71.7,85.9,NA,NA,78.3,85.1
