GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_18_rep_bar,uss_18_dem_tra,gov_18_rep_gor,gov_18_dem_thr,sos_18_rep_buc,sos_18_dem_byr,pre_20_rep_tru,pre_20_dem_bid,uss_20_rep_lum,uss_20_dem_dav,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
560090023-2,WY,Converse County,0023-2,1230,131,1022,10,6,11,0,2,48,859,68,733,4,6,11,0,2,35,438.2,43.6,284.6,59.5,281.6,52.5,286.5,46.6,482.9,55.5,467,64.4,438.2,43.6,284.2,52.9,474.9,60,373.5,53.7
560090023-3,WY,Converse County,0023-3,1679,215,1354,8,14,10,0,16,62,1172,126,981,3,14,10,0,10,28,479.4,52.7,319.8,62.7,310.5,69.6,315.7,56,500.9,73,483.8,92.9,479.4,52.7,315.3,62.8,492.4,82.9,401.7,67.8
560090023-4,WY,Converse County,0023-4,1407,144,1183,1,1,13,0,6,59,1100,100,936,1,1,13,0,3,46,511.4,102.7,386,117.5,391,97.8,400.9,89.8,548,134.3,530.2,154,511.4,102.7,392.6,101.7,539.1,144.2,461.3,116
560090023-5,WY,Converse County,0023-5,771,83,649,1,11,0,0,3,24,541,50,472,0,5,0,0,1,13,265.6,34.7,189.1,37.8,171.2,40.6,176.3,39.4,291.1,54.7,287,53.8,265.6,34.7,178.9,39.3,289,54.2,230.1,43.5
560090023-6,WY,Converse County,0023-6,530,26,489,0,0,0,0,0,15,408,18,382,0,0,0,0,0,8,249,52,200,52,200,48,205,40,277,50,267,54,249,52,201.7,46.7,272,52,233,49.3
56009010-10,WY,Converse County,010-10,621,26,573,1,4,0,0,4,13,454,16,422,1,2,0,0,4,9,273.9,33.5,181.1,40.4,172.2,35.5,178.1,31.5,301.6,47.3,288.8,55.2,273.9,33.5,177.2,35.8,295.2,51.2,232.6,40.6
56009011-11,WY,Converse County,011-11,427,19,388,1,1,0,0,0,18,304,13,278,1,0,0,0,0,12,189,15,137,22,125,23,137,17,201,19,188,28,189,15,133,20.7,194.5,23.5,162.8,20.7
56009013-13,WY,Converse County,013-13,158,6,135,0,0,3,0,0,14,116,2,102,0,0,3,0,0,9,98.3,2.1,66.2,4.1,61.2,5.1,69.2,1.1,102.3,7.1,94.3,9.1,98.3,2.1,65.5,3.4,98.3,8.1,81.9,4.7
56009020-20,WY,Converse County,020-20,175,17,148,0,0,0,0,0,10,136,13,116,0,0,0,0,0,7,96.4,7.9,78.5,7,73.6,8.9,75.6,6,99.4,7,98.4,8.9,96.4,7.9,75.9,7.3,98.9,7.9,87,7.6
56011000101,WY,Crook County,000101,442,12,415,0,3,0,0,0,12,356,8,338,0,0,0,0,0,10,258,37,245,36,244,33,231,39,291,55,307,48,258,37,240,36,299,51.5,262.7,41.3
56011000102,WY,Crook County,000102,565,8,525,0,2,3,2,0,25,462,6,432,0,2,3,2,0,17,241,34,192,48,178,53,186,48,253,51,244,53,241,34,185.3,49.7,248.5,52,215.7,47.8
56011000202,WY,Crook County,000202,943,9,905,0,0,0,0,6,23,761,8,725,0,0,0,0,6,22,469,50,379,62,375,66,392,50,542,58,534,58,469,50,382,59.3,538,58,448.5,57.3
56011000303,WY,Crook County,000303,342,7,321,0,2,0,1,0,11,265,1,254,0,2,0,0,0,8,137,26,113,22,113,26,112,23,161,30,169,27,137,26,112.7,23.7,165,28.5,134.2,25.7
56011000707,WY,Crook County,000707,331,3,318,0,1,0,0,0,9,263,2,254,0,1,0,0,0,6,172,13,135,13,121,18,132,12,183,19,186,15,172,13,129.3,14.3,184.5,17,154.8,15
56011000909,WY,Crook County,000909,157,2,152,0,0,0,1,0,2,122,1,120,0,0,0,0,0,1,86,2,72,4,74,6,72,6,88,3,90,2,86,2,72.7,5.3,89,2.5,80.3,3.8
56011001111,WY,Crook County,001111,376,16,345,0,3,0,0,0,12,283,11,263,0,3,0,0,0,6,195.8,12.7,160.6,22.5,159.6,18.6,159.6,20.6,213.4,20.6,215.4,24.5,195.8,12.7,159.9,20.6,214.4,22.5,184,19.9
56011001212,WY,Crook County,001212,832,10,774,0,3,0,0,4,41,585,8,539,0,3,0,0,4,31,323.2,22.3,260.4,21.5,251.4,18.4,257.4,22.4,382.6,28.4,392.6,21.5,323.2,22.3,256.4,20.8,387.6,25,311.3,22.4
56011001313,WY,Crook County,001313,531,1,522,0,1,0,0,0,7,416,1,410,0,0,0,0,0,5,231,8,155,16,143,19,153,17,234,15,224,17,231,8,150.3,17.3,229,16,190,15.3
56011001414,WY,Crook County,001414,289,8,267,0,3,2,0,3,6,236,8,214,0,3,2,0,3,6,157,18,147,17,145,19,146,15,149,33,154,26,157,18,146,17,151.5,29.5,149.7,21.3
56011001515,WY,Crook County,001515,493,18,454,0,2,0,1,0,18,386,17,355,0,2,0,0,0,12,243,14,175,20,176,20,180,19,263,21,257,28,243,14,177,19.7,260,24.5,215.7,20.3
56011001616,WY,Crook County,001616,666,7,639,0,1,2,0,1,16,450,6,426,0,1,2,0,1,14,312,6,244,15,238,20,246,17,343,10,336,14,312,6,242.7,17.3,339.5,12,286.5,13.7
56011001801,WY,Crook County,001801,407,6,374,0,7,0,0,2,18,287,5,269,0,5,0,0,2,6,170,14,123,16,120,18,122,17,178,15,174,18,170,14,121.7,17,176,16.5,147.8,16.3
56011001802,WY,Crook County,001802,536,5,496,0,14,2,1,0,18,350,3,323,0,7,2,0,0,15,205,10,128,12,128,11,125,8,217,8,221,12,205,10,127,10.3,219,10,170.7,10.2
56011002323,WY,Crook County,002323,84,0,80,0,0,0,0,0,4,58,0,54,0,0,0,0,0,4,51.3,4,33.3,4,33.3,4,34.3,3,43.3,4,46.3,1,51.3,4,33.6,3.7,44.8,2.5,40.3,3.3
56011002424,WY,Crook County,002424,87,0,85,0,0,0,0,0,2,66,0,65,0,0,0,0,0,1,42,1,35,2,35,2,35,2,52,2,49,2,42,1,35,2,50.5,2,41.3,1.8
56011002626,WY,Crook County,002626,100,0,94,0,1,0,1,0,4,86,0,81,0,1,0,0,0,4,55,1,46,4,41,6,44,4,58,5,54,5,55,1,43.7,4.7,56,5,49.7,4.2
