GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_18_dem_war,uss_18_rep_die,gov_18_rep_bak,gov_18_dem_gon,atg_18_dem_hea,atg_18_rep_mcm,pre_20_dem_bid,pre_20_rep_tru,uss_20_dem_mar,uss_20_rep_oco,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
25009001391,MA,Essex County,001391,3649,190,3111,39,4,172,3,11,119,2883,122,2526,27,1,133,3,10,61,1242,859,1027,826,1429,454,1249,659,1691,915,1610,998,859,1242,971.3,910,956.5,1650.5,947.7,1212.2
25009001392,MA,Essex County,001392,4201,340,3062,265,1,312,1,40,180,3459,257,2599,207,0,240,1,38,117,818,540,638,512,891,294,777,398,988,537,961,566,540,818,600.3,569.7,551.5,974.5,574,746
25009001393,MA,Essex County,001393,3538,110,3154,33,0,143,1,22,75,2662,72,2400,27,0,106,1,18,38,1039,1005,832,945,1502,308,1065,770,1459,942,1360,1053,1005,1039,1072.3,735,997.5,1409.5,1036.2,1010.5
25009001394,MA,Essex County,001394,3697,183,2753,73,3,551,0,13,121,2806,118,2135,52,0,428,0,6,67,1215,769,923,713,1298,389,1113,600,1516,817,1469,889,769,1215,870.3,808.3,853,1492.5,847.7,1104.2
25009001395,MA,Essex County,001395,4153,237,3318,77,4,371,0,16,130,3007,132,2492,51,0,266,0,12,54,1025.3,969.8,888.5,959.4,1538.1,355.9,1125,799,1482.1,1039.8,1413.4,1134.8,969.8,1025.3,1098.8,789.8,1087.3,1447.8,1073.5,1048.4
25009001465,MA,Essex County,001465,2904,310,2286,68,2,82,0,34,122,2289,201,1879,46,2,53,0,25,83,847,644,646,555,983,257,853,409,1020,672,1048,627,644,847,649,585.3,649.5,1034,648.3,778.5
25009001466,MA,Essex County,001466,2938,167,2541,64,1,57,2,17,89,2508,124,2213,44,1,47,2,13,64,841,860,654,723,1125,268,878,532,994,834,1041,781,860,841,793.3,600,807.5,1017.5,809.2,779.3
25009001467,MA,Essex County,001467,3316,137,2824,80,1,123,0,33,118,2675,102,2311,61,1,103,0,26,71,838,846,710,742,1193,293,952,560,1108,954,1150,886,846,838,831.7,651.7,920,1129,863.5,841.8
25009001468,MA,Essex County,001468,3215,879,1712,146,12,78,0,143,245,2641,654,1517,110,12,54,0,107,187,765,333,556,243,546,273,633,189,893,380,920,342,333,765,326,487.3,361,906.5,338.8,673.3
25009001469,MA,Essex County,001469,3184,669,1842,150,5,77,1,196,244,2501,460,1545,110,5,61,1,145,174,728.2,367.7,508.5,280.8,544.5,271.7,601.4,221.8,798.2,407.6,830.1,371.7,367.7,728.2,349,460.5,389.6,814.2,365.7,623
25009001470,MA,Essex County,001470,3002,411,2186,76,5,70,0,54,200,2348,253,1803,57,5,57,0,40,133,696.6,630.2,523.4,515.2,785.4,282.2,689.5,395.1,859.6,611.3,909.6,570.2,630.2,696.6,565.2,498.4,590.8,884.6,584.6,660.2
25009001471,MA,Essex County,001471,3031,619,1747,118,6,38,0,119,384,2414,440,1475,83,6,30,0,96,284,659.1,283.3,408.2,193.8,409.2,213.5,453.5,171.2,668,346.3,693.5,301,283.3,659.1,258.1,358.4,323.6,680.8,284.1,516
25009001472,MA,Essex County,001472,2897,394,1986,114,4,45,0,150,204,2365,285,1683,83,4,42,0,120,148,759,458,562,350,670,274,680,264,799,521,850,456,458,759,428,505.3,488.5,824.5,453.2,654
25009001473,MA,Essex County,001473,3066,299,2360,130,3,48,0,78,148,2469,193,2019,80,3,43,0,34,97,727.7,523.7,552.6,445.1,764.7,260,700.6,337.7,795.4,574.2,852.3,519.1,523.7,727.7,515.8,504.4,546.7,823.9,527.4,648.1
25009001474,MA,Essex County,001474,2884,293,2270,72,0,50,1,38,160,2287,177,1887,53,0,39,1,31,99,771,632,610,551,889,298,790,400,963,654,1000,609,632,771,613.3,566,631.5,981.5,622.5,738.7
25009001475,MA,Essex County,001475,3456,386,2250,363,2,143,0,65,247,2729,244,1917,244,2,107,0,50,165,791,599,601,527,867,272,752,403,913,643,959,598,599,791,599,541.7,620.5,936,606.2,714.7
