GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_16_rep_gra,uss_16_dem_jud,gov_18_rep_rey,gov_18_dem_hub,atg_18_dem_mil,sos_18_rep_pat,sos_18_dem_dej,pre_20_rep_tru,pre_20_dem_bid,uss_20_rep_ern,uss_20_dem_gre,avg_16_rep,avg_16_dem,avg_18_rep,avg_18_dem,avg_20_rep,avg_20_dem
18003000120,IN,Allen County,000120,1414,90,1077,112,0,50,0,10,75,974,50,794,67,0,27,0,0,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000130,IN,Allen County,000130,1256,51,881,193,1,65,0,5,60,934,37,693,138,0,27,0,2,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000140,IN,Allen County,000140,2404,144,1820,219,3,89,0,5,124,1750,75,1392,165,3,53,0,4,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000150,IN,Allen County,000150,1380,65,1056,131,5,55,0,17,51,1072,39,870,93,5,38,0,8,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000160,IN,Allen County,000160,880,37,505,83,2,187,0,3,63,661,24,411,56,2,134,0,2,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000170,IN,Allen County,000170,1024,85,772,36,2,51,0,6,72,774,56,614,29,2,25,0,5,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000180,IN,Allen County,000180,1027,38,881,40,1,13,0,9,45,723,34,620,35,0,7,0,1,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000190,IN,Allen County,000190,2051,146,1553,172,2,76,1,3,98,1474,78,1195,99,2,46,1,2,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000200,IN,Allen County,000200,1401,80,1150,65,6,20,0,1,79,1091,43,936,45,6,16,0,0,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000210,IN,Allen County,000210,1398,67,1004,193,7,32,0,11,84,1105,41,860,125,1,29,0,11,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000220,IN,Allen County,000220,2041,83,1758,54,1,37,0,12,96,1418,29,1267,39,1,28,0,9,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000230,IN,Allen County,000230,1174,56,960,81,4,27,0,8,38,859,37,728,45,4,23,0,6,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000240,IN,Allen County,000240,1113,65,851,66,1,41,1,9,79,840,32,671,49,1,31,1,7,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000250,IN,Allen County,000250,1461,84,1123,130,7,52,0,5,60,1182,50,933,106,7,44,0,5,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000260,IN,Allen County,000260,1751,48,1422,138,3,50,0,11,79,1286,36,1071,84,0,41,0,8,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000270,IN,Allen County,000270,1133,50,906,79,4,29,1,6,58,922,26,768,59,3,25,1,6,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000280,IN,Allen County,000280,1428,56,1245,57,0,16,0,10,44,1083,25,958,50,0,14,0,10,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000290,IN,Allen County,000290,1862,120,1399,176,8,57,0,4,98,1416,72,1117,136,4,41,0,1,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000300,IN,Allen County,000300,1110,70,884,78,4,30,0,0,44,942,49,778,62,3,23,0,0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000310,IN,Allen County,000310,1817,123,1433,115,9,60,0,14,63,1430,81,1174,86,9,44,0,4,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000320,IN,Allen County,000320,1596,133,1199,114,8,38,0,12,92,1171,74,922,82,4,27,0,7,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000330,IN,Allen County,000330,13,1,8,0,0,0,0,0,4,12,1,8,0,0,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000340,IN,Allen County,000340,801,66,514,96,0,90,0,0,35,592,42,405,66,0,53,0,0,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000350,IN,Allen County,000350,923,56,697,81,2,39,0,2,46,812,40,634,70,2,34,0,2,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000360,IN,Allen County,000360,1405,97,1119,90,6,37,0,1,55,1033,52,869,62,4,24,0,1,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000370,IN,Allen County,000370,1637,121,1323,79,2,12,1,5,94,1256,85,1048,44,2,10,1,0,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000380,IN,Allen County,000380,1978,117,1630,103,1,19,2,11,95,1540,70,1298,82,0,17,2,11,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000390,IN,Allen County,000390,1679,103,1288,138,1,24,0,4,121,1273,59,1033,90,0,15,0,3,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000400,IN,Allen County,000400,874,65,680,68,1,9,0,3,48,696,46,569,52,1,6,0,1,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000410,IN,Allen County,000410,1829,111,1026,361,4,213,3,12,99,1378,66,834,266,2,147,3,4,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000420,IN,Allen County,000420,902,66,578,85,3,104,0,16,50,662,46,466,62,3,52,0,6,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000430,IN,Allen County,000430,978,49,615,186,2,62,0,12,52,730,34,496,112,2,39,0,6,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000440,IN,Allen County,000440,1897,142,1167,309,4,188,0,4,83,1643,98,1074,248,4,162,0,2,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000450,IN,Allen County,000450,1111,89,714,180,7,54,2,3,62,929,69,631,132,7,44,2,3,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000460,IN,Allen County,000460,1580,112,1099,182,1,108,0,34,44,1496,108,1052,173,1,98,0,27,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000470,IN,Allen County,000470,1147,76,826,75,0,115,1,8,46,900,48,690,52,0,76,1,4,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000480,IN,Allen County,000480,1433,74,1154,106,3,38,0,8,50,1197,51,996,81,3,28,0,8,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000490,IN,Allen County,000490,1298,116,1037,50,5,26,0,5,59,1001,70,830,37,5,22,0,2,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000500,IN,Allen County,000500,1166,40,1029,36,0,11,1,2,47,874,25,791,31,0,8,0,0,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000510,IN,Allen County,000510,2061,118,1645,122,4,40,1,14,117,1635,84,1330,90,2,30,0,7,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000520,IN,Allen County,000520,778,31,639,69,1,10,1,1,26,620,19,518,60,0,10,0,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
