GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_18_dem_men,uss_18_rep_hug,pre_20_dem_bid,pre_20_rep_tru,uss_20_dem_boo,uss_20_rep_meh,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
34001040014,NJ,Atlantic County,040014,1198,438,256,350,7,84,1,16,46,909,278,226,288,7,66,1,10,33,347,85.5,247.7,75.7,917.7,846.4,889.4,813.8,85.5,347,75.7,247.7,830.1,903.5,455.3,600.4
34001040015,NJ,Atlantic County,040015,2418,654,906,278,11,470,1,26,72,1963,478,806,219,11,383,1,13,52,462.1,215.1,332.1,192.1,229.8,212.3,222.7,204.1,215.1,462.1,192.1,332.1,208.2,226.3,205.9,311.7
34001040016,NJ,Atlantic County,040016,2220,816,838,294,7,171,2,22,70,1749,588,728,240,5,129,2,17,40,478.4,234.9,315.5,194.8,1250.6,1155.2,1212,1110.7,234.9,478.4,194.8,315.5,1132.9,1231.3,673.9,814.1
34001040017,NJ,Atlantic County,040017,2744,272,2011,125,0,198,3,15,120,2075,173,1579,93,0,157,3,9,61,560,636,446,595,439.7,406.1,426.1,390.5,636,560,595,446,398.3,432.9,506.9,467.9
34001040018,NJ,Atlantic County,040018,1922,131,1571,57,1,70,0,12,80,1501,66,1278,39,1,57,0,9,51,311.6,593.5,246.6,527.5,299.8,284.7,290.6,273.7,593.5,311.6,527.5,246.6,279.2,295.2,419.9,287.2
34001040019,NJ,Atlantic County,040019,2312,243,1551,162,1,247,0,8,100,1908,167,1337,149,1,197,0,3,54,539,539,471,520,204.7,189.1,198.4,181.8,539,539,520,471,185.5,201.6,357.5,353.3
34001040020,NJ,Atlantic County,040020,2859,531,1059,348,4,804,0,3,110,2156,373,803,280,4,635,0,3,58,592,346,412,291,345.3,319,334.7,306.7,346,592,291,412,312.8,340,315.7,421
34001040021,NJ,Atlantic County,040021,2634,234,1947,109,2,235,0,12,95,2061,154,1568,89,2,184,0,6,58,483.4,695.2,338.1,530.1,139.3,128.7,135,123.8,695.2,483.4,530.1,338.1,126.2,137.2,369.4,274
34001040022,NJ,Atlantic County,040022,1502,156,1037,104,3,139,1,5,57,1137,80,832,81,3,100,1,4,36,289,417,234,386,264.2,244,256,234.6,417,289,386,234,239.3,260.1,320.4,260.8
34001042101,NJ,Atlantic County,042101,688,239,212,183,1,10,1,5,37,519,178,184,123,1,8,1,2,22,159,60,95,61,41.2,30.8,39.9,28.5,60,159,61,95,29.6,40.5,45.1,83.8
34001042102,NJ,Atlantic County,042102,589,148,272,99,0,31,0,4,35,459,93,240,76,0,28,0,2,20,112,125,88,110,29.4,22,28.5,20.3,125,112,110,88,21.2,29,69.3,64.5
34001042103,NJ,Atlantic County,042103,845,210,451,115,0,18,0,13,38,667,130,400,99,0,15,0,4,19,166.7,162.6,106.8,147.7,378.3,282.9,366,261.3,162.6,166.7,147.7,106.8,272.1,372.2,213.6,254.5
34001042201,NJ,Atlantic County,042201,815,215,408,135,0,16,0,5,36,633,141,349,96,0,14,0,5,28,180,134,141,117,120.6,90.2,116.7,83.3,134,180,117,141,86.7,118.7,106.1,139.6
34001042202,NJ,Atlantic County,042202,652,165,327,101,0,29,0,2,28,504,103,283,75,0,24,0,1,18,139,142,110,120,35,26.2,33.9,24.2,142,139,120,110,25.2,34.5,78.1,79.5
34001042203,NJ,Atlantic County,042203,807,246,309,207,2,13,0,3,27,587,175,253,131,2,9,0,2,15,201.1,141.7,123.4,136,634.3,495,614.5,461,141.7,201.1,136,123.4,478,624.4,308.4,393.3
34001045001,NJ,Atlantic County,045001,1668,64,1511,33,4,2,0,5,49,1339,38,1233,18,4,2,0,5,39,251.5,682.3,224.3,598.2,364.4,831,357.8,799.5,682.3,251.5,598.2,224.3,815.3,361.1,727.8,299.5
34001050001,NJ,Atlantic County,050001,1811,174,1505,47,5,6,2,13,59,1464,116,1247,37,5,6,0,9,44,325,549,240,417,380,672,367,649,549,325,417,240,660.5,373.5,571.8,328
34001055001,NJ,Atlantic County,055001,2022,195,1495,127,3,73,0,21,108,1603,133,1252,78,1,66,0,13,60,505.2,625,413.1,574.9,334.9,319.2,326.6,307.4,625,505.2,574.9,413.1,313.3,330.8,456.6,395
34001055002,NJ,Atlantic County,055002,2094,124,1759,59,0,38,1,13,100,1689,84,1444,48,0,36,1,5,71,305.8,726,258.4,627.4,2035,1939.1,1984.6,1867.4,726,305.8,627.4,258.4,1903.2,2009.8,1290,1145.9
34001055003,NJ,Atlantic County,055003,2267,300,1592,121,3,125,0,9,117,1855,197,1369,96,2,102,0,6,83,493.3,622.3,403.3,549.4,68.6,65.5,66.9,63.1,622.3,493.3,549.4,403.3,64.3,67.8,325.1,258
34001055004,NJ,Atlantic County,055004,1608,260,1082,151,6,38,1,0,70,1335,186,933,130,6,29,1,0,50,310.7,397.8,225.1,343,2276,2170.2,2219.7,2090,397.8,310.7,343,225.1,2130.1,2247.8,1250.2,1257.9
34001055005,NJ,Atlantic County,055005,2259,426,1046,344,0,359,1,15,68,1711,260,858,252,0,287,1,13,40,677,433,405,245,333.2,317.5,325,305.8,433,677,245,405,311.7,329.1,325.3,435.1
34001055006,NJ,Atlantic County,055006,2240,254,1261,142,7,456,0,11,109,1800,163,1049,94,7,410,0,11,66,516.6,457,318.9,378.1,143.1,136.1,139.5,131.1,457,516.6,378.1,318.9,133.6,141.3,275.6,279.5
34001055007,NJ,Atlantic County,055007,3326,454,2278,306,9,137,0,5,137,3115,407,2161,295,9,132,0,2,109,753.8,628.1,532.5,512.1,1232.5,1174.5,1202,1131.1,628.1,753.8,512.1,532.5,1152.8,1217.2,861.4,930.2
34001055008,NJ,Atlantic County,055008,2034,165,1573,88,0,100,0,9,99,1637,116,1283,72,0,89,0,9,68,515.5,578.6,426.5,471.5,928.7,899.7,905.5,867.6,578.6,515.5,471.5,426.5,883.7,917.1,704.4,694.1
34001055009,NJ,Atlantic County,055009,1809,119,1448,118,0,69,1,5,49,1614,79,1341,97,0,62,0,5,30,378.8,543.1,326.6,461.4,317,302,309.1,290.9,543.1,378.8,461.4,326.6,296.4,313,399.4,332.9
