GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREGHAW,G20PREIWES,G20PREIBLA,G20PREIKEN,G20PREILAR,G20PREIFUE,G20USSRHAG,G20USSDBRA,G20USSIHOO,G20USSISTA,G20USSIMCL,G20USSIJAM,G20USSIHIL,G20USSIGRU,G20USSIHEN,G20USSIFAP
47175009106,47,175,009106,254.55,48.03,2.88,0,0,0,0,0,0,241.1,43.23,1.92,0,1.92,0,0.96,0,1.92,0.96
47175009107,47,175,009107,94.3,20.75,0.94,0.94,0.94,0,0,0,0.94,89.58,18.86,0.94,0.94,0,0,0,0,0.94,0.94
47177009201,47,177,009201,748,355,8,2,3,1,0,0,0,702,296,4,2,7,5,8,4,8,5
47177009202,47,177,009202,743.17,311.19,4.21,3.03,4.06,2,0,0,1,713.47,278.83,3.03,2,4.06,0,3.03,2.03,6.03,2.09
47177009203,47,177,009203,564.71,161.35,6.64,0.95,1.9,0,0,0,0,542.88,149.96,0.95,0,1.9,0,0.95,0.95,0.95,2.85
47177009204,47,177,009204,528.26,187.03,6.23,2.98,2.05,0.98,0,0,0.98,488.55,163.47,2.93,1.02,4,0,1.96,2,2.18,3.11
47177009205,47,177,009205,552.56,179.38,7.9,1.02,2,0.07,0,0,0.07,517.46,155.96,0.09,1,2.19,0,0.06,1.05,4.74,3.87
47177009206,47,177,009206,705.48,299.51,2.99,0,1,1,1,0,1,646.78,239.8,7.96,2.99,7.96,0,1,1,9.95,5.97
47177009207,47,177,009207,497.31,220.82,8.01,1,1.11,4,2.04,1,1.04,438.18,193.2,7.08,1.16,6.04,2.07,2.04,3.08,9.2,3.07
47177009208,47,177,009208,205.21,87.67,0,0,2.89,0,0.96,0,0.96,183.05,79,0.96,3.85,0,1.93,0.96,1.93,3.85,0.96
47177009209,47,177,009209,645,285,6,3,0,2,0,0,0,599,232,3,2,9,2,3,1,4,1
47177009210,47,177,009210,1074.46,342.97,16.06,3.92,3.24,2.02,0,0,0.99,987.15,301.09,6.25,4.19,3.53,0.04,2.21,2.97,5.93,9.28
47177009211,47,177,009211,880,196,4,1,2,1,0,2,1,818,168,5,1,3,3,2,3,7,2
47177009213,47,177,009213,327.3,76.05,3.02,0.02,0.99,0.95,0,0,0.95,305.64,70.79,0,0.97,3.85,0,0,0.97,0.1,0.08
47177009214,47,177,009214,896,255,6,2,3,2,3,1,0,809,227,10,2,9,2,1,2,6,4
47177009215,47,177,009215,348,98,5,1,1,1,0,0,0,331,86,0,1,1,0,0,2,2,1
47177009216,47,177,009216,736,228,6,1,2,1,0,1,1,695,193,4,1,5,1,2,3,6,4
47177009217,47,177,009217,487.99,135.14,5.01,0,1,2,1,0,0,461.94,124.13,0,1,5,1,1,0,4.01,3
47177009218,47,177,009218,372.8,85.32,2.2,0.04,2.01,1.02,0,0,0.02,348.19,74.15,4,1.99,1.1,0.98,0.04,1.01,1.06,0.12
47177009219,47,177,009219,712,185,10,0,3,0,1,0,0,658,160,4,1,3,0,4,1,1,3
47177009220,47,177,009220,455,135,4,2,3,1,0,0,0,423,120,2,3,1,2,0,2,4,0
47177009221,47,177,009221,450,123,8,0,2,0,1,1,0,408,116,7,0,5,2,0,1,4,3
47179009301,47,179,009301,754.19,267.39,10.4,0.78,0.88,1.66,1.6,0,0.01,734.76,253.89,0.9,3.13,7.04,0.14,2.35,1.58,2.49,2.38
47179009302,47,179,009302,601,258.67,4.95,0.15,0.01,3.7,0.16,0,0.07,621.03,223.1,0.15,1.99,1.99,0.14,1.15,0.93,0.38,2.81
47179009304,47,179,009304,1594.63,726.26,28.66,2.31,1.85,2.9,3.84,1.15,2.25,1579.41,642.23,4.04,4.78,12.77,7.64,2.45,4.13,4.58,9.2
47179009305,47,179,009305,1785.03,614.05,25.85,1.79,3.31,3.41,1.11,0.9,1.74,1739.04,542.91,1.89,4.29,13.6,8.42,5.61,1.94,3.56,7.07
47179009306,47,179,009306,708.7,189.49,3.8,1.79,0,1.07,1.79,0,0.89,692.78,173.53,1.79,1.87,0.98,1.79,2.72,0.05,4.46,1.03
47179009307,47,179,009307,1550.97,370.04,16.96,0,1.99,4.99,1,0,1,1494.12,335.13,6.98,2.99,10.97,1.99,2.99,3.99,1.99,5.98
47179009308,47,179,009308,653.09,634.54,14.9,4.06,2.15,2.03,0.12,3.02,0.96,628.02,584.54,2.18,4.14,10.14,10.91,5.01,0.04,3.3,0.54
47179009309,47,179,009309,1232.07,380.2,26.2,2.91,0.05,3.88,1.94,0,0,1209.54,334.29,2.93,4.84,9.76,4.83,1.99,2.94,3.91,7.78
47179009310,47,179,009310,325.23,63.53,8.53,0,0,0,0,0,0,315.75,59.74,0,1.9,1.9,0,0,0,0.95,0
47179009311,47,179,009311,1184.19,871.53,32.15,7.12,5.32,3.56,0.88,3.53,1.8,1173.11,805.2,6.17,2.81,13.5,11.5,4.44,0.98,1.83,10.75
47179009312,47,179,009312,1213.86,950.82,26.09,4.02,3.01,3.01,2,2.02,2.01,1204.7,869.52,3.01,1.02,19.06,5.07,6.03,1,6.02,6
47179009313,47,179,009313,737,144,6,1,1,3,0,0,0,703,132,0,2,8,2,3,0,2,2
47179009314,47,179,009314,1322.18,1208.49,29.97,12.1,3.11,4,1,6.99,3,1274.77,1104.6,4,6.99,14.1,11.99,10.99,2,5.99,17.98
47179009315,47,179,009315,59.02,13.77,0.01,0.89,0.89,0,0,0,0,55.45,13.73,0,0,0.89,0,0,0,0,0.01
47179009316,47,179,009316,867.17,319.64,11.77,1.97,0.99,0.99,0,0.02,0.98,827.5,288.37,0.03,4.85,7.8,1.03,0.99,2.9,1.94,4.89
47179009317,47,179,009317,192.43,58.56,3.88,0.27,0.31,0.26,0.28,0.04,0.12,188.01,53.13,0.33,1.35,0.73,0.34,0.27,1.2,0.42,0.46
47179009318,47,179,009318,3545.71,948.58,49.32,7.89,10.84,4.93,6.9,0.99,0.99,3479.63,848.01,8.87,10.86,19.72,6.9,7.89,3.96,9.86,11.83
47179009319,47,179,009319,1361,253,11,1,2,5,1,2,0,1330,232,3,2,5,2,1,1,1,3
47179009320,47,179,009320,494,804,21,5,2,0,0,5,1,467,748,3,2,14,4,6,2,4,7
47179009321,47,179,009321,1154.77,832.84,38,5.88,5.85,2.94,2.9,3.9,0.03,1125.78,753.93,6.83,7.73,14.63,9.8,5.84,0.98,10.6,13.63
47179009322,47,179,009322,1528.37,931.61,23.06,4.2,4.18,8.15,2.07,5.1,2.08,1505.92,867.09,1.1,5.15,16.54,11.43,2.26,2.04,5.22,11.21
47179009323,47,179,009323,592,479,14,2,4,3,1,0,2,549,444,5,1,15,8,1,1,6,4
47179009324,47,179,009324,1937.21,1240.62,40.89,5.93,6.87,8.68,3.03,2.91,2.06,1931.88,1125.07,2.08,4.98,22.74,8.9,2.2,5.8,9.79,15.56
47179009325,47,179,009325,1311.08,262.16,11.29,0,1,2,0,1,0,1279.76,239.04,4,2.06,6.06,2,2,2,2.03,1
47179009326,47,179,009326,1188.68,240.31,5.18,1,1,1,0,1,0,1128.49,215.23,2,2.04,6.04,1,1,3,5.02,1
47179009327,47,179,009327,1896.32,532.02,21.95,2.66,1.49,2.33,2.08,0.33,0.16,1830.42,475.95,5.57,5.25,13.23,6.07,5.41,2.08,5.16,6.98
47179009328,47,179,009328,404.64,128.98,9.11,0.92,0.93,0.06,0.9,0.02,0.9,387.86,126.37,0.9,0.92,3.69,0.95,1.78,0.04,0.95,1
47179009329,47,179,009329,974,196,10,1,2,2,0,0,0,939,175,1,4,6,2,4,1,3,1
47179009330,47,179,009330,387,84,2,3,2,1,1,0,0,364,83,2,1,1,0,4,1,0,1
47179009331,47,179,009331,490.81,1032.74,24.02,10.01,5,2,0,3,4,476.78,1018.68,1,5,10.01,7.01,2.01,2,3,8.01
47179009332,47,179,009332,2868.44,628.89,35.49,3.94,8.87,7.89,1.97,0,1.97,2803.38,570.73,3.94,3.94,11.83,2.96,3.94,3.94,3.94,4.93
47179009333,47,179,009333,1425.89,947.32,32.5,3.94,5.91,3.94,3.94,0.01,2.95,1443.56,839.97,1.97,0.99,10.84,4.94,6.9,0.98,5.91,9.84
47179009334,47,179,009334,17.28,10.94,0.02,0,0,0,0,0,0,17.29,10.87,0,0,0.01,0,0,0,0,0.01
47179009335,47,179,009335,2081.66,1028.75,31.47,4.14,8,3.23,3.15,0,0,2036.84,926.79,4.14,4.36,18.71,3.17,10.16,7.17,9.24,12.38
47179009336,47,179,009336,2004.39,985.28,37.6,0.33,8.16,9.39,4.33,0.07,0.03,1978.43,905.37,7.19,6.75,17.73,7.11,3.62,5.33,10.43,7.72
47181009401,47,181,009401,247.84,71.07,1.22,1,0.2,1.08,0.04,0,0.04,226.56,58.42,2.05,1.05,2.1,0.34,1.04,0.04,2.04,0.09
47181009402,47,181,009402,245.11,41.82,4.63,0,0,0,0,0,0,215.42,34.38,0.93,0.93,1.86,0.93,0,0,2.78,0.93
47181009403,47,181,009403,372.28,42.82,1.08,0,0.08,0.23,0,0,0,347.98,35.05,1,0.08,2,0.08,1,0.08,2.31,1.15
47181009404,47,181,009404,882.83,139.39,3.95,1.98,0.99,0,0.99,0,0.99,799.79,102.81,1.98,3.95,2.97,2.97,2.97,0.99,6.92,1.98
47181009405,47,181,009405,329.8,41.88,2.99,0,0,0.02,0.02,0,0,321.55,36.88,1,0.99,0.02,0,0.02,0.02,0.05,0.02
47181009406,47,181,009406,341,28,2,0,0,0,0,0,0,311,23,0,0,1,0,0,0,3,0
47181009407,47,181,009407,568,63,1,0,1,2,0,0,1,522,48,2,3,1,3,2,0,3,2
47181009408,47,181,009408,190.79,35.24,0.25,0,0,0,0,0,0,178.51,27.08,0.05,0.05,1.07,1.02,0,0,0.15,0.05
47181009409,47,181,009409,424.55,52.5,3.11,1.03,0.01,1.01,0.01,0,0.01,389.04,43.93,2.04,1.06,1.06,1.05,0.03,1.01,5.13,1.05
47181009410,47,181,009410,351.49,55.6,0.99,0.99,0,0.99,0,0,0,322.69,47.66,0.99,0.99,0.99,0,0,0,2.98,2.98
47181009411,47,181,009411,498.3,82.26,0.93,0,0.92,2.77,0,0,0,470.58,73.01,0,0.93,0,0.92,0,0.92,3.69,1.85
47181009412,47,181,009412,730,79,2,0,1,2,0,0,0,686,71,2,0,1,0,1,0,4,2
47181009413,47,181,009413,426.31,64.55,1.04,0,0,0,0,1,0,393.21,52.48,0.01,1.01,2,1,1,1,0,1
47181009414,47,181,009414,208.43,28.27,1.96,0,0,0.98,0.98,0,0,187.56,24.16,0.98,0,1,0.02,0.98,0.98,2.95,0.98
47183009501,47,183,009501,665,113,3,2,12,0,1,0,0,632,97,13,2,3,5,2,0,3,2
47183009502,47,183,009502,1364.76,225.79,7.99,3,15.99,3,4,3,3,1319.8,200.82,22.98,5,5.99,5.99,2,2,9.99,1
47183009503,47,183,009503,689.02,106.15,3.02,1.01,2.05,1.01,4.01,0.01,0,656.96,93.07,14.06,5.01,4.02,2.02,1.01,1.01,1.02,2
47183009504,47,183,009504,1180.24,299.21,7.01,4,8.01,3,2,2,1,1118.2,258.18,24.02,11,8.01,7.01,6,5,8.01,3
47183009505,47,183,009505,1148.13,436.49,8.91,1.98,17.82,4.95,3.96,4.95,0.99,1125.37,407.79,24.74,4.95,8.91,6.93,2.97,1.98,5.94,0.99
47183009506,47,183,009506,1445.15,255.2,9.04,4.01,16.03,4.01,6,3,1.01,1404.99,209.05,19.07,7.01,16.02,9.01,3.01,2,3.05,0.01
47183009507,47,183,009507,1271.36,253.48,9.94,0.99,6.96,1.99,0.99,0.99,2.98,1223.64,218.69,15.9,1.99,4.97,2.98,1.99,0.99,11.93,1.99
47183009508,47,183,009508,869.06,499.6,15.02,1.01,13.09,5.02,7.01,2.03,2,884.82,455.53,13.15,4.03,11.03,6.03,3.01,1.01,7.02,5.99
47183009509,47,183,009509,1319.28,489.52,10.05,9,13.04,6.01,4.02,2.01,0.01,1317.34,441.39,18.04,7.01,11.03,0.02,1.01,0,8.02,6.02
47183009510,47,183,009510,440.94,340.96,10,1,6,2,1,1,1,444.94,303.96,8,3,3,4,3,3,0,3
47185009601,47,185,009601,1116,192,15,3,2,1,0,0,0,1108,183,3,2,3,0,2,1,4,5
