GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREISMI,G16PREIKEN,G16PREIFUE,G16PREOWRI
47157008102,47,157,008102,612.32,1823.6,102.64,19.1,4.04,2.01,1.03,11.14
47157008103,47,157,008103,54,1116,7,5,2,4,4,4
47157008104,47,157,008104,12,530,3,0,0,1,0,0
47157008105,47,157,008105,19,963,4,0,1,2,2,0
47157008106,47,157,008106,380,1329,53,21,3,0,0,4
47157008107,47,157,008107,615,1951,103,36,2,0,5,14
47157008108,47,157,008108,171,837,49,28,0,2,2,4
47157008109,47,157,008109,421,1585,88,35,6,2,3,13
47157008110,47,157,008110,102.61,1858.77,24.09,14.01,3.01,4,4,4.02
47157008111,47,157,008111,44.02,1490.89,10,11,0,3,1,1
47157008113,47,157,008113,41,1407,2,5,5,5,1,0
47157008114,47,157,008114,312.21,841.15,43.92,21,0.95,3.82,4.77,6.68
47157008117,47,157,008117,145,1299,43,35,0,1,3,4
47157008118,47,157,008118,120,1552,30,20,0,2,4,0
47157008119,47,157,008119,123,397,25,21,1,2,2,16
47157008120,47,157,008120,22.18,989.23,2.02,5.02,0,2.02,1.05,0
47157008121,47,157,008121,23.82,1317.77,1.98,2.98,0,2.98,6.95,0
47157008122,47,157,008122,306,1333,54,33,1,1,4,21
47157008123,47,157,008123,111,1412,32,16,1,0,9,0
47157008125,47,157,008125,72,1230,6,14,3,3,3,4
47157008130,47,157,008130,32,1558,11,13,3,3,7,2
47157008131,47,157,008131,34.98,1609.11,6,7,3,1,4,1
47157008133,47,157,008133,1215,1122,129,29,7,4,8,44
47157008136,47,157,008136,440,1190,47,8,6,2,4,20
47157008138,47,157,008138,75,2145,9,6,1,4,4,0
47157008139,47,157,008139,997.79,1985.85,143.08,41,3.05,4.18,7.23,24.32
47157008141,47,157,008141,1039,1174,108,30,9,2,2,35
47157008142,47,157,008142,31,1816,8,1,5,4,2,0
47157008144,47,157,008144,25,1824,9,8,3,1,2,0
47157008145,47,157,008145,11.82,744.83,3.94,0.99,0,0,2.96,0
47157008146,47,157,008146,37,912,12,10,2,0,2,1
47157008149,47,157,008149,611,968,43,7,9,2,4,6
47157008152,47,157,008152,1324,1083,54,41,8,5,4,27
47157008154,47,157,008154,1317,888,141,18,4,1,0,43
47157008157,47,157,008157,1924,1216,119,16,8,1,5,40
47157008158,47,157,008158,232,1355,13,12,1,4,3,7
47157008159,47,157,008159,326.48,1356.84,24.07,12.1,2,1.07,6,6.02
47157008161,47,157,008161,54.33,1963.48,2.03,4.03,0.02,2.02,4.96,1
47157008164,47,157,008164,30,1332,7,1,5,2,4,0
47157008166,47,157,008166,45.47,807.26,8.02,6.04,3,2.02,1.04,0.01
47157008167,47,157,008167,41.88,1006.17,3.9,4.87,4.87,0.97,0.97,0
47157008168,47,157,008168,111,2225,16,7,2,2,2,0
47157008170,47,157,008170,18,1239,5,5,0,2,3,1
47157008171,47,157,008171,15,1043,9,5,2,2,4,2
47157008172,47,157,008172,407,553,8,7,2,1,6,4
47157008174,47,157,008174,1210,911,116,20,4,4,2,39
47157008176,47,157,008176,979,1230,106,26,10,7,3,21
47157008177,47,157,008177,1127,877,112,23,2,2,4,29
47157008178,47,157,008178,932.29,510.42,61.69,15.92,6.96,0,0,18.9
47157008179,47,157,008179,793,695,60,24,3,3,5,22
47157008180,47,157,008180,1249.73,931.38,64,17.39,4.2,2.03,0.03,22.51
47157008182,47,157,008182,151.14,670.98,3.34,3.05,2.02,2,4.01,3.07
47157008183,47,157,008183,162,1343,4,5,0,1,4,0
47157008184,47,157,008184,115.17,1286.77,9,7,2,0,1,3
47157008187,47,157,008187,141,2367,18,7,3,4,5,1
47157008189,47,157,008189,150,1751,7,7,4,5,5,0
47157008190,47,157,008190,179,1541,18,16,3,1,7,2
47157008191,47,157,008191,58.9,787.93,2.9,3.86,0,2.9,0,0.97
47157008192,47,157,008192,129.62,1661.49,6.87,4.91,1.96,0,4.91,0
47157008194,47,157,008194,193,1954,21,10,4,4,1,0
47157008195,47,157,008195,153,2005,15,8,4,3,3,2
47157008197,47,157,008197,211.38,1384.51,7.13,8.09,3.04,1,4.09,3
47157008199,47,157,008199,75,1291,7,16,2,0,1,0
47157008200,47,157,008200,23,1308,11,6,0,1,1,0
47157008201,47,157,008201,48,2437,6,10,1,3,3,0
47157008202,47,157,008202,35,2587,9,6,5,3,6,2
47157008203,47,157,008203,28,2098,9,6,3,0,5,0
47157008204,47,157,008204,31,1592,12,6,0,0,6,3
47157008205,47,157,008205,22,1352,7,4,1,1,0,1
47157008206,47,157,008206,51,2157,12,7,3,5,3,0
47157008207,47,157,008207,80,2239,11,6,2,0,3,0
47157008209,47,157,008209,79,1648,5,9,0,3,3,0
47157008210,47,157,008210,64.93,1880.32,13.09,5.11,1.11,2.02,2.02,0
47157008211,47,157,008211,67,2444,11,5,3,5,7,0
47157008212,47,157,008212,77,1819,7,4,5,0,2,0
47157008213,47,157,008213,74,2101,8,7,3,1,1,2
47157008214,47,157,008214,35,1347,8,6,3,2,3,2
47157008216,47,157,008216,1277,1107,78,10,4,0,6,12
47157008217,47,157,008217,1198.27,1013.62,69,13.61,6.8,0.97,0.97,17.49
47157008219,47,157,008219,1317,838,76,6,1,4,1,29
47157008221,47,157,008221,393.65,1276.67,29.3,7.81,0,4.88,3.91,0.98
47157008222,47,157,008222,1041.02,1860.82,70.45,29.72,3.99,0.99,2.96,19.85
47157008224,47,157,008224,54,560,4,1,3,0,0,0
47157008226,47,157,008226,54,606,4,2,0,1,3,2
47157008228,47,157,008228,25,587,4,4,2,0,0,2
47157008229,47,157,008229,319,2060,25,11,3,5,8,4
