GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREOWRI,G16USSRMCC,G16USSDKIR,G16USSGSWI,G16USSOWRI
04017000037,04,017,000037,1563.03,401.08,71.18,19.5,49.08,1389.47,438.78,160.24,25.03
04017000038,04,017,000038,402.53,103.29,18.33,5.02,12.64,357.84,113,41.27,6.45
04017000039,04,017,000039,49.19,11.9,1.97,0.87,1.03,40.31,13.63,7.35,0.73
04017000040,04,017,000040,1669.3,469.2,73.49,19.61,45.08,1422.1,501.63,220.24,35.98
04017000041,04,017,000041,422.8,198.7,33.15,12.37,35.37,406.8,205.77,62.62,5.9
04017000042,04,017,000042,1067.26,274.58,48.62,13.33,33.52,948.82,300.31,109.42,17.09
04017000043,04,017,000043,286.37,689.19,37.23,28.57,31.39,313.21,697.63,54.98,3.25
04017000044,04,017,000044,16.58,65.05,3.77,2.41,1.05,16.25,70.5,3.57,0.21
04017000045,04,017,000045,19.21,143.81,8.81,6.1,6.91,25.37,157.63,5.04,0.26
04017000046,04,017,000046,261.54,629.43,34,26.09,28.66,286.05,637.14,50.21,2.97
04017000047,04,017,000047,213.97,514.96,27.82,21.35,23.45,234.03,521.27,41.08,2.43
04017000048,04,017,000048,2.21,25.67,0.77,1.94,1.02,1.8,29.22,1.02,0.08
04017000049,04,017,000049,337.09,158.02,26.41,9.85,28.2,324.33,163.62,49.91,4.7
04017000050,04,017,000050,21.73,183.43,5.12,4.51,6.76,25,198.6,4.1,0
04017000051,04,017,000051,46.26,346.4,21.23,14.7,16.64,61.11,379.67,12.13,0.62
04017000052,04,017,000052,288.68,76.31,13.52,3.92,6.54,251.18,85.47,35.32,3.05
04017000053,04,017,000053,694.27,692.92,44.62,20.58,26.54,666.19,698.5,79.81,12.5
04017000054,04,017,000054,1292.32,145.15,47.45,14.6,58.4,1072.77,220.11,166.21,22.46
04017000055,04,017,000055,593.15,66.62,21.78,6.7,26.8,492.38,101.03,76.29,10.31
04017000056,04,017,000056,1256.83,1251.49,80.7,37.19,47.97,1205.64,1261.57,144.62,22.59
04017000057,04,017,000057,35.84,298.41,8.38,7.36,11.02,41.21,322.96,6.77,0.01
04017000058,04,017,000058,25.52,61.42,3.32,2.55,2.8,27.91,62.17,4.9,0.29
04017000059,04,017,000059,36.94,276.57,16.95,11.73,13.29,48.8,303.15,9.68,0.5
04017000060,04,017,000060,821.29,190.86,29.88,17.35,11.57,636.21,225.57,147.49,11.57
04017000061,04,017,000061,210,98.27,16.43,6.13,17.55,201.99,101.78,31.09,2.93
04019000001,04,019,000001,462,467,32,19,23,461,454,66,13
04019000002,04,019,000002,58.88,52.97,6.02,4.08,0.05,50.03,55.77,8.09,1.99
04019000003,04,019,000003,10.09,170.34,3.42,5.13,5.1,29.51,156.04,6.02,0.27
04019000004,04,019,000004,59,597,17,23,8,158,506,37,0
04019000005,04,019,000005,1789.52,722.22,130.02,52.01,43.01,1558.47,786.21,263.09,38.01
04019000006,04,019,000006,1022.8,628.03,99.08,22.71,45.41,1040.35,604.81,94.44,19.09
04019000007,04,019,000007,42.24,34.38,6.88,1.96,0,46.17,27.5,10.8,1.96
04019000008,04,019,000008,175,195,14,15,2,156,199,36,4
04019000009,04,019,000009,827,1099,68,29,52,946,981,103,6
04019000010,04,019,000010,807.31,732.94,35.23,4.89,22.51,786.76,681.08,77.31,18.59
04019000011,04,019,000011,1579.07,573.06,98.01,21,46,1435.08,629.05,151.01,29
04019000012,04,019,000012,1833,1688,115,28,57,1965,1538,100,26
04019000013,04,019,000013,963.97,996.61,92.17,34.56,42.25,1050.38,920.76,103.69,13.44
04019000014,04,019,000014,1315,1155,130,19,67,1450,1046,109,19
04019000015,04,019,000015,398.8,310.1,31.43,9.08,19.56,407.88,285.66,50.29,3.49
04019000016,04,019,000016,786,1757,94,33,30,948,1599,84,14
04019000017,04,019,000017,232,1002,42,37,13,333,889,69,2
04019000018,04,019,000018,199,1283,41,42,18,341,1143,69,2
04019000019,04,019,000019,181,136,25,7,5,189,129,29,2
04019000020,04,019,000020,310.5,1447.72,49.94,43.88,19.82,498.26,1223.11,87.05,6.29
04019000021,04,019,000021,1013,1199.01,72,31,27,1007,1154.01,117,16
04019000022,04,019,000022,579.56,1552.32,64.25,29.27,27.23,737.84,1332.74,134.29,9.72
04019000023,04,019,000023,553,1553,61,33,32,726,1356,110,13
04019000024,04,019,000024,843,624,54,17,44,803,599,131,7
04019000025,04,019,000025,176.94,1339.96,31.81,24.85,7.95,349.9,1142.15,57.65,1.99
04019000026,04,019,000026,236,1382,26,29,19,413,1189,54,3
04019000027,04,019,000027,5.55,3.57,0.29,0.11,0.17,4.93,3.7,0.62,0.1
04019000028,04,019,000028,148,802,18,18,8,232,696,47,2
04019000029,04,019,000029,1339.03,1261.39,111.83,31.44,44.75,1481.62,1134.24,95.31,12.56
04019000030,04,019,000030,943,1387,96,41,53,1126,1245,82,10
04019000031,04,019,000031,609.7,577.21,45.87,13.38,20.07,616.39,530.38,86.96,9.56
04019000032,04,019,000032,1393,1618,133,61,42,1417,1503,224,17
04019000033,04,019,000033,491,1051,52,14,24,631,889,55,9
04019000034,04,019,000034,398.3,532.79,45.13,17.62,8.93,408.61,477.62,78.04,6.44
04019000035,04,019,000035,240,241,19,5,2,253,228,15,4
04019000036,04,019,000036,796,1432,96,51,47,933,1260,151,19
04019000037,04,019,000037,128.97,607.19,23.2,25.18,9.07,189.43,523.51,51.37,2.05
04019000038,04,019,000038,464,884,67,42,35,526,846,91,9
04019000039,04,019,000039,1469,1095,90,21,43,1517,994,126,21
04019000040,04,019,000040,1107,832,102,25,58,1164,773,128,17
04019000041,04,019,000041,1075,2007,127,53,48,1282,1761,166,22
04019000042,04,019,000042,385,1775,105,79,30,542,1628,119,15
04019000043,04,019,000043,142.03,614.81,28.8,26.82,9.93,209.57,515.49,53.63,6.95
04019000044,04,019,000044,204,1092,50,63,13,291,997,85,3
04019000045,04,019,000045,116,1049,26,40,20,165,1012,47,4
04019000046,04,019,000046,461,311,29,7,18,465,283,41,10
04019000047,04,019,000047,218.57,1393.55,32.65,31.65,21.76,418.35,1129.5,79.12,4.95
04019000048,04,019,000048,375,954,44,23,19,498,788,84,6
04019000049,04,019,000049,612,429,61,16,21,652,407,56,7
04019000050,04,019,000050,197,1140,29,15,9,313,981,46,8
04019000051,04,019,000051,146,863,28,7,11,284,700,36,2
04019000052,04,019,000052,179,1006,26,18,22,321,860,41,4
04019000053,04,019,000053,529,2196,77,44,49,853,1814,127,6
04019000054,04,019,000054,965.41,1940.74,129.85,47.58,42.62,1148.78,1703.85,166.52,24.78
04019000055,04,019,000055,326,600,42,24,24,401,534,36,9
04019000056,04,019,000056,627,1319,59,26,27,818,1142,56,6
04019000057,04,019,000057,592,1661,90,65,51,753,1514,122,10
04019000058,04,019,000058,416,1403,92,60,38,508,1294,137,9
04019000059,04,019,000059,263,913,27,10,19,390,754,48,7
04019000060,04,019,000060,525.12,469.83,43.61,16.88,14.9,476.72,430.1,107.03,27.74
04019000061,04,019,000061,617.49,922.86,52.98,8.67,32.75,756.2,803.41,29.86,2.89
04019000062,04,019,000062,193,896,47,43,28,304,788,72,2
04019000063,04,019,000063,203,888,42,14,11,268,829,37,1
04019000064,04,019,000064,138.95,1063.63,49.98,27.99,20.99,287.9,921.68,56.98,4
04019000065,04,019,000065,10.85,8.88,0,0,0,10.85,8.88,0,0
04019000066,04,019,000066,222,1218,50,29,14,372,1057,63,5
04019000067,04,019,000067,450,1117,78,50,33,537,1023,112,5
04019000068,04,019,000068,416,1320,74,43,36,569,1200,88,5
04019000069,04,019,000069,1372,1785,132,51,52,1514,1627,164,23
04019000070,04,019,000070,911.03,620.48,68.94,33.49,23.64,811.55,680.56,120.16,11.82
04019000071,04,019,000071,8.96,113.55,3.98,1,1,21.91,99.6,3.98,0
04019000072,04,019,000072,610,1637,100,69,58,742,1496,177,11
04019000073,04,019,000073,353,1691,71,50,30,513,1563,79,6
04019000074,04,019,000074,826.14,808.95,41.88,15.22,9.66,853.3,746.24,64.98,7.07
04019000075,04,019,000075,445,1513,69,81,23,576,1368,138,3
04019000076,04,019,000076,15.04,222.45,2.02,6,6,51.09,185.4,12.02,2
04019000077,04,019,000077,1076,865,87,17,49,1221,757,67,13
04019000078,04,019,000078,207,1141,27,15,25,311,1028,45,3
04019000079,04,019,000079,1292,943,129,23,57,1390,846,117,18
04019000080,04,019,000080,320,1195,47,45,25,424,1103,67,5
04019000081,04,019,000081,460,350,34,11,14,429,352,51,3
04019000082,04,019,000082,306,1255,53,39,19,401,1162,82,6
04019000083,04,019,000083,795,435,49,12,35,759,433,77,16
04019000084,04,019,000084,1961,1332,118,29,85,2030,1258,129,17
04019000085,04,019,000085,403,670,56,19,20,492,586,67,4
04019000086,04,019,000086,585,1852,73,61,41,794,1642,115,12
04019000087,04,019,000087,116,318,14,9,11,148,290,8,4
04019000088,04,019,000088,928,1238,65,18,38,1102,1073,60,11
04019000089,04,019,000089,628,1438,87,44,51,806,1272,100,9
04019000090,04,019,000090,656,434,75,12,41,743,400,44,11
04019000091,04,019,000091,560,1298,81,78,49,637,1207,134,16
04019000092,04,019,000092,943,1444,117,25,37,1116,1308,85,12
04019000093,04,019,000093,368,1103,45,29,35,467,1000,81,11
04019000094,04,019,000094,403,1268,59,33,35,519,1159,76,6
04019000095,04,019,000095,569,400,60,19,27,632,351,58,6
04019000096,04,019,000096,481,1277,74,42,31,614,1158,88,9
04019000097,04,019,000097,329,984,52,28,18,449,875,61,8
04019000098,04,019,000098,508,1285,88,54,37,620,1173,125,3
04019000099,04,019,000099,496.51,1278.14,61.02,14.33,26.25,648.8,1142.59,56.14,6.11
04019000100,04,019,000100,603,1112,88,46,43,673,1056,110,11
04019000101,04,019,000101,639.62,619.79,41.2,22.1,21.07,598.34,629.96,88.35,12.03
04019000102,04,019,000102,467,1074,67,32,25,572,951,90,7
04019000103,04,019,000103,273,644,12,16,14,337,581,30,4
04019000104,04,019,000104,1468,1252,117,29,76,1600,1150,105,11
04019000105,04,019,000105,414,634.34,54.34,25.69,15.81,483.16,557.27,64.22,9.88
04019000106,04,019,000106,567.79,591.7,44.83,6.97,25.9,718.21,474.16,23.91,5.98
04019000107,04,019,000107,784.21,1360.3,79.17,55.03,41.1,851.79,1283.84,105.09,9.02
04019000108,04,019,000108,940,1842,100,60,62,1085,1685,157,11
04019000109,04,019,000109,1861,1237,159,28,75,1988,1099,150,27
04019000110,04,019,000110,69,829,15,24,16,192,674,44,6
04019000111,04,019,000111,587,956,58,33,21,679,867,80,10
04019000112,04,019,000112,1011,1256,79,17,35,1212,1050,66,15
04019000113,04,019,000113,719,1074,100,32,43,782,969,137,6
04019000114,04,019,000114,209.4,170.73,43.67,10.59,11.5,252.38,154.43,22.91,2.29
04019000115,04,019,000115,1536.18,1260.62,107.19,24.88,75.7,1622.4,1177.84,115.69,15.65
04019000116,04,019,000116,1264,1438,99,54,66,1385,1267,149,23
04019000117,04,019,000117,674,1043,76,31,38,780,915,111,8
04019000118,04,019,000118,873,1309,82,31,50,1047,1170,77,15
04019000119,04,019,000119,587,835,89,34,32,672,765,95,4
04019000120,04,019,000120,851,1123,81,45,53,957,1025,116,8
04019000121,04,019,000121,651,712,53,22,25,724,639,61,9
04019000122,04,019,000122,660,764,68,22,25,710,689,89,18
04019000123,04,019,000123,1200,1487,160,48,47,1324,1365,172,16
04019000124,04,019,000124,518,524,46,15,29,592,453,54,12
04019000125,04,019,000125,680.91,768.23,46.11,10.79,35.32,825.13,653.43,36.3,2.94
04019000126,04,019,000126,620.14,525.39,42.09,20.02,39.05,726.33,447.21,37.07,4.03
04019000127,04,019,000127,2747.97,1772.38,155.23,22.6,94.32,2836.39,1636.79,185.69,35.37
04019000128,04,019,000128,753,850,74,31,40,866,772,69,7
04019000129,04,019,000129,644,792,55,27,28,687,727,93,15
04019000130,04,019,000130,1191,1126,93,26,34,1242,1036,119,15
04019000131,04,019,000131,812,734,46,14,38,936,627,60,10
04019000132,04,019,000132,1024,1082,96,27,37,1113,969,120,16
04019000133,04,019,000133,1098,1124,120,45,57,1169,1045,161,12
04019000134,04,019,000134,757,694,80,18,47,821,648,74,9
04019000135,04,019,000135,13,152,3,1,0,24,138,3,1
04019000136,04,019,000136,7.87,85.63,1.97,1.97,0,19.68,80.71,0,0
04019000137,04,019,000137,3.29,93.43,2.01,3.96,1.95,8.33,85.54,4.92,0.01
04019000138,04,019,000138,10.92,315.8,2.98,5.96,0.99,50.65,277.07,7.94,0
04019000139,04,019,000139,110.66,203.03,11.89,1.83,2.74,125.29,171.94,20.12,0.91
04019000140,04,019,000140,258.67,212.62,17.64,3.92,11.76,269.45,194.98,21.56,5.88
