GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20USSDKEL,G20USSRMCS
04013000703,04,013,000703,969,1503,43,1016,1472
04013000704,04,013,000704,2663.5,5824.9,126,2822.3,5694
04013000705,04,013,000705,1949.9,1340.4,46.3,1944.1,1375.2
04013000706,04,013,000706,1381.7,1674.7,48.8,1418.8,1665.9
04013000707,04,013,000707,2572.1,1195.2,46.2,2673.1,1113.5
04013000708,04,013,000708,1669.3,1257.2,58.3,1720.6,1235.1
04013000709,04,013,000709,233.7,603.9,10.1,249.8,590.8
04013000710,04,013,000710,863,329,24,896,313
04013000711,04,013,000711,840,665,21,844,662
04013000712,04,013,000712,1530,685,38,1567,661
04013000713,04,013,000713,2586.3,3343.2,100.1,2694,3242.9
04013000714,04,013,000714,2873.4,5021.8,89.9,2935.7,4977.4
04013000715,04,013,000715,1106.4,1699.7,46,1146.9,1694.2
04013000716,04,013,000716,1199,2051,41,1262,2014
04013000717,04,013,000717,1817.1,1034,56.6,1852.2,1032.9
04013000718,04,013,000718,1251,1213,51,1356,1135
04013000719,04,013,000719,1467.8,492.6,40.8,1526.5,448.8
04013000720,04,013,000720,2986.4,661,67.5,3027.1,655
04013000721,04,013,000721,985.2,1213.9,49.5,998.1,1227.8
04013000722,04,013,000722,2774.1,3010.3,45,2742.1,3076.3
04013000723,04,013,000723,321,535.1,14.8,344.8,522.6
04013000724,04,013,000724,1748.6,2421.1,57.8,1779.7,2420.9
04013000725,04,013,000725,1172.2,177.1,23.9,1174.2,194
04013000726,04,013,000726,149,127.2,6.5,143.4,137.7
04013000727,04,013,000727,1962.7,2014.6,66.7,2050.3,1939
04013000728,04,013,000728,1095.6,3212.1,48.6,1152.2,3150.6
04013000729,04,013,000729,779.6,898.4,27.2,821.5,856.5
04013000730,04,013,000730,3506,3925.7,83.5,3574.8,3859.9
04013000731,04,013,000731,1383.4,1476.7,47.5,1411.8,1448.3
04013000732,04,013,000732,667.8,828.1,24.9,710.6,791.2
04013000733,04,013,000733,1753,1223,35,1722,1291
04013000734,04,013,000734,1819,1384,60,1861,1360
04013000735,04,013,000735,1073.5,1689.7,46.8,1107.9,1674.2
04013000736,04,013,000736,974.5,916.5,29,1006.4,892.5
04013000737,04,013,000737,1467.7,2145.6,49.3,1509.6,2097.8
04013000738,04,013,000738,2611,595,44,2599,639
04013000739,04,013,000739,3469.4,2422,88.3,3506.1,2408.2
04013000740,04,013,000740,588.4,1907.4,23.3,645.6,1839.4
04013000741,04,013,000741,1255.6,2405,14.2,1244.3,2426.3
04013000742,04,013,000742,1144,1140,41,1191,1099
04013000743,04,013,000743,1873.8,1210.9,96.4,1933,1204.1
04013000744,04,013,000744,1997.8,670.5,61.5,2008.6,688.8
04013000745,04,013,000745,1202.5,1324.4,43.8,1259,1254.3
04013000746,04,013,000746,1219,870,33,1227,871
04013000747,04,013,000747,1039,739,34,1054,742
04013000748,04,013,000748,1671.7,3727,54.1,1745.8,3645.1
04015000201,04,015,000201,26.8,164.8,2,31.8,160.9
04015000202,04,015,000202,61.1,152.7,6.2,62.5,154.2
04015000203,04,015,000203,115.9,442.5,7,135.8,420.5
04015000204,04,015,000204,84.3,397.5,1.9,97.9,383.9
04015000205,04,015,000205,58.6,1518.7,16.6,90.9,1480.5
04015000206,04,015,000206,44,147.4,2,53.2,136.6
04015000207,04,015,000207,403.4,1462,17.4,446.3,1401.3
04015000208,04,015,000208,197.7,625.6,8.1,209.9,619.2
04015000209,04,015,000209,227.9,633.4,12.8,256.5,597.9
04015000210,04,015,000210,1205.4,4260.3,61.1,1332.6,4084.2
04015000211,04,015,000211,5258,12805.4,223.8,5748.7,12173.7
04015000212,04,015,000212,2764.6,8429,118.3,3027,8068.1
04015000213,04,015,000213,339.9,1324.1,25,374.3,1279.5
04015000214,04,015,000214,17.6,108.9,1,22.6,103.8
04015000215,04,015,000215,1247.3,3157.9,93.5,1391,3011.3
04015000216,04,015,000216,1329.9,4038.2,96.6,1486,3817.1
04015000217,04,015,000217,1814.5,5478.6,98.3,1972.6,5304.5
04015000218,04,015,000218,1844.8,6370.3,146.7,2118.4,6102.5
04015000219,04,015,000219,1731,7035.4,79,1912.1,6799.3
04015000220,04,015,000220,5146.7,18001.9,255.7,5696,17356.7
04015000221,04,015,000221,385.6,1040.4,13.3,416.1,994.9
04015000222,04,015,000222,240.7,828.6,10.6,264.9,782.2
04015000223,04,015,000223,41.3,51.1,1,40.3,52.1
04015000224,04,015,000224,238,40.9,3.8,220.1,55
04017000001,04,017,000001,211.7,76.8,5.7,215.5,77
04017000002,04,017,000002,230.2,37,4.1,233.8,38.4
04017000003,04,017,000003,213,1517.4,24.8,242.9,1489
04017000004,04,017,000004,920.3,147.8,16.4,934.8,153.5
04017000005,04,017,000005,488.9,513.1,14,508.3,499.9
04017000006,04,017,000006,74.1,443.8,5.7,84,433.9
04017000007,04,017,000007,736.7,267.3,19.8,749.9,267.9
04017000008,04,017,000008,568.6,91.3,10.2,577.6,94.8
04017000009,04,017,000009,329.3,649,18.2,363.5,620.9
04017000010,04,017,000010,136.2,38.2,1.9,141.8,33.8
04017000011,04,017,000011,720.4,115.7,12.9,731.7,120.1
04017000012,04,017,000012,140.8,482.5,9.5,156.9,464.7
04017000013,04,017,000013,599.8,629.5,17.1,623.6,613.2
04017000014,04,017,000014,67.4,480.5,7.9,76.9,471.5
04017000015,04,017,000015,92.6,659.8,10.8,105.6,647.4
04017000016,04,017,000016,431,452.4,12.3,448.1,440.7
04017000017,04,017,000017,188,52.8,2.6,195.7,46.7
04017000018,04,017,000018,61.5,136.2,4.1,78.5,121.2
04017000019,04,017,000019,279,78.4,3.8,290.6,69.3
04017000020,04,017,000020,349,52.4,6.4,371.9,50.5
04017000021,04,017,000021,514.8,540.3,14.7,535.2,526.4
04017000022,04,017,000022,468.5,97.7,5.6,490.4,84.2
04017000023,04,017,000023,258.8,93.9,7,263.4,94.1
04017000024,04,017,000024,368.9,59.2,6.6,374.6,61.5
04017000025,04,017,000025,123.2,878.4,14.4,140.5,862
04017000026,04,017,000026,18.4,5.2,0.2,19.2,4.6
04017000027,04,017,000027,93.1,26.2,1.3,97,23.1
04017000028,04,017,000028,35.2,210.9,2.7,39.9,206.2
04017000029,04,017,000029,346.5,125.8,9.3,352.7,126
04017000030,04,017,000030,210.6,76.4,5.7,214.3,76.6
04017000031,04,017,000031,37.3,205.2,2.7,41.9,200.6
04017000032,04,017,000032,1538.1,247,27.4,1562.2,256.5
04017000033,04,017,000033,277.6,100.7,7.5,282.5,101
04017000034,04,017,000034,1030.9,165.6,18.4,1047,171.9
04017000035,04,017,000035,220.4,739,11.1,239.5,716.3
04017000036,04,017,000036,483.6,1621.7,24.4,525.6,1572
04017000037,04,017,000037,626,2099,31.5,680.3,2034.6
04017000038,04,017,000038,161.2,540.6,8.1,175.2,524
04017000039,04,017,000039,18.9,67.1,1.1,21,64.5
04017000040,04,017,000040,656,2245.4,19,705.7,2182.5
04017000041,04,017,000041,260,511.3,14.3,287,489.1
04017000042,04,017,000042,428.3,1433.2,21.5,465.4,1389.3
04017000043,04,017,000043,1095,397.4,29.4,1114.5,398.3
04017000044,04,017,000044,83.9,23.6,1.1,87.4,20.9
04017000045,04,017,000045,209.8,33.7,3.7,213.1,35
04017000046,04,017,000046,1000.1,363,26.9,1017.9,363.7
04017000047,04,017,000047,818.2,296.9,22,832.8,297.6
04017000048,04,017,000048,32.2,4.8,0.6,34.3,4.7
04017000049,04,017,000049,206.8,407.6,11.4,228.3,389.9
04017000050,04,017,000050,206.6,43,2.5,216.2,37.1
04017000051,04,017,000051,505.4,81.2,9,513.3,84.3
04017000052,04,017,000052,110.3,378.1,7.4,123,364.1
04017000053,04,017,000053,881.8,925.4,25.2,916.8,901.6
