GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSRMCS,G18USSDSIN,G18USSGGRE,G18USSOWRI,G18GOVRDUC,G18GOVDGAR,G18GOVGTOR,G18GOVOWRI,G18SOSRGAY,G18SOSDHOB,G18SOSOWRI,G18ATGRBRN,G18ATGDCON,G18ATGOWRI,G18TRERYEE,G18TREDMAN,G18TREOWRI,G18SPIRRIG,G18SPIDHOF,G18SPIOWRI,G18MNIRHAR,G18MNIDPIE,G18MNIOWRI
04001000090,04,001,000090,54.78,665.31,34.86,1.99,88.64,625.47,40.83,0,52.79,695.19,2.99,76.69,667.3,1.99,95.61,655.35,1,56.77,692.2,1,68.72,678.26,1
04001000095,04,001,000095,55,244,13,1,65,238,13,0,50,260,2,63,245,1,68,239,1,46,260,1,55,250,0
04001000100,04,001,000100,17.24,60.79,4.12,0.03,24.89,53.25,2.29,0,17.64,63.62,0.01,15.94,65.23,0,20.79,61.33,0,13.52,65.62,0.01,16.39,63.44,0.06
04001000105,04,001,000105,65.95,619.52,23.98,0,75.94,597.54,30.98,1,56.96,650.5,0,65.95,634.51,1,78.94,618.52,0,61.95,644.5,0,66.95,638.51,0
04001000110,04,001,000110,7,57,5,0,9,53,4,1,4,61,2,9,56,1,12,53,1,10,55,1,9,56,1
04001000115,04,001,000115,58.81,402.82,13.25,1,74.94,379.66,11.28,4.01,43.68,431.17,2.01,55.88,410.97,1.01,54.98,410.84,1.02,35.74,435.14,2,42.78,427.08,1.02
04001000120,04,001,000120,175.7,77.43,5.96,0,203.5,49.63,5.96,0,191.58,66.51,0,194.56,63.53,0,198.53,57.57,0,189.6,65.52,0,194.56,60.55,0
04001000125,04,001,000125,32.37,216.22,5.12,0.01,52.46,189.13,9.13,0.01,30.4,218.31,1.01,37.43,206.27,1.01,41.45,205.25,0.01,28.39,218.33,1,40.41,206.29,0.01
04001000130,04,001,000130,201.95,480.88,50.99,4,281.93,431.89,26.99,0,212.95,524.87,1,214.95,511.87,5,219.94,510.87,2,205.95,529.87,2,213.95,517.87,1
04001000135,04,001,000135,19,75,5,1,20,75,2,1,18,83,0,21,78,0,16,84,0,17,84,0,17,81,0
04001000140,04,001,000140,74.03,234.93,17.77,0.99,70.08,228.02,23.69,0,72.06,249.73,0,84.89,230.98,0,94.76,224.07,0,68.11,247.76,0.99,80.94,234.93,0
04001000145,04,001,000145,66.67,542.47,15.1,0,85.56,516.57,24.15,0,57.67,566.58,0,75.76,544.47,0.03,75.67,546.57,1.99,71.61,550.61,0.02,69.7,550.5,1
04001000150,04,001,000150,50,322,14,1,50,313,19,0,47,337,0,48,334,0,55,327,0,42,340,0,53,329,0
04001000155,04,001,000155,43.39,394.11,11.18,1.01,49.58,380.88,18.23,0,37.36,409.29,1.01,47.51,399.12,1.01,49.58,399.08,1.01,32.42,415.24,0,48.46,399.18,1.01
04001000160,04,001,000160,397.92,88.29,13.01,1,437.01,52.2,12.99,1,396.03,92.24,1,409.03,73.24,1,401.98,75.28,0.01,385.98,93.26,0.01,400.95,77.31,1
04001000165,04,001,000165,608,213,25,6,660,159,23,2,610,225,3,629,197,4,620,204,0,587,231,1,583,228,3
04001000170,04,001,000170,265.63,1519.78,85.88,6.99,359.54,1431.87,87.87,1.99,280.6,1592.69,7.99,318.57,1538.73,6.99,346.55,1518.75,5.99,275.61,1581.67,7,280.59,1589.71,2.99
04001000175,04,001,000175,36.95,335.53,18.97,0,53.92,321.55,16.98,0,40.94,348.51,0,50.93,338.53,0,48.93,338.53,0,42.94,346.51,1,45.94,344.52,0
04001000180,04,001,000180,446.79,184.49,16.95,1.99,516.6,120.67,12.96,1,467.73,179.51,1,487.68,151.58,2.99,461.75,171.53,2.99,440.81,186.49,3.99,455.77,176.52,1
04001000185,04,001,000185,45,539,22,0,80,503,20,1,44,556,0,53,550,1,51,547,0,48,555,0,45,556,0
04001000190,04,001,000190,52.27,239.68,8.89,0,48.33,241.65,12.82,0,50.3,250.53,0,59.17,239.67,1.97,53.28,246.56,0,49.33,249.53,0.99,54.24,242.65,0
04001000195,04,001,000195,33.07,207.49,8.02,0,49.12,183.44,14.02,0,30.06,214.51,0,34.08,207.49,0,38.08,203.48,0,28.06,213.51,0,33.07,205.5,1
04001000200,04,001,000200,52.86,263.51,15.2,0.01,53.8,266.41,11.29,0,55.82,273.68,0,59.98,259.46,1,65.1,261.37,1,59.76,269.66,1.01,56.94,272.49,1
04001000205,04,001,000205,765.32,224.23,32.03,2,867.42,135.13,19.05,1,801.27,215.26,0.01,818.32,188.19,1,802.3,191.19,2,778.24,219.26,1,785.32,209.18,2
04001000210,04,001,000210,54.97,654.46,37.9,1,65.96,656.41,28.95,1,60.92,692.39,1.99,62.96,679.39,2,79.91,670.4,1,65.91,682.42,1,70.9,676.43,2.99
04001000215,04,001,000215,35.77,317.84,17.88,1.98,73.51,275.15,17.88,1.98,39.75,331.75,0,45.71,320.82,2.98,43.73,322.81,0.99,37.75,330.77,1.99,36.77,331.74,0.99
04003000001,04,003,000001,604.71,304.38,27.82,1.82,669.15,236.92,37.05,0.86,590.68,334.2,1.72,607.53,316.11,0.1,625.53,286.47,1.77,573.55,343.68,0.96,609.92,302.56,1.77
04003000002,04,003,000002,799.79,325.38,36.7,1.81,892.67,240.46,32.27,0.01,811.12,335.49,0.02,820.06,319.38,1.79,834.64,296.72,0.9,796.83,335.42,1.79,816.59,307.6,0.91
04003000003,04,003,000003,828.08,448.93,46.93,3.28,941.04,342.27,34.42,5.16,817.19,478.47,6.3,817.44,482.81,2.04,856.55,432.57,0.28,806.61,481.55,3.15,844.35,440.74,2.3
04003000004,04,003,000004,165.68,750.57,20.96,1,193.63,717.63,24.95,0,158.7,771.53,1,167.68,765.54,0,184.65,739.59,0,150.71,775.52,1,173.67,741.59,0
04003000005,04,003,000005,355.01,498.02,27,0,416.01,435.02,30,0,329.01,533.02,2,331.01,527.02,1,353.01,493.02,1,312.01,536.02,1,338.01,509.02,1
04003000006,04,003,000006,303.31,634.41,33.04,2,368.36,562.35,40.05,0,284.29,672.45,2,295.31,660.44,2,321.34,632.39,0,290.28,661.46,4,309.32,642.39,1
04003000007,04,003,000007,103.54,54.15,7.85,0.98,120.26,40.36,5.9,0,106.47,59.06,0,111.36,51.23,0,113.33,48.26,0.98,108.42,56.12,0.98,114.31,50.23,0
04003000008,04,003,000008,808.63,327.98,38.25,2.02,887.17,253.45,31.28,2.01,793.39,362.45,0.02,796.54,354.22,0.03,826.66,315.08,1.01,799.34,345.36,1.02,792.64,351.07,0.03
04003000009,04,003,000009,119,534,21,2,177,479,16,2,107,565,1,120,547,2,128,535,2,106,563,1,117,551,0
04003000010,04,003,000010,296,710,35,1,366,650,22,1,264,764,2,273,753,1,300,726,1,254,775,2,288,737,1
04003000011,04,003,000011,110.94,647.92,32.03,1,147.18,611.63,26.11,1.01,97.92,685.97,1.02,104.73,677.12,1.01,110,666.88,0.01,95.76,676.12,3,112.03,662.86,1.99
04003000012,04,003,000012,94.71,434.16,15.94,0,132.22,391.02,18.75,0,83.46,453.85,0.94,88.14,447.29,0.94,104.09,425.72,0.94,88.14,445.41,0,106.9,424.78,0
04003000013,04,003,000013,242.33,447.39,23.13,0.01,292.43,398.22,18.15,0.02,213.11,488.7,1.01,224.26,473.48,0.02,242.32,450.43,1,212.15,483.63,0,225.27,462.42,2.01
04003000014,04,003,000014,832.3,328.72,38.96,2,923.21,233.81,39.96,5,837.29,344.71,2,845.28,332.72,4,872.26,297.75,4,823.3,353.7,2,838.29,325.72,4
04003000015,04,003,000015,923,416,16,3,993,337,20,3,911,431,1,912,422,2,945,386,2,888,448,3,928,401,1
04003000016,04,003,000016,339.87,231.67,28.32,2.06,401.85,173.26,24.57,0.09,345.82,242.89,2.03,361.51,225.86,2.03,374.62,207.69,1.09,328.84,257.33,0.03,359.02,220.01,0.11
04003000017,04,003,000017,431.2,183.66,10.98,2.99,452.17,154.71,14.97,0,404.25,205.62,3.99,423.22,190.65,0,438.19,169.69,0,411.24,194.64,1,428.21,180.67,0
04003000018,04,003,000018,93.38,208.62,13.91,0,114.24,190.74,10.93,0,79.47,231.47,0.99,85.44,226.5,0,89.41,220.54,0,78.48,230.48,0,90.4,218.56,0
04003000019,04,003,000019,563.62,256.38,20.09,2,614.76,196.26,30.07,1,565.53,267.53,2.01,569.56,256.5,3,586.59,243.46,1,552.52,274.52,1,581.6,246.44,1
04003000020,04,003,000020,212.35,411.93,14.03,0,247.61,372.34,19.14,0.99,205.62,430.18,2.04,191.13,440.59,1.05,217.91,414.4,1.05,191.1,439.47,1,221.07,411.36,0.01
04003000021,04,003,000021,506.62,226.51,13.24,3,537.13,192.03,13.29,1,487.53,247.82,0.02,489.68,245.61,0.01,503.79,225.47,1.01,484.45,251.77,0.02,494.73,233.53,1.02
04003000022,04,003,000022,112.24,92.65,2.67,0,120.26,83.74,4.45,0,107.79,98.88,0,109.57,96.21,0.89,113.14,92.65,0,105.12,97.99,0.89,101.55,97.99,0
04003000023,04,003,000023,118,28,5,0,125,23,3,0,117,31,0,121,27,0,118,28,0,116,33,0,119,26,0
04003000024,04,003,000024,1008.15,313.39,22.66,0.11,1079.92,234.34,24.33,0.97,984.55,345.11,0.97,1006.47,314.97,1.08,1018.06,292.21,0.06,986.59,331.51,0.11,1024.73,281.21,1.03
04003000025,04,003,000025,207.2,98.8,10.55,0.96,221.59,82.5,10.55,0,208.16,102.64,0,213.91,97.84,0.96,213.91,95.93,0.96,211.04,102.64,0,210.08,99.76,0.96
04003000026,04,003,000026,815.42,479.54,26.21,0.97,898.9,401.88,20.39,1.94,789.21,522.26,0.97,826.1,477.6,0.97,859.1,433.92,1.94,775.62,520.31,0,821.24,464.01,0.97
04003000027,04,003,000027,1153.06,636.78,37.23,6.86,1240.25,541.75,40.17,3.92,1126.61,676.95,1.96,1146.2,651.47,0.98,1203.02,579.96,0,1077.63,709.27,0,1122.69,649.52,0
04003000028,04,003,000028,510.19,377.01,26.44,2.94,568.95,302.59,37.21,1.96,499.42,405.41,2.94,513.13,379.95,2.94,541.53,352.53,0.98,492.57,403.45,1.96,527.82,361.35,2.94
04003000029,04,003,000029,389,270,27,0,436,225,18,2,384,296,0,392,280,2,408,259,2,358,313,0,390,273,0
04003000030,04,003,000030,301,212,24,0,337,173,23,0,291,234,0,303,222,0,325,194,1,294,226,0,310,205,1
04003000031,04,003,000031,656.46,396.1,37.97,3.09,727.1,340.22,28.06,1.06,644.91,433.18,5.09,663.1,411.75,2.07,708.24,368.44,1.09,643.46,436.2,1.04,682.31,387.1,3.08
04003000032,04,003,000032,1176.09,520.5,22.85,5.96,1284.37,406.27,28.81,2.98,1153.25,547.32,2.98,1166.16,523.48,2.98,1197.95,471.83,1.99,1119.47,559.24,0.99,1180.07,487.72,1.99
04003000033,04,003,000033,737.58,396.46,29.79,4.03,817.1,318.12,27.61,1.06,723.79,427.74,1.03,746.9,397.4,1.03,764.9,375.08,0.06,698.38,447.69,0,738.76,393.99,1.03
04003000034,04,003,000034,564.98,377.6,35.33,3.14,640.21,301.01,35.44,2.14,545.76,412.22,1.04,556.27,410.68,1.04,622.63,335.99,1.04,538.76,417.79,1.07,581.55,369.67,0.07
04003000035,04,003,000035,884.21,323.36,32.94,2.99,946.11,259.46,25.97,3,872.24,350.31,3.99,882.22,337.33,2.99,911.16,307.38,0.01,864.25,345.33,3.99,908.13,306.42,0.01
04003000036,04,003,000036,510,340,22,0,565,281,21,0,489,367,0,507,349,2,533,311,1,476,368,0,504,334,4
04003000037,04,003,000037,753.87,297.95,22,6,791.87,246.96,29,2,730.88,332.94,2,750.87,309.95,3,764.87,285.95,0,711.88,337.94,2,748.87,290.95,1
04003000038,04,003,000038,422,283,21,0,466,232,25,0,404,312,3,428,289,0,439,276,1,392,327,1,428,280,5
04003000039,04,003,000039,721.46,581.96,43.21,2.24,809.62,485.21,44.66,2.26,714.6,602.46,9.81,729.24,589.53,2.33,782.98,531.21,2.03,690.36,623.01,7.26,715.32,597.45,2.43
04003000040,04,003,000040,829.49,333.21,21.16,0,863.87,290.89,22.04,0.88,785.41,377.28,5.29,799.52,357.01,1.76,850.64,297.06,0,756.32,391.38,1.76,800.4,339.38,2.64
04003000041,04,003,000041,993.02,499.4,35.67,3.86,1052.79,429.99,38.56,3.86,960.24,542.78,0.96,973.73,528.32,0.96,1010.37,483.01,0.96,933.24,558.21,1.93,981.45,501.33,1.93
04003000042,04,003,000042,562,356,32,8,639,281,31,3,554,384,4,580,352,3,594,336,1,551,376,3,578,345,2
04003000043,04,003,000043,1184,464,21,1,1248,400,19,2,1144,507,1,1159,483,3,1209,419,3,1100,528,2,1156,459,2
04003000044,04,003,000044,785.8,283.54,34.89,2.99,860.4,210.84,36.86,1.02,755.98,343.15,2,772.81,316.36,2.99,791.97,293.21,1.01,750.93,330.27,2.98,783.83,298.3,2.98
04003000045,04,003,000045,270.92,112.98,11.33,0.04,277.45,100.43,13.31,1.98,253.13,140.87,0,265.25,120.86,2.02,268.22,119.79,0.04,256.22,135.92,0,265.09,115.99,1.03
04003000046,04,003,000046,960.9,336.4,36.97,3.78,1018.87,268.12,41.64,2.83,932.68,386.43,2.85,937.52,369.34,2.84,985.69,314.54,3.78,917.49,381.83,0.94,951.65,336.31,3.77
04003000047,04,003,000047,617.8,239.02,14.16,1.02,674.11,174.78,19.12,0,603.88,256.11,1,594,258.93,0,609.02,231.9,0.02,596.93,252.05,0.02,608.04,238.94,0
04003000048,04,003,000048,575.76,166.68,12.1,1.02,617.99,129.43,6.1,0.01,559.62,177.84,2,558.64,172.83,0,577.74,155.68,0.01,565.6,176.87,0,558.67,172.74,0.01
04003000049,04,003,000049,358,172,22,1,405,132,16,4,360,188,2,369,171,3,384,161,1,372,173,0,373,173,0
04005000001,04,005,000001,221.26,927.5,37.28,2.02,258.57,899.24,24.19,1.02,235.23,931.65,1.02,236.36,915.5,3.01,259.64,886.07,2.01,215.22,932.59,0.01,238.49,892.13,0.02
04005000002,04,005,000002,168.74,867.5,37.72,2.98,209.43,832.76,25.81,2.98,163.77,888.35,2.98,181.64,867.5,0.99,219.36,809.93,0.99,162.78,880.41,0.99,198.51,817.87,2.98
04005000003,04,005,000003,90,712,19,0,106,698,13,1,99,712,0,112,696,2,129,674,1,97,709,1,100,695,0
04005000004,04,005,000004,354.17,974.12,27,0,404.19,928.1,19,1,356.17,969.12,0,374.18,945.11,1,389.18,899.1,3,325.17,982.12,0,375.17,912.11,2
04005000005,04,005,000005,517.85,1154.85,23.05,2.02,606.12,1060.59,32.05,4,541.81,1123.78,0,551.92,1095.75,2,572,1042.53,2,484.8,1145.69,2,558.81,1041.56,3.03
04005000006,04,005,000006,343.64,623.3,27.31,5.31,389.98,571.91,22.84,4.37,357.77,609.3,1.75,367.46,588.89,2.62,382.52,577.9,2.62,322.42,632.89,2.62,344.52,592.19,3.53
04005000007,04,005,000007,327,664,26,1,378,606,12,4,329,636,1,357,608,0,371,578,0,320,632,0,331,591,2
04005000008,04,005,000008,176,519,14,3,217,481,13,0,180,520,1,186,515,1,202,488,1,163,524,1,187,494,2
04005000009,04,005,000009,226,697,41,4,255,664,34,3,244,699,2,264,673,0,287,650,1,218,717,4,239,682,3
04005000010,04,005,000010,58,283,23,0,51,253,12,1,52,255,1,61,245,0,68,235,0,53,248,0,57,238,3
04005000011,04,005,000011,128.43,427.12,25.89,2.99,180.21,381.32,16.93,0,140.38,427.12,0,139.39,424.13,0,168.26,398.25,0,133.41,434.09,0,134.41,427.12,1
04005000012,04,005,000012,99,609,28,2,113,590,25,1,102,605,1,108,597,1,125,571,1,86,612,0,116,571,1
04005000013,04,005,000013,84,352,21,1,68,326,7,0,58,325,1,77,309,0,86,292,0,62,323,0,68,306,1
04005000014,04,005,000014,156,662,35,0,165,632,23,1,146,649,1,165,621,2,174,602,0,143,639,0,159,624,1
04005000015,04,005,000015,438.54,1240.79,88.21,6.02,516.02,1182.36,73.14,3,475.63,1264.71,5,494.75,1228.55,7,525.84,1170.37,4,435.46,1269.78,6,468.64,1238.48,4.01
04005000016,04,005,000016,398,1001,40,0,497,901,38,2,432,976,0,460,930,3,482,903,1,397,993,0,458,912,1
04005000017,04,005,000017,124.89,229.1,13.78,0,149,211.01,8.61,0.86,136.94,222.21,0,140.39,218.77,0,140.39,214.46,0,121.44,236.85,0,131.78,221.35,0
04005000018,04,005,000018,196.08,320.54,20.36,0,230.08,286.62,21.26,3.02,203.46,326.26,0,221.59,307.98,3.03,220.71,301.81,1,198.01,327.51,0,209.42,309,1
04005000019,04,005,000019,473.57,806.88,37.11,4.01,553.79,736.68,28.07,1,494.62,785.88,2,512.61,752.87,3,504.74,735.75,3,462.59,790.91,2,494.59,749.88,5
04005000020,04,005,000020,91,410,28,2,90,384,12,2,78,389,1,84,383,0,105,354,0,77,389,1,89,368,1
04005000021,04,005,000021,600.61,1115.82,39.11,2.01,673.83,1030.6,38.11,4,609.63,1105.85,0,641.63,1072.8,2.01,693.56,991.78,1,583.55,1100.82,0.02,629.5,1030.8,1.02
04005000022,04,005,000022,777.95,1245.45,45.32,1.98,872.27,1153.8,41.49,5.84,780.08,1234.8,1.94,829.72,1172.49,2.97,866.77,1106.74,1.96,721.6,1266.44,3,772.14,1165.16,1.05
04005000023,04,005,000023,288,661,54,0,349,606,40,1,307,672,1,313,655,0,351,612,0,297,673,3,319,629,1
04005000024,04,005,000024,812.51,1098.26,47.8,4.98,921.04,998.69,32.86,1,831.43,1080.34,1,859.31,1042.5,1,881.21,1001.68,0,792.6,1095.28,1,835.41,1027.57,1.99
04005000025,04,005,000025,486,852,37,5,546,795,30,4,500,852,0,526,810,4,543,787,0,481,851,1,524,779,0
04005000026,04,005,000026,278.71,368.49,38.95,1,327.13,333.93,27.22,0.12,292.42,372.52,0,301.91,363.03,0,298.91,358.42,0,281.22,377.59,0,291.69,362.39,0
04005000040,04,005,000040,198.55,157.64,11.97,0,213.52,144.67,12.97,0,206.53,151.66,0,203.54,152.66,1,212.52,143.68,0,183.59,170.62,1,201.55,148.67,1
04005000041,04,005,000041,326.92,114.62,9.97,1,361.8,87.71,2.99,0,324.92,115.62,0,329.91,104.65,1,333.89,94.69,0,314.96,113.62,0,328.91,92.69,1
04005000042,04,005,000042,105.54,444.43,25.56,0.09,197.13,345.47,27.08,0.06,111.96,452.78,0.03,130.09,435.43,0.03,122.6,442.57,0.03,118.53,445.7,0.03,113.08,450.66,1
04005000043,04,005,000043,101,467,26,4,175,399,19,0,99,493,0,111,476,0,103,486,0,97,493,0,96,490,0
04005000047,04,005,000047,46.98,265.91,12,1,85.97,225.93,11,0,52.98,268.91,0,57.98,261.91,1,53.98,262.91,1,44.99,270.91,0,50.98,270.91,0
04005000048,04,005,000048,13.5,162.31,6.08,0,33.09,143.55,5.18,0,17.55,164.16,0,15.71,162.97,0,17.74,163.99,0,13.61,167.13,0,12.5,169.21,0
04005000050,04,005,000050,764,621,33,0,845,542,30,5,783,606,0,791,595,0,801,566,1,740,625,2,778,576,2
04005000051,04,005,000051,100.58,81.86,3.95,0,109.36,72.48,4.16,0.2,96.58,84.06,0.1,102.95,76.8,0.39,98.66,76.13,0,96.94,82.53,0,100.89,78.72,0.2
04005000052,04,005,000052,675.42,531.14,27.05,0,737.64,472.52,19.84,1.8,675.42,532.94,0.9,688.05,512.2,3.61,685.34,496.87,0,642.06,546.47,0,669.11,502.28,1.8
04005000053,04,005,000053,92,41,3,0,109,25,2,0,93,36,0,93,36,0,101,25,0,80,45,0,96,27,0
04005000055,04,005,000055,106.3,163.84,2.93,0.98,121.9,149.21,2.93,0,104.35,159.94,0,110.2,157.99,0,115.08,145.31,0,103.37,155.06,0,104.35,147.26,1.95
04005000056,04,005,000056,246.85,297.32,9.02,1.01,273.98,272.2,6.02,1,252.84,298.28,0,251.88,293.27,1,265.92,268.17,1,228.83,310.25,0,254.84,278.18,0.02
04005000058,04,005,000058,320.07,86.57,16.24,1.99,345.74,72.03,9.16,1,333.19,83.55,0,328.13,86.7,0,340.54,78.18,1,331.33,85.51,1,336.15,74.58,0.01
04005000059,04,005,000059,101.11,399.08,20.01,1,146.12,359.07,11.01,1,112.11,398.08,1,127.11,379.08,1,137.12,368.07,1,100.11,405.08,1,113.11,381.08,1
04005000060,04,005,000060,6.29,31.65,1.97,0.01,9.25,32.53,0.05,0,8.24,29.75,0,4.44,35.44,0,13.01,24.99,0,9.18,30.71,0,7.31,30.65,0
04005000061,04,005,000061,98.38,258.25,22.06,0,139.04,226.79,10.8,1,101.12,275.98,0.07,109.71,262.98,0.13,105.18,267.05,0,99.85,273.24,0,99.45,272.58,0
04005000062,04,005,000062,805.77,1357.02,58.67,3.06,912.75,1237.52,60.42,3.16,817.7,1355.64,1.05,844.08,1319.82,5.01,863.22,1256.29,2.03,779.03,1345.03,6.97,798.69,1288.05,5.94
04005000063,04,005,000063,92.35,54.34,2.02,0,98.4,46.29,2.02,0,94.36,52.33,0,94.38,52.32,0,89.38,51.31,0,87.35,53.34,0,93.35,47.33,0
04005000064,04,005,000064,6,1,0,1,6,2,0,0,6,1,0,5,1,0,5,1,0,6,1,0,6,1,0
04005000065,04,005,000065,90.08,496.26,29.05,0,155.72,433.43,25.29,0.01,100.38,506.56,0.94,108.91,492.43,1.87,115.4,493.39,0,96.65,510.27,0,91.04,514.95,0.01
04005000066,04,005,000066,249.79,106.91,15.99,1,297.74,68.94,5.99,0,271.77,93.92,0,273.77,87.92,0,272.77,87.92,0,266.77,98.92,0,263.77,92.92,1
04005000067,04,005,000067,110.63,360.62,25.91,1,181.37,291.89,20.92,1.99,117.61,367.59,1,148.49,336.71,1,138.53,343.69,0,120.59,361.62,0,116.61,365.6,1.99
04005000069,04,005,000069,128.62,580.82,21,0.05,245.5,462.01,23.95,1.08,166.27,560.52,1.15,196.8,521.99,1.08,174,544.61,1,159.64,563.04,1.08,157.69,561.34,0
04005000070,04,005,000070,24.5,126.42,5.88,0,55.86,95.06,7.84,0,39.2,117.6,0,39.2,116.62,0,43.12,113.68,0,34.3,123.48,0,37.24,114.66,0
04005000071,04,005,000071,17,61,5,0,30,49,3,0,17,61,0,17,61,0,14,63,0,16,62,0,13,67,0
04005000072,04,005,000072,296,265,27,0,386,183,24,0,296,280,0,316,244,0,324,232,0,287,280,0,305,248,0
04005000073,04,005,000073,371,225,24,2,406,196,18,2,376,233,1,386,218,0,389,212,0,351,249,2,368,223,0
04005000074,04,005,000074,170.9,232.87,23.99,0,218.88,187.89,17.99,0,182.9,231.87,0,190.89,217.88,0,188.89,217.88,0,173.9,234.87,0,173.9,230.87,1
04005000075,04,005,000075,438.89,325.87,33.29,2.91,499.73,271.44,20.76,1.94,464.43,320.46,0.97,470.19,308.92,0.97,472.72,294.73,0.97,430.81,336.6,0.97,438.29,312.6,1.99
04005000079,04,005,000079,495,241,21,0,535,208,14,1,493,243,1,508,229,0,522,211,2,487,243,1,494,221,1
04005000080,04,005,000080,358.9,308.4,11.72,1,443.29,223.91,11.62,1.07,380.17,281.27,0.03,388.48,266.48,2.07,389.82,259.97,1,363.42,281.93,0.03,364.48,270.38,1
04005000082,04,005,000082,342.59,527.24,12.4,0.01,380.62,472.71,16.94,1.31,341.79,523.56,1.15,350.28,509.99,0.31,375.31,477.13,0.01,324.36,528.13,0.16,347.23,487.07,0.01
04005000083,04,005,000083,404.32,583.85,17.21,0,461.63,524.08,14.76,1.64,410.86,580.55,0.82,418.24,561.74,1.64,450.14,525.74,0,392.85,572.42,0.82,418.24,535.58,0
04005000084,04,005,000084,246.21,228.18,9.54,2.64,277.24,202.06,6.09,0.63,251.99,226.18,0.25,255.26,214.81,0.38,263.05,199.16,0.38,236.61,228.62,0.38,246.34,209.65,1.44
04005000085,04,005,000085,684,545,34,5,752,488,35,1,696,554,0,701,542,2,725,502,2,681,552,1,691,530,2
04005000086,04,005,000086,86.32,68.86,2.91,0,103.78,50.44,2.91,0,91.17,64.01,0,93.11,57.23,0.97,96.99,54.32,0,86.32,63.04,0,93.11,56.26,0
04005000088,04,005,000088,30.5,202.69,4.92,0,66.91,156.45,10.82,0,33.45,193.84,0,43.29,182.03,0,45.26,183.01,0,37.39,191.87,0,30.5,196.79,0
