GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREGHAW,G20PRENDEL,G20PRETBLA,G20USSRJAM,G20USSDPET,G20USSGSQU,G20USSNDER,G20USSTWIL
26005005027,26,005,005027,1974.34,699.71,45.05,5.26,1.15,6.2,2007.25,661.02,17.63,6.33,23.03
26005005028,26,005,005028,911.11,340.18,19.51,0.85,0.85,0.85,946.74,305.4,8.48,1.7,4.24
26005005029,26,005,005029,1355.3,572.28,28.26,1.05,2.02,4.03,1406.39,526.05,6.14,6.05,12.13
26005005030,26,005,005030,1075.53,444.11,23.54,0.06,1,3.06,1095.88,406.11,10.26,3.2,13.43
26005005031,26,005,005031,740.93,242.35,16.68,2.3,0.02,0.78,737.5,249.25,3.83,2.35,5.49
26005005032,26,005,005032,977.73,901.98,32.2,2.93,1.95,4.89,973.84,860.09,8.82,5.85,40.89
26005005033,26,005,005033,974.82,697.84,21.66,2.06,2.04,6.08,971.74,677.93,11.14,4.12,17.91
26005005034,26,005,005034,840.14,679.95,30.13,2.01,0.01,2.02,845.12,656.75,15.03,3.03,18.2
26005005035,26,005,005035,1610.57,308.43,22.81,1.98,0.99,0.99,1657.18,283.64,3.97,0,4.96
26005005036,26,005,005036,906.93,921.82,38.03,2.05,2.99,5.01,947.19,856.77,22,6.01,19
26005005037,26,005,005037,1271.43,286.57,22.19,2.02,0.01,2.01,1285.82,278.36,6.03,2,7.04
26005005038,26,005,005038,1234.43,358.1,36.08,5.01,0,3,1258.42,348.14,9.02,5.01,14.02
26005005039,26,005,005039,214.17,420.94,3.67,0.9,0.01,0.9,222.66,405.38,1.88,0.02,4.49
26005005040,26,005,005040,1023.03,1426.91,28.88,3.01,0.99,3.99,1115.77,1330.06,15.99,1.02,19.94
26005005041,26,005,005041,1.61,5.4,0.02,0,0,0,2.39,5.27,0.02,0,0.02
26005005042,26,005,005042,922.87,472.37,26.63,3.11,0.06,5.07,918.93,466.09,12.39,1.19,16.79
26005005043,26,005,005043,795,388,13,3,0,1,798,365,10,4,16
26005005044,26,005,005044,861.5,359.76,18.7,2.12,0,2,839.22,358.98,8.92,6.86,14.87
26005005045,26,005,005045,1265,837,28,11,0,4,1288,790,16,8,26
26005005046,26,005,005046,1388.41,592.35,30.66,3.96,0.99,7.91,1395.33,567.63,13.84,5.93,24.72
26005ZZZZZZ,26,005,ZZZZZZ,86.75,94.41,1,0.47,0.06,0.12,92.28,87.65,0.99,0.19,1.01
26007007001,26,007,007001,742.2,522.14,36.3,2.56,0.85,1.81,699.28,540.44,13.73,5.19,21.1
26007007002,26,007,007002,478.81,401.65,13.85,1.98,0,0,472.88,398.68,11.87,1.98,3.96
26007007003,26,007,007003,561.04,404.22,5.15,2.02,1,1,524.97,430.19,3.12,1.02,6.04
26007007004,26,007,007004,288.25,279.96,11.84,0,0.59,0.59,294.17,274.64,2.96,1.78,2.37
26007007005,26,007,007005,572,469,11,5,0,4,573,459,8,2,9
26007007006,26,007,007006,695,338,11,2,0,0,672,356,2,2,7
26007007007,26,007,007007,697.6,444.12,11.15,0.01,0,2.54,670.38,453.49,1.76,1.71,15.3
26007007008,26,007,007008,734,577,20,2,0,4,736,576,5,3,4
26007007009,26,007,007009,482.26,308.11,6.22,1,1.01,0.01,444.37,323.02,5.05,3.03,4.04
26007007010,26,007,007010,665.29,395.76,15.9,1.87,0.94,0.94,655.93,407.93,5.61,0.94,5.61
26007007011,26,007,007011,521.22,183.87,9.84,0.99,0,0.02,479.97,205.55,3.92,2.94,7.85
26007007012,26,007,007012,422,193,6,1,0,0,399,210,3,0,1
26007007013,26,007,007013,690,282,11,4,0,1,648,321,3,3,6
26007007014,26,007,007014,830.05,215.3,11.97,1.99,1,3.99,791.09,251.22,1.01,1.01,5
26007007015,26,007,007015,740.79,331.12,8.08,0.13,0.06,2.68,705.23,352.91,3.01,2.68,5.63
26007007016,26,007,007016,119.75,42.45,0.18,0.02,0,0,112.98,45.85,0.07,0.06,1.15
26007007017,26,007,007017,935.04,233.72,14.04,1,0,2,878.88,284.81,4.02,5.01,6.03
26007ZZZZZZ,26,007,ZZZZZZ,510.69,378.56,16.48,0.43,0.54,1.42,498.88,382.26,4.87,2.66,7.94
26009009001,26,009,009001,764.05,354.01,11.14,2.04,1,1.01,773.24,345.77,5.07,2.02,3.08
26009009002,26,009,009002,899.43,545.02,15.88,5.96,0,0.99,926.24,516.23,8.93,2.98,8.93
26009009003,26,009,009003,193.84,91.51,2.95,0,0,0,192.86,94.46,0,0,0.98
26009009004,26,009,009004,524.21,242.28,11.03,1.01,0.01,2,541.25,219.19,7.03,1.01,6.01
26009009005,26,009,009005,393.97,198.97,8.07,2.01,0,1.01,399.93,194.03,2.01,0.01,1.03
26009009006,26,009,009006,1007.36,969.04,16.71,8.85,0,3.93,1061.42,913.02,15.72,2.95,8.85
26009009007,26,009,009007,774.42,625.2,19.2,0.05,1.05,1,803.66,594.61,5.2,2.05,4.1
26009009008,26,009,009008,406.37,288.51,3.77,0.94,0.94,0,411.09,277.2,3.77,0.94,1.89
26009009009,26,009,009009,369.03,182.03,12.93,0.99,0,0.99,361.07,191.97,1.99,0.99,5.97
26009009010,26,009,009010,743,471,16,3,0,0,754,466,7,1,7
26009009011,26,009,009011,835,276,20,0,1,0,803,294,6,7,9
26009009012,26,009,009012,649.29,248.15,13.07,1,0,2,633.28,264.18,4.01,2,10.03
26009009013,26,009,009013,1027.61,775.6,18.11,0.07,3,2.03,1078.97,724.22,8.11,2.02,4.06
26009009014,26,009,009014,461.87,161.35,9.98,0,0,0,460.86,166.36,0.99,0,3.99
26009009015,26,009,009015,502.35,441.22,6.69,1.91,0.96,0.96,529.09,408.75,8.6,1.91,2.87
26009009016,26,009,009016,163,60,3,0,0,0,159,60,1,0,4
26009ZZZZZZ,26,009,ZZZZZZ,38.18,33.51,0.55,0.18,0.04,0.08,39.97,31.36,0.57,0.12,0.27
26011011001,26,011,011001,240.28,77.61,7.07,0.01,0,1.02,223.94,80.72,1.07,0.04,8.14
26011011002,26,011,011002,391.81,158.85,3.03,2.3,0,0.98,339.32,195.89,0.26,0.3,8.9
26011011003,26,011,011003,158.62,80.15,1.97,0.51,0,1.3,148.8,87.88,0.91,0.51,1.54
26011011004,26,011,011004,533.22,223.51,10.27,2.98,0,1.34,483.32,258.84,2.63,3,9.85
26011011005,26,011,011005,351.97,160.25,2.95,0.98,0.98,1.97,334.27,174.02,0.98,2.95,6.88
26011011006,26,011,011006,772.06,396.94,15.02,0.01,0.01,2.01,723.96,427.02,6.01,2.02,10.04
26011011007,26,011,011007,351.3,118.18,1.93,0.95,1.9,0.95,322.75,131.51,0.96,3.81,5.71
26011011008,26,011,011008,271.39,105.54,6.03,1.01,0.01,0.02,240.22,124.67,3.01,3.03,6.07
26011011009,26,011,011009,546.31,269.66,6.94,0.99,0,1.98,511.62,281.57,6.93,3.97,14.87
26011011010,26,011,011010,114.73,51.53,1.94,0.97,0,0,98.2,62.23,1.94,0,0.97
26011011011,26,011,011011,523.57,281.58,3.45,0.13,0,1.36,493.54,304.23,3.2,1.11,4.31
26011011012,26,011,011012,415.7,208.82,16.07,0.05,0.1,0.05,389.25,227.49,7.04,4.19,3.29
26011011015,26,011,011015,415.11,251.86,10.01,0.73,0,2.15,365.41,284.3,6.42,5,9.35
26011011016,26,011,011016,247,66,4,0,0,0,227,80,2,0,4
26011011017,26,011,011017,414,217,2,0,0,1,382,244,2,1,5
26011ZZZZZZ,26,011,ZZZZZZ,63.45,35.05,1.47,0.19,0,0.26,55.96,40,0.8,0.67,1.43
26013013001,26,013,013001,269.06,103.25,3.97,0.99,0,0,254.16,111.2,6.95,2.98,0.99
26013013002,26,013,013002,363.78,300.86,5.9,2.95,0,0,341.17,312.66,4.92,1.97,7.87
26013013003,26,013,013003,166.24,74.95,0.96,0,0,0,167.2,74.95,0,0,1.92
26013013004,26,013,013004,132.65,66.04,2.05,0.05,0,0.11,123.95,75.41,2.11,1.05,1.11
26013013005,26,013,013005,171.91,90.25,0.97,0.96,0,1.89,159.51,96.92,1.91,0.95,1.93
26013013006,26,013,013006,166,86,2,0,0,1,159,93,1,0,2
26013013007,26,013,013007,1156.69,667.63,15.11,5.04,0,0.28,1115.85,677.36,6.06,2.03,13.44
26013013008,26,013,013008,82.61,87.77,0,0,0,1.72,85.19,85.19,0,0,1.72
26013ZZZZZZ,26,013,ZZZZZZ,1.94,0.75,0.03,0.01,0,0,1.84,0.8,0.05,0.02,0.01
26015015001,26,015,015001,875.89,271.1,7.93,0.99,0.99,0.99,833.58,280.92,8.89,4.93,13.8
26015015002,26,015,015002,816.22,295.94,15.47,2.06,2.01,1.1,794.74,291.85,3.24,8.14,19.38
26015015003,26,015,015003,1230.64,714.19,26.55,12.02,0,4.09,1259,663.15,21.21,6.16,17.64
26015015005,26,015,015005,989,425,21,0,1,3,992,414,3,3,20
26015015006,26,015,015006,1048.76,462.26,14.24,6.03,1.01,1.01,999.83,478.25,10.08,9.05,19.05
26015015007,26,015,015007,504,318,9,4,0,0,485,310,10,0,15
26015015008,26,015,015008,492,335,19,3,0,3,497,313,16,1,16
26015015009,26,015,015009,537,473,22,2,1,3,548,456,6,2,13
26015015010,26,015,015010,1138.68,546.59,23.62,3.95,0.99,0.99,1134.64,548.59,8.87,5.92,7.91
26015015011,26,015,015011,1218.99,604.14,23.35,0.97,0,3.89,1191.75,602.2,8.76,6.81,27.24
26015015012,26,015,015012,1363.39,523.97,25.16,3.59,0.9,3.59,1372.38,513.18,8.99,1.8,11.68
26015015013,26,015,015013,1188.33,576.13,19.91,2.98,1.01,2.98,1158.87,577.31,14,5.03,17.06
26015015014,26,015,015014,600.48,188.64,4.94,0.99,0,3.95,592.58,180.74,2.96,2.96,5.93
26015015015,26,015,015015,1340.74,669.6,28.76,7.09,1,1.99,1351.82,647.91,9.49,5.1,18.33
26015015016,26,015,015016,1176,817,19,5,0,2,1193,771,13,5,18
26015015017,26,015,015017,704,378,11,0,2,3,701,367,9,3,11
26015015018,26,015,015018,1061.22,639.79,25.83,2.4,1.1,0.41,1087.22,597.59,6.01,6.2,13.31
26015015019,26,015,015019,1276.83,513.68,30.79,4.69,0,6.48,1337.63,465.51,9.44,1.91,14.04
26015015020,26,015,015020,922.83,340.72,22.67,3.8,0,1.02,932.63,325.27,15.84,1.03,9.54
26015015021,26,015,015021,1388.34,808.6,42.54,8.5,0,4.5,1412.74,769.22,21.72,6.06,22.42
26015015022,26,015,015022,820,409,11,1,2,2,804,408,5,3,14
26015015023,26,015,015023,1308,567,24,4,0,5,1313,535,12,2,17
26015015024,26,015,015024,919.26,439.4,14.24,1.91,0,0.01,937.18,411.09,8.51,1.9,6.67
26015037120,26,015,037120,550.38,480.25,17.01,2,1,1,569.39,442.23,9,3,18.01
26017001004,26,017,001004,3.36,2.99,0.1,0.03,0,0,3.35,2.89,0.06,0.04,0.04
26017017001,26,017,017001,689.19,488.3,19.89,5.97,0.99,1.99,685.21,482.33,7.96,1.99,11.93
26017017002,26,017,017002,511.92,375.31,11.78,0,0.79,1.57,506.43,366.67,3.14,1.57,4.71
26017017003,26,017,017003,798.94,543.69,14.23,0.95,0,2.85,755.29,573.11,5.69,0.95,13.28
26017017004,26,017,017004,814,620,10,0,0,4,786,633,6,0,6
26017017005,26,017,017005,637,573,8,4,2,3,601,599,6,2,5
26017017006,26,017,017006,968.84,794.03,9.27,5.5,0,4.59,921.85,791.52,16.52,3.68,20.24
26017017007,26,017,017007,778.02,707.02,18,2,0,2,763.02,708.02,9,5,9
26017017008,26,017,017008,757,983,24,13,0,1,736,981,17,4,17
26017017009,26,017,017009,698,1117,15,4,2,2,713,1085,13,3,16
26017017010,26,017,017010,624.23,896.07,25.43,9.06,1.07,2.04,587.38,898.59,19.3,8.09,23.33
26017017011,26,017,017011,738.11,924.6,28.46,3.93,4.91,2.94,682.16,958.95,19.63,5.89,21.59
26017017012,26,017,017012,970,1114,31,5,3,2,916,1155,15,7,17
26017017013,26,017,017013,785.66,850.33,22.1,5.01,2.02,5.01,742.46,857.46,18.07,7.02,27.08
26017017014,26,017,017014,863,946,23,11,0,4,815,971,18,5,26
26017017015,26,017,017015,847,893,36,10,0,2,782,920,21,6,28
26017017016,26,017,017016,902.71,897.65,20.94,2,1,2,841.87,932.54,12.97,4.99,21.94
26017017017,26,017,017017,1179,550,19,3,1,3,1098,612,5,3,17
26017017018,26,017,017018,518,517,20,4,0,1,516,528,3,2,4
26017017019,26,017,017019,550,541,12,0,1,1,536,541,3,3,9
26017017020,26,017,017020,1518,900,26,6,0,4,1488,912,6,1,21
26017017021,26,017,017021,1211.89,630.13,17.07,2.15,1.1,5.03,1097.92,708.53,9.28,3.15,14.14
26017017022,26,017,017022,708,313,10,5,0,5,605,381,6,3,14
26017017023,26,017,017023,451,140,7,1,1,2,413,164,2,2,8
26017017024,26,017,017024,414,333,7,0,0,3,398,341,2,0,3
26017017025,26,017,017025,464.36,373.31,7.65,1.38,0,2.78,449.53,376.85,6.92,1.41,6.98
26017017026,26,017,017026,626.72,527.71,9.14,1.14,0.02,2.99,591.6,536.8,5.16,3.01,10.15
26017017027,26,017,017027,590,730,19,4,0,1,559,750,10,2,14
26017017028,26,017,017028,342.73,285.93,6.38,3.83,0.64,0.64,328.69,291.03,5.74,1.28,7.02
26017017029,26,017,017029,1036.3,558.44,22.93,3.26,0.13,5.11,952.45,615.84,14.37,2.36,18.38
26017017030,26,017,017030,810.09,485.91,14.96,3.74,1.98,2.13,760.39,516.55,6.14,4.91,6.4
26017017031,26,017,017031,625,251,4,1,0,2,557,308,4,2,9
26017017032,26,017,017032,35.81,37.42,3.03,1.01,0,0.01,40.58,34.55,1.04,0.01,0.06
26017017033,26,017,017033,413.81,335.97,5.91,0,0,0,366.52,359.62,1.97,1.97,3.94
26017017034,26,017,017034,879,706,16,5,0,2,847,703,12,2,15
26017017035,26,017,017035,858,452,21,1,0,2,830,469,3,0,12
26017017036,26,017,017036,526,530,9,4,0,0,507,525,7,1,10
26017017037,26,017,017037,919,555,16,3,1,2,887,565,7,5,6
26017017038,26,017,017038,507,330,5,1,0,0,481,346,6,2,5
26017017039,26,017,017039,583,228,9,1,0,1,518,273,3,5,10
26017017040,26,017,017040,276.24,203.03,2.47,2.47,1.64,0.82,252.4,215.37,4.93,2.47,3.29
26017017041,26,017,017041,1105.36,550.31,16.31,0.59,1.25,2.76,998.13,618.74,4.62,8.81,18.21
26017017042,26,017,017042,540,366,7,2,1,1,483,397,9,2,7
26017017043,26,017,017043,656,509,13,3,1,1,599,547,5,3,9
26017017044,26,017,017044,1023.81,545.7,23.11,5.03,1.01,3.01,1009.79,548.67,6.04,5.01,14.07
26017017045,26,017,017045,654.19,433.58,8.97,2.99,0,0.99,622.42,450.45,7.96,1.99,8.94
26017017046,26,017,017046,287,151,9,0,0,0,267,167,1,2,1
26017ZZZZZZ,26,017,ZZZZZZ,577.15,461.34,9.73,3.16,0.42,2.34,556.14,465.7,8.3,1.86,9.86
26019019001,26,019,019001,1429.01,1065.71,32.04,6.01,3,0,1455.05,1031.67,15.01,3,13.02
26019019002,26,019,019002,971.64,947.52,14.14,1.07,1.07,2.14,983.96,923.8,5.2,2.07,10
26019019003,26,019,019003,195.47,191.58,3.89,0,0.97,0,194.5,195.47,0.97,0.97,0
26019019004,26,019,019004,279.67,127.85,5.99,1,0,0,267.69,132.84,4,4.99,2
26019019005,26,019,019005,368.31,464.13,3.99,1,2,0,391.26,439.17,1,2.99,2
26019019006,26,019,019006,299.87,463.19,7.56,1.9,0,2.83,313.05,449.98,2.85,0.96,2.84
26019019007,26,019,019007,239.62,295.55,3.99,3.98,0,0,234.69,292.52,4.98,2.99,2.99
26019019008,26,019,019008,875,555,24,4,1,2,884,532,9,2,8
26019019009,26,019,019009,961.07,517.06,13,7,0,2,957.08,500.06,14,1,12
26019019010,26,019,019010,269.36,185.48,1.86,0.93,0.93,1.86,260.04,189.2,2.8,0.93,0
26019019011,26,019,019011,313.32,326.11,3.65,0.91,0,0,333.42,315.15,0.91,1.83,0
26019019012,26,019,019012,119.08,131.87,5.9,0,0,0.98,130.89,123.02,2.95,0,0.98
26019019013,26,019,019013,226,144,7,1,0,1,230,140,2,1,4
26019ZZZZZZ,26,019,ZZZZZZ,46.81,53.41,0.8,0.15,0.03,0.11,49.31,51.91,0.25,0.23,0.11
26021021001,26,021,021001,1191,413,18,4,0,1,1194,387,11,3,17
26021021002,26,021,021002,1100,502,32,3,1,8,1123,461,13,6,18
26021021003,26,021,021003,583.59,800.85,16.93,3.98,1,1.99,589.57,760.01,14.94,3.98,17.93
26021021004,26,021,021004,180.02,547.31,5.83,0.01,1.93,0.01,174.27,521.19,3.9,2.9,13.53
26021021005,26,021,021005,260,482,13,1,0,0,269,466,7,0,2
26021021006,26,021,021006,372.45,588.42,10.73,1.92,0.05,2.88,390.1,560.41,6.09,2.11,3.59
26021021007,26,021,021007,420,731,11,2,1,1,417,697,11,5,15
26021021008,26,021,021008,146,972,6,3,6,2,163,937,2,6,10
26021021009,26,021,021009,52.97,899.29,5.22,2.01,2.01,1.05,60.17,871.87,5.16,3.03,15.08
26021021010,26,021,021010,34,562,1,0,1,1,36,533,6,1,10
26021021011,26,021,021011,36,925,3,2,2,2,40,886,7,5,18
26021021012,26,021,021012,75.34,813.48,4.42,0.08,1,0.13,87.29,758.81,8.83,4.87,17.47
26021021013,26,021,021013,857.08,571.06,28.31,4.88,0.98,6.83,903.93,523.23,8.79,2.93,14.64
26021021014,26,021,021014,785.76,394.98,19.49,2.15,1.04,3.17,808.63,355.32,10.3,2.11,4.4
26021021015,26,021,021015,1084.08,586.08,18.07,2.01,1.01,4,1118.98,519.06,8.06,8.99,9.1
26021021016,26,021,021016,577.06,468.66,12.23,4.08,0,1.63,603.15,430.35,4.08,0.82,13.04
26021021017,26,021,021017,597.61,483.88,17.18,4.77,0.95,1.91,620.5,439.04,13.36,4.77,10.5
26021021018,26,021,021018,549.29,360.88,16.3,2,0.02,1.07,558.88,332.62,11.18,0.12,12.23
26021021019,26,021,021019,1294.64,671.79,28.08,2.2,1.01,3.95,1289.27,632.49,18.18,5.03,20.94
26021021020,26,021,021020,934.23,1148.53,16.79,6.91,0,1.98,982.62,1076.44,7.9,0.99,10.86
26021021021,26,021,021021,479.56,242.16,8.58,1.91,0.95,1.91,466.21,236.44,1.91,4.77,11.44
26021021022,26,021,021022,1012.44,437.84,19.42,1.09,1.05,0.09,1000.79,412.56,10.09,5.23,15.56
26021021023,26,021,021023,774.6,347.99,11.5,4.79,1.92,0.96,763.1,333.61,8.63,1.92,14.38
26021021024,26,021,021024,546,252,14,1,0,4,517,264,7,3,6
26021021025,26,021,021025,561.33,308.45,4.01,2,2,3,558.33,298.43,6.01,3,7.01
26021021026,26,021,021026,646.15,369.51,7.9,3.95,0,0.99,651.09,345.8,9.88,3.95,11.86
26021021027,26,021,021027,1393.99,668.64,26.86,3.98,0,1.99,1411.9,616.9,18.9,0.99,19.9
26021021028,26,021,021028,1152,739,28,4,0,1,1241,642,10,3,14
26021021029,26,021,021029,772,539,15,5,2,1,819,464,12,1,5
26021021030,26,021,021030,1048.78,840.41,19.75,1.98,0,0,1089.27,771.28,11.85,2.96,9.88
26021021031,26,021,021031,1074.01,718.36,19.14,3.02,0,1.01,1144.1,630.1,7.1,3.01,12.1
26021021032,26,021,021032,657.22,446.25,16.53,3.89,0,4.86,686.39,409.31,6.81,3.89,9.72
26021021033,26,021,021033,620,349,17,3,0,0,639,315,10,1,6
26021021034,26,021,021034,466.34,561.29,12.73,2.94,0,2.96,486.06,525.82,12.69,1.98,9.83
26021021035,26,021,021035,697.75,886.52,13.84,2.96,0,4.94,731.36,828.21,9.88,3.95,13.84
26021021036,26,021,021036,444.54,462.96,28.9,7.69,0.97,0,447.29,436.94,18.28,5.77,16.36
26021021037,26,021,021037,583,636,27,1,5,2,590,605,9,7,19
26021021038,26,021,021038,557.37,555.86,18.11,3.15,2,1.15,544.06,529.72,13.57,8.15,8.92
26021021039,26,021,021039,739.63,651.14,27.89,3.85,0,3.85,756.94,597.28,14.43,3.85,23.08
26021021040,26,021,021040,946.05,500.59,15.37,4.07,1,2,950.67,466.64,8.27,7.05,11.17
26021021041,26,021,021041,523.65,406.4,19.87,1.99,0.99,0,503.78,386.53,8.94,2.98,8.94
26021021042,26,021,021042,983.61,652.08,23.97,5.99,0,4.99,974.62,629.11,11.98,5.99,17.97
26021021043,26,021,021043,895.49,514.98,12.95,0,1.99,1,898.48,480.12,10.96,2.99,18.93
26021021044,26,021,021044,883.11,619.98,21.68,3.94,0,0.02,919.58,563.74,15.74,2.98,9.86
26021021045,26,021,021045,1011.29,608.46,22.33,3.02,0.01,5.04,1077.92,535.19,7.24,2.07,16.25
26021021046,26,021,021046,442.92,489.99,19.5,4.44,0.12,0.51,452.71,445.91,15.89,2.32,12.23
26021021047,26,021,021047,484.13,874.3,21.79,6.54,1.86,7.5,522.88,801.59,13.06,4.66,17.78
26021021048,26,021,021048,846,337,15,2,0,4,852,301,9,1,12
26021021049,26,021,021049,896.42,556.83,20.38,4.08,0.99,2.13,943.96,515.99,2.2,2.1,5.26
26021021050,26,021,021050,981.43,547.93,16.74,1.86,0,0,1039.11,473.5,8.37,0.93,7.44
26021021051,26,021,021051,769.67,1046.82,17.23,1.06,1.01,3.97,862.37,936.12,12.2,2.15,6.56
26021021052,26,021,021052,676,969,26,4,1,3,751,894,8,3,5
26021021053,26,021,021053,608.15,841.98,25.54,4.91,0,1.96,663.17,782.05,9.82,2.95,10.81
26021021054,26,021,021054,730,1201,17,1,0,5,763,1130,3,4,26
26021021055,26,021,021055,742.26,630.41,13.01,2,0,2.99,801.14,569.53,4.01,2.99,2.02
26021021056,26,021,021056,602,523,12,1,0,1,633,479,3,1,5
26021021057,26,021,021057,1143,909,28,2,0,7,1222,820,9,3,16
26021021058,26,021,021058,796.93,433,20.34,1.17,0.01,1.01,823.55,401.2,5.62,2.08,7.57
26021021059,26,021,021059,756,580,15,0,0,2,751,557,8,3,14
26021021060,26,021,021060,477.11,260.1,13.12,0.02,0,0.02,464.08,246.86,3.06,3.04,11.16
26021021061,26,021,021061,1062.3,479.9,14.37,2.19,0.08,2.02,1058.82,451.53,7.31,5.04,18.46
26021021062,26,021,021062,701,342,26,1,0,1,689,335,5,4,12
26021ZZZZZZ,26,021,ZZZZZZ,183.91,159.06,3.84,1.19,0,0.53,192.06,146.69,1.75,0.37,3.71
26023023001,26,023,023001,713,244,5,0,0,0,704,234,4,3,10
26023023002,26,023,023002,452.49,171.29,3.66,0,0,2.75,437.84,167.62,3.66,1.83,11.91
