GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school_elm,school,cd_1980,cd_1990
26081000031,26,081,000031,3415,145,3075,165,5,8,17,2107,127,1882,84,4,6,4,452.42,520.91,NA,34000,34000,NA,16440,8,4
26081000032,26,081,000032,5738,437,5088,173,25,6,9,3485,326,3038,98,18,4,1,748.31,861.58,NA,34000,34000,NA,16440,8,4
26081000033,26,081,000033,4444,2144,2139,115,11,21,14,3038,1664,1278,73,8,11,4,652.33,751.07,NA,34000,34000,NA,16440,8,4
26081000034,26,081,000034,5336,4428,753,80,11,59,5,3943,3375,470,55,7,34,2,846.66,974.81,NA,34000,34000,NA,16440,8,4
26081000035,26,081,000035,5853,3209,2191,272,14,129,38,3933,2368,1300,162,12,79,12,844.51,972.34,NA,34000,34000,NA,16440,8,4
26081000036,26,081,000036,2519,210,2164,121,14,6,4,1563,157,1323,71,10,2,0,335.61,386.42,NA,34000,34000,NA,16440,8,4
26081000037,26,081,000037,4721,1502,2661,437,14,96,11,2949,1108,1519,255,8,58,1,633.22,729.07,NA,34000,34000,NA,16440,8,4
26081000038,26,081,000038,3769,1755,748,1158,48,47,13,2227,1228,372,568,25,31,3,478.19,550.57,NA,34000,34000,NA,16440,8,4
26081000039,26,081,000039,2718,1557,201,885,50,19,6,1664,1031,105,482,32,13,1,357.3,411.39,NA,34000,34000,NA,16440,8,4
26081000040,26,081,000040,3022,2063,281,614,13,44,7,1997,1468,148,336,12,33,0,428.8,493.71,NA,34000,34000,NA,16440,8,4
26081000041,26,081,000041,5373,4320,671,224,48,97,13,3642,2997,433,139,27,44,2,782.03,900.4,NA,34000,34000,NA,16440,8,4
26081000042,26,081,000042,4017,3564,293,89,10,58,3,2906,2629,180,50,5,42,0,623.99,718.44,NA,34000,34000,NA,16440,8,4
26081000043,26,081,000043,3845,3512,250,55,6,22,0,3006,2778,175,33,6,14,0,645.46,743.16,NA,34000,34000,NA,16440,8,4
26081000044,26,081,000044,7175,6750,263,49,11,101,1,5933,5622,193,38,7,73,0,1273.96,1466.8,NA,34000,34000,NA,16440,8,4
26081000045,26,081,000045,6333,5373,656,137,22,132,13,4836,4259,395,92,13,76,1,1038.41,1195.59,NA,34000,34000,NA,16440,8,4
26081000046,26,081,000046,4773,3850,663,107,19,122,12,3556,2948,450,67,12,76,3,763.56,879.14,NA,34000,34000,NA,16440,8,4
26081000101,26,081,000101,6434,6321,30,41,29,13,0,4442,4374,17,22,23,6,0,284,372,NA,71360,75560,NA,08520,16,4
26081000102,26,081,000102,2983,2896,6,45,23,10,3,2075,2030,1,21,17,5,1,230,357,NA,14200,14200,NA,08520,8,4
26081000104,26,081,000104,8447,8242,17,134,24,26,4,5830,5726,11,66,13,13,1,782,1227,NA,75420,75440,NA,32370,8,4
26081000106,26,081,000106,5496,5390,2,62,16,25,1,3810,3750,1,37,10,11,1,565,966,NA,NA,1160,NA,32370,8,4
26081000107,26,081,000107,3750,3659,6,52,11,21,1,2530,2488,1,26,5,10,0,447.69,717.89,NA,69080,69080,NA,30030,8,4
26081000110,26,081,000110,5722,5610,10,52,16,34,0,3983,3915,6,32,13,17,0,704.81,1130.18,NA,NA,64660,NA,30030,8,4
26081000111,26,081,000111,5618,5498,13,60,13,31,3,3918,3844,9,39,12,13,1,693.31,1111.73,NA,17700,64660,NA,10620,8,4
26081000112,26,081,000112,3990,3814,81,61,4,29,1,2935,2817,53,38,4,22,1,519.36,832.81,NA,58950,64660,NA,25950,8,4
26081000115,26,081,000115,6010,5734,78,124,24,46,4,4665,4471,58,85,20,30,1,671.61,1348,NA,82960,82960,NA,20280,8,4
26081000116,26,081,000116,4447,4360,18,38,19,11,1,3148,3094,12,22,15,4,1,453.21,909.65,NA,82960,82960,NA,20280,8,4
26081000117,26,081,000117,7302,7043,77,105,30,45,2,5403,5221,56,74,21,30,1,777.86,1561.25,NA,82960,82960,NA,16470,8,4
