GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,place,mcd,school,cd_1980,cd_1990
24003730901,24,003,730901,2917,49,2203,49,599,10,56,2193,35,1640,35,441,8,34,413.68,404.64,NA,90192,00060,4,2
24003730902,24,003,730902,2069,22,1911,22,118,4,14,1676,19,1534,19,93,4,7,316.16,309.25,NA,90192,00060,4,2
24003731001,24,003,731001,7874,80,7527,80,180,19,68,5686,55,5400,55,114,15,47,1072.59,1049.15,12912,90192,00060,4,2
24003731002,24,003,731002,2230,38,1887,38,270,7,27,1631,21,1377,21,193,3,16,307.67,300.94,12912,90192,00060,4,2
24003731003,24,003,731003,801,11,695,11,87,4,4,578,8,492,8,64,4,2,109.03,106.65,NA,90192,00060,4,2
24003731101,24,003,731101,7021,95,6402,95,389,15,113,5039,57,4598,57,247,8,72,950.54,929.77,2275,90192,00060,4,2
24003731102,24,003,731102,6300,75,5996,75,117,7,105,4684,59,4396,59,90,6,74,883.58,864.26,2275,90192,00060,4,2
24003731103,24,003,731103,4834,70,4224,70,469,8,62,3478,43,2996,43,349,6,41,656.08,641.74,2275,90192,00060,4,2
24003731201,24,003,731201,5679,45,5487,45,71,12,64,4239,31,4076,31,53,7,41,799.63,782.16,71200,90192,00060,4,3
24003731202,24,003,731202,7629,29,7361,29,168,21,50,5705,17,5494,17,125,17,35,1076.18,1052.65,44975,90192,00060,4,3
24003731203,24,003,731203,6565,72,5809,72,607,3,74,4834,52,4212,52,470,3,45,911.87,891.94,60475,90192,00060,4,3
24003731204,24,003,731204,3511,25,3157,25,261,22,46,2755,18,2470,18,198,14,37,519.7,508.34,60475,90192,00060,4,2
24003731303,24,003,731303,6227,58,6104,58,13,24,28,4853,45,4712,45,10,22,19,915.46,895.45,44975,90192,00060,4,2
24003731304,24,003,731304,9496,81,9151,81,169,17,78,7216,56,6914,56,118,14,58,1361.21,1331.45,66850,90192,00060,4,2
24003731305,24,003,731305,10540,93,10057,93,261,27,98,7459,54,7100,54,162,22,67,1407.05,1376.29,34975,90192,00060,4,2
24003731306,24,003,731306,5364,23,5239,23,46,30,26,4042,17,3947,17,30,17,14,762.47,745.81,NA,90192,00060,4,3
24003731307,24,003,731307,5153,81,4713,81,240,25,94,3779,53,3425,53,170,17,61,712.86,697.28,34975,90192,00060,4,3
24003740101,24,003,740101,15893,490,8834,490,5563,63,926,10763,304,6136,304,3306,43,670,2030.31,1985.93,71150,90284,00060,4,4
24003740102,24,003,740102,3665,59,3123,59,403,11,69,2720,43,2357,43,211,11,55,513.09,501.88,42550,90284,00060,4,4
24003740201,24,003,740201,7053,138,5755,138,873,16,264,5241,91,4249,91,626,12,172,988.65,967.04,73550,90284,00060,4,2
24003740202,24,003,740202,2777,48,2207,48,435,8,79,2045,30,1598,30,328,4,55,385.76,377.33,71150,90284,00060,4,4
24003740203,24,003,740203,3623,47,3205,47,262,14,95,2667,33,2341,33,180,10,70,503.1,492.1,71150,90284,00060,4,2
24003740301,24,003,740301,2413,62,2063,62,227,10,50,1852,46,1557,46,155,9,39,349.36,341.72,58300,90284,00060,4,2
24003740303,24,003,740303,2372,43,2197,43,106,1,25,1828,25,1670,25,86,1,21,344.83,337.29,71150,90284,00060,4,4
24003741010,24,003,741010,1713,19,1634,19,29,5,26,1329,12,1262,12,21,3,19,250.7,245.22,73550,90284,00060,4,2
24003750101,24,003,750101,4001,38,3871,38,39,17,36,3165,23,3056,23,27,12,24,597.04,583.99,10475,90376,00060,4,2
24003750102,24,003,750102,2455,22,2408,22,2,13,10,1911,16,1857,16,1,12,9,360.49,352.61,10475,90376,00060,4,4
24003750201,24,003,750201,2677,20,1725,20,883,6,43,2177,12,1457,12,659,3,34,410.66,401.69,64250,90376,00060,4,4
24003750202,24,003,750202,3244,34,3111,34,44,17,37,2637,27,2514,27,31,15,23,497.44,486.56,10475,90376,00060,4,2
24003750203,24,003,750203,1287,15,1173,15,79,14,6,1048,8,952,8,66,10,4,197.69,193.37,10475,90376,00060,4,2
24003750801,24,003,750801,5674,36,5418,36,150,17,53,4459,26,4230,26,128,13,36,841.14,822.75,28075,90376,00060,4,2
24003750802,24,003,750802,10681,179,8881,179,1202,42,375,8214,111,6857,111,829,34,272,1549.47,1515.6,28075,90376,00060,4,4
24003751101,24,003,751101,8338,88,7016,88,1083,25,126,6688,68,5569,68,871,18,94,1261.61,1234.03,32650,90376,00060,4,2
24005002805,24,005,002805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,91020,00120,6,4
24005002806,24,005,002806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,91020,00120,6,4
24005004001,24,005,004001,3138,32,2846,32,123,5,132,2798,26,2547,26,92,3,104,625.51,537.94,14125,90012,00120,6,1
24005004002,24,005,004002,2547,21,2443,21,52,5,26,2070,14,1979,14,42,4,17,462.76,397.97,14125,90012,00120,6,1
24005004005,24,005,004005,1693,24,1619,24,9,0,36,1362,16,1295,16,5,0,30,304.48,261.86,14125,90012,00120,6,1
24005004006,24,005,004006,2986,13,2875,13,72,7,18,2405,12,2304,12,57,7,13,537.65,462.38,14125,90012,00120,6,1
