GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school,cd_1980,cd_1990
19061001203,19,061,001203,4719,4631,26,30,3,26,3,3247,3184,18,23,2,18,2,866.96,745.06,NA,22395,91085,09480,1,2
19061010101,19,061,010101,1970,1958,4,1,0,7,0,1451,1442,1,1,0,7,0,387.42,332.95,NA,22395,94077,09480,1,2
19061010102,19,061,010102,5648,5602,7,29,1,9,0,3798,3773,3,17,1,4,0,1014.08,871.49,NA,3160,91086,09480,1,2
19061010103,19,061,010103,2873,2862,0,6,3,1,1,2071,2064,0,3,3,1,0,552.97,475.21,NA,22395,91085,09480,1,2
19063009701,19,063,009701,2330,2326,0,0,1,3,0,1702,1701,0,0,1,0,0,394.05,434.92,NA,2935,90081,03850,6,5
19063009702,19,063,009702,2352,2335,2,11,1,1,2,1617,1609,0,8,0,0,0,374.37,413.2,NA,33240,91926,17070,6,5
19063009703,19,063,009703,3444,3398,13,24,0,9,0,2707,2677,12,12,0,6,0,626.73,691.73,NA,25860,91242,11070,6,5
19063009704,19,063,009704,3443,3385,2,28,9,18,1,2470,2435,1,15,5,14,0,571.86,631.16,NA,25860,91242,11070,6,5
19065009801,19,065,009801,2631,2607,1,17,0,6,0,1975,1965,0,8,0,2,0,60,119,NA,84765,94702,00006,1,2
19065009802,19,065,009802,3874,3801,38,16,5,13,1,2876,2813,35,10,5,12,1,50,88,NA,27165,91278,27270,1,2
19065009803,19,065,009803,2449,2439,0,0,0,10,0,1746,1744,0,0,0,2,0,119,142,NA,50610,93183,30870,1,2
19065009804,19,065,009804,3211,3125,5,71,6,4,0,2297,2248,3,39,3,4,0,713,551.9,NA,58620,92220,21630,1,2
19065009805,19,065,009805,3801,3716,2,72,1,10,0,2893,2838,1,49,1,4,0,898,695.1,NA,58620,92220,21630,1,2
19065009806,19,065,009806,2428,2416,0,8,1,3,0,1805,1799,0,5,1,0,0,103,247,NA,14250,93411,28710,1,2
19065009807,19,065,009807,3449,3434,0,11,2,2,0,2471,2460,0,7,2,2,0,153,195,NA,35310,91143,00006,1,2
19067009801,19,067,009801,3072,3044,3,7,2,16,0,2196,2186,1,6,1,2,0,118.55,151.48,NA,28020,93729,07080,5,2
19067009802,19,067,009802,2935,2914,0,16,4,1,0,2120,2111,0,7,1,1,0,115,133,NA,56910,93681,24960,5,2
19067009803,19,067,009803,2912,2886,1,15,1,9,0,2092,2082,0,7,1,2,0,169,146,NA,68070,93675,24960,5,2
19067009804,19,067,009804,3231,3211,0,14,2,4,0,2472,2459,0,8,2,3,0,133.45,170.52,NA,12765,90645,07080,5,2
19067009805,19,067,009805,4908,4851,4,40,3,10,0,3753,3725,3,21,2,2,0,1406,1508,NA,12765,90645,07080,5,2
19069009601,19,069,009601,3924,3905,2,11,2,4,0,2864,2854,2,7,1,0,0,74,83,NA,72210,93833,13470,6,5
19069009602,19,069,009602,4416,4284,3,119,2,7,1,3347,3265,3,72,1,5,1,619,798,NA,33960,91819,13470,6,5
19069009603,19,069,009603,3024,2995,1,22,4,2,0,2227,2215,1,8,2,1,0,351,560,NA,43590,92847,05970,6,5
19071009701,19,071,009701,2686,2673,1,7,2,3,0,1939,1933,0,2,2,2,0,128,246,NA,67575,93651,11520,4,4
19071009702,19,071,009702,2836,2819,1,4,5,7,0,2127,2115,1,2,3,6,0,126.87,226,NA,73065,93885,26250,4,4
19071009703,19,071,009703,2704,2652,2,42,2,6,0,2014,1983,2,23,1,5,0,120.13,214,NA,33780,91804,13440,4,4
19073009801,19,073,009801,2175,2164,2,1,4,4,0,1636,1628,1,0,3,4,0,250,227,NA,31980,92286,10200,4,5
19073009802,19,073,009802,2846,2807,1,15,3,20,0,2121,2103,1,8,1,8,0,45,40,NA,39450,92222,15210,4,5
19073009803,19,073,009803,3589,3572,2,7,3,4,1,2727,2717,0,5,3,2,0,48,65,NA,39450,92222,15210,4,5
19073009804,19,073,009804,1435,1428,0,7,0,0,0,1075,1071,0,4,0,0,0,172,205,NA,71310,93804,25500,4,5
19075009901,19,075,009901,4020,4003,1,6,5,5,0,3014,3006,0,4,2,2,0,214,311,NA,66315,90249,24060,5,2
19075009902,19,075,009902,3017,2990,4,15,0,8,0,2175,2167,1,5,0,2,0,24,97,NA,83325,93882,30660,5,2
19075009903,19,075,009903,2743,2735,1,4,2,1,0,2112,2108,0,2,2,0,0,348,755,NA,33195,93258,13290,5,2
19075009904,19,075,009904,2249,2232,1,9,2,5,0,1651,1644,0,7,0,0,0,53,80,NA,15825,90675,04440,5,2
19077009501,19,077,009501,3800,3774,5,9,10,2,0,2907,2894,2,4,7,0,0,399,369,NA,61320,90501,22320,4,4
19077009502,19,077,009502,2775,2753,2,10,4,6,0,2035,2021,2,5,3,4,0,47,57,NA,11395,91935,08070,4,4
19077009503,19,077,009503,4360,4335,0,16,3,5,1,3270,3254,0,12,2,2,0,117,148,NA,33420,94302,27500,4,4
19079009601,19,079,009601,2326,2302,1,13,7,3,0,1697,1688,0,3,4,2,0,679.8,680.22,NA,85800,94737,21120,2,5
19079009602,19,079,009602,3575,3502,6,46,1,20,0,2575,2536,1,26,1,11,0,231,289,NA,39675,92739,26640,2,5
19079009603,19,079,009603,3148,3087,2,34,5,20,0,2362,2327,2,18,3,12,0,946.2,946.78,NA,83145,94633,30630,2,5
19079009604,19,079,009604,4965,4905,0,14,8,38,0,3784,3751,0,6,5,22,0,58,70,NA,83145,94633,30630,2,5
19079009605,19,079,009605,2057,2047,0,9,0,1,0,1572,1565,0,6,0,1,0,168,190,NA,75810,92850,26640,2,5
19081009701,19,081,009701,3806,3766,0,30,0,10,0,2690,2663,0,20,0,7,0,486,747,NA,29955,90801,12330,6,5
19081009702,19,081,009702,3146,3124,1,14,3,4,0,2238,2220,1,12,1,4,0,43,84,NA,41655,91197,15780,6,5
19081009703,19,081,009703,2918,2840,0,65,0,7,6,2148,2107,0,35,0,2,4,107,105,NA,8605,90348,05430,6,5
19081009704,19,081,009704,2768,2738,0,20,2,5,3,2001,1988,0,10,2,1,0,160,187,NA,16590,90069,15510,6,5
19083009801,19,083,009801,2881,2866,5,3,3,4,0,2235,2229,1,2,1,2,0,558.48,651.5,NA,190,91245,03060,6,5
19083009802,19,083,009802,2427,2399,4,18,0,6,0,1829,1811,1,12,0,5,0,457.03,533.15,NA,38640,91833,14730,6,5
19083009803,19,083,009803,4020,3913,64,16,6,21,0,3145,3050,62,11,4,18,0,785.87,916.77,NA,38640,91833,14730,6,5
19083009804,19,083,009804,3325,3290,1,23,1,10,0,2406,2392,1,8,1,4,0,601.21,701.35,NA,1045,90036,03330,6,5
19083009805,19,083,009805,3168,3146,2,13,3,4,0,2340,2332,0,6,1,1,0,584.71,682.11,NA,37425,94215,14310,6,5
19083009806,19,083,009806,3273,3181,41,33,10,8,0,2364,2341,3,13,4,3,0,590.71,689.11,NA,24465,91157,10690,6,5
19085009901,19,085,009901,2967,2901,2,20,3,41,0,2149,2117,1,13,1,17,0,18,60,NA,22890,91863,30960,4,4
19085009902,19,085,009902,3455,3435,2,10,4,3,1,2509,2499,0,7,0,2,1,71,171,NA,86835,90318,31920,4,4
19085009903,19,085,009903,2817,2805,1,6,4,1,0,2121,2113,0,5,3,0,0,26,63,NA,46155,92223,17460,4,4
19085009904,19,085,009904,3259,3247,1,6,2,3,0,2444,2438,0,4,1,1,0,514,760,NA,52860,93738,19440,4,4
19085009905,19,085,009905,2232,2215,4,8,2,3,0,1548,1539,3,3,2,1,0,32,65,NA,62445,94503,19440,4,4
19087009701,19,087,009701,3964,3920,7,20,7,9,1,2915,2898,3,5,3,6,0,103,211,NA,86385,93786,29490,3,3
19087009702,19,087,009702,2872,2822,0,23,5,22,0,2061,2032,0,9,5,15,0,72,133,NA,70230,94122,19890,3,3
19087009703,19,087,009703,4218,4019,62,17,6,112,2,3125,2980,54,12,4,75,0,543.64,770.16,NA,54705,93036,19890,3,3
19087009704,19,087,009704,4512,4247,139,48,20,56,2,3635,3414,127,37,20,35,2,632.36,895.84,NA,54705,93036,19890,3,3
19087009705,19,087,009705,3660,3622,2,19,4,13,0,2643,2615,1,12,3,12,0,439,445,NA,56325,93087,20460,3,3
19089009601,19,089,009601,3805,3780,2,17,1,5,0,2870,2857,1,10,1,1,0,416.93,567.5,NA,17220,94347,14280,5,2
19089009602,19,089,009602,2966,2948,1,7,1,9,0,2162,2155,1,4,1,1,0,314.07,427.5,NA,45165,93090,14280,5,2
19089009603,19,089,009603,3038,3023,1,0,4,4,6,2148,2138,1,0,2,1,6,50,77,NA,25095,90024,14280,5,2
19091009701,19,091,009701,2540,2526,1,5,6,2,0,1886,1880,0,3,3,0,0,36,80,NA,66450,94335,14370,6,5
19091009702,19,091,009702,2494,2476,2,13,1,2,0,1790,1779,2,7,1,1,0,189,188,NA,7210,94620,12600,6,5
19091009703,19,091,009703,3238,3209,4,10,7,8,0,2350,2335,1,6,4,4,0,189,258,NA,37560,92003,14370,6,5
19091009704,19,091,009704,2484,2459,2,9,1,13,0,1988,1974,2,6,0,6,0,779,1146,NA,37560,92003,14370,6,5
