GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,place,mcd,school_elm,DISTRICT,school,cd_1980,cd_1990
18003000701,18,003,000701,3435,3305,21,77,9,19,4,2567,2485,16,47,5,12,2,655.13,697.29,25000,81620,NA,NA,03630,2,4
18003000702,18,003,000702,2332,2129,97,50,3,52,1,1893,1766,56,28,2,40,1,300.84,498.46,25000,80342,NA,NA,03630,2,4
18003002897,18,003,002897,3054,381,2581,81,2,1,8,1848,288,1510,47,1,1,1,471.63,501.98,25000,81620,NA,NA,03630,2,4
18003002898,18,003,002898,71,9,48,14,0,0,0,36,4,25,7,0,0,0,9.19,9.78,25000,81620,NA,NA,03630,2,4
18003003301,18,003,003301,2931,2632,139,69,1,86,4,2043,1850,103,30,1,59,0,324.68,537.96,25000,80342,NA,NA,03630,2,4
18003003302,18,003,003302,3061,2852,68,85,9,43,4,2295,2147,44,63,6,34,1,364.72,604.31,25000,80342,NA,NA,03630,2,4
18003003303,18,003,003303,1456,1297,98,38,9,11,3,1186,1072,76,24,6,6,2,188.48,312.29,25000,80342,NA,NA,03630,2,4
18003003901,18,003,003901,3629,3507,37,42,11,29,3,2793,2714,25,27,6,21,0,712.81,758.68,25000,81620,NA,NA,03630,2,4
18003003902,18,003,003902,2780,2516,162,74,8,19,1,2133,1962,103,49,6,13,0,544.37,579.4,25000,81620,NA,NA,03630,2,4
18003004101,18,003,004101,2156,1853,245,20,2,36,0,1598,1438,118,16,1,25,0,222.89,495.95,25000,66924,NA,NA,03630,2,4
18003004102,18,003,004102,4917,4494,232,87,4,98,2,4260,3942,174,66,4,72,2,594.19,1322.12,25000,66924,NA,NA,03630,2,4
18003010301,18,003,010301,4441,4339,19,40,23,20,0,3121,3065,14,17,10,15,0,389.27,1069.68,35266,58950,NA,NA,08250,2,4
18003010302,18,003,010302,6468,6314,24,69,13,45,3,4608,4510,15,46,9,28,0,574.73,1579.32,NA,58950,NA,NA,08250,2,4
18003010701,18,003,010701,3779,3709,17,29,10,12,2,2904,2853,15,19,6,9,2,461.51,764.67,25000,80342,NA,NA,03630,2,4
18003010702,18,003,010702,5751,5419,132,55,18,126,1,4102,3897,77,36,8,84,0,651.89,1080.13,25000,80342,NA,NA,03630,2,4
18003010802,18,003,010802,5601,5115,290,74,12,101,9,4204,3903,181,41,6,73,0,586.38,1304.74,25000,66924,NA,NA,03630,2,4
18003010803,18,003,010803,5829,5556,103,79,5,85,1,4092,3937,59,39,4,52,1,570.76,1269.98,NA,66924,NA,NA,03630,2,4
18003010804,18,003,010804,3224,3079,68,41,8,25,3,2257,2171,42,20,4,19,1,314.81,700.47,NA,66924,NA,NA,03630,2,4
18003010805,18,003,010805,6504,6137,227,54,8,75,3,4838,4610,143,31,5,49,0,674.81,1501.5,25000,66924,NA,NA,03630,2,4
18003010806,18,003,010806,6275,6090,93,48,6,36,2,4357,4238,57,27,6,29,0,607.72,1352.22,25000,66924,NA,NA,03630,2,4
18003010807,18,003,010807,4844,4657,82,52,10,41,2,3467,3344,58,30,6,29,0,483.58,1076,NA,66924,NA,NA,03630,2,4
