GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school_elm,school,cd_1980,cd_1990
08089009881,08,089,009881,1093,687,6,372,13,3,12,796,527,5,245,8,3,8,189.21,178.61,NA,48500,92413,NA,05520,2,2
08089009882,08,089,009882,1647,1417,0,222,7,1,0,1234,1072,0,156,5,1,0,293.32,276.89,NA,27975,91406,NA,04110,2,2
08091009676,08,091,009676,2295,2187,0,103,3,2,0,1725,1661,0,61,2,1,0,426,633,NA,56420,92793,NA,06210,3,6
08093009596,08,093,009596,5160,4912,33,162,35,12,6,3646,3509,17,83,26,7,4,804.94,949.58,NA,NA,91254,NA,02370,6,6
08093009597,08,093,009597,1292,1256,2,25,6,3,0,1020,993,2,19,5,1,0,225.19,265.65,NA,25610,91254,NA,03840,6,6
08093009598,08,093,009598,722,695,4,19,4,0,0,552,535,3,12,2,0,0,121.87,143.77,NA,NA,92128,NA,03840,6,6
08095009976,08,095,009976,2726,2563,0,153,1,7,2,1983,1891,0,85,1,4,2,633.61,654.15,NA,37270,91767,NA,04710,2,2
08095009977,08,095,009977,1463,1443,0,17,1,2,0,1106,1094,0,9,1,2,0,353.39,364.85,NA,34960,91710,NA,04560,2,2
08097009626,08,097,009626,2959,2795,10,84,17,53,0,2566,2442,9,61,16,38,0,621.46,416.5,NA,3620,90171,NA,02280,3,6
08097009627,08,097,009627,1218,1120,1,84,3,9,1,1073,995,1,66,3,7,1,259.87,174.16,NA,3620,90171,NA,02280,3,6
08097009628,08,097,009628,3741,3480,9,181,13,57,1,3173,2966,8,147,11,40,1,768.46,515.02,NA,3620,90171,NA,02280,3,6
08097009629,08,097,009629,1682,1630,5,31,3,13,0,1409,1363,5,27,3,11,0,341.24,228.7,NA,71755,93344,NA,02280,3,6
08097009630,08,097,009630,3061,2930,13,95,12,10,1,2308,2218,8,63,8,10,1,558.97,374.62,NA,4935,93344,NA,04260,3,6
08099009856,08,099,009856,1464,1216,0,231,15,2,0,1038,901,0,130,6,1,0,258.09,235.03,NA,37215,91748,NA,04680,2,2
08099009857,08,099,009857,952,498,0,449,3,2,0,627,370,0,252,3,2,0,155.9,141.97,NA,31550,91558,NA,04290,2,2
08099009858,08,099,009858,1490,1340,0,145,5,0,0,1028,941,0,85,2,0,0,255.6,232.76,NA,85045,92147,NA,07320,2,2
08099009859,08,099,009859,4052,2422,8,1587,24,7,4,2739,1773,7,933,19,4,3,681.02,620.17,NA,43110,92147,NA,05220,2,2
08099009860,08,099,009860,4951,4193,30,668,23,21,16,3447,3014,24,373,15,10,11,857.06,780.47,NA,43110,92147,NA,05220,2,2
08099009861,08,099,009861,438,402,0,22,10,4,0,303,281,0,13,7,2,0,75.34,68.61,NA,NA,93667,NA,04680,2,2
08101000001,08,101,000001,2746,1984,22,700,9,23,8,2116,1600,11,478,9,13,5,695.76,401.74,NA,62000,92983,NA,06120,3,6
08101000002,08,101,000002,1602,689,46,847,11,6,3,1113,507,38,551,9,5,3,365.97,211.31,NA,62000,92983,NA,06120,3,6
