GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school,cd_1980,cd_1990
35013000016,35,013,000016,2701,308,0,2386,3,4,0,1815,251,0,1557,3,4,0,285.27,365.1,NA,NA,93060,01080,3,2
35013000017,35,013,000017,13200,1916,33,11233,3,15,0,8303,1513,27,6748,2,13,0,1305.01,1670.2,NA,75640,93060,01080,3,2
35013000018,35,013,000018,17574,3372,107,14047,26,18,4,10557,2440,76,8006,19,12,4,1659.28,2123.6,NA,3820,90090,01080,3,2
35013000019,35,013,000019,2616,1723,364,407,26,91,5,1732,1187,235,235,15,59,1,272.22,348.4,NA,84845,93840,01230,3,2
35013000101,35,013,000101,6493,3731,100,2600,35,27,0,4429,2804,55,1522,25,23,0,696.12,890.92,NA,39380,91740,01500,3,2
35013000102,35,013,000102,3951,2216,57,1620,21,36,1,2820,1726,38,1015,13,27,1,443.23,567.26,NA,39380,91740,01500,3,2
35013000401,35,013,000401,3345,230,59,3026,15,6,9,2182,187,47,1926,11,5,6,342.95,438.92,NA,39380,91740,01500,3,2
35013000402,35,013,000402,5402,1823,184,3326,14,37,18,3696,1425,117,2107,11,26,10,580.91,743.47,NA,39380,91740,01500,3,2
35013001101,35,013,001101,7119,3248,14,3771,58,27,1,5017,2588,11,2358,38,21,1,788.54,1009.2,NA,39380,91740,01500,3,2
35013001102,35,013,001102,2557,1082,14,1438,17,6,0,1943,867,9,1051,10,6,0,305.39,390.85,NA,48060,91740,01500,3,2
35013001201,35,013,001201,3946,2286,48,1562,14,36,0,2771,1737,31,966,12,25,0,435.53,557.4,NA,39380,91740,01500,3,2
35013001202,35,013,001202,7746,5745,134,1691,46,124,6,6153,4711,94,1227,33,84,4,967.09,1237.71,NA,39380,91740,01500,3,2
35015000001,35,015,000001,1555,1091,18,430,6,10,0,1175,878,15,269,6,7,0,268.68,305.13,NA,12150,90480,00300,3,2
