GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school_elm,DISTRICT,school,cd_1980,cd_1990
34013000008,34,013,000008,4185,703,722,2654,13,48,45,2817,539,519,1692,10,37,20,483.71,614.28,NA,51000,51000,NA,NA,11340,4,11
34013000009,34,013,000009,5283,184,3049,2012,8,16,14,3507,146,2074,1254,8,15,10,602.19,764.74,NA,51000,51000,NA,NA,11340,4,10
34013000010,34,013,000010,2146,137,1103,898,2,2,4,1438,133,764,536,1,2,2,246.92,313.57,NA,51000,51000,NA,NA,11340,4,10
34013000011,34,013,000011,725,77,419,227,0,0,2,461,49,264,146,0,0,2,79.16,100.53,NA,51000,51000,NA,NA,11340,4,10
34013000013,34,013,000013,1727,27,1610,80,8,1,1,1209,24,1118,58,7,1,1,207.6,263.64,NA,51000,51000,NA,NA,11340,4,10
34013000014,34,013,000014,3464,54,3153,250,5,2,0,2333,46,2136,145,4,2,0,400.6,508.74,NA,51000,51000,NA,NA,11340,4,10
34013000015,34,013,000015,1785,34,1534,206,3,1,7,1156,25,1005,119,2,1,4,198.5,252.08,NA,51000,51000,NA,NA,11340,4,10
34013000016,34,013,000016,2063,96,1760,188,5,11,3,1442,72,1228,128,3,9,2,247.61,314.45,NA,51000,51000,NA,NA,11340,4,10
34013000017,34,013,000017,2480,26,2326,121,7,0,0,1748,21,1657,66,4,0,0,300.15,381.17,NA,51000,51000,NA,NA,11340,4,10
34013000018,34,013,000018,2561,19,2461,68,2,10,1,1740,12,1673,45,0,9,1,298.78,379.43,NA,51000,51000,NA,NA,11340,4,10
34013000019,34,013,000019,2592,94,2308,182,2,2,4,1786,80,1591,108,2,2,3,306.68,389.46,NA,51000,51000,NA,NA,11340,4,10
34013000020,34,013,000020,4553,314,3995,204,4,21,15,3370,298,2893,147,4,16,12,578.67,734.87,NA,51000,51000,NA,NA,11340,4,10
34013000021,34,013,000021,3822,431,3109,240,6,36,0,2744,404,2155,155,4,26,0,471.17,598.36,NA,51000,51000,NA,NA,11340,4,10
34013000022,34,013,000022,9903,2874,4908,1181,27,821,92,7424,2481,3387,881,24,587,64,1274.78,1618.89,NA,51000,51000,NA,NA,11340,4,10
34013000023,34,013,000023,5012,562,4037,373,8,26,6,3572,521,2771,248,6,22,4,613.35,778.92,NA,51000,51000,NA,NA,11340,4,10
34013000024,34,013,000024,4242,166,3813,235,3,18,7,2909,146,2599,148,3,10,3,499.51,634.34,NA,51000,51000,NA,NA,11340,4,10
34013000025,34,013,000025,5197,150,4842,177,5,19,4,3632,135,3354,121,5,14,3,623.65,792,NA,51000,51000,NA,NA,11340,4,10
34013000026,34,013,000026,2109,12,1857,230,4,5,1,1311,12,1164,125,4,5,1,225.11,285.88,NA,51000,51000,NA,NA,11340,4,10
34013000027,34,013,000027,788,8,760,18,1,1,0,487,5,471,9,1,1,0,83.62,106.2,NA,51000,51000,NA,NA,11340,4,10
34013000028,34,013,000028,1160,16,1098,44,2,0,0,753,14,710,27,2,0,0,129.3,164.2,NA,51000,51000,NA,NA,11340,4,10
34013000029,34,013,000029,1245,21,1123,96,1,0,4,686,13,607,61,1,0,4,117.79,149.59,NA,51000,51000,NA,NA,11340,4,10
34013000030,34,013,000030,1874,14,1713,133,11,0,3,1291,7,1203,76,5,0,0,221.68,281.52,NA,51000,51000,NA,NA,11340,4,10
34013000031,34,013,000031,2149,20,2046,69,4,10,0,1383,16,1320,39,4,4,0,237.48,301.58,NA,51000,51000,NA,NA,11340,4,10
34013000032,34,013,000032,617,4,559,53,1,0,0,390,4,353,33,0,0,0,66.97,85.04,NA,51000,51000,NA,NA,11340,4,10
34013000034,34,013,000034,1186,23,1017,137,8,0,1,737,14,635,82,5,0,1,126.55,160.71,NA,51000,51000,NA,NA,11340,4,10
34013000035,34,013,000035,3472,33,3061,367,7,3,1,2252,27,1988,228,6,2,1,386.69,491.08,NA,51000,51000,NA,NA,11340,4,10
34013000037,34,013,000037,2552,22,2332,188,6,2,2,1670,20,1520,123,4,2,1,286.76,364.16,NA,51000,51000,NA,NA,11340,4,10
34013000038,34,013,000038,1752,10,1665,67,3,6,1,1211,8,1159,34,3,6,1,207.94,264.07,NA,51000,51000,NA,NA,11340,4,10
34013000039,34,013,000039,2954,8,2846,91,6,2,1,2077,8,2012,49,5,2,1,356.64,452.92,NA,51000,51000,NA,NA,11340,4,10
34013000040,34,013,000040,1210,16,1146,43,1,1,3,712,12,666,30,1,1,2,122.26,155.26,NA,51000,51000,NA,NA,11340,4,10
34013000041,34,013,000041,3957,24,3799,115,7,12,0,2764,20,2655,72,7,10,0,474.61,602.72,NA,51000,51000,NA,NA,11340,4,10
