GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,place,mcd,school,cd_1980,cd_1990
39033009753,39,033,009753,4055,4005,0,39,6,4,1,2884,2852,0,23,5,4,0,120.99,228.54,29162,29162,04402,20,8
39035000000,39,035,000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,99998,13,13
39035001012,39,035,001012,3218,2315,293,376,30,198,6,2441,1872,182,248,19,119,1,711.93,223.16,16000,16000,04378,15,6
39035001013,39,035,001013,2061,1700,211,112,8,24,6,1693,1442,164,60,5,20,2,493.77,154.78,16000,16000,04378,15,6
39035001014,39,035,001014,2262,2075,31,132,4,20,0,1647,1546,17,69,4,11,0,480.35,150.57,16000,16000,04378,15,6
39035001015,39,035,001015,2896,2447,110,241,18,73,7,2066,1804,62,136,10,52,2,602.56,188.88,16000,16000,04378,15,6
39035001016,39,035,001016,2648,2175,96,268,20,87,2,1804,1537,51,146,12,57,1,526.14,164.92,16000,16000,04378,15,6
39035001017,39,035,001017,3068,2313,206,372,57,120,0,2053,1668,85,206,32,62,0,598.77,187.69,16000,16000,04378,15,6
39035001018,39,035,001018,3212,2473,194,421,17,100,7,2161,1756,103,224,12,65,1,630.26,197.56,16000,16000,04378,15,6
39035001019,39,035,001019,2044,1525,62,356,17,84,0,1364,1077,31,199,15,42,0,397.82,124.7,16000,16000,04378,15,6
39035001022,39,035,001022,2921,2619,47,181,9,57,8,2224,2035,29,115,5,37,3,648.64,203.32,16000,16000,04378,15,6
39035001023,39,035,001023,2450,2116,35,231,11,56,1,1761,1564,22,130,10,34,1,513.6,160.99,16000,16000,04378,15,6
39035001025,39,035,001025,675,539,18,107,4,6,1,468,388,10,61,4,5,0,136.49,42.79,16000,16000,04378,15,6
39035001026,39,035,001026,1865,1472,45,315,16,4,13,1251,1015,32,179,11,4,10,364.86,114.37,16000,16000,04378,15,6
39035001027,39,035,001027,4329,3556,90,579,15,86,3,2944,2496,54,333,6,54,1,858.63,269.15,16000,16000,04378,15,6
39035001028,39,035,001028,2482,1750,48,615,22,38,9,1630,1239,27,323,14,24,3,475.4,149.02,16000,16000,04378,15,6
39035001029,39,035,001029,2282,1520,32,693,9,23,5,1650,1173,19,433,4,18,3,481.23,150.85,16000,16000,04378,15,6
39035001031,39,035,001031,1276,979,57,150,20,67,3,906,728,36,87,13,40,2,264.24,82.83,16000,16000,04378,15,6
39035001032,39,035,001032,982,745,184,45,2,6,0,825,655,131,31,2,6,0,240.61,75.42,16000,16000,04378,15,6
39035001033,39,035,001033,1303,141,1075,78,8,1,0,804,132,621,46,4,1,0,234.49,73.5,16000,16000,04378,15,13
39035001034,39,035,001034,3724,2368,359,878,16,91,12,2447,1676,205,503,9,51,3,713.68,223.71,16000,16000,04378,15,6
39035001035,39,035,001035,2571,1625,220,696,8,7,15,1763,1197,138,409,7,6,6,514.19,161.18,16000,16000,04378,15,6
39035001036,39,035,001036,1875,1303,267,288,5,10,2,1556,1137,201,203,4,10,1,453.81,142.25,16000,16000,04378,15,6
39035001037,39,035,001037,1071,349,563,154,4,0,1,687,291,315,76,4,0,1,200.37,62.81,16000,16000,04378,15,6
39035001038,39,035,001038,2488,1529,150,755,19,30,5,1617,1072,74,439,12,16,4,471.6,147.83,16000,16000,04378,15,6
39035001039,39,035,001039,2993,1376,177,1418,11,6,5,2004,1031,99,858,7,5,4,584.47,183.21,16000,16000,04378,15,6
39035001041,39,035,001041,1612,929,85,575,13,2,8,1136,697,72,354,6,2,5,331.32,103.86,16000,16000,04378,15,6
39035001042,39,035,001042,1017,783,70,157,0,5,2,733,584,41,103,0,4,1,213.78,67.01,16000,16000,04378,15,6
39035001043,39,035,001043,891,732,57,94,4,1,3,596,510,27,54,4,1,0,173.83,54.49,16000,16000,04378,15,6
39035001044,39,035,001044,618,383,42,181,1,9,2,462,302,34,117,1,6,2,134.74,42.24,16000,16000,04378,15,6
39035001045,39,035,001045,1226,922,139,147,12,6,0,835,661,80,77,11,6,0,243.53,76.34,16000,16000,04378,15,6
39035001046,39,035,001046,1139,629,33,470,2,2,3,775,479,16,276,1,2,1,226.03,70.85,16000,16000,04378,15,6
39035001048,39,035,001048,1941,1240,138,544,16,0,3,1288,891,77,311,8,0,1,375.65,117.75,16000,16000,04378,15,13
39035001049,39,035,001049,3670,2401,215,963,19,60,12,2410,1729,84,543,9,40,5,702.89,220.33,16000,16000,04378,15,6
39035001051,39,035,001051,3076,2634,75,312,6,48,1,2241,1994,41,175,4,26,1,653.6,204.88,16000,16000,04378,15,13
39035001052,39,035,001052,1077,947,6,109,3,8,4,752,668,6,67,3,6,2,219.32,68.75,16000,16000,04378,15,13
39035001053,39,035,001053,3530,2809,52,605,10,50,4,2436,2032,28,345,7,20,4,710.47,222.7,16000,16000,04378,15,6
39035001054,39,035,001054,4191,3482,104,564,24,10,7,2879,2461,57,338,15,6,2,839.67,263.2,16000,16000,04378,15,6
39035001055,39,035,001055,2332,1775,119,391,11,33,3,1642,1304,71,232,7,26,2,478.9,150.11,16000,16000,04378,15,13
39035001057,39,035,001057,4521,4253,98,135,6,29,0,3635,3438,68,101,4,24,0,1060.16,332.32,16000,16000,04378,15,6
39035001059,39,035,001059,3288,3225,15,33,2,13,0,2615,2570,9,26,2,8,0,762.67,239.07,16000,16000,04378,15,6
39035001061,39,035,001061,3824,3640,37,117,0,30,0,3133,3001,24,81,0,27,0,913.75,286.42,16000,16000,04378,15,6
39035001062,39,035,001062,4131,3999,29,65,19,17,2,3264,3188,13,39,13,10,1,951.96,298.4,16000,16000,04378,15,6
39035001063,39,035,001063,3036,2872,18,103,9,31,3,2294,2184,11,64,6,26,3,669.05,209.72,16000,16000,04378,15,6
39035001064,39,035,001064,1082,1036,7,26,2,10,1,816,788,4,16,2,5,1,237.99,74.6,16000,16000,04378,15,6
39035001065,39,035,001065,2752,2607,20,87,4,34,0,2104,2021,13,47,4,19,0,613.64,192.35,16000,16000,04378,15,6
39035001066,39,035,001066,3554,3399,38,78,4,35,0,2758,2648,22,55,4,29,0,804.38,252.14,16000,16000,04378,15,6
39035001068,39,035,001068,3018,2858,33,92,7,28,0,2247,2150,17,58,5,17,0,655.35,205.42,16000,16000,04378,15,6
39035001069,39,035,001069,3950,3818,21,49,3,59,0,3182,3092,7,35,2,46,0,928.04,290.9,16000,16000,04378,15,6
39035001070,39,035,001070,1794,1675,0,45,2,72,0,1368,1296,0,25,2,45,0,398.98,125.06,16000,16000,04378,15,6
39035001071,39,035,001071,1223,386,792,35,9,1,0,1222,385,792,35,9,1,0,356.4,111.72,16000,16000,04378,15,6
