GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,place,mcd,school_elm,school,cd_1980,cd_1990
29051000204,29,051,000204,5233,4999,149,46,23,15,1,3475,3339,84,29,13,10,0,634.69,1398.69,65018,36764,NA,16190,4,4
29051000205,29,051,000205,2523,2505,12,1,4,1,0,1875,1858,12,1,4,0,0,269,788,63704,49844,NA,26970,4,4
29051000206,29,051,000206,4141,3550,511,25,27,26,2,3212,2630,506,22,26,26,2,350,838,65018,45974,NA,16190,4,4
29051020198,29,051,020198,4124,3591,473,31,21,8,0,3067,2537,472,29,21,8,0,269,778,72304,42068,NA,16190,4,4
29053009501,29,053,009501,2310,2272,17,14,6,1,0,1666,1640,12,9,4,1,0,40,200,59726,65306,09090,05580,6,6
29053009502,29,053,009502,2641,1937,656,27,6,9,6,2112,1535,550,16,4,7,0,390.18,699.45,7318,7336,NA,05580,6,6
29053009503,29,053,009503,3146,2802,284,15,19,24,2,2451,2192,210,14,12,23,0,452.8,811.72,7318,7336,NA,05580,6,6
29053009504,29,053,009504,2109,1989,90,14,5,11,0,1624,1544,66,6,2,6,0,300.02,537.83,7318,7336,NA,05580,6,6
29053009505,29,053,009505,4629,4491,96,26,14,2,0,3361,3263,70,12,14,2,0,132,363,55478,38198,05190,25170,6,6
29055009501,29,055,009501,6213,6133,3,60,5,11,1,4452,4396,1,43,5,7,0,574,1030,7534,7156,12480,05640,3,8
29055009502,29,055,009502,3343,3314,0,5,18,6,0,2451,2434,0,4,10,3,0,363,499,41114,55100,10650,29430,3,8
29055009503,29,055,009503,5317,5273,0,30,10,4,0,3966,3935,0,20,8,3,0,638,998,17668,4618,NA,10410,3,8
29055009504,29,055,009504,4300,4275,0,19,3,3,0,3144,3125,0,13,3,3,0,134,191,70576,47360,NA,29430,3,8
29057009801,29,057,009801,4227,4152,17,25,30,3,0,3200,3148,16,14,19,3,0,57,127,29206,12502,NA,13320,2,7
29057009802,29,057,009802,3222,3127,3,51,32,9,0,2366,2318,0,24,19,5,0,181,491,43490,43508,NA,19140,2,7
