GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,place,mcd,school_elm,DISTRICT,school,cd_1980,cd_1990
17073000304,17,073,000304,2873,2844,2,22,5,0,0,2072,2056,1,10,5,0,0,40,94,2726,2739,NA,NA,16350,4,8
17073000305,17,073,000305,2883,2853,4,22,2,2,0,2143,2124,3,13,2,1,0,39,97,1569,1582,NA,NA,03810,4,8
17073000306,17,073,000306,1937,1835,61,40,1,0,0,1462,1406,34,21,1,0,0,317.53,314.17,39727,39740,NA,NA,21000,4,8
17073000307,17,073,000307,1240,1080,91,67,1,1,0,919,816,63,38,1,1,0,199.59,197.48,39727,39740,NA,NA,21000,4,8
17073000308,17,073,000308,3393,3130,143,99,6,8,7,2497,2366,70,52,6,3,0,542.31,536.57,39727,39740,NA,NA,21000,4,8
17073000309,17,073,000309,4030,3802,141,71,1,15,0,2954,2812,90,40,0,12,0,641.57,634.78,39727,39740,NA,NA,21000,4,8
17073000310,17,073,000310,3667,3474,127,44,3,19,0,2861,2736,81,28,2,14,0,545,1022,39727,80983,NA,NA,42060,4,8
17073000311,17,073,000311,2964,2898,0,65,0,0,1,2234,2203,0,31,0,0,0,362,785,28430,28443,NA,NA,16140,4,8
17073000312,17,073,000312,3248,3185,8,42,6,4,3,2381,2346,5,22,6,2,0,143,219,83063,57108,NA,NA,03660,4,8
17073030201,17,073,030201,4428,4361,11,43,4,9,0,3161,3119,6,26,3,7,0,397,695,56601,80190,NA,NA,30200,4,8
17073030202,17,073,030202,4185,4146,6,14,8,10,1,2999,2980,6,6,4,3,0,57,153,10643,10656,NA,NA,08160,4,8
17073030203,17,073,030203,3687,3607,28,35,6,11,0,2585,2536,18,20,6,5,0,282,460,14923,32642,NA,NA,16350,4,8
17075009501,17,075,009501,3204,3052,116,23,4,9,0,2340,2246,73,12,2,7,0,37,205,20331,4520,37120,37140,12510,16,3
17075009502,17,075,009502,3944,3906,5,20,2,11,0,2869,2846,3,9,2,9,0,283,801,14936,12814,37120,37140,10410,16,3
17075009503,17,075,009503,3454,3430,2,22,0,0,0,2541,2529,2,10,0,0,0,90,296,17406,2492,11130,11160,20180,16,3
17075009504,17,075,009504,3935,3844,4,66,6,15,0,2953,2901,4,36,3,9,0,372,1047,79228,48814,NA,NA,20170,16,3
17075009505,17,075,009505,4114,4075,4,24,3,8,0,3077,3053,4,12,2,6,0,151,390,69212,69225,25950,25980,36120,16,3
17075009506,17,075,009506,3557,3108,7,423,4,15,0,2629,2366,4,246,3,10,0,214,593,29275,20487,11130,11160,20180,16,3
